"﻿Province",City,Name,URL,Direct Link,Licence,Attribution Statement,License name,Include,Last Updated,Update Frequency,Notes,localfile,date_format
ON,Hamilton,Licensed Public Garages,https://open.hamilton.ca/datasets/c1e7c884bbea4f26a32118ecf830b764_8/explore,,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,City of Hamilton’s Open Data Licence,y,2021-10-15 00:00,,,ON_Hamilton_Licenced_Public_Garages.csv,%Y/%m/%d HH:MM:SS+TZ
ON,Hamilton,Licensed Public Halls,https://open.hamilton.ca/datasets/044e4d91ba0f4fb2ba162dcd327e6dcc_9/explore,,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,City of Hamilton’s Open Data Licence,y,2021-10-15 00:00,,,ON_Hamilton_Licenced_Public_Halls.csv,%Y/%m/%d HH:MM:SS+TZ
ON,Hamilton,Licensed Residential Care Facilities,https://open.hamilton.ca/datasets/e37b13a002544e359350c31b2d48ee47_10/explore,,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,City of Hamilton’s Open Data Licence,y,2021-10-15 00:00,,,ON_Hamilton_Licenced_Residential_Care_Facilities.csv,%Y/%m/%d HH:MM:SS+TZ
ON,Hamilton,Licensed Salvage Yards,https://open.hamilton.ca/datasets/04317a5ccfe04dad98f8b7a35f3388d1_11/explore,,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,City of Hamilton’s Open Data Licence,y,2021-10-15 00:00,,,ON_Hamilton_Licenced_Salvage_Yards.csv,%Y/%m/%d HH:MM:SS+TZ
ON,Hamilton,Licensed Second Hand Shops,https://open.hamilton.ca/datasets/b1f09efe93a549d3b3f600d1d93b5305_12/explore,,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,City of Hamilton’s Open Data Licence,y,2021-10-15 00:00,,,ON_Hamilton_Licenced_Second_Hand_Shops.csv,%Y/%m/%d HH:MM:SS+TZ
ON,Hamilton,Licensed Trade Contractors & Masters,https://open.hamilton.ca/datasets/f48cbeb4be8847c1bd09731663ef696c_1/explore,,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,City of Hamilton’s Open Data Licence,,2021-10-15 00:00,,,,
ON,Kawartha Lakes,,,,,,,,,,,,
ON,Kingston,,,,,,,,,,,,
ON,London,,,,,,,,,,,,
ON,Niagara Falls,Land Manager Licenses,https://niagarafalls.ca/services/open/data/2930-land-manager-licenses-open-data.od,,https://niagarafalls.ca/services/open/terms-and-conditions.aspx,,,y,2019-08-26 00:00,,,,
ON,Peel,Business Establishments,https://data.peelregion.ca/datasets/business-establishments/explore,,https://www.statcan.gc.ca/en/reference/licence,"Source: Statistics Canada, name of product, reference date. Reproduced and distributed on an as is basis with the permission of Statistics Canada.",,y,2021-03-09 00:00,,,,
"ON ",Peterborough,,,,,,,,,,,,
ON,Sarnia,,,,,,,,,,,,
ON,Sault Ate. Marie,,,,,,,,,,,,
"ON ",Sudbury,,https://opendata.greatersudbury.ca/documents/Sudbury::active-building-permits/about,,No License Provided Request permission to use,,,,,,,,
"ON ",Thunder Bay,,,,,,,,,,,,
"ON ",Waterloo,,,,,,,,,,,,
"ON ",Welland,Welland Business Directory,https://niagaraopendata.ca/dataset/welland-business-directory,https://open.welland.ca/datasets/welland-business-directory,https://niagaraopendata.ca/pages/open-government-license-2-0-city-of-welland,Contains information licensed under the Open Government Licence - City of Welland.,,y,2021-01-15 00:00,,,,
"ON ",Windsor,,,,,,,,,,,,
"ON ",,Select License and Registration Data,https://data.ontario.ca/dataset/select-licence-and-registration-data,https://data.ontario.ca/dataset/select-licence-and-registration-data,https://www.ontario.ca/page/open-government-licence-ontario,Contains information licensed under the Open Government Licence – Ontario.,,y,2021-04-07 00:00,,,,
"ON ",,,https://data.ontario.ca/dataset/ontario-environment-business-directory,,https://www.ontario.ca/page/copyright-information-c-queens-printer-ontario,Contains information licensed under the Open Government Licence – Ontario.," King's Printer for Ontario, 20__.*",y,,,,,
PE,Charlottetown,,,,,,,,,,,,
QC,Sherbrooke,,https://www.donneesquebec.ca/recherche/dataset/repertoire-des-entreprises,,https://www.donneesquebec.ca/licence/#cc-by,,CC BY,y,2021-11-09 00:00,,,QC_Sherbrooke_Entreprises.csv,N/A
QC,,,https://www.donneesquebec.ca/recherche/dataset/registre-des-entreprises,,https://www.donneesquebec.ca/licence/#CC-BY-SA-NC-4.0,,CC BY-NC-SA,n,,,,QC_Etablissements.csv,N/A
QC,Chicoutimi - Jonquiere,,,,,,,,,,,,
QC,Gatineau,,,,,,,,,,,,
QC,Montreal,,,,,,,,,,,,
QC,Quebec City,,,,,,,,,,,,
QC,Saint-Jean-sur-Richelieu,,,,,,,,,,,,
QC,Saint-Jerome,,,,,,,,,,,,
QC,Trois-Rivieres,,,,,,,,,,,,
SK,Regina,,,,,,,,,,,,
SK,Saskatoon,,,,,,,,,,,,
YT,Whitehorse,,,,,,,,,,,,
,,,,,,,,,,,,,
