TRADE_NAME,LICENSE_DESCRIPTION,GISLINK,ADDRESS,PHONE
CHILLIWACK MASSAGE THERAPY,MASSAGE THERAPY,897.4526,"45260 PAISLEY AVE, CHILLIWACK BC  V2P 1K9",604-793-9171
CHILLIWACK MEDICAL DENTAL CENTRE LTD,COMMERCIAL PARKING LOT,4580.09181,"9181 MAIN ST, CHILLIWACK BC  V2P 4M9",604-792-7998
CHILLIWACK METROPOLITAN ORCHESTRA,METROPOLITAN ORCHESTRA - NON-PROFIT SOCIETY S-54393- OFFICE USE ONLY,BCS1736,"1-46538 FIRST AVE, CHILLIWACK BC  V2P 1W9",
CHILLIWACK MIDWIFERY GROUP,MIDWIFERY PRACTICE,780.45779,"45779 LUCKAKUCK WAY, CHILLIWACK BC  V2R 4E8",604-703-6527
CHILLIWACK MOTOR INN (MALADA INDUSTRIES LTD DBA),MOTEL (24 UNITS),4613.0812,"8120 YOUNG RD, CHILLIWACK BC  V2P 6H3",604-792-8501
CHILLIWACK MOTORCYCLES LTD,MOTORCYCLE REPAIR SHOP,793.43923,"102-43923 PROGRESS WAY, CHILLIWACK BC  V2R 0E6",604-795-4403
CHILLIWACK MOUNTAIN LOG HOMES LTD,LOG HOME CONSTRUCTION - OFFICE USE ONLY,,BUSINESS-NON RESIDENT,604-793-0048
CHILLIWACK MUSEUM & HISTORICAL SOCIETY GIFT SHOP,GIFT SHOP NON-PROFIT # S-9175,942.4582,"45820 SPADINA AVE, CHILLIWACK BC  V2P 1T3",604-795-5210
CHILLIWACK NEW & USED BUILDING MATERIALS INC,USED BUILDING MATERIALS - NO SALVAGE,788.4472,"44720 YALE RD, CHILLIWACK BC  V2R 4H1",604-792-7322
CHILLIWACK OPPORTUNITY SOCIETY,RESIDENTIAL GARBAGE COLLECTION - OFFICE ONLY - NON-PROFIT 106915283RR0001,4619.10135,"10135 WILLIAMS RD, CHILLIWACK BC  V2P 5H3",604-795-9260
"CHILLIWACK ORAL, FACIAL & IMPLANT SURGERY",DENTAL OFFICE,BCS2987,"303-8705 YOUNG RD, CHILLIWACK BC  V2P 4P3",604-392-8020
CHILLIWACK ORTHODONTICS (DRS. HAGHI & SEFIDPOUR INC DBA),ORTHODONTIC PRACTICE,BCS4451,"3-45610 YALE RD, CHILLIWACK BC  V2P 2N2",604-792-5722
CHILLIWACK OUTDOOR POWER EQUIPMENT LTD,SALES & SERVICE - LAWN & GARDEN EQUIP.,893.45781,"45781 ALEXANDER AVE, CHILLIWACK BC  V2P 1L6",604-792-4410
CHILLIWACK PC,COMPUTER REPAIR - CONSULTING - MOBILE SERVICES ONLY- OFFICE ONLY,NW54,"27-45215 WOLFE RD, CHILLIWACK BC  V2P 1V5",
CHILLIWACK PERSONNEL SERVICES,JOB PLACEMENT AGENCY - EMP ST 121-366 - - OFFICE ONLY,708.45424,"45424 DORELL PL, CHILLIWACK BC  V2R 3V3",604-824-6434
CHILLIWACK PEST CONTROL LTD,PEST CONTROL- NO STORAGE PERMITTED - OFFICE ONLY,965.46074,"46074 LEWIS AVE, CHILLIWACK BC  V2P 3E3",604-795-3316
CHILLIWACK PRO AUTO CARE LTD,AUTOMOTIVE MECHANICAL,200.45763,"45763 YALE RD, CHILLIWACK BC  V2P 2N5",604-792-0760
CHILLIWACK PROGRESS LTD - ADVERTISER & MARKETPLACE,PRINTER & PUBLISHER,893.45833,"104-45833 ALEXANDER AVE, CHILLIWACK BC  V2P 1L6",604-702-5550
CHILLIWACK REFINERY HOUSE HAIR STUDIO INC,HAIR & BEAUTY STUDIO,4571.05622,"5622 VEDDER RD, CHILLIWACK BC  V2R 3M7",
CHILLIWACK SCHOOL OF PERFORMING ARTS,EXTRA-CURRICULAR MUSICAL THEATRE TRAINING FOR YOUTH NON PROFIT SOCIETY #S-43361,935.45898,"45898 VICTORIA AVE, CHILLIWACK BC  V2P 2T1",604-792-9469
CHILLIWACK SECONDARY PARTY RENTALS,SCHOOL CULINARY ARTS - DISH RENTAL SERVICE,982.46361,"46361 YALE RD, CHILLIWACK BC  V2P 2P9",604-795-3110
CHILLIWACK SOCIETY FOR COMMUNITY LIVING,ADMINISTRATIVE & BUSINESS OFFICES NON-PROFIT S-4416,4565.09361,"9353 MARY ST, CHILLIWACK BC  V2P 4G9",604-792-7726
CHILLIWACK SPORTS ENTERTAINMENT LTD,SPORTS ENTERTAINMENT,912.45323,"45323 HODGINS AVE, CHILLIWACK BC  V2P 8G1",604-324-7222
CHILLIWACK TAX & BOOKKEEPING SERVICES,PREPARING TAXES AND BOOKKEEPING SERVICES,4569.07355,"2E-7355 VEDDER RD, CHILLIWACK BC  V2R 3V4",604-847-9373
CHILLIWACK TRANSPORT LTD,TRUCKING COMPANY,4439.05624,"5624 UNSWORTH RD, CHILLIWACK BC  V2R 5L1",604-349-2421
CHILLIWACK U-LOCK MINI STORAGE PARTNERSHIP,STORAGE WAREHOUSE,790.43903,"43903 INDUSTRIAL WAY, CHILLIWACK BC  V2R 4L2",604-795-2424
CHILLIWACK VALLEY RADIATOR AND AUTO SERVICE LTD,AUTOMOTIVE REPAIR/RADIATOR REPAIR,BCS440,"2-45832 ALEXANDER AVE, CHILLIWACK BC  V2P 1L5",604-792-3349
CHILLIWACK VOLKSWAGEN,VOLKSWAGEN DEALERSHIP MDL#31163,788.44615,"44615 YALE RD, CHILLIWACK BC  V2R 2H2",778-860-0808
CHILLIWACK VOLKSWAGEN,AUTO DEALER INVENTORY STORAGE,793.44698,"44698 CHALMER PLACE, CHILLIWACK BC  V2R 0H8",778-860-0808
CHILLIWACK WATER STORE LTD,BOTTLING & SALE OF PURIFIED WATER,200.45478,"103-45478 YALE RD, CHILLIWACK BC  V2R 3Z8",604-703-0456
CHILLIWACK WINDOW & DOOR INC (CHILLIWACK GLASS & DOOR INC DBA),RESIDENTIAL WINDOW & DOOR INSTALLATIONS,200.45686,"100-45686 YALE RD, CHILLIWACK BC  V2P 2N3",604-792-7718
CHILLIWACK WOOL & CRAFT SHOP,RETAIL STORE - WOOL & CRAFT,915.45723,"45717 ONTARIO AVE, CHILLIWACK BC  V2P 6S8",604-795-9281
CHILLIWACK YOUTH SOCCER ASSOCIATION #S-35721,CONCESSION NON-PROFIT #S-35721,912.45323,"45323 HODGINS AVE, CHILLIWACK BC  V2P 8G1",604-792-0090
CHILLIWAX RECORDS,NEW & USED VINYL RECORDS,959.45895,"45895 WELLINGTON AVE, CHILLIWACK BC  V2P 2C8",604-392-7090
CHIMO-CUSTOM ENGINEERED GOLF CLUBS,CUSTOM BUILT GOLF CLUBS & REPAIRS -  CUSTOM ORDERS,4487.05929,"5929 GLENDALE DR, CHILLIWACK BC  V2R 3A5",604-858-4747
CHINOOK DAIRY SERVICE LTD,DAIRY EQUIPMENT SALES & SERVICE,EPS4798,"110-43995 PROGRESS WAY, CHILLIWACK BC  V2R 0E6",604-824-4343
CHIROMEDIX,CHIROPRATIC OFFICE,4565.09132,"9132 MARY ST, CHILLIWACK BC  V2P 4J1",604-792-9171
CHIROPRACTOR RON GIESBRECHT,CHIROPRACTIC,739.45668,"1-45668 STOREY AVE, CHILLIWACK BC  V2R 3E4",604-858-9467
CHLLIWACK DENTAL CENTRE,DENTIST,NW1034,"2-9331 MARY ST, CHILLIWACK BC  V2P 4H3",604-792-0616
CHOW BELLA,DOG GROOMING,BCS2503,"5-10113 WILLIAMS RD, CHILLIWACK BC  V2P 5H3",
"CHRIS GOERTZ, RMT",REGISTERED MASSAGE THERAPIST - TQ # 08049,LMS3204,"101-7056 VEDDER RD, CHILLIWACK BC  V2R 1E3",604-858-2113
CHRISTINE CAVANAGH DESIGN,INTERIOR / EXTERIOR DESIGN CONSULTANT,800.4968,"49680 PRAIRIE CENTRAL RD, CHILLIWACK BC  V2P 6H3",604-996-3815
CHRYSTALS GARDENS,GARDEN DESIGN & MAINTENANCE - OFFICE USE ONLY,988.4575,"45750 BERKELEY AVE, CHILLIWACK BC  V2P 3N3",
CHUBB EDWARDS (UTC FIRE & SECURITY CANADA INC DBA),SECURITY ALARM SYSTEMS/SALES & SERVICE - B258,,BUSINESS-NON RESIDENT,604-296-7108
CIBC WOOD GUNDY,INVESTMENT FIRM,749.45485,"100-45485 KNIGHT RD, CHILLIWACK BC  V2R 3G3",604-824-6810
CINDY'S HAIR IN THE HOUSE,HAIR SALON - TQ # 01582-HS-04 - NO MORE THAN TWO PERSONS AT ONE TIME,987.4605,"46050 CLARKE DR, CHILLIWACK BC  V2P 3N6",
CINNAMON CITY BAKERY & CAFE,BAKERY / CAFE,762.45585,"129-45585 LUCKAKUCK WAY, CHILLIWACK BC  V2R 1A1",604-824-7752
CIRCA VINTAGE,VINTAGE & ANTIQUES,4580.0927,"9264 MAIN ST, CHILLIWACK BC  V2P 4M5",
CIRCLE SAGE MOBILE MASSAGE,MOBILE MASSAGE - OFFICE USE ONLY,BCS983,"72-6449 BLACKWOOD LANE, CHILLIWACK BC  V2R 5X5",604-791-3178
CITY 2 TRAIL DOG WALKING,DOG WALKING SERVICES - MOBILE SERVICES ONLY,4651.08747,"8747 PEARSON ST, CHILLIWACK BC  V2P 5R9",604-316-7118
CITY ELECTRIC SUPPLY CORPORATION,ELECTRICAL WHOLESALE,LMS2853,"4-44667 YALE RD, CHILLIWACK BC  V2R 4H3",604-792-9330
CJ SECURITY & COMMUNICATION LTD,LOW-VOLTAGE PRE-WIRING (ALARM.CCTV) #B5066,,BUSINESS-NON RESIDENT,
CK1 PAINTING,PAINTING CONTRACTOR,4471.05766,"5766 CANTERBURY DR, CHILLIWACK BC  V2R 3B9",604-378-2656
CLAIRE'S STORES CANADA CORP (STORE 2628),LADIES FASHION ACCESSORIES,762.45585,"15-45585 LUCKAKUCK WAY, CHILLIWACK BC  V2R 1A1",954-433-3900
CLANCY'S CHILLIWACK (0864219 BC LTD DBA ),RETAIL MEAT,600.458,"103-45800 PROMONTORY RD, CHILLIWACK BC  V2R 5Z5",604-245-2022
CLARITY COUNSELLING GROUP,COUNSELLING SERVICES,4580.09181,"211B-9181 MAIN ST, CHILLIWACK BC  V2P 4M9",604-819-2728
CLARITY ELECTRICAL SOLUTIONS,ELECTRICAL CONTRACTING - OFFICE USE ONLY,4466.05697,"5697 HACIENDA PL, CHILLIWACK BC  V2R 3K5",604-847-9250
CLASS A HEATING AND AIR CONDITIONING LTD,HEATING & AIR CONDITIONING CONTRACTOR - TQ # GA87604,889.45887,"45887 RAILWAY AVE, CHILLIWACK BC  V2P 1L4",604-795-2173
CLASSIC VINYL FENCING LTD,VINYL FENCING CONTRACTOR - OFFICE ONLY,987.48557,"48557 YALE RD, CHILLIWACK BC  V2P 6H4",604-819-8100
CLEAN ENERGY COMPRESSION (IMW INDUSTRIES LTD DBA),MANUFACTURER OF COMPESSED NATURAL GAS EQUIPMENT,640.44688,"610-44688 SOUTH SUMAS RD, CHILLIWACK BC  V2R 4B7",604-795-9491
CLEAN ENERGY FUELING SERVICES CORP,COMPRESSED NATURAL GAS REPAIR & SERVICE,893.45885,"101-45885 ALEXANDER AVE, CHILLIWACK BC  V2P 1L6",949-437-1130
CLEAN EVOLVE CLEANING SERVICES,CONTRACTOR - FLOOR CLEANING SERVICES & INSTALLATIONS,886.45411,"45411 LABELLE AVE, CHILLIWACK BC  V2P 6Z3",604-799-3801
CLEAN HOMES BY TANYA,RESIDENTIAL HOME CLEANING,962.45635,"45635 FERNWAY AVE, CHILLIWACK BC  V2P 3B2",604-760-4181
CLEAR SIGNAL INTERNET SOLUTIONS LTD,"WEB HOSTING, DESIGN, CUSTOM PROGRAMMING & COMPUTER SERVICES - OFFICE USE ONLY",EPS1247,"32-5469 CHINOOK ST, CHILLIWACK BC  V2R 0T5",
CLEARLY CLEAN CLEANING SERVICES,HOUSE AND OFFICE CLEANING,597.47275,"47275 BREWSTER PL, CHILLIWACK BC  V2R 5Z9",604-845-8900
CLEARLY CLEANING,RESIDENTIAL HOME CLEANING,LMS3192,"9-9493 BROADWAY, CHILLIWACK BC  V2P 5T8",604-316-8524
CLEARPATH LAW GROUP,LAW OFFICE,200.45619,"201-45619 YALE RD, CHILLIWACK BC  V2P 2N1",604-795-4529
CLEARVIEW DEMOLITION LTD,DEMOLITION SERVICES,4400.08285,"8285 LICKMAN RD, CHILLIWACK BC  V2R 3Z9",604-792-3330
CLEARWAY CAR & TRUCK RENTALS (CLEARWAY RENTALS INC DBA),CAR & TRUCK RENTALS,4597.08615,"104-8615 YOUNG RD, CHILLIWACK BC  V2P 4P3",604-792-9934
CLEARWEST SOLUTIONS INC,COMMUNICATIONS - CELLULAR PHONE SALES,4569.07592,"103-7592 VEDDER RD, CHILLIWACK BC  V2R 5V9",604-858-3939
CLEGG WOODCRAFTS,WOODWORKING,493.4724,"47240 GREENHILL RD, CHILLIWACK BC  V2R 4T2",604-845-2604
CLEO FASHIONS INC,RETAIL WOMEN'S CLOTHING STORE,762.45585,"41-45585 LUCKAKUCK WAY, CHILLIWACK BC  V2R 1A1",905-567-7375
CLOVERDALE PAINT INC,RETAIL PAINT & WALLPAPERING,762.45389,"305-45389 LUCKAKUCK WAY, CHILLIWACK BC  V2R 3V1",604-858-9697
CM TRAVEL LTD,TRAVEL ANGENCY LIC# 25182 - ONLINE ONLY,LMS3674,"36-5700 JINKERSON RD, CHILLIWACK BC  V2R 5N6",604-859-3931
CMA COASTAL RECREATIONS - CARSTEN ARNOLD PHOTOGRAPHY DIVISION,COMMERCIAL PHOTOGRAPHY,EPS478,"2-45741 LEWIS AVE, CHILLIWACK BC  V2P 3C5",604-219-0920
CMAK METAL WORKS LIMITED,MOBILE INSPECTION & WELDING REPAIRS OF HEAVY EQUIPMENT,LMS2486,"70-46360 VALLEYVIEW RD, CHILLIWACK BC  V2R 5L7",604-356-5030
CML CREATIONS,"LASH, MICROBLADING, PERMANANT MAKE UP TATTOOING & HAIR",4591.05645,"5645 REMINGTON CRES, CHILLIWACK BC  V2R 3W9",604-819-1621
CN ELECTRICAL,ELECTRICAL CONTRACTOR - TQ# K-04-052924,LMS1124,"6-46349 CESSNA DR, CHILLIWACK BC  V2P 1A7",604-798-1847
CNC MADNESS,ONLINE - MACHINE PARTS FOR RADIO CONTROL TOYS,548.46237,"46237 KERMODE CRES, CHILLIWACK BC  V2R 0C7",778-242-2478
CO-OPERATORS INSURANCE AGENCIES LTD,"INSURANCE - LIFE , MORTGAGE & INVESTMENT PRODUCTS",200.45955,"5-45955 YALE RD, CHILLIWACK BC  V2P 2M4",604-701-3260
COAST CAPITAL FINANCIAL MANAGEMENT LTD,LIFE INSURANCE / INVESTMENT FUNDS & RELATED PRODUCTS,762.4548,"45480 LUCKAKUCK WAY, CHILLIWACK BC  V2R 2X5",604-517-7000
COAST CAPITAL SAVINGS FEDERAL CREDIT UNION,FINANCIAL INSTITUTE,762.4548,"45480 LUCKAKUCK WAY, CHILLIWACK BC  V2R 2X5",604-824-4444
COAST CHILLIWACK HOTEL,"HOTEL ACCOMMODATION, RESTAURANT/CATERING & MEETING FACILITIES",925.4592,"45920 FIRST AVE, CHILLIWACK BC  V2P 7K1",604-792-5552
COAST HOSE & FITTINGS CHILLIWACK LTD,HYDRAULIC & INDUSTRIAL HOSE FITTINGS,4570.08375,"B-8375 NOBLE RD, CHILLIWACK BC  V2P 7X7",
COAST MOUNTAIN TIMBER FRAMES LTD,FRAMING - CONSTRUCTION - OFFICE USE ONLY,997.47282,"47282 SWALLOW PL, CHILLIWACK BC",
COAST TIMBER & FRAME LOG LTD,LOGBUILDING AND TIMBER STRUCTURES,LMS2649,"5-44565 YALE RD, CHILLIWACK BC  V2R 4H2",604-847-9914
COBRADOR KENNELS,COMMERCIAL KENNEL - 18 DOGS MAXIMUM,800.49422,"49422 PRAIRIE CENTRAL RD, CHILLIWACK BC  V2P 6H3",604-997-5504
COBS BREAD,RETAIL BAKERY,762.45585,"204-45585 LUCKAKUCK WAY, CHILLIWACK BC  V2R 1A1",604-824-9269
COCO CAFE,COFFEE CAFE,LMS2500,"104-5960 TYSON RD, CHILLIWACK BC  V2R 3R5",604-846-3679
COCOMERO LASER & SKIN CARE,ESTHETICS SALON (LASER HAIR REMOVAL & SKIN CARE),440.42516,"42516 YARROW CENTRAL RD, CHILLIWACK BC  V2R 5C6",604-823-2366
COCONUT THAI RESTAURANT INC,RESTAURANT,4569.07355,"6-7355 VEDDER RD, CHILLIWACK BC  V2R 3V4",604-846-4489
COHESIVE MECHANICAL CONTRACTING LTD,PLUMBING & HEATING CONTRACTOR LIC# K-16-087-341 / LIC #00055-PL-14,BCS1111,"6-46058 BRIDLE RIDGE CRES, CHILLIWACK BC  V2R 5Z4",604-997-3372
COL-RIC ENTERPRISES LTD,LANDSCAPE CONTRACTOR & BOBCAT SERVICE,4495.05877,"5877 CAMBRIDGE ST, CHILLIWACK BC  V2R 2Z2",604-290-8845
COLES BOOK STORES LTD,RETAIL - BOOKSTORE & GIFTS,762.45585,"44-45585 LUCKAKUCK WAY, CHILLIWACK BC  V2R 1A1",905-789-1234
COLEWOOD HOME IMPROVEMENTS,HOME IMPROVEMENT / HANDYMAN SERVICES - OFFICE USE ONLY,4734.06179,"6179 REXFORD DRIVE, CHILLIWACK BC  V2R 0L3",604-316-5281
COLLIERS PROJECT LEADERS INC,PROJECT FIRM MANAGEMENT,,BUSINESS-NON RESIDENT,604-692-1103
COLUMBUS MANOR CHILLIWACK,NON-PROFIT RENTAL APARTMENT (52 UNITS),4556.0898,"8980 EDWARD ST, CHILLIWACK BC  V2P 4E1",604-793-0452
COMBINED PAINTING (1985) LTD,PAINTING  CONTRACTOR,,BUSINESS-NON RESIDENT,604-254-8254
COMFORT INN,83 UNIT MOTEL,762.45405,"45405 LUCKAKUCK WAY, CHILLIWACK BC  V2R 3C7",604-858-0686
COMMON EXCHANGE (2006) LTD,SECOND HAND STORE & PAWN SHOP - non-conforming,935.46041,"46041 VICTORIA AVE, CHILLIWACK BC  V2P 2T9",604-795-5511
COMMUNITAS SUPPORTIVE CARE SOCIETY,DROP IN & TRANSITION SUPPORT SERVICES FOR BRAIN INJURY - NON PROFIT #S-29358,959.45825,"45825 WELLINGTON AVE, CHILLIWACK BC  V2P 2E1",604-850-6608
COMMUNITAS SUPPORTIVE CARE SOCIETY,SPECIALIZED RESIDENTIAL CARE FACILITY - NON-PROFIT - S-29358,749.45438,"45438 KNIGHT RD, CHILLIWACK BC",604-824-6164
COMMUNITAS SUPPORTIVE CARE SOCIETY - FIRST AVE,ASSISTED LIVING FACILITY- 8 RENTAL UNITS - NON-PROFIT - S-29358,NWS3387,"4-46433 FIRST AVE, CHILLIWACK BC  V2P 1X1",604-792-2305
COMMUNITY DIRECT DELIVERY,MESSENGER/COURIER SERVICE,4597.08337,"12-8337 YOUNG RD, CHILLIWACK BC  V2P 4N8",604-819-8838
COMMUNITY FUTURES DEVELOPMENT CORPORATION OF SOUTH FRASER,FEDERALLY FUNDED NOT FOR PROFIT ORGANIZATION #8748,982.46167,"303-46167 YALE RD, CHILLIWACK BC  V2P 2P2",604-392-5133
COMMUNITY THERAPISTS (1998) INC,OCCUPATIONAL THERAPY,,BUSINESS-NON RESIDENT,604-681-9293
CONCEPT PLUMBING AND GAS LTD,PLUMBING #0580-PL-97 & GAS CONTRACTOR  #24906,382.42452,"42452 HIGHLAND DR, CHILLIWACK BC  V2R 5H2",888-228-9608
CONDOR LAND SURVEYING LTD,LAND SURVEYING OFFICE,749.45515,"A-45515 KNIGHT RD, CHILLIWACK BC  V2R 5L2",604-858-6349
CONNECT HEARING,HEARING AID DISPENSER,4565.09123,"106-9123 MARY ST, CHILLIWACK BC  V2P 4H7",604-793-0277
CONNECTIONS CAFE,FOOD SERVICE CONTRACTOR / HOUSEKEEPING SERVICES,903.456,"45600 MENHOLM RD, CHILLIWACK BC  V2P 1P7",604-702-2859
CONTACT SECURITY INC,SECURITY ALARMS - B3056 / VACUUM INSTALLATIONS,794.4514,"45140 YALE RD, CHILLIWACK BC  V2R 4H1",604-792-8055
CONTROL SOLUTIONS LTD,"CERTIFIED CONTRACTOR, GAS/ELECTRICAL LIC#24027",,BUSINESS-NON RESIDENT,604-521-9282
CONTROLLED BOLTING EQUIPMENT BC INC,SALES & DISTRIBUTION OF INDUSTRIAL TORGUE TOOLS / WAREHOUSING,793.43881,"302-43881 PROGRESS WAY, CHILLIWACK BC  V2R 0E6",604-392-2658
COOKIES GRILL,RESTAURANT,788.44335,"A-3-44335 YALE RD, CHILLIWACK BC  V2R 4H2",604-792-0444
COOPER EQUIPMENT RENTALS,EQUIPMENT RENTALS & SALES,862.45905,"101-45905 HOCKING AVE, CHILLIWACK BC  V2P 1B5",604-792-3667
COPPERWEST ELECTRIC LTD,ELECTRICAL SERVICE & INSTALLATIONS FSR#224826,870.434,"43400 ALAMEDA DR, CHILLIWACK BC  V2R 0J9",604-308-6266
CORKY'S IRISH PUB (1169327 BC LTD DBA),PUB / BAR,NW2409,"3-45844 YALE RD, CHILLIWACK BC  V2P 2N8",604-795-2331
CORKY'S LIQUOR BIN (1149761 BC LTD DBA),RETAIL LIQUOR STORE - LIC#195150,NW2409,"3-45844 YALE RD, CHILLIWACK BC  V2P 2N8",604-795-2323
CORNER BROOK CONTRACTING,MOBILE HOME SETUP / GENERAL CONSTRUCTION,4664.09172,"9172 ARMITAGE ST, CHILLIWACK BC  V2P 1X3",604-391-1125
CORNER KICK CONCESSIONS (DBA) LIL JOE'S,FOOD TRUCK - FVA 2022,794.45446,"45446 YALE RD, CHILLIWACK BC",
CORNER KICK CONCESSIONS (DBA) LIL JOE'S SMOKIES AND DOGS,FOOD CONCESSION HOME OFFICE & EVENTS ONLY,971.45593,"45593 HERRON AVE, CHILLIWACK BC  V2P 3G8",604-316-6150
CORNER NOOK CAFE,FOOD AND BEVERAGE RESTAURANT CAFE,4597.0902,"6-9020 YOUNG RD, CHILLIWACK BC  V2P 4R8",604-792-6898
CORNERSTONE ORTHODONTIC LABORATORY INC,ORTHODONTIC DENTAL LABORATORY - DENTAL APPLIANCE MAKING,4569.07084,"104-7084 VEDDER RD, CHILLIWACK BC  V2R 1E3",604-846-0650
CORNERSTONE PARK REALTY,BOOKKEEPING FOR STRATA,4596.05314,"5314 ABBEY CRES, CHILLIWACK BC  V2R 0J6",
CORRINA ARNOLD COUNSELLING,COUNSELLING RCC#2515,4578.08451,"A-8451 HARVARD PL, CHILLIWACK BC  V2P 7Z5",604-316-3585
COSMETIC EDGE DENTAL LAB,DENTAL LAB,4835.08896,"8896 COPPER RIDGE DR, CHILLIWACK BC  V2R 5V2",604-402-0399
COSMOS SECURITY INC.,SECURITY GUARD SERVICE,908.46163,"46163 THIRD AVE, CHILLIWACK BC  V2P 1R7",
COSY G,HAND MADE SOAP,4487.05925,"5925 GLENDALE DR, CHILLIWACK BC  V2R 3A5",604-845-2780
COTTONWOOD APARTMENTS,RESIDENTAIL RENTAL (18 UNITS),739.45663,"45663 STOREY AVE, CHILLIWACK BC  V2R 3K4",778-738-2220
COTTONWOOD AUTO GLASS INC,AUTO GLASS REPAIR & REPLACEMENT,762.4545,"4-45450 LUCKAKUCK WAY, CHILLIWACK BC  V2R 3P4",604-705-2886
COTTONWOOD CENTRE LOTTERY TICKET CENTRE (BURD ENT & BOB BURD DBA),LOTTERY & EVENT TICKETS,762.45585,"100-45585 LUCKAKUCK WAY, CHILLIWACK BC  V2R 1A1",604-858-4838
COTTONWOOD MALL DENTAL CENTRE,DENTAL OFFICE,762.45585,"35-45585 LUCKAKUCK WAY, CHILLIWACK BC  V2R 1A1",604-858-8171
COTTONWOOD MALL LIMITED PARTNERSHIP (DBA) WARRINGTON P.C.I. MANAGEMENT,SHOPPING CENTER,762.45585,"53-45585 LUCKAKUCK WAY, CHILLIWACK BC  V2R 1A1",604-331-5203
COTTONWOOD MEADOWS RV COUNTRY CLUB (GOLDEN KEY RESORT LTD DBA),RV PARK (100 UNITS),762.4428,"44280 LUCKAKUCK WAY, CHILLIWACK BC  V2R 4A7",604-824-7275
COTTONWOOD RETIREMENT VILLAGE,RETIREMENT VILLAGE COMPLEX - 63 UNITS,4507.0761,"7610 EVANS RD, CHILLIWACK BC  V2R 2T4",604-266-7444
COTTONWOOD RV SALE & SERVICE LTD,RV DEALERSHIP - MDL #30307,788.44775,"44775 YALE RD, CHILLIWACK BC  V2R 4H3",604-792-7771
COUNTING SHEEP FAMILY DAYCARE,LICENSED FAMILY DAYCARE - MAX 7 CHILDREN,4581.09864,"9864 BARBER DR, CHILLIWACK BC  V2P 4G7",604-701-6247
COUNTRY BLOOM AGRICULTURE SUPPLY LTD.,GREENHOUSE SUPPLIES,788.44322,"3-44322 YALE RD, CHILLIWACK BC  V2R 4H1",604-798-5875
COUNTRY CRAFT EXTREME BOAT SPORTS,BOAT SALES,440.4242,"42420 YARROW CENTRAL RD, CHILLIWACK BC",604-823-2336
COUNTRY GARDENS LTD,GARDEN CENTRE/NURSERY,4598.10015,"10015 YOUNG RD, CHILLIWACK BC  V2P 4V4",604-792-6612
COUNTRY KIDS CHILDCARE CENTRE,CHILDCARE CENTRE - MAXIMUM CAPACITY 85,974.5085,"50850 YALE RD, CHILLIWACK BC  V0X 1X0",604-378-0300
COUNTRY LANE APARTMENTS,APARTMENT/HOTEL (17 UNITS),982.46765,"46765 YALE RD, CHILLIWACK BC  V2P 2S3",604-281-4774
COUNTRY WEST SUPPLY LTD,RETAIL FARM & PET SUPPLIES,4507.07665,"7669 EVANS RD, CHILLIWACK BC  V2R 3P6",604-847-3737
COUNTRYROSE RUSTIC DECOR,RUSTIC FARM DECOR - ONLINE SALES,987.48711,"48711 YALE RD, CHILLIWACK BC  V2P 6H4",604-845-0539
COWLICKS & PIGTAILS CHILDCARE,LICENCED DAYCARE MAX 8,859.46057,"46057 SOUTHLANDS DR, CHILLIWACK BC  V2P 1B6",604-798-0590
COZY BEAR CHILD CARE,MULTI-AGE CHILD CARE,968.46527,"46527 PORTAGE AVE, CHILLIWACK BC  V2P 3G3",
CPI CHILLIWACK PROPERTY IMPROVEMENTS,RESIDENTIAL REPAIR & RENOVATIONS - OFFICE USE ONLY,4533.07143,"7143 CIRCLE DR, CHILLIWACK BC  V2R 2S4",604-356-8654
CPL-CONTRACTING,CONTRACTING AS OPERATOR,4260.07182,"7182 SUMAS PRAIRIE RD, CHILLIWACK BC  V2R 4K1",604-791-3540
CR SABERS,COLLECTABLE LIGHT SABERS & CLASSES,982.46257,"2-46257 YALE RD, CHILLIWACK BC  V2P 2P5",604-700-6837
CRAFTSMAN COLLISION (1981) LTD,AUTO BODY REPAIR,200.45956,"45956 YALE RD, CHILLIWACK BC  V2P 2M3",604-795-3454
CRAWFORD FAMILY MEDIATION & LAW CORPORATION,LAW PRACTICE,762.4548,"204-45480 LUCKAKUCK WAY, CHILLIWACK BC  V2R 2X5",604-858-9971
CRAZY STORK CREATIONS,NEW BORN BABY GIFTS AND GIFT BASKETS,BCS1569,"1-9789 WILLIAMS ST, CHILLIWACK BC  V2P 5G8",604-997-3793
CREAM OF THE CROP ENRICHED LEARNING & CHILDCARE CENTRE LTD,DAYCARE MAX 33 - BIRTHDAY PARTIES ON WEEKENDS,4666.09718,"1-9718 MENZIES ST, CHILLIWACK BC  V2P 5Z7",604-402-2273
CREATE SPACE HAIR CO. INC.,BEAUTY SALON PROVIDING HAIR STYLIST SERVICES,4591.0934,"B-9340 MILL ST, CHILLIWACK BC  V2P 4N2",778-887-0225
"CREATIVE KIDS LEARNING CENTERS CHRISTIAN, STEVEN",CHILDCARE FACILITY - MAXIMUM CAPACITY 114,4569.0664,"6640 VEDDER RD, CHILLIWACK BC  V2R 0J2",604-560-5002
