X,Y,FID,PropertyNumber,Business_Name,Civic_Unit,Civic_House,Civic_Street,Mailing_Address,GISLink,CommunityName,Phone,Licence_Desc,Category,Category_Desc,Detail,Detail_Desc,NAICS_Primary,NAICS_Primary_Desc,Approved_Date,Permitted_Use,Permitted_Use_Desc,Seasonal_Employees,PartTime_Employees,FullTime_Employees,Latitude,Longitude
,,873,136578,ONNI CONTRACTING LTD,,,OUT OF TOWN,"200 1010 SEYMOUR ST 
VANCOUVER BC  V6B 3M6",136578,,,GENERAL CONTRACTOR,22,CONTRACTOR - GENERAL,RES & COM,RESIDENTIAL & COMMERCIAL,236110,Construction / Construction of buildings / Residential building construction / Residential building construction / Residential building construction,,97,,0,0,0,,
-13632657.53,6289726.438,874,132288,S DHILLON CUSTOM HOMES,,27432,48 AVE,"27432 48 AVE 
LANGLEY BC  V4W 1S1",132288,,604-807-2928,RESDIENTIAL GENERAL CONTRACTOR,22,CONTRACTOR - GENERAL,SFD,SINGLE FAMILY DWELLING,236110,Construction / Construction of buildings / Residential building construction / Residential building construction / Residential building construction,,,,0,0,1,49.08752978,-122.4642463
-13633323.09,6284752.428,875,132199,7-ELEVEN CANADA INC,,27211,FRASER HWY,"27211 FRASER HWY 
LANGLEY BC  V4W 3P9",132199,Aldergrove,1-877-711-4422,CONVENIENCE STORE,36,GASOLINE/OIL,GAS BAR/CO,GAS BAR/CONVENIENCE STORE,447110,Retail trade / Gasoline stations / Gasoline stations / Gasoline stations with convenience stores / Gasoline stations with convenience stores,,344,,0,0,10,49.05825849,-122.470225
-13636543.22,6285233.535,876,143435,VELOX MANUFACTURING INC,15,26157,FRASER HWY,"15-26157 FRASER HWY 
LANGLEY BC  V4W 2W8",143435,Aldergrove,604-209-5367,POWER WHEELCHAIR ASSEMBLY,54,MANUFACTURERS,MACHINERY,MACHINERY,333310,Manufacturing / Machinery mfg. / Commercial & service industry machinery mfg. / Commercial & service industry machinery mfg. / Commercial & service industry machinery mfg.,,,,0,0,2,49.06109048,-122.4991519
-13655639.8,6296515.691,877,139228,CAPITAL GRID SERVICES CORP,,6857,199A ST,"6857 199A ST 
LANGLEY BC  V2Y 3B7",139228,Willoughby,778-960-6063,MOBILE UTILITY INSPECTION & SAFETY SERVICES,23,CONTRACTOR - MISC,UTILITY,UTILITY INSTALLATION,221121,"Utilities / Utilities / Electricity generation, transmission & dist. / Electric power transmission, control & dist. / Electric bulk power transmission & control",,,,0,4,1,49.12745567,-122.6706995
-13632453.74,6284531.21,878,136406,SUBWAY,,27544,FRASER HWY,"27544 FRASER HWY 
LANGLEY BC  V4W 3N5",135589,Aldergrove,604-607-0299,FAST FOOD RESTAURANT,73,RESTAURANTS,SANDWICH,SANDWICH,722511,Accommodation & food services / Food services & drinking places / Full-serv. rest. & limited-serv. eating place / Full-serv. rest. & limited-serv. eating place / Full-service restaurants,,,,0,4,3,49.05695625,-122.4624156
-13654203.64,6295846.501,879,113625,PEREGRINE HOUSE SCHOOL,,20381,66 AVE,"20381 66 AVE 
LANGLEY BC  V2Y 1P3",113625,Willoughby,604-719-6809,GROUP DAY CARE FOR A MAXIMUM OF 44 CHILDREN,25,DAY CARE,PRESCHOOL,PRESCHOOL/DAY CARE,624110,Health care & social assistance / Social assistance / Individual & family services / Child & youth services / Child & youth services,,,,3,2,3,49.12352176,-122.6577982
,,880,136578,DAVEY TREE EXPERT COMPANY OF CANADA LTD,,,OUT OF TOWN,"1210 550 SHERLING PL 
PORT COQUITLAM BC  V3B 0J6",136578,,604-525-2503,"TREE REMOVAL, PRUNING & OTHER TREE CARE SERVICES",21,CONTRACTOR,LAND,LANDSCAPING,561730,"Admin., support, waste mgmt & remed. services / Administrative & support services / Services to buildings & dwellings / Landscaping services / Landscaping services",,,,0,0,14,,
-13633046.88,6284071.426,881,143764,ON THE VERGE,8,2865,273 ST,"8 2865 273 ST 
LANGLEY BC  V4W 0A7",143764,Aldergrove,604-836-8792,FREELANCE PHOTOGRAPHY,63,PHOTOGRAPHERS,1,NOT USED,541920,"Professional, scientific & technical services / Professional, scientific & technical services / Other prof., scientific & technical services / Photographic services / Photographic services",,,,0,1,0,49.05424955,-122.4677438
-13654842.16,6306920.569,882,139987,MJ METAL PRODUCTS LTD,2,20120,102B AVE,"2-20120 102B AVE 
LANGLEY BC  V1M 3G9",139987,,604-291-1914,MACHINE SHOP & METAL FABRICATION,42,INDUSTRIAL,MAC SHOP,MACHINE SHOP,332710,"Manufacturing / Fabricated metal product mfg. / Machine shops, turned product & related mfg. / Machine shops / Machine shops",,,,,0,9,49.1885818,-122.6635341
-13655109.54,6302163.986,883,150159,ZANCOPE NOTARY PUBLIC,200,8661,201 ST,"200-8661 201 ST 
LANGLEY BC  V2Y 0G9",148252,Willoughby,604-260-6783,NOTARY PUBLIC,65,PROFESSIONALS,LAWYERS,LAWYER,541110,"Professional, scientific & technical services / Professional, scientific & technical services / Legal services / Offices of lawyers / Offices of lawyers",,,,0,0,1,49.16064739,-122.6659361
-13634697.3,6292199.634,884,130309,CPC ENTERPRISES INC,,5505,268 ST,"5505 268 ST 
LANGLEY BC  V4W 3W1",130309,Gloucester,778-319-9305,WATER BOTTLING AND TRADING SERVICE,97,WATER SERVICES,WATER,SUPPLY OF WATER,488390,Transportation & warehousing / Support activities for transportation / Support activities for water transportation / Other support activities for water transport / Other support activities for water transport,,,,0,3,12,49.10207774,-122.4825698
-13635293.19,6284414.857,885,111814,MAID IN THE VALLEY SERVICES INC,,26572,29B AVE,"26572 29B AVE 
LANGLEY BC  V4W 3B5",111814,Aldergrove,778-242-3940,RESIDENTIAL & COMMERCIAL CLEANING SERVICES,18,CLEANING SERVICES,JANITORIAL,JANITORIAL,561722,"Admin., support, waste mgmt & remed. services / Administrative & support services / Services to buildings & dwellings / Janitorial services / Janitorial services (exc. window cleaning)",,,,0,5,0,49.05627131,-122.4879228
-13651116.04,6282400.376,886,100224,550 TRANSPORT LTD,,21426,24 AVE,"21426 24 AVE 
LANGLEY BC  V2Z 2A8",100224,,604-613-2402,OFFICE FOR MOBILE TRUCK & EQUIPMENT REPAIR,89,"TRUCKING, EXPRESS, CARTAGE",COMMERCIAL,COMMERCIAL,484121,"Transportation & warehousing / Truck transportation / General freight trucking / General freight trucking, long distance / General trucking, long distance, truck-load",,,,0,0,2,49.04441101,-122.6300618
-13645677.68,6303504.889,887,152484,FORT SPORT AND FAMILY PHYSIO,203,23160,96 AVE,"203 23160 96 AVE 
LANGLEY BC  V1M 2R6",152484,Fort Langley,still to come,OUT-PATIENT REHABILITATION SERVICES,65,PROFESSIONALS,REHAB,REHABILITATION,621499,Health care & social assistance / Ambulatory health care services / Out-patient care centres / Other out-patient care centres / All other out-patient care centres,,,,0,2,2,49.16852382,-122.5812082
-13632580.22,6284603.477,888,130108,VANCOUVER BUYSELL TIRES LTD,,27482,FRASER HWY,"27482 FRASER HWY 
LANGLEY BC  V4W 3N4",130108,Aldergrove,778-388-3428,AUTO SHOP & BASIC MECHANICS,8,AUTOMOTIVE,REPAIR,REPAIR,811111,Other services (exc. Public administration) / Repair & maintenance / Automotive r&m / Automotive mechanical & electrical r&m / General automotive repair,,,,0,0,2,49.05738167,-122.4635517
-13656205.12,6294381.154,889,123053,BELOW THE BELT,236,19705,FRASER HWY,"236-19705 FRASER HWY 
LANGLEY BC  V3A 7E9",114834,Willowbrook,604-427-1097,MENS AND WOMENS CLOTHING STORE,74,RETAIL MERCHANTS,CLOTHING,CLOTHING STORE,448140,Retail trade / Clothing & clothing accessories stores / Clothing stores / Family clothing stores / Family clothing stores,,,,0,6,3,49.11490646,-122.6757778
-13656374.19,6304993.176,890,116887,BRENT GAGNON,1,19695,96 AVE,"1-19695 96 AVE 
LANGLEY BC  V1M 3E1",116887,,604-533-2268,TRUCKING - STORAGE,89,"TRUCKING, EXPRESS, CARTAGE",COMMERCIAL,COMMERCIAL,484121,"Transportation & warehousing / Truck transportation / General freight trucking / General freight trucking, long distance / General trucking, long distance, truck-load",,,,0,0,1,49.17726452,-122.6772966
-13655233.11,6301791.053,891,140886,LANGLEY DENTAL CENTRE,3,8590,200 ST,"3 8590 200 ST 
LANGLEY BC  V2Y 2B9",135746,Willoughby,604-455-6247,DENTAL OFFICE,65,PROFESSIONALS,DENTIST,DENTIST,621210,Health care & social assistance / Ambulatory health care services / Offices of dentists / Offices of dentists / Offices of dentists,,,,,2,1,49.15845657,-122.6670461
,,892,136578,TALIUS,,,OUT OF TOWN,"4 200 GOLDEN DR 
COQUITLAM BC  V3K 6M8",136578,,1-250-832-7777,SALES & INSTALLATION OF ROLLSHUTTERS & HABITAT SCREENS,21,CONTRACTOR,WINDOW,WINDOW INSTALLATIONS,332321,Manufacturing / Fabricated metal product mfg. / Architectural & structural metals mfg. / Ornamental & architectural metal product mfg. / Metal window & door mfg.,,,,2,0,8,,
-13647452,6305664.754,893,111097,GEOFORCE ENERGY,,9812,MCKINNON CRES,"9812 MCKINNON CRES 
LANGLEY BC  V1M 3V6",111097,,604-897-3411,"BUILDING, RENOS, HVAC, PLUMBING & GAS",22,CONTRACTOR - GENERAL,SFD,SINGLE FAMILY DWELLING,,,,9,,0,2,1,49.18120819,-122.5971472
-13656362.16,6305690.818,894,155153,R R PLETT TRUCKING LTD,BLDG  A,19675,98 AVE,"BLDG A 19675 98 AVE 
LANGLEY BC  V1M 2X5",116901,,604-513-9920,TRUCKING & DISPATCH,89,"TRUCKING, EXPRESS, CARTAGE",COMMERCIAL,COMMERCIAL,484110,"Transportation & warehousing / Truck transportation / General freight trucking / General freight trucking, local / General freight trucking, local",,,,0,0,9,49.18136124,-122.6771885
,,895,136578,SAJO INC,,,OUT OF TOWN,"1320 GRAHAM BLVD 
MOUNT ROYAL PQ  H3P 3C8",136578,,514-385-0333,COMMERCIAL GENERAL CONTRACTOR,22,CONTRACTOR - GENERAL,COM,COMMERCIAL BUILDINGS,,,,97,,0,0,0,,
-13652144.71,6288531.013,896,114670,ERIN SELINGER RMT,,21085,43 AVE,"21085 43 AVE 
LANGLEY BC  V3A 7M9",114670,Brookswood / Fernridge,604-996-6638,REGISTERED MASSAGE THERAPY,60,PERSONAL SERVICES,MASSAGE,MASSAGE,621340,Health care & social assistance / Ambulatory health care services / Offices of other health practitioners / Physical & speech therapists & audiologists / Physical & speech therapists & audiologists,,,,0,0,1,49.08049646,-122.6393025
,,897,136578,BOGDONOV PAO ASSOCIATES LTD,,,OUT OF TOWN,"1656 W EIGHT AVE 
VANCOUVER BC  V6J 1V4",136578,,604-876-4377,STRUCTURAL ENGINEERS,20,CONSULTING,ENG,ENGINEERING,541330,"Professional, scientific & technical services / Professional, scientific & technical services / Architectural, engineering & related services / Engineering services / Engineering services",,,,0,0,20,,
-13643868.85,6292994.152,898,120479,GLEN VALLEY ELECTRIC LTD,,5750,237A ST,"5750 237A ST 
LANGLEY BC  V2Z 1A6",120479,,778-552-3934,ELECTRICAL CONTRACTOR,21,CONTRACTOR,ELECTRIC,ELECTRICAL,238210,Construction / Specialty trade contractors / Building equipment contractors / Electrical & other wiring contractors / Electrical & other wiring contractors,,9,,0,0,1,49.10675039,-122.5649592
-13655870.77,6304877.468,899,148228,THE CIRCUS LAB INC,B5,19840,96 AVE,"B5 19840 96 AVE 
LANGLEY BC  V1M 3C1",115768,,604-357-5277,CIRCUS TRAINING FACILITY,69,RECREATION,FITNESS,FITNESS,71394,"Arts, entertainment & recreation / Amusement, gambling & recreation industries / Other amusement & recreation industries / Fitness & recreational sports centres",,,,6,0,0,49.17658503,-122.6727743
-13653269.09,6286396.367,900,126696,CITY GATE HOMES,,3623,207B ST,"3623 207B ST 
LANGLEY BC  V3A 2G2",126696,Brookswood / Fernridge,604-534-9525,BUILDER/DEVELOPER,21,CONTRACTOR,BLDG,BUILDING,236110,Construction / Construction of buildings / Residential building construction / Residential building construction / Residential building construction,,,,0,0,1,49.06793472,-122.649403
-13632855.21,6291657.628,901,145599,AISCO INDUSTRIAL SUPPLY LTD,5,5352,273A ST,"5-5352 273A ST 
LANGLEY BC  V4W 0A9",140969,Gloucester,604-546-6100,WHOLESALE JANITORIAL SUPPLIES,99,WHOLESALE MERCHANT,IND SUP,INDUSTRIAL SUPPLIES,561722,"Admin., support, waste mgmt & remed. services / Administrative & support services / Services to buildings & dwellings / Janitorial services / Janitorial services (exc. window cleaning)",,,,0,0,3,49.09888989,-122.466022
-13645361.78,6303650.501,902,142410,CHUCKLING DUCKLING FARM,100,9188,GLOVER RD,"100-9188 GLOVER RD 
LANGLEY BC  V1M 2R6",140243,Fort Langley,778-938-9127,"BATH, BODY AND HOME RETAIL STORE",74,RETAIL MERCHANTS,BEAUTY,BEAUTY PRODUCTS,446199,Retail trade / Health & personal care stores / Health & personal care stores / Other health & personal care stores / All other health & personal care stores,,,,0,2,1,49.16937907,-122.5783704
-13655459.11,6304717.421,903,150827,GREATER VANCOUVER POWERSPORTS (GVP),A,9517,200 ST,"A-9517 200 ST 
LANGLEY BC  V1M 3A6",148804,,604-888-8700,"SALES, PARTS AND SERVICE OF RECREATIONAL VEHICLES",92,VEHICULAR,SALES,VEHICLE SALES,441110,Retail trade / Motor vehicle & parts dealers / Automobile dealers / New car dealers / New car dealers,,,,0,0,19,49.17564514,-122.6690763
-13652425.74,6302609.986,904,140245,BC AMATEUR SOFTBALL ASSOCIATION,LEASE1,8889,WALNUT GROVE DR,"8889 WALNUT GROVE DR 
LANGLEY BC  V3A 7T2",140245,Walnut Grove,,BC AMATEUR SOFTBALL ASSOCIATION,58,NON-PROFIT,SOCIETY,SOCIETY,81391,"Other services (exc. Public administration) / Religious, grant-making, civic & similar orgs / Business, prof., labour & other member. orgs / Business associations",,,,0,3,2,49.16326733,-122.6418271
-13639068.8,6280672.565,905,117225,SECOND BROTHER MUSHROOM FARM LTD.,,25359,16 AVE,"25359 16 AVE 
LANGLEY BC  V4W 2R7",117225,,,OFFICE,30,FARMS/FARM PRODUCTS,FARMS,FARMS,111411,"Agriculture, forestry, fishing & hunting / Crop production / Greenhouse, nursery & floriculture production / Food crops grown under cover / Mushroom production",,,,0,0,18,49.03423623,-122.5218397
,,906,136578,NONIS ELECTRICAL SERVICES INC,,,OUT OF TOWN,"304 255 NEWPORT DR 
PORT MOODY BC  V3H 5H1",136578,,604-469-2726,ELECTRICAL SERVICES,21,CONTRACTOR,ELECTRIC,ELECTRICAL,238210,Construction / Specialty trade contractors / Building equipment contractors / Electrical & other wiring contractors / Electrical & other wiring contractors,,,,0,0,10,,
-13653895.04,6302359.112,907,104398,WALNUT GROVE PUB,,20470,88 AVE,"20470 88 AVE 
LANGLEY BC  V1M 2Y6",104398,Walnut Grove,604-600-1297,PUB AND RESTAURANT,66,PUBS,PUB,PUB,722410,Accommodation & food services / Food services & drinking places / Drinking places (alcoholic beverages) / Drinking places (alcoholic beverages) / Drinking places (alcoholic beverages),,,,0,4,3,49.16179364,-122.655026
-13652978.92,6299857.694,908,113627,COUNTRY BUMKINS CHILDREN'S CENTRE - WILLOUGHBY,,20766,80 AVE,"20766 80 AVE 
LANGLEY BC  V2Y 1X6",113627,Willoughby,778-887-4317,PRESCHOOL & DAYCARE - MAXIMUM OF 24 CHILDREN,25,DAY CARE,PRESCHOOL,PRESCHOOL/DAY CARE,624110,Health care & social assistance / Social assistance / Individual & family services / Child & youth services / Child & youth services,,,,0,5,0,49.14709735,-122.6467963
-13655732.15,6300237.058,909,150797,CENTER LINE WALL AND CEILING LTD,102,8047,199 ST,"102-8047 199 ST 
LANGLEY BC  V2Y 0E2",150797,Willoughby,604-546-7476,"CEILING, FRAMING, INSULATION AND DRYWALL",22,CONTRACTOR - GENERAL,RES & COM,RESIDENTIAL & COMMERCIAL,236220,Construction / Construction of buildings / Non-residential building construction / Commercial & inst. building construction / Commercial & inst. building construction,,,,0,0,4,49.14932646,-122.6715291
-13648593.69,6290204.282,910,126222,HOLMES DEN,301B,22259,48 AVE,"301B-22259 48 AVE 
LANGLEY BC  V3A 8T1",133347,Murrayville,604-992-6285,SMOKESHOP,74,RETAIL MERCHANTS,CONVSTORE,CONVENIENCE STORE,413310,"Wholesale trade / Food, beverage & tobacco whl. / Cigarette & tobacco product whl. / Cigarette & tobacco product whl. / Cigarette & tobacco product whl.",,,,0,0,1,49.09034091,-122.6074032
-13655463.08,6294766.335,911,130785,WILLOWBROOK HUSKY,,6295,200 ST,"6295 200 ST 
LANGLEY BC  V2Y 1A2",130785,Willowbrook,604-533-3112,GAS BAR AND CONVIENCE STORE,36,GASOLINE/OIL,GAS BAR/CO,GAS BAR/CONVENIENCE STORE,447110,Retail trade / Gasoline stations / Gasoline stations / Gasoline stations with convenience stores / Gasoline stations with convenience stores,,,,0,6,4,49.11717122,-122.669112
,,912,136578,SANDHILL DEVELOPMENT (LANGLEY) LTD,,,OUT OF TOWN,"228 11020 NO 5 RD 
RICHMOND BC  V7A 4E7",136578,,604-271-6296,LAND DEVELOPMENT / RESIDENTIAL & COMMERCIAL CONSTRUCTION,21,CONTRACTOR,BLDG,BUILDING,236,Construction / Construction of buildings,,,,,,10,,
-13651539.02,6302505.388,913,121742,TT NAILS,103,21183,88 AVE,"103-21183 88 AVE 
LANGLEY BC  V1M 2G5",106531,Walnut Grove,604-455-0144,NAIL SALON,60,PERSONAL SERVICES,NAIL,NAILS,812115,Other services (exc. Public administration) / Personal & laundry services / Personal care services / Hair care & esthetic services / Beauty salons,,,,0,0,3,49.1626529,-122.6338615
-13643731.61,6282632.249,914,120009,FLYING KITES CHILDCARE (WIX BROWN),,23851,24 AVE,"23851 24 AVE 
LANGLEY BC  V2Z 3A3",120009,,604-308-1446,BEFORE & AFTER SCHOOL CARE & PRESCHOOL - MAX OF 25 CHILDREN,25,DAY CARE,PRESCHOOL,PRESCHOOL/DAY CARE,624410,Health care & social assistance / Social assistance / Child day-care services / Child day-care services / Child day-care services,,,,0,0,2,49.04577631,-122.5637264
-13651597.16,6292505.377,915,145421,PRECISION GEOSURVEYS INC,42,21330,56 AVE,"42-21330 56 AVE 
LANGLEY BC  V2Y 0E5",145421,Murrayville,604-484-9402,AIRBORNE GEOPHYSICAL SURVEYS,65,PROFESSIONALS,SURVEYORS,SURVEYOR,541360,"Professional, scientific & technical services / Professional, scientific & technical services / Architectural, engineering & related services / Geophysical surveying & mapping services / Geophysical surveying & mapping services",,,,0,6,4,49.1038759,-122.6343838
-13652174.21,6276294.738,916,100038,HIGH ROAD EXCAVATING LTD,,21100,4 AVE,"21100 4 AVE 
LANGLEY BC  V2Z 1T6",100038,,604-309-9541,"SITE PREPARATION, EXCACATING & TRUCKING",21,CONTRACTOR,DEMOLITION,DEMOLITION,238910,Construction / Specialty trade contractors / Other specialty trade contractors / Site preparation contractors / Site preparation contractors,,,,0,0,3,49.00844666,-122.6395675
-13643579.97,6280757.968,917,117251,SUPERIOR TREE SERVICES LTD,,1823,240 ST,"1823 240 ST 
LANGLEY BC  V2Z 3A5",117251,,604-209-5981,TREE SERVICE:  FALLING & TOPPING OF TREES / STUMP GRINDING,21,CONTRACTOR,1,NOT USED,,,,,,,,4,49.03473921,-122.5623642
-13652019.54,6280326.382,918,100216,FESTINA LENTE ESTATE WINERY,,21113,16 AVE,"21113 16 AVE 
LANGLEY BC  V2Z 1K3",100216,,604-928-2959,MEADERY AND TASTING ROOM WITH RETAIL,11,BEER & WINE STORE NOT INTEGRAL,BEER&WINE,NOT CONTIGUOUS & INTEGRAL W ANOTHER LICENCED FAC.,445310,"Retail trade / Food & beverage stores / Beer, wine & liquor stores / Beer, wine & liquor stores / Beer, wine & liquor stores",,,,0,0,1,49.03219737,-122.6381782
-13655269.15,6296468.213,919,152565,TINTGARD,BLD A,20053,68 AVE,"506A-20053 68 AVE 
LANGLEY BC  V2Y 0T5",152335,Willoughby,604-626-9430,WINDOW FILM INSTALLATION,21,CONTRACTOR,WINDOW,WINDOW INSTALLATIONS,561721,"Admin., support, waste mgmt & remed. services / Administrative & support services / Services to buildings & dwellings / Janitorial services / Window cleaning services",,,,0,0,1,49.12717658,-122.6673698
-13656205.12,6294381.154,920,140071,RICKI'S,219A,19705,FRASER HWY,"219A-19705 FRASER HWY 
LANGLEY BC  V3A 7E9",114834,Willowbrook,604-530-3739,RETAIL CLOTHING STORE,74,RETAIL MERCHANTS,CLOTHING,CLOTHING STORE,448140,Retail trade / Clothing & clothing accessories stores / Clothing stores / Family clothing stores / Family clothing stores,,,,0,7,3,49.11490646,-122.6757778
-13656205.12,6294381.154,921,140094,BOOTLEGGER,219,19705,FRASER HWY,"219-19705 FRASER HWY 
LANGLEY BC  V3A 7E9",114834,Willowbrook,604-534-6410,RETAIL CLOTHING STORE,74,RETAIL MERCHANTS,CLOTHING,CLOTHING STORE,448140,Retail trade / Clothing & clothing accessories stores / Clothing stores / Family clothing stores / Family clothing stores,,,,0,7,3,49.11490646,-122.6757778
-13654206.03,6295152.615,922,114870,POWER TO CHANGE - RESTAURANT,,20385,64 AVE,"20385 64 AVE 
LANGLEY BC  V2Y 1N5",114870,Willowbrook,604-809-0908,RESTAURANT FOR CATERING AND POWER TO CHANGE FUNCTIONS ONLY,73,RESTAURANTS,CAFETERIA,CAFETERIA,722512,Accommodation & food services / Food services & drinking places / Full-serv. rest. & limited-serv. eating place / Full-serv. rest. & limited-serv. eating place / Limited-service eating places,,,,0,2,1,49.11944234,-122.6578197
-13635461.14,6292436.428,923,153304,MIDWAY TIRECRAFT,,26526,GLOUCESTER WAY,"26526 GLOUCESTER WAY 
LANGLEY BC  V4W 2S8",153304,Gloucester,604-626-4412 EXT 1,"VEHICLE REPAIR, TIRE SALES & MECHANICAL SERVICES",92,VEHICULAR,REPAIRS,REPAIRS,441320,"Retail trade / Motor vehicle & parts dealers / Automotive parts, accessories & tire stores / Tire dealers / Tire dealers",,335,,0,0,11,49.1034704,-122.4894315
-13651969.93,6293648.269,924,110605,JAMES KREBS CONTRACTING,,6120,GLOVER RD,"6120 GLOVER RD 
LANGLEY BC  V2Y 2P3",110605,,778-885-7327,RENOVATIONS CONTRACTOR,21,CONTRACTOR,RENOVATION,RENOVATIONS,236110,Construction / Construction of buildings / Residential building construction / Residential building construction / Residential building construction,,,,0,1,3,49.110597,-122.6377325
-13642297.16,6287910.177,925,117871,1068444 BC LTD,,4115,244 ST,"4115 244 ST 
LANGLEY BC  V2Z 1M8",117871,,604-857-9882,OFFICE FOR CONCRETE FORMING,23,CONTRACTOR - MISC,CONCRETE,CONCRETE PLACING AND FINISHING,238110,"Construction / Specialty trade contractors / Foundation, structure & related contractors / Poured concrete foundation contractors / Poured concrete foundation contractors",,,,0,1,1,49.07684336,-122.5508405
-13655717.51,6297648.207,926,145667,H Y LANDSCAPING SERVICE,,7244,199 ST,"7244 199 ST 
LANGLEY BC  V2Y 1R9",145667,Willoughby,778-926-6298,LANDSCAPING CONTRACTOR,21,CONTRACTOR,LAND,LANDSCAPING,541320,"Professional, scientific & technical services / Professional, scientific & technical services / Architectural, engineering & related services / Landscape architectural services / Landscape architectural services",,,,0,0,2,49.13411259,-122.6713976
-13654343.67,6304151.345,927,115826,WESTGREEN GLOBAL TECHNOLOGIES INC,,20345,93 AVE,"20345 93 AVE 
LANGLEY BC  V1M 2L9",115826,Walnut Grove,778-298-8798,FOREST HEALTH PRODUCTS DISTRIBUTORSHIP,60,PERSONAL SERVICES,HEA/WELL,HEALTH AND WELLNESS,,,,,,0,0,2,49.17232065,-122.6590561
-13655019.26,6294622.522,928,154785,E-EXIT,105,20121,WILLOWBROOK DR,"105-20121 WILLOWBROOK DR 
LANGLEY BC  V3A 5E6",102732,Willowbrook,778-863-5095,ESCAPE GAME ROOMS,28,ENTERTAINMENT,AMUSEMENT,AMUSEMENT GAMES,711190,"Arts, entertainment & recreation / Performing arts, spectator sports & related / Performing arts companies / Other performing arts companies / Other performing arts companies",,,,0,1,3,49.11632565,-122.665125
-13652552.94,6298798.681,929,152209,PINO'S MAINTENANCE,2,20856,76 AVE,"2-20856 76 AVE 
LANGLEY BC  V2Y 0S7",152209,Willoughby,,COMMERCIAL HANDYMAN,21,CONTRACTOR,HANDYMAN,HANDYMAN,236220,Construction / Construction of buildings / Non-residential building construction / Commercial & inst. building construction / Commercial & inst. building construction,,,,0,1,0,49.14087414,-122.6429697
-13635580.3,6284865.347,930,111835,IKONICK PIPEWORKS LTD,,26465,30A AVE,"26465 30A AVE 
LANGLEY BC  V4W 3E1",111835,Aldergrove,778-808-2764,RESIDENTIAL PLUMBING CONTRACTOR,21,CONTRACTOR,PLUMB,PLUMBING,238220,"Construction / Specialty trade contractors / Building equipment contractors / Plumbing, heating & ac contractors / Plumbing, heating & ac contractors",,,,0,0,1,49.05892319,-122.4905019
-13654430.7,6288590.973,931,114514,MARK THE LANDSCAPER,,20370,43A AVE,"20370 43A AVE 
LANGLEY BC  V3A 3C5",114514,Brookswood / Fernridge,604-290-4369,LANDSCAPING AND MAINTENANCE,23,CONTRACTOR - MISC,LANDSCAPIN,LANDSCAPING,561730,"Admin., support, waste mgmt & remed. services / Administrative & support services / Services to buildings & dwellings / Landscaping services / Landscaping services",,,,2,0,1,49.08084926,-122.6598379
-13650563.94,6290249.478,932,114798,VAC IT! EXCAVATING,,4863,216 ST,"4863 216 ST 
LANGLEY BC  V3A 2M8",114798,Murrayville,778-222-1648,EXCAVATING CONTRACTOR,23,CONTRACTOR - MISC,EXCAVATE,EXCAVATION,238910,Construction / Specialty trade contractors / Other specialty trade contractors / Site preparation contractors / Site preparation contractors,,,,0,0,2,49.09060679,-122.6251023
-13634878.05,6292240.59,933,134025,VANCOUVER FREEZE DRY LTD,101,5498,267 ST,"101-5498 267 ST 
LANGLEY BC  V4W 3S8",134025,Gloucester,604-625-0855,FREEZE DRY PROCESSING PLANT,33,FOOD PROCESSING,PKG/PROCES,PACKAGING AND PROCESSING,311710,Manufacturing / Food mfg. / Seafood product preparation & packaging / Seafood product preparation & packaging / Seafood product preparation & packaging,,,,0,0,2,49.10231862,-122.4841935
-13648776.66,6289502.104,934,108516,CRG CONTRACTING,,22162,46A AVE,"22162 46A AVE 
LANGLEY BC  V2Z 1A4",108516,Murrayville,604-313-5203,EXCAVATON CONTRACTOR,23,CONTRACTOR - MISC,EXCAVATE,EXCAVATION,238910,Construction / Specialty trade contractors / Other specialty trade contractors / Site preparation contractors / Site preparation contractors,,,,0,0,2,49.08620998,-122.6090468
-13655645.96,6304761.705,935,120269,OK TIRE - PORT KELLS,23,19926,96 AVE,"23-19926 96 AVE 
LANGLEY BC  V1M 3C2",120269,,604-888-8497,TIRE SALES & SERVICE,74,RETAIL MERCHANTS,TIRE,TIRE SALES,441320,"Retail trade / Motor vehicle & parts dealers / Automotive parts, accessories & tire stores / Tire dealers / Tire dealers",,,,0,2,3,49.1759052,-122.6707548
-13654097.16,6305517.602,936,141551,ASSERTIVE EXCAVATING AND DEMOLITION LTD,,9756,204 ST,"9756 204 ST 
LANGLEY BC  V1M 0A1",141551,Northwest Langley,604-817-1963,DEMOLITION & EXCAVATION CONTRACTOR,21,CONTRACTOR,DEMOLITION,DEMOLITION,238910,Construction / Specialty trade contractors / Other specialty trade contractors / Site preparation contractors / Site preparation contractors,,9,,0,0,15,49.18034411,-122.6568417
-13645244.68,6303811.692,937,149440,TENEOVITA MEDICAL INNOVATIONS INC,7,9228,GLOVER RD,"7-9228 GLOVER RD 
LANGLEY BC  V1M 1A0",118857,Fort Langley,778-789-4131,MEDICAL DEVICE TESTING & DISTRIBUTION ADMIN OFFICE,65,PROFESSIONALS,OFF ADMIN,OFFICE ADMINISTRATION,621510,Health care & social assistance / Ambulatory health care services / Medical & diagnostic laboratories / Medical & diagnostic laboratories / Medical & diagnostic laboratories,,,,0,1,1,49.17032581,-122.5773185
