LicenceNumber,DateFrom,DateTo,TradeName,LicenceDesc,LicenceCategory,Unit,Address,StreeName,ESRI_OID
74466,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,429590 BC LTD,Building lease rental,BUILDING RENTAL - INDUSTRIAL,,1694,QUINN ST S,587
69314,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,VANISHINGS LASER ESTHETICS INC,LASER ESTHETICS skincare beauty bar,COMMERCIAL SERVICE > 100 SQ. M. - COMMERCIAL SERVICE - OTHER,1689,1611,15TH AVE,588
70186,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,STRIDE & GLIDE SPORTS LTD,RETAIL RUNNING SHOES AND CROSS COUNTRY SKIS,COMMERCIAL RETAIL < 1000 SQ. M. - COMMERCIAL RETAIL < 1000 SQ. M.,1689,1611,15TH AVE,589
80553,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,JOYCE SAFE AIR LTD,Direct sales of Rainbow air purifier / home cleaning systems.,"DIRECT SALES, GROUP - DIRECT SALES, GROUP",1689,1611,15TH AVE,590
77412,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,VINTAGE ACCOUNTING LTD,Accounting,COMMERCIAL OFFICE - ACCOUNTANT,1689,1611,15TH AVE,591
80956,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,SUSHI YORI,Japanese Restaurant,RESTAURANT - RESTAURANT,1689,1611,15TH AVE,592
80009,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ASPEN MEDICAL CENTRE INC,Family Medicine,MEDICAL OR DENTAL OFFICE - DOCTOR,,1668,TAMARACK ST,593
77488,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ABORIGINAL  HOUSING SOCIETY OF PRINCE GEORGE,Building rental,RESIDENTIAL BUILDING RENTAL - DUPLEX,1685,1633,TAMARACK ST,594
80146,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,1178314 BC LTD,Building rental & management company,COMMERCIAL OFFICE - COMMERCIAL OFFICE,,9453,ROCK ISLAND RD,595
79113,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,KNIGHT MECHANICAL,Heavy duty mechanics  & inspection facility,"CONTRACTOR, TRADE - AUTOMOTIVE - MECHANIC",,9453,ROCK ISLAND RD,596
80145,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,LILLIE LAKE RANCH LTD,Log Hauling,VEHICLE HIRE - LOGGING TRUCK,,9453,ROCK ISLAND RD,597
71533,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,JV LOGGING LTD,"CONTRACTOR, GENERAL or LOGGING","CONTRACTOR, GENERAL OR LOGGING - LOGGING CONTRACTOR",,9453,ROCK ISLAND RD,598
6203,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,SCOUTEN ENGINEERING,CONSULTING ENGINEERING,COMMERCIAL OFFICE - ENGINEER,,1968,QUEENSWAY,599
6169,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ASSMANS FUNERAL CHAPEL,COMMERCIAL SERVICE > 100 sq. m.,COMMERCIAL SERVICE > 100 SQ. M. - COMMERCIAL SERVICE - OTHER,,1908,QUEENSWAY,600
81238,2021/02/10 08:00:00+00,2021/12/31 08:00:00+00,INTENTIONAL LIFE MENTORING,Mental Health Services,HOME BUSINESS 2,,1905,HEMLOCK ST,601
27625,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,M A PETERSON FINANCIAL,LIFE INSURANCE AGENT,HOME BUSINESS - HOME BUSINESS - OTHER,,1835,13TH AVE,602
2497,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,KIDD CONTRACTORS LTD,"HOME BUSINESS, GENERAL OR LOGGING CONTRACTOR","HOME BUSINESS, GENERAL OR LOGGING CONTRACTOR - HOME BUSINESS, GENERAL OR LOGGING CONTRACTOR",,1313,TAYLOR DR,603
2251,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CARIBOO CHROME & HYDRAULICS LTD,HYDRAULICS,INDUSTRIAL LIGHT MANUFACTURING/RETAIL - INDUSTRIAL LIGHT MANUFACTURING/RETAIL,,1685,OGILVIE ST S,604
77486,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ABORIGINAL HOUSING SOCIETY OF PRINCE GEORGE,Residential Housing Rental,RESIDENTIAL BUILDING RENTAL - SINGLE FAMILY DWELLING,,1707,REDWOOD ST,605
79141,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,BUDGET BRAKE & MUFFLER AUTO CENTRES,automotive repair,CAR SALES OR SERVICE - CAR SALES OR SERVICE,,1795,VICTORIA ST,606
80579,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,YMCA RON BRENT SCHOOL AGE CHILD CARE,School age child care,Community Care Facility,,1401,17TH AVE,607
70439,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,WINCHESTER MANOR APARTMENTS,"APARTMENT BUILDING, winchester manor",RESIDENTIAL BUILDING RENTAL - APARTMENTS,,3030,10TH AVE,608
80246,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,"LOGAN, MATTHEW",Wildfire suppression training,HOME BUSINESS - HOME BUSINESS - OTHER,,1485,ELM ST,609
2816,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,AWG WINDOWS & DOORS PLUS LTD,BUILDING SUPPLIES,BUILDING OR GARDEN SUPPLIES - BUILDING OR GARDEN SUPPLIES,,1770,QUINN ST S,610
79928,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,WATERLINE RESOURCES INC.,Hydrogeology and Environmental Consultants,COMMERCIAL OFFICE - COMMERCIAL OFFICE,,1300,1ST AVE,611
9317,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,SNC-LAVALIN  INC.,ENVIRONMENTAL ENGINEERING CONSULTANTS,COMMERCIAL OFFICE - ENGINEER,,1300,1ST AVE,612
6166,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,TOURISM PRINCE GEORGE,TOURISM OFFICE,CHARITABLE/NON-PROFIT/RELIGIOUS - CHARITABLE/NON-PROFIT/RELIGIOUS,,1300,1ST AVE,613
74650,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,EXCEL PERSONNEL INC,Unit 205,COMMERCIAL OFFICE - COMMERCIAL OFFICE - OTHER,,1300,1ST AVE,614
78216,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,LAZZARIN SVISDAHL LANDSCAPE ARCHITECTS,Landscape Architecture - Consultant,COMMERCIAL OFFICE - COMMERCIAL OFFICE - OTHER,,1300,1ST AVE,615
79512,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,HBH LAND SURVEYING INC,Land Surveying & Consulting,COMMERCIAL OFFICE - SURVEYOR,,1300,1ST AVE,616
2229,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,TDB CONSULTANTS INC,PLANTING/CONE COLLECTION/BURNING/CONSULTING,"CONTRACTOR, GENERAL OR LOGGING - LOGGING CONTRACTOR",,2032,RIVER RD,617
9688,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,BRINK FOREST PRODUCTS LTD,LUMBER MANUFACTURING,"INDUSTRIAL, SP. HEAVY MANUF. < 8 H - INDUSTRIAL, SP. HEAVY MANUF. < 8 H",,2023,RIVER RD,618
79398,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ANDRITZ FEED AND BIOFUEL CANADA INC.,Repair & rebuild shops for pellet mill equipment,INDUSTRIAL SERVICE > 100 SQ. M. - INDUSTRIAL SERVICE > 100 SQ. M.,1983,1911,RIVER RD,619
1276,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,REDWOOD PLASTICS & RUBBER,INDUSTRIAL PLASTICS,WHOLESALE > 500 SQ. M. - WHOLESALE > 500 SQ. M.,1983,1911,RIVER RD,620
29906,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,INTERIOR WAREHOUSING LTD,WAREHOUSING,WAREHOUSING - WAREHOUSING,1983,1911,RIVER RD,621
73303,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,JOY GLOBAL (CANADA) LTD,Warehouse supply for mining and machinery parts mining supply,WAREHOUSING - WAREHOUSING,1983,1911,RIVER RD,622
80849,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CUT LIKE A DIAMOND FITNESS,Personal trainer,HOME BUSINESS - HOME BUSINESS - OTHER,1354,1348,IRWIN ST,623
56203,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,HARTLEY MANOR,apartments,RESIDENTIAL BUILDING RENTAL - APARTMENTS,,3000,15TH AVE,624
78578,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,0830182 BC LTD,apartment building rental,BUILDING RENTAL - BUILDING RENTAL,,810,CENTRAL ST E,625
1091,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,SEVEN ELEVEN FOOD STORES,convenience retail,COMMERCIAL RETAIL < 1000 SQ. M. - COMMERCIAL RETAIL < 1000 SQ. M.,,1720,QUEENSWAY,626
73888,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,TOPAZ BEAD GALLERY,"75% Classes, 25% Retail",COMMERCIAL RETAIL < 1000 SQ. M. - COMMERCIAL RETAIL < 1000 SQ. M.,,1648,OGILVIE ST S,627
8250,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,UNIVERSAL PAIN TECHNOLOGY CANADA INC,Medical Device Manufacturing & Sales,WHOLESALE < 500 SQ. M. - WHOLESALE < 500 SQ. M.,,1648,OGILVIE ST S,628
80480,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,LARSON BEVERLEY EDUCATIONAL SERVICES,Training courses for individuals & organizations,COMMERCIAL SERVICE < 100 SQ. M. - COMMERCIAL SERVICE - OTHER,,1648,OGILVIE ST S,629
78011,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,1ST DEFENCE PEST CONTROL SERVICES LTD,Pest Control Structural,COMMERCIAL SERVICE < 100 SQ. M. - COMMERCIAL SERVICE - OTHER,,1648,OGILVIE ST S,630
28483,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,VAN HOUTTE COFFEE SERVICES INC.,COFFEE SUPPLIES,WHOLESALE < 500 SQ. M. - WHOLESALE < 500 SQ. M.,1738,1722,OGILVIE ST S,631
73041,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,JOHANSEN AND PORSNUK VENTURES,Building Rental,BUILDING RENTAL - COMMERCIAL,1770,1754,OGILVIE ST S,632
9319,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,RCJ POWDER COATINGS INC,DRY PAINTING PROCESS - POWDER COATING,"CONTRACTOR, TRADE - CONTRACTOR, TRADE",1770,1754,OGILVIE ST S,633
80062,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,K.K.S. TACTICAL SUPPLIES,Firearms and ammunition.,COMMERCIAL RETAIL < 1000 SQ. M. - COMMERCIAL RETAIL < 1000 SQ. M.,1625,1613,NICHOLSON ST S,634
69527,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CANTERBURY COFFEE CORPORATION,COFFEE SERVICES AND SALES,INDUSTRIAL SERVICE > 100 SQ. M. - INDUSTRIAL SERVICE - OTHER,1625,1613,NICHOLSON ST S,635
78852,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,SOUND FACTORY,Musical instrument sales & music school,INDUSTRIAL LIGHT MANUFACTURING/RETAIL - INDUSTRIAL LIGHT MANUFACTURING/RETAIL,1625,1613,NICHOLSON ST S,636
75025,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,VENICE PLACE APTS,apartment,RESIDENTIAL BUILDING RENTAL - APARTMENTS,,1438,QUEENSWAY,637
1450,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,R-VENTURES,BUILDING RENTAL,BUILDING RENTAL - INDUSTRIAL,1592,1580,OGILVIE ST S,638
10004,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,SLR CONSULTING CANADA,INDUSTRIAL SERVICE < 100 sq. m.,INDUSTRIAL SERVICE < 100 SQ. M. - INDUSTRIAL SERVICE - OTHER,1592,1580,OGILVIE ST S,639
44421,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,OTIS CANADA INC,ELEVATOR/ESCALATOR INSTALLATION & MAINTENACE,"CONTRACTOR, TRADE - CONTRACTOR, TRADE",1592,1580,OGILVIE ST S,640
16103,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,DR ENERGY WISE DISTRIBUTORS LTD,HEATING CONTRACTOR,"CONTRACTOR, TRADE - CONTRACTOR, TRADE",1592,1580,OGILVIE ST S,641
80513,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,BATER ELECTRIC,"Repair & sell electric motors, retail, light industrial, manufacturing",INDUSTRIAL LIGHT MANUFACTURING/RETAIL - INDUSTRIAL LIGHT MANUFACTURING/RETAIL,3674,3660,18TH AVE,642
3352,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,WESTCANA ELECTRIC INC,INDUSTRIAL SERVICE > 100 SQ. M.,INDUSTRIAL SERVICE > 100 SQ. M. - INDUSTRIAL SERVICE - OTHER,,1643,OGILVIE ST S,643
74111,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE FARMERS MARKET ASSOCIATION,Farmers Market,FLEA OR FARMERS MARKET - FLEA OR FARMERS MARKET,,1310,3RD AVE,644
70548,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,YALENKA HALL,UKRAINIAN CULTURAL SOCIETY,CHARITABLE/NON-PROFIT/RELIGIOUS - CHARITABLE/NON-PROFIT/RELIGIOUS,,933,PATRICIA BLVD,645
74866,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CHILDRENS CHOICE DAYCARE,Daycare,Community Care Facility,,933,PATRICIA BLVD,646
77548,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,FOX PLUMBING,plumbing,"HOME BUSINESS, CONTRACTOR TRADE - PLUMBING",,1752,GORSE ST,647
68468,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,NORTHERN HEATING,"OFFICE ONLY - HEATING, VENTILATON & GAS FITTING","HOME BUSINESS, CONTRACTOR TRADE - HOME BUSINESS, CONTRACTOR TRADE",,1137,STIRLING DR,648
78072,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,HARDWOOD MANOR APARTMENTS,residential building reneal - apartments,RESIDENTIAL BUILDING RENTAL - APARTMENTS,,1575,QUEENSWAY,649
78063,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CASTLETOWN PROPERTIES LTD,Building Rental - Apartments,RESIDENTIAL BUILDING RENTAL - APARTMENTS,,1588,JUNIPER ST,650
80496,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE DIGITAL,Technical Support & Consulting,HOME BUSINESS - HOME BUSINESS - OTHER,,1595,INGLEDEW ST,651
80626,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,THUY NHI HOLDINGS LTD.,Apartment Building,RESIDENTIAL BUILDING RENTAL - APARTMENTS,,1595,INGLEDEW ST,652
3062,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,RC ADAMS LTD,GLAZIER,"CONTRACTOR, TRADE - CONTRACTOR, TRADE",3689,3683,OPIE CRES,653
80087,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,A+ PAINTING,Painting & Decorating,"HOME BUSINESS, CONTRACTOR TRADE - CONTRACTOR - OTHER",,2020,BOWSER AVE,654
81415,2021/05/13 07:00:00+00,2021/12/31 08:00:00+00,PETRO CANADA,"Gas Station, Convenience Store and Car Wash",Service Station / Gasoline Service Station,,1880,20TH AVE,655
73106,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE FUNERAL SERVICE 2008 LTD.,FURNERAL HOME AND CHAPEL,COMMERCIAL SERVICE > 100 SQ. M. - COMMERCIAL SERVICE > 100 SQ. M.,,1014,DOUGLAS ST,656
70343,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CANADIAN CANCER SOCIETY,CHARITABLE/NON-PROFIT/RELIGIOUS,CHARITABLE/NON-PROFIT/RELIGIOUS - CHARITABLE/NON-PROFIT/RELIGIOUS,,1100,ALWARD ST,657
75442,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CANADIAN CANCER SOCIETY - KORDYBAN LODGE #63349,"provide food, beverage and housekeeping at the Kordyban Lodge",RESTAURANT - RESTAURANT,,1100,ALWARD ST,658
69444,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ROADLINK TRANSPORT,HAULING LUMBER  - PARKING TRUCK  BRC INDUSTIAL SITE,HOME BUSINESS - HOME BUSINESS - OTHER,,1180,MCGOWAN DR,659
78228,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,NORTH NECHAKO HOMES LTD,Home Construction,"HOME BUSINESS, GENERAL OR LOGGING CONTRACTOR - BUILIDNG CONTRACTOR - OFFICE ONLY",,1180,MCGOWAN DR,660
79966,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,"KAITLYN, VECCHIO A",literacy outreach coordinator,HOME BUSINESS 1 - Craft,,1162,MCGOWAN DR,661
79912,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,COLLIERS PROJECT LEADERS INC,Project Management,COMMERCIAL OFFICE - COMMERCIAL OFFICE,1230,1244,4TH AVE,662
80088,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,FARMHOUSE CATERING COMPANY LTD.,Catering,INDUSTRIAL SERVICE < 100 SQ. M. - CATERING,1230,1244,4TH AVE,663
73151,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PACIFIC BODY JEWELLERY & PIERCING,Body Piercing and sales of body jewellery.,COMMERCIAL SERVICE < 100 SQ. M. - COMMERCIAL SERVICE - OTHER,1230,1244,4TH AVE,664
80530,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,SISTERS ROCK'N GEMS GALLERY LTD.,Retail Store,COMMERCIAL RETAIL < 1000 SQ. M. - COMMERCIAL RETAIL < 1000 SQ. M.,,1276,4TH AVE,665
74280,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,P S PIANO SERVICE,Musical Instrument Store,COMMERCIAL RETAIL < 1000 SQ. M. - COMMERCIAL RETAIL < 1000 SQ. M.,1288,1278,4TH AVE,666
68212,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ALISON'S EMBROIDERY & GIFTS,GIFT SHOP,COMMERCIAL RETAIL < 1000 SQ. M. - COMMERCIAL RETAIL < 1000 SQ. M.,1288,1278,4TH AVE,667
1388,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,LES BEAUX VISAGES,COSMETICS,COMMERCIAL RETAIL < 1000 SQ. M. - COMMERCIAL RETAIL < 1000 SQ. M.,1288,1278,4TH AVE,668
44181,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,SLIGHTLY HOLDINGS LTD,commercial,BUILDING RENTAL - COMMERCIAL,1288,1278,4TH AVE,669
9113,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,COMMONWEALTH BENEFITS CORPORATION,COMMERCIAL OFFICE,COMMERCIAL OFFICE - INSURANCE,,331,GEORGE ST,670
6240,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,COMMONWEALTH MORTGAGE CORPORATION,MORTGAGE BROKER,COMMERCIAL OFFICE - COMMERCIAL OFFICE,,331,GEORGE ST,671
80708,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,THE FIRM LOUNGE AND GRILL,Restaurant and lounge,RESTAURANT - RESTAURANT,,363,GEORGE ST,672
81418,2021/05/13 07:00:00+00,2021/12/31 08:00:00+00,A BUTLER'S MARKET (A DIVISION OF NEW WAYS MARKETING),Retail outlet for antique's,"Aircraft Sale/Rental, Business/Office Supplies, Retail Convenience/General, Building/Garden Supplies, Retail Farmers/Flea Market, Direct Sales Group/Individual

COMMERCIAL RETAIL (<1000 SQ M GFA)",1150,1156,4TH AVE,673
78894,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,VINTAGE VAULT,"antiques, collectables and crafts",FLEA OR FARMERS MARKET - FLEA OR FARMERS MARKET,1150,1156,4TH AVE,674
11483,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,VAN KAM FREIGHTWAYS LTD,FREIGHT COMPANY,TRUCK OR RAIL TERMINAL - TRUCK OR RAIL TERMINAL,,2100,OGILVIE ST S,675
15430,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CROFT HOTEL,LIQUOR PRIMARY ESTABLISHMENT,LIQUOR PRIMARY ESTABLISHMENT - PUBS AND LOUNGES,,1168,4TH AVE,676
77314,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,BEL-AIR APARTMENTS,rental,RESIDENTIAL BUILDING RENTAL - APARTMENTS,,1869,UPLAND ST,677
26211,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,LEDIS HOLDINGS LTD,ELEANOR APARTMENTS,RESIDENTIAL BUILDING RENTAL - APARTMENTS,,1870,17TH AVE,678
79543,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,HANKINS WATER,home based business - janitorial,HOME BUSINESS - HOME BUSINESS - OTHER,,1798,17TH AVE,679
81696,2021/11/01 07:00:00+00,2021/12/31 08:00:00+00,YGS CONCRETE FINISHING LTD.,poring and finishing concrete off site.,HOME BUSINESS 1 - Craft,,1798,17TH AVE,680
74682,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PARKWOOD MANOR,RESIDENTIAL BUILDING RENTAL,RESIDENTIAL BUILDING RENTAL - APARTMENTS,,1798,17TH AVE,681
77406,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,A & W RESTAURANT 20TH AVE,94 Seat Restaurant,RESTAURANT - RESTAURANT,,1716,20TH AVE,682
74428,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,TIRE CAPITAL,retail & tire repairs,CAR SALES OR SERVICE - CAR SALES OR SERVICE,,777,VICTORIA ST,683
62060,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,VAN HORLICK'S TROPHY & GIFT HOUSE, TROPHIES/GIFTS,COMMERCIAL RETAIL < 1000 SQ. M. - COMMERCIAL RETAIL < 1000 SQ. M.,,1562,8TH AVE,684
71369,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,KSO ACCOUNTING GROUP,Cerfitified General Accountant Firm,COMMERCIAL OFFICE - ACCOUNTANT,1181,1185,3RD AVE,685
70181,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,LEARN TO EARN BARTENDING SCHOOL AND CONSULTING LTD.,"BARTENDING SCHOOL, CUSTOMER SERVICE, TROUBLE-SHOOTING",COMMERCIAL SERVICE < 100 SQ. M. - COMMERCIAL SERVICE < 100 SQ. M.,,1177,3RD AVE,686
74890,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,LAMBDA CABARET,Gay Friendly Dances Fri & Sat's,COMMERCIAL RECREATION,,1177,3RD AVE,687
75235,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PG PAWN SHOP,Pawn Shop,PAWN SHOP AND SECOND HAND DEALER - PAWN SHOP AND SECOND HAND DEALER,1167,1163,3RD AVE,688
1754,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ACES PAWN SHOP & SECONDHAND,PAWN SHOP & SECONDHAND,PAWN SHOP AND SECOND HAND DEALER - PAWN SHOP AND SECOND HAND DEALER,1137,1127,3RD AVE,689
23801,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,GIBBS AND COMPANY,LAW FIRM,COMMERCIAL OFFICE - LAWYER,1137,1127,3RD AVE,690
75305,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,TERRAWEST ENVIRONMENTAL INC,Environmental Consulting & management Systems,"Commercial office (Accountant, Advertising, Appraiser, Architect, Engineer, Insurance, Lawyer, Notary Public, Property Management, Real Estate, Surveyor, Travel), Studio, Radio, Television, Claims Centre",352,344,GEORGE ST,691
81102,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,TELUS CUSTOM SECURITY SYSTEMS,Commercial business offering sales and service of security systems,COMMERCIAL SERVICE > 100 SQ. M. - COMMERCIAL SERVICE > 100 SQ. M.,,751,BRUNSWICK ST,692
2878,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,WENDY'S,restaurant,RESTAURANT - RESTAURANT,,1144,VICTORIA ST,693
8173,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,HUBBELL DESIGNER GOLDSMITHS,DESIGNER GOLDSMITH,COMMERCIAL RETAIL < 1000 SQ. M. - COMMERCIAL RETAIL < 1000 SQ. M.,,770,BRUNSWICK ST,694
46600,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PEPPER TREE HAIR STUDIO,COMMERCIAL SERVICE < 100 sq. m.,COMMERCIAL SERVICE < 100 SQ. M. - BARBER / HAIR SALON,,770,BRUNSWICK ST,695
29529,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,COAST PRINCE GEORGE HOTEL BY APA,Denman cold beer store,HOTEL - HOTEL,,770,BRUNSWICK ST,696
77439,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,SPA OF THE NORTH,esthestics,COMMERCIAL SERVICE < 100 SQ. M. - COMMERCIAL SERVICE < 100 SQ. M.,,770,BRUNSWICK ST,697
72110,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,SONIC INTERACTIVE SOLUTIONS,WEB DESIGN,COMMERCIAL OFFICE - COMMERCIAL OFFICE - OTHER,,770,BRUNSWICK ST,698
80474,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ITM TRUCKING LTD,Dispatching/Bookkeeping - Office Only,"Commercial office (Accountant, Advertising, Appraiser, Architect, Engineer, Insurance, Lawyer, Notary Public, Property Management, Real Estate, Surveyor, Travel), Studio, Radio, Television, Claims Centre",2083,2053,OGILVIE ST S,699
2590,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,EVERGUARD FIRE EQUIPMENT INC,FIRE ALARMS/EXTINGUISHER,INDUSTRIAL SERVICE > 100 SQ. M. - INDUSTRIAL SERVICE > 100 SQ. M.,2083,2053,OGILVIE ST S,700
68075,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ZETTL HOLDINGS LTD,BUILDING RENTAL,BUILDING RENTAL - COMMERCIAL,2083,2053,OGILVIE ST S,701
68158,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,VITALAIRE CANADA INC,SUPPLY CLIENTS OXYGEN AND MEDICAL SUPPLIES,"Animal Shelter, Brewery & Distillery (Minor), Consulting, Scientific and Technical, Feet Service, Log Storage, Custom Indoor Manufacturing, Railway, Recylcing Centre (Minor & Intermediate), Retail General of only Bus/Office supplies, Service (Household repari/Industrial Support), Utility (Major & Minor), Auction (Major & Minor), Contractor Service (Major & Minor), Equipment sales (Major & Minor), Greenhouse and Plant Nursery, Manufacturing/Retail, Transportation Depot, Truck or Rail Terminal (Minor), Warehousing & Storage, Wholesale",2029,2039,OGILVIE ST S,702
35360,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,LAKEWOOD ELECTRIC LTD,"CONTRACTOR, TRADE","CONTRACTOR, TRADE - CONTRACTOR, TRADE",2009,2003,OGILVIE ST S,703
68873,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ACCURATE GAUGE LTD,INDUSTRIAL LIGHT MANUFACTURING/RETAIL,INDUSTRIAL LIGHT MANUFACTURING/RETAIL - INDUSTRIAL LIGHT MANUFACTURING/RETAIL,1991,1977,OGILVIE ST S,704
51150,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,RJ COOPER CONSTRUCTION LTD,"CONTRACTOR, GENERAL or LOGGING","CONTRACTOR, GENERAL OR LOGGING - CONTRACTOR, GENERAL OR LOGGING",,1937,OGILVIE ST S,705
