OBJECTID,facilityid,name,factype,fulladdr,municipality,agencytype,phone,agencyurl,operhours,pocphone,comments,CreationDate,EditDate,Delivery,GlobalID,geometry,lon,lat
85,,REFLECTIONS MEDICAL CLINIC,Medical Centre,102 - 320 West Creek Dr,Chestermere,,,https://www.reflectionsmc.com/,8 a.m. to 4 p.m.,587-333-3751,,2020-03-28,2020-04-03,,{E8C904BE-8AEA-4CA9-9C6F-BB9CD49FF10A},POINT (-113.84050570563463 51.02964068983126),-113.84050570563463,51.02964068983126
86,,REFLECTIONS PHARMACY,Pharmacy,104 - 320 W Creek Dr,Chestermere,,,,9 a.m. to 5 p.m.,403-454-0020,,2020-03-28,2020-04-03,,{E076CA08-D837-4982-9804-9A712F842935},POINT (-113.84053591328268 51.02958939476381),-113.84053591328268,51.02958939476381
87,,DELHI EXPRESS,Restaurant,105 - 320 West Creek Drive,Chestermere,,,http://www.delhiexpress.ca/,4 - 9 p.m.,403-454-1616,,2020-03-28,2020-04-03,,{536E7D87-B879-4EB9-B505-8D5F09D1ACFF},POINT (-113.84056914196503 51.02954189905023),-113.84056914196503,51.02954189905023
88,,CANADIAN PIZZA UNLIMITED,Restaurant,107-320 West Creek Drive,Chestermere,,,http://www.canadianpizzaunlimited.ca/,10:30 a.m. - 1 a.m.,403-272-0040,,2020-03-28,2020-04-03,,{7C3F7E98-D9DF-4BEA-81D5-48550F006286},POINT (-113.84059330844279 51.02949440328794),-113.84059330844279,51.02949440328794
89,,OBSIDIAN ROSE TATTOO,Cosmetic,106 -320 West Creek Drive,Chestermere,,,http://www.obsidianrosetattoo.com/,9 a.m. to 6 p.m.,403-272-9799,,2020-03-28,2020-04-03,,{5F3319E1-5D91-448D-AF73-520CFAEFD134},POINT (-113.84089934379885 51.02887619518607),-113.84089934379885,51.02887619518607
90,,MANREX,,106 -320 West Creek Drive,Chestermere,,,https://manrex.com/en/home/,9 a.m. to 5 p.m.,403-986-5475,,2020-03-28,2020-04-03,,{16567965-5DF5-4000-B6F8-85775B4CECBC},POINT (-113.84082854487636 51.02898346709519),-113.84082854487636,51.02898346709519
91,,CENTEX,Gas Station,124 East Chestermere Dr,Chestermere,,,https://www.centexpetroleum.com/,5:30 a.m. to 11 p.m.,403-272-9557,,2020-03-28,2020-04-03,,{796EB817-BAD5-4012-8DA3-DE4E59006B97},POINT (-113.81508559833952 51.05175472569917),-113.81508559833952,51.05175472569917
92,,CHOICE PIZZA,Restaurant,8 - 140 East Chestermere Drive,Chestermere,,,https://choice-pizza.business.site/?utm_source=gmb&utm_medium=referral,2 - 10:30 p.m.,403-264-7575,,2020-03-28,2020-04-03,,{4C60CF39-09F6-4C8E-A89A-17AD6A9D3482},POINT (-113.81436454132222 51.05187113055782),-113.81436454132222,51.05187113055782
93,,EXPEDIA CRUISE SHIP CENTRES,Travel Agency,16 - 140 East Chestermere Dr,Chestermere,,,https://www.cruiseshipcenters.com/en-CA/200014,10 a.m. to 5:30 p.m.,403-263-3500,Available by phone and email only at this time.,2020-03-28,2020-04-03,,{DECAC7AE-A524-4DD0-AF07-D3894679A1F6},POINT (-113.8141285440156 51.05153288722633),-113.8141285440156,51.05153288722633
94,,CHESTERMERE VETERINARY CLINIC,Vet,34 - 140 E Chestermere Dr,Chestermere,,,https://www.chestermerevet.com/,9 a.m. to 8 p.m.,403-272-3573,,2020-03-28,2020-04-03,,{0FC01303-3417-4B34-A36E-389CC3349209},POINT (-113.81450997677007 51.05116862098075),-113.81450997677007,51.05116862098075
96,,CHESTERMERE FAMILY CHIROPRACTIC & MASSAGE CLINIC,Medical Centre,"C, 124 East Chestermere Drive",Chestermere,,,https://www.chestermerefamilychiro.com/,9 a.m. to 6 p.m.,403-235-3717,,2020-03-28,2020-04-03,,{C7ED7803-D413-4919-949A-77CEEB319956},POINT (-113.8148057246195 51.05146484082712),-113.8148057246195,51.05146484082712
97,,LIBERTY TAX,Accounting Services,32 - 140 East Chestermere Dr,Chestermere,,,https://www.libertytaxcanada.ca/income-tax-preparation-locations/ab-chestermere-32-140-east-chestermere-dr.html?utm_campaign=yext_gmb&utm_source=gmb&utm_medium=organic&utm_content=local_business_listings,10 a.m. to 7 p.m.,587-317-3284,,2020-03-28,2020-04-03,,{8E4F61D9-94E7-40D9-975A-20F5ED66F1F7},POINT (-113.81504182882561 51.051305987954336),-113.81504182882561,51.051305987954336
99,,FIT BODY BOOT CAMP,Fitness Facility,107A- 300 Merganser Drive West,Chestermere,Private,,www.fitbodybootcamp.com,Unavaliable,403-460-3222,,2020-03-28,2020-04-03,,{788DCC72-F508-4547-8EB2-3E2EE701AEA2},POINT (-113.84013810873215 51.03771408097075),-113.84013810873215,51.03771408097075
100,,CHETSERMERE BARBER SHOP & STYLING,Cosmetic,108 - 300 Merganser Drive West,Chestermere,Private,,,10 a.m. to 6:30 p.m.,403-387-0747,,2020-03-28,2020-04-03,,{10130D30-BAF5-4C8F-B305-F0A382F604B0},POINT (-113.83988550427088 51.037694772067624),-113.83988550427088,51.037694772067624
101,,JAFFERY OPTICAL,Medical Centre,105 - 300 Merganser Drive West,Chestermere,Private,,https://www.jafferyoptical.com/,10 a.m. to 6 p.m.,403-454-7681,,2020-03-28,2020-04-03,,{2CF8527A-0BE5-46EC-A89A-3DD1D25E0D76},POINT (-113.84019952654812 51.037481947689415),-113.84019952654812,51.037481947689415
102,,UCMAS,Learning,103 - 300 Merganser Drive West,Chestermere,Private,,ucmas.ca,,403-796-9101,,2020-03-28,2020-04-03,,{4965D64C-4ECB-4086-B1EE-7B8DF5500121},POINT (-113.84019801558182 51.03736020872529),-113.84019801558182,51.03736020872529
103,,JESSICA'S RESTURANT,Restaurant,112 - 300 Merganser Drive West,Chestermere,Private,,www.jessicarestaurant.com,4 p.m. to 9 p.m.,403-272-3828,,2020-03-28,2020-04-03,,{387C54C2-B7C6-4FD0-A0A5-144460EC1C89},POINT (-113.83941447624493 51.03769371463336),-113.83941447624493,51.03769371463336
104,,LV NAILS & SPA,Cosmetic,110 - 300 Merganser Drive West,Chestermere,Private,,,,403-452-2638,,2020-03-28,2020-04-03,,{4AB90830-3CA0-499F-8C0C-7D69986DD95D},POINT (-113.83967115276936 51.037692906871094),-113.83967115276936,51.037692906871094
105,,TRINITY MUSIC INC.,Learning,111 - 300 Merganser Drive West,Chestermere,Private,,https://trinitymusic.ca,9 a.m. to 5 p.m.,,,2020-03-28,2020-04-03,,{DEB52717-3738-4513-B416-B762F672FBA8},POINT (-113.83954428909169 51.03769330397384),-113.83954428909169,51.03769330397384
106,,CHESTERMERE FOOD BANK,,105 - 100 Rainbow Rd,Chestermere,,,http://chestermerefoodbank.ca/,11 a.m. to 1 p.m.,403-273-0777,,2020-03-28,2020-04-03,,{3325E1DA-86A5-4E98-9681-D578BD66756E},POINT (-113.84041532703219 51.02496539368874),-113.84041532703219,51.02496539368874
107,,CHESTERMERE LAKE CROSSFIT,Fitness Facility,211 - 100 Rainbow Rd,Chestermere,,,https://www.chestermerelakecrossfit.com/,,,,2020-03-28,2020-04-03,,{F8039AD6-4A43-4ABF-9862-3344FA6C6101},POINT (-113.8400619639354 51.02492668840672),-113.8400619639354,51.02492668840672
108,,CHESTERMERE LAW LLP,Legal Services,401 - 320 West Creek Dr,Chestermere,,,http://www.chestermerelawyer.com/,8:30 a.m. to 4:30 p.m.,587-470-7373,,2020-03-28,2020-04-03,,{D69A3EB9-37D2-42F9-BAB6-B083E6596B7E},POINT (-113.84163752629875 51.02955136847954),-113.84163752629875,51.02955136847954
109,,Canadian Tae Kwon Do College,Fitness Facility,207 - 100 Rainbow Rd,Chestermere,,,https://canadiantkdcollege.ca/,4:30 p.m. to 8:30 p.m.,403-277-3420,,2020-03-28,2020-04-03,,{D82FE190-A7BC-4B92-81D3-C36121491832},POINT (-113.84012463759616 51.025579938403986),-113.84012463759616,51.025579938403986
110,,LIQUOR DISCOUNTER,Liquor Store,302 - 320 W Creek Dr,Chestermere,,,https://liquor-discounter-chestermere.business.site/?utm_source=gmb&utm_medium=referral,10 a.m. to 9 p.m.,403-719-3992,,2020-03-28,2020-04-03,,{4BD58E14-A2E5-4A37-83EA-475BAB09D435},POINT (-113.84160510071025 51.02895687202392),-113.84160510071025,51.02895687202392
111,,MARKJOEL'S BAKESHOP & MINI GROCERY,Restaurant,108 - 320 West Creek Drive,Chestermere,,,https://www.facebook.com/Markjoels-Bakeshop-and-Mini-Grocery-116118386447602/,,403-455-5155,,2020-03-28,2020-04-03,,{7C30A2B2-DB86-4659-A1F6-ADB425F3DE12},POINT (-113.84164113572956 51.029184916368926),-113.84164113572956,51.029184916368926
112,,THE LAKESHORE ESTHETICS,Cosmetic,202 - 320 West Creek Dr,Chestermere,,,https://www.thelakeshorespa.com/,10 a.m. to 8 p.m.,403-273-5253,,2020-03-28,2020-04-03,,{EEAE7A8D-00B6-41EA-A1E6-45890BF09813},POINT (-113.84060082913837 51.02983745834274),-113.84060082913837,51.02983745834274
114,,Diversion Salon,Dental,205 100 Rainbow Rd,Chestermere,,,https://www.diversionsalon.ca/,12 p.m. to 7 p.m.,587-470-5605,,2020-03-28,2020-04-03,,{CE9D322A-26BB-4416-BA62-C3471364F5BB},POINT (-113.84094392898304 51.02535889216483),-113.84094392898304,51.02535889216483
115,,WISE & COMPANY PROFESSIONAL ACCOUNTANTS,Accounting Services,102 - 120 John Morris Way,Chestermere,,,https://www.wiseandcompany.ca/,8 a.m. to 5 p.m.,403-930-3330,,2020-03-28,2020-04-03,,{EAF384C9-D93F-4390-B6E4-554686894BCA},POINT (-113.82304219330496 51.05090699775942),-113.82304219330496,51.05090699775942
116,,LAVI NAILS & SPA,Cosmetic,103 - 120 John Morris Way,Chestermere,,,http://www.lavinailsandspa.com/,10 a.m. to 7 p.m.,403-235-3388,,2020-03-28,2020-04-03,,{2F78CCDD-8A28-41E8-91CA-3B56B0FE4D68},POINT (-113.82301020609431 51.050829613550064),-113.82301020609431,51.050829613550064
117,,CHESTERMERE LAKE REGISTRY,Registry,402 - 100 Marina Dr,Chestermere,,,https://www.chestermerelakeregistry.ca/,10 a.m. to 5 p.m.,403-207-5510,,2020-03-28,2020-04-03,,{ECF305E5-2836-4F76-B713-2CE6ED1044B9},POINT (-113.82930941025886 51.04801515662598),-113.82930941025886,51.04801515662598
118,,Tirecraft,Automobile Services,100 Marina Dr,Chestermere,,,https://tirecraft.com/chestermere-tirecraft/,7:30 a.m. to 5:30 p.m.,403-204-9050,,2020-03-29,2020-04-03,,{6795DE10-CA9E-4C20-9E1F-18800D82CEB2},POINT (-113.82936464766568 51.04863804012102),-113.82936464766568,51.04863804012102
119,,Dollarama,Retail,180 Marina Dr,Chestermere,,,,9 a.m. to 8 p.m.,403-235-2576,,2020-03-29,2020-04-03,,{7F17EB4A-65BB-4E75-AFE3-C2E9594CB0B7},POINT (-113.82924307237008 51.04905326157644),-113.82924307237008,51.04905326157644
120,,9Round Chesteremere,Fitness Facility,110 - 180 Marina Dr,Chestermere,,,https://www.9round.ca/fitness/Chestermere-AB-x9283,"6 a.m. to 1 p.m., 4 to 8 p.m.",587-333-5570,,2020-03-29,2020-04-03,,{DFD00A61-8860-43AB-B2A3-B4CDECFA7222},POINT (-113.82928300787437 51.04930367301245),-113.82928300787437,51.04930367301245
121,,CellNet Bell,Retail,405 - 100 Marina Dr,Chestermere,,,http://storelocator.bell.ca/bellca/en/AB/Chestermere/CellNet/BE430,,403-770-1883,,2020-03-29,2020-04-03,,{58AF8F61-468D-49F4-85CF-5374728F10B0},POINT (-113.82941010241906 51.048132193228916),-113.82941010241906,51.048132193228916
122,,"BROWN'S SOCIAL HOUSE, RESTARAUNT & BAR",Restaurant,501 - 175 Chestermere Station Way,Chestermere,Private,(403) 273-0157,https://brownssocialhouse.com/chestermere/,4 p.m. to 9 p.m.,403-273-0157,,2020-03-29,2020-04-03,,{DD9478C7-81A7-4B3C-90DD-A661744F96B4},POINT (-113.82700321393897 51.04907315645337),-113.82700321393897,51.04907315645337
123,,Edo Japan,Restaurant,504 - 175 Chestermere Station Way,Chestermere,Private,(403) 273-0157,edojapan.com,11 a.m. to 8 p.m.,587-470-9283,,2020-03-29,2020-04-03,,{5A5534EB-4559-47BF-B009-F22F9F20CEA6},POINT (-113.82683018763547 51.049110664674345),-113.82683018763547,51.049110664674345
124,,BOSTON PIZZA,Restaurant,200 - 196 Chestermere Station Way,Chestermere,Private,(403) 235-0110,https://bostonpizza.com/en/locations/chestermere.html,11 a.m. to 11 p.m.,403-235-0110,,2020-03-29,2020-04-03,,{7429DAB1-39EE-4E37-A88D-AFB3A2792D1A},POINT (-113.82636980644223 51.04861327477767),-113.82636980644223,51.04861327477767
125,,GAS PLUS CONVENIENCE STORE,Convenience store,400 Merganser Drive West,Chestermere,Private,,,,403-718-0068,,2020-03-31,2020-04-03,,{1CA652E9-0D5A-4920-9DD9-9D678DCE65E5},POINT (-113.83888378840598 51.03831454243663),-113.83888378840598,51.03831454243663
126,,GAS PLUS GAS STATION,Gas Station,400 Merganser Drive West,Chestermere,Private,,,,403-718-0068,,2020-03-31,2020-04-03,,{78CF9408-311E-4326-8FB5-F036CE76DEB6},POINT (-113.838550209805 51.038177925481165),-113.838550209805,51.038177925481165
127,,CHESTERMERE PIZZA,Restaurant,106 - 300 Merganser Drive West,Chestermere,Private,,www.chestermerepizza.ca,12 p.m. to 9 p.m.,403-273-6565,,2020-04-02,2020-04-03,,{FDF84DAB-8748-48C0-9706-382FEDDA92CE},POINT (-113.8401502835992 51.037587906692515),-113.8401502835992,51.037587906692515
128,,CHESTERMERE PROFESSIONAL PHARMACY,Pharmacy,106B- 300 Merganser Drive West,Chestermere,Private,,,8:30 a.m. to 7:30 p.m.,403-719-8270,,2020-04-02,2020-04-03,,{1F3412A3-0E20-47DF-9567-7043E8FF3C44},POINT (-113.84026001370947 51.03759653112707),-113.84026001370947,51.03759653112707
129,,GLOBAL LIQUOR STORE,Liquor Store,107- 300 Merganser Drive West,Chestermere,Private,,,10 a.m. to 12 a.m.,403-452-7935,,2020-04-02,2020-04-03,,{65C87E39-E051-4A0F-9D8C-E20D2519628B},POINT (-113.84001809201355 51.037649394447286),-113.84001809201355,51.037649394447286
130,,CHESTERMERE DENTAL,Dental,104 - 300 Merganser Drive West,Chestermere,Private,,www.chestermeredentalcare.com,11 a.m. to 7 p.m.,403-263-8512,,2020-04-02,2020-04-03,,{B2F4BF08-5F7E-4E98-916F-973462DDE535},POINT (-113.84019863362273 51.037419703348746),-113.84019863362273,51.037419703348746
131,,YUME SUSHI,Restaurant,401 - 100 Marina Drive,Chestermere,,,,,403-387-3392,take out/ delivery only,2020-04-02,2020-04-03,,{72EC172C-15E5-4EC2-AD1A-A4073405F377},POINT (-113.82929843733767 51.04793237597512),-113.82929843733767,51.04793237597512
132,,TD CANADA TRUST,Bank,200 - 156 Chestermere Station Way,Chestermere,,,https://www.td.com/ca/en/personal-banking/branch-locator/#/?id=8108&src=local:b:can,10 a.m. to 4 p.m.,403-204-7940,,2020-03-27,2020-04-03,,{7AB0A872-9BC0-4093-A08A-6CF984A10C6E},POINT (-113.82508022185128 51.049405342993),-113.82508022185128,51.049405342993
133,,PINKS AND PLATES,Learning,100 - 133 Main Street,Chestermere,,,https://www.pinksandplates.com/,8:30 a.m. to 4:30 p.m.,403-248-0171,,2020-03-27,2020-04-03,,{DD280F9F-94B0-4DCE-9F8B-69F0294E5035},POINT (-113.82481430076426 51.05252618725042),-113.82481430076426,51.05252618725042
134,,CIRCLE K,Convenience store,301 - 320 W Creek Dr,Chestermere,,,https://www.circlek.com/store-locator/Canada/chestermere/301-320-west-creek-drive/22191,Open 24 Hours,403-235-2852,,2020-03-28,2020-04-03,,{B110360C-F9A7-41FA-84C8-131B74A8945B},POINT (-113.84159937035705 51.029068591220785),-113.84159937035705,51.029068591220785
135,,ALBERTA HEALTH SERVICES,Medical Centre,104 - 288 Kinniburgh Blvd,Chestermere,,,https://www.albertahealthservices.ca/amh/amh.aspx,8 a.m. to 4:30 p.m.,403-365-5400,,2020-03-28,2020-04-03,,{C2D4FBFB-2C3C-4129-A021-82CE98B4AB88},POINT (-113.80977969821555 51.02236032252861),-113.80977969821555,51.02236032252861
136,,CHESTERMERE ADDICTION & MENTAL HEALTH,Medical Centre,288 Kinniburgh Blvd,Chestermere,,,https://www.albertahealthservices.ca/findhealth/Service.aspx?id=1015555&serviceAtFacilityID=1103928,8am to 4 pm,403-365-5400,Appointments are via phone,2020-04-03,2020-04-03,,{80E7BB3B-FE15-412B-9F8D-51E329BD142D},POINT (-113.81009396842781 51.022407117022155),-113.81009396842781,51.022407117022155
137,,VANTAGE INTEGRATIVE HEALTH & WELLNESS,Medical Centre,102-288 Kinniburgh Blvd,Chestermere,,,https://www.vantageintegrativehealth.com/,9 a.m. to 4 p.m.,403-569-1141,,2020-04-03,2020-04-03,,{ED6BE86D-96EF-4784-86C1-FFA93E1B1F82},POINT (-113.81013224115048 51.022346222128185),-113.81013224115048,51.022346222128185
138,,CALGARY LABORATORY SERVICES,Medical Centre,288 Kinniburgh Blvd,Chestermere,,,,,,,2020-04-03,2020-04-03,,{5B0F20F3-E6D6-466D-829D-62B5305506F9},POINT (-113.80999265553176 51.022465179218734),-113.80999265553176,51.022465179218734
139,,MAGNA ENGINEERING,,109 East Chestermere Dr,Chestermere,,,https:/https://www.magnaengineering.ca//www.docksidebarandgrill.com/,8:30 a.m. to 4:30 p.m.,403-470-2333,,2020-03-27,2020-04-03,,{37413EA6-A2B3-4041-A2BF-6538854A48B3},POINT (-113.81638428645755 51.05179999858804),-113.81638428645755,51.05179999858804
140,,LAKE CITY CANNABIS,,102 - 109 East Chestermere Dr,Chestermere,,,https://www.lakecitycannabis.ca/,10 a.m. to 10 p.m.,403-910-2618,,2020-03-27,2020-04-03,,{E02ABAE4-E1B8-45F8-A907-E7FD64695F82},POINT (-113.81623027748861 51.051849106849),-113.81623027748861,51.051849106849
141,,Little Caesars Pizza,Restaurant,"100 Marina Dr, Chestermere, AB T1X 0A9",,Private,(403) 272-5545,https://littlecaesars.ca/en-ca/,Open 24 hours,(403) 272-5545,,,,Unknown,{C9A6C6D0-8DBB-4045-8F4F-8A37EA54CABF},POINT (-113.82929173051575 51.04833541499688),-113.82929173051575,51.04833541499688
142,,Pita King,Restaurant,"100 Marina Dr, Chestermere, AB T1X 1N2",,,,https://www.pitakingchestermere.com/,11 am to 8 pm,(403) 207-5111,,,,Unknown,{BEAE81E9-1BE1-4695-A6AF-6870CAEDDDDB},POINT (-113.82943777951297 51.04827003286001),-113.82943777951297,51.04827003286001
143,,Alberta Hearing Center,Medical Centre,"175 Chestermere Station Way #201, Chestermere, AB T1X 1V3",Chestermere,,,https://albertahearingcenter.ca/,,403-668-7776,,,,Unknown,{2EFEC305-29FA-4175-8F91-3A124337167C},POINT (-113.82699603729816 51.050449097235656),-113.82699603729816,51.050449097235656
144,,,,,,,,,,,,,,Unknown,{14CCC1DE-08FA-4387-9B7D-D0A4BB76F2A1},POINT (-113.82467201570809 51.0458293518613),-113.82467201570809,51.0458293518613
