OBJECTID,BusinessID,Unit,House,Street,PostalCode,BusinessName,BusinessType,BusinessSubType,IssueDate,LicenceCategory,WebsiteAddress,Phone1,Phone1Description,Keywords,SHAPE,geometry,lon,lat,BusinessDescription
296,00433989,,20824,STONEY AVE,V2X 7T1,LOTUS GARDENING SERVICE CO,CONTRACTORS,LANDSCAPING,2022-01-12,HOME BASED,,604 942 1886,Work,,,POINT (-122.64451429945208 49.213388609025),-122.64451429945208,49.213388609025,SENIOR HOUSING (22 UNITS)
297,00435126,500,22709,LOUGHEED HWY,V2X 2V5,FAVORITE FINDS FURNISHINGS,HOME & PROPERTY RETAIL,HOME DECOR & HOUSEHOLD ACCESSORIES,2022-01-10,COMMERCIAL,,604 476 0881,Work,,,POINT (-122.5918915421036 49.21762737861612),-122.5918915421036,49.21762737861612,SKIN FIRMING  CELLULITE REDUCTION  BODY CONTOURING
298,00435600,,20629,119 AVE,V2X 3E5,FITNESS UNLIMITED ATHLETIC CLUB,SPORTS & RECREATION CENTRE,FITNESS CENTRE/GYM,2021-12-09,COMMERCIAL,,604 465 8955,Work,,,POINT (-122.64976303850223 49.21994388109206),-122.64976303850223,49.21994388109206,"PERFORMING ARTS LESSONS - VOICE, ACTING, DANCE"
299,00435549,121,11305,240 ST,,SHINOBI CREATIVE PRODUCTIONS,PHOTOGRAPHY & FILM,VIDEOGRAPHY,2021-12-14,HOME BASED,,604 760 35421,Work,,,POINT (-122.55795158228743 49.20722626323074),-122.55795158228743,49.20722626323074,DAYCARE
300,00434459,8,20030,STEWART CRES,V2X 0T4,ALL READY RENTALS INC,RENTAL SERVICE,"RENTAL SERVICE, STORES, YARDS",2021-12-03,COMMERCIAL,,778 868 7368,Work,,,POINT (-122.66609092422445 49.215615763169),-122.66609092422445,49.215615763169,LANDSCAPING GARDENING
301,00434107,,22361,LOUGHEED HWY,V2X 2T3,483860 BC LTD DBA CASHPLANET FINANCIAL,FINANCIAL & INSTITUTIONAL SERVICES,CURRENCY EXCHANGE/CHEQUE CASHING CENTRE,2021-12-14,COMMERCIAL,,604 467 1753,Work,,,POINT (-122.60262625521662 49.21712176509147),-122.60262625521662,49.21712176509147,HOME DECOR & FASHIONS
302,00434872,1,11968,223 ST,V2X 5Y5,JMK MAHAL RESTAURANT LTD,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,2021-12-13,COMMERCIAL,,604 476 2228,Work,,,POINT (-122.6041000046118 49.21988962577033),-122.6041000046118,49.21988962577033,FITNESS/HEALTH CLUB
303,00432442,,11558,WARESLEY ST,V2X 9Z2,MAPLE CANADA IMMIGRATION CONSULTING,BUSINESS SERVICES,CONSULTING SERVICE,2021-12-30,HOME BASED,,604 562 9693,Work,,,POINT (-122.65220677614012 49.212732570109736),-122.65220677614012,49.212732570109736,VIDEOGRAPHY & PHOTOGRAPHY
304,00436150,8,22726,DEWDNEY TRUNK RD,V2X 3K2,FRIENDS IN NEED FOOD BANK SOCIETY,COMMUNITY GROUPS,FOUNDATIONS/CHARITIES,2021-11-17,COMMERCIAL,,604 466 3663,Work,,,POINT (-122.59285813546889 49.21969134552327),-122.59285813546889,49.21969134552327,EQUIPMENT RENTAL
306,00434464,204,22420,DEWDNEY TRUNK RD,V2X 8H7,CBI LIMITED O/A GOLDEN EARS PHYSIOTHERAPY,PROFESSIONAL SERVICES,PHYSICAL/OCCUPATIONAL THERAPIST,2022-02-17,COMMERCIAL,CBI.CA,604 463 9968,Work,,,POINT (-122.60080799697191 49.21998759255013),-122.60080799697191,49.21998759255013,CHEQUE CASHING/WESTERN UNION/MONEY ORDERS
307,00435926,130,22470,DEWDNEY TRUNK RD,V2X 5Z6,FRASER VALLEY VENDING LTD,VENDING MACHINE,SNACK/BEVERAGE,2021-12-23,COMMERCIAL,,604 795 5334,Work,,,POINT (-122.59978071093033 49.21990469926032),-122.59978071093033,49.21990469926032,FOOD & BEVERAGE SERVICERESTAURANT
308,00435421,,20840,LOUGHEED HWY,V2X 2R3,EXCEL NAIL & SPA,PERSONAL SERVICES,NAIL SALON,2022-01-05,COMMERCIAL,,604 380 3836,Work,,,POINT (-122.64416071419129 49.21754045619206),-122.64416071419129,49.21754045619206,IMMIGRATION CONSULTING
309,00435202,,20127,113B AVE,V2X 0Z1,PROLITE SYSTEMS INCORPORATED,MANUFACTURING,UNCLASSIFIED MANUFACTURING,2021-12-09,COMMERCIAL,,604 460 8250,Work,,,POINT (-122.664198672945 49.20964327025078),-122.664198672945,49.20964327025078,FOOD BANK
310,00459376,300,22420,DEWDNEY TRUNK RD,V2X 8H7,CENTURY 21 EXECUTIVES REALTY LTD,REAL ESTATE,REAL ESTATE AGENCY,,COMMERCIAL,,250 550 4211,Work,,,POINT (-122.60080799697191 49.21998759255013),-122.60080799697191,49.21998759255013,PHYSIOTHERAPY CLINIC
312,00460215,201,22712,DEWDNEY TRUNK RD,V2X 3K2,KIZUNA JUDO CLUB,SPORTS & RECREATION SERVICES,ATHLETIC INSTRUCTOR,2021-12-14,COMMERCIAL,www.kizunajudo.ca,604 200 2092,Work,,,POINT (-122.59285813546889 49.21969134552327),-122.59285813546889,49.21969134552327,3 MACHINES - MAPLE RIDGE LIBRARY
313,00435197,,11596,KINGSTON ST,V2X 9J8,GENCO TECHNOLOGIES INC,MANUFACTURING,UNCLASSIFIED MANUFACTURING,2021-12-07,COMMERCIAL,,604 460 6545,Work,,,POINT (-122.66379390104228 49.21338533178491),-122.66379390104228,49.21338533178491,NAIL SALON AND SPA
314,00436455,,23422,GRIFFEN RD,V2W 0B7,KANAKA CREEK CHILDCARE CENTRE,COMMUNITY CARE,CHILD CARE - FAMILY DAYCARE,2021-12-31,HOME BASED,,778 572 0733,Work,,,POINT (-122.5733117696812 49.203861965976714),-122.5733117696812,49.203861965976714,PLASTIC FABRICATION
315,00436339,,24020,102 AVE,V2W 1J1,ALBION GOOD BEGINNINGS,COMMUNITY CARE,CHILD CARE - FAMILY DAYCARE,2022-02-14,HOME BASED,,604 356 7070,Work,,,POINT (-122.55610948322156 49.187086634628635),-122.55610948322156,49.187086634628635,REAL ESTATE SERVICES (REGUS OFFICES)
317,00459947,,22380,119 AVE,V2X 2Z3,BEAR BARBER SHOP,PERSONAL SERVICES,HAIR SALON/BARBER,2022-01-19,COMMERCIAL,,778 512 5650,Work,,,POINT (-122.60340441602789 49.2183359318905),-122.60340441602789,49.2183359318905,MARTIAL ARTS CLUB (JUDO)
321,00458526,,23746,ROCK RIDGE DR,V4R 2W2,CHATEAU RIDGE SALON & SPA,PERSONAL SERVICES,SPA SERVICES,2021-12-31,HOME BASED,,778 886 0181,Work,,,POINT (-122.56549250786219 49.24419885778307),-122.56549250786219,49.24419885778307,MANUFACTURE CUSTOM PLASTIC PRODUCTS
322,00459949,,11494,228 ST,V2X 3P3,SKYCAT PROPERTY SERVICES,HOME & INDUSTRY SERVICES,GARDENER/LAWN MAINTENANCE,2022-01-20,HOME BASED,skycatpropertyservices.ca,778 996 5571,Work,,,POINT (-122.59059066705646 49.21030940796202),-122.59059066705646,49.21030940796202,DAYCARE
323,00436044,102,22351,ST ANNE AVE,V2X 2E7,ZOETICA ENVIRONMENTAL CONSULTING SERVICES INC.,ENVIRONMENTAL & ECOLOGICAL,ENVIRONMENTAL CONSULTANT,2021-12-03,COMMERCIAL,,604 467 1111,Work,,,POINT (-122.60320604662842 49.214763718176506),-122.60320604662842,49.214763718176506,HOMEBASED DAYCARE
324,00433904,100,20398,DEWDNEY TRUNK RD,V2X 3E3,FACTORY OPTICAL HOLDINGS INC / O/A OPTIKS INTERNATIONAL,HEALTH RETAIL,OPTICAL,2021-12-24,COMMERCIAL,,604 465 3312,Work,,,POINT (-122.6554331690206 49.220809554532394),-122.6554331690206,49.220809554532394,HAIR SALON
325,00435203,,20165,113B AVE,V2X 0Z1,20/20 MARKETING LTD,MANUFACTURING,UNCLASSIFIED MANUFACTURING,2021-12-09,COMMERCIAL,,604 465 3469,Work,,,POINT (-122.6627507402063 49.20959602625928),-122.6627507402063,49.20959602625928,SALON & SPA
326,00459985,208,14301,256 ST,,ADVENTURE MARINE MANUFACTURING (2017) INC,MANUFACTURING,BOAT/SHIP BUILDING & REPAIR,2021-12-16,COMMERCIAL,,604 945 2628,Work,,,,,,"LAWN & LANDSCAPE SERVICES, GARDENING, DRYER VENT CLEANING"
327,00458076,202,20395,LOUGHEED HWY,V2X 2P9,WESTGATE CHILD CARE CORP. / O/A CONSCIOUS KIDS CARE,COMMUNITY CARE,CHILD CARE - GROUP CHILD CARE CENTRE,2021-12-02,COMMERCIAL,,604-459-9559,Work,,,POINT (-122.6556634807823 49.21971460895273),-122.6556634807823,49.21971460895273,"ENVIRONMENTAL CONSULTING FOR GOVT, PROVINCE & FIRST NATIONS"
328,00433202,,10553,238 ST,V2W 1E1,VLAD'S HARDWOOD INSTALLATION,CONTRACTORS,FLOORING CARPET RESILIENT,2021-12-16,HOME BASED,,604 857 4707,Work,,,POINT (-122.56223278683633 49.19472279532814),-122.56223278683633,49.19472279532814,RETAIL OPTICAL STORE
329,00439290,,25158,DEWDNEY TRUNK RD,V4R 1X7,EWERT'S LAWN GURU MAINTENANCE LTD.,CONTRACTORS,LANDSCAPING,,HOME BASED,,604 505 1028,Work,,,POINT (-122.52509319699249 49.22008558186738),-122.52509319699249,49.22008558186738,"OPTICAL MANUFACTURING, ASSEMBLY & WHOLESALE"
330,00432376,5,11443,KINGSTON ST,V2X 0Y6,NATURE'S CHOICE FOODS LTD.,WHOLESALE & DISTRIBUTION,FOOD & BEVERAGE,2022-01-18,COMMERCIAL,,604 465 2100,Work,,,POINT (-122.66649186205329 49.21028777978224),-122.66649186205329,49.21028777978224,"MARINE BOAT PARTS - MANUFACTURING, WELDING & MACHINE SHOP"
331,00432278,,11740,223 ST,V2X 5X7,NORTH FRASER AUTOMOTIVE REPAIR LTD,AUTOMOTIVE,AUTO/BOATS/RV/MOTORCYCLE REPAIR & SERVICE,2021-12-29,COMMERCIAL,,778 892 9671,Work,,,POINT (-122.60429725192866 49.21567452524342),-122.60429725192866,49.21567452524342,GROUP CHILD DAYCARE
332,00459100,300,22420,DEWDNEY TRUNK RD,V2X 8H7,DELEEZY LOGISTICS GLOBAL CORPORATION,TRANSPORT GOODS & SERVICES,COURIER/DELIVERY,2022-02-07,COMMERCIAL,www.deleezy.com,604 283 6273,Work,,,POINT (-122.60080799697191 49.21998759255013),-122.60080799697191,49.21998759255013,HARDWOOD FLOORS INSTALLATION
333,00435369,,12150,224 ST,V2X 3N8,PERSONAL TOUCH HAIR CARE,PERSONAL SERVICES,HAIR SALON/BARBER,2021-12-31,COMMERCIAL,,604 467 8284,Work,,,POINT (-122.60019361448875 49.2233505451346),-122.60019361448875,49.2233505451346,LANDSCAPING
334,00433221,,26516,126 AVE,V2W 1C9,PAUL'S DRYWALL,CONTRACTORS,DRYWALL,2021-12-23,HOME BASED,,604 462 7440,Work,,,POINT (-122.48772774821293 49.23137811303108),-122.48772774821293,49.23137811303108,WHOLESALE & DISTRIBUTION (HERBS & SPICES)
336,00439476,,25425,GODWIN DR,,NZ DESIGN,DESIGN SERVICES,INTERIOR,2022-01-18,HOME BASED,,778 862 0567,Work,,,POINT (-122.51768293116912 49.20513517354628),-122.51768293116912,49.20513517354628,AUTOMOTIVE REPAIR & MAINTENANCE
337,00460530,101,22720,119 AVE,V2X 2Z8,AT LONG LASH,PERSONAL SERVICES,SPA SERVICES,2022-01-29,COMMERCIAL,,604 786 4869,Work,,,POINT (-122.59339497835965 49.21874722261288),-122.59339497835965,49.21874722261288,DELIVERY SERVICE PARTNER FOR AMAZON
338,00436275,,23924,115A AVE,V2W 1Y4,STEPPING STONE FAMILY DAYCARE,COMMUNITY CARE,CHILD CARE - FAMILY DAYCARE,2022-01-05,HOME BASED,,604 771 9500,Work,,,POINT (-122.55871440526808 49.211629305625635),-122.55871440526808,49.211629305625635,HAIR SALON @ WILLOW MANNOR
341,00432144,,11876,227 ST,V2X 6J1,START AUTOMOTIVE INC,AUTOMOTIVE,AUTO/BOATS/RV/MOTORCYCLE REPAIR & SERVICE,2021-12-30,COMMERCIAL,,604 467 2944,Work,,,POINT (-122.59364278407605 49.21827778938926),-122.59364278407605,49.21827778938926,DRYWALL CONTRACTOR
342,00434168,,22355,RIVER RD,,B. MINER HOLDINGS LTD (ATM),FINANCIAL & INSTITUTIONAL SERVICES,ATM/KIOSK,2021-12-23,COMMERCIAL,,604 467 6002,Work,,,,,,INTERIOR DESIGN
343,00436379,,22611,DEWDNEY TRUNK RD,V2X 3K1,MAPLE RIDGE PITT MEADOWS NEWS,PUBLISHER,NEWSPAPERS,2021-12-22,COMMERCIAL,,604 467 1122,Work,,,POINT (-122.59557563377979 49.22072635743775),-122.59557563377979,49.22072635743775,"EYELASH EXTENSIONS, BROWN TINT, LAST LIFT/TINT, FACIALS, DERMAPLAINING / MICRODERMABRASION"
344,00432182,,26527,100 AVE,V2W 1S5,RTECH REPAIRS,HOME & INDUSTRY SERVICES,INDUSTRIAL EQUIP REPAIR /MAINTENANCE,2021-12-08,HOME BASED,,604 462 9395,Work,,,POINT (-122.4868165098912 49.185836652705575),-122.4868165098912,49.185836652705575,FAMILY DAYCARE MAXIMUM 8
345,00435714,,12186,224 ST,V2X 6B6,CAPREIT LIMITED PARTNERSHIP (QUEEN ANNE APARTMENTS),RENTAL UNITS,RES DWELL LESSOR - MULTI-FAMILY,2022-01-19,COMMERCIAL,,604 463 7450,Work,,,POINT (-122.59939413964071 49.22393782999172),-122.59939413964071,49.22393782999172,AUTOMOTIVE REPAIR/SERVICE
346,00442834,,13894,SILVER VALLEY RD,V4R 2G5,DA FIORI FLORAL DESIGN,HOMECRAFT,FLORAL,,HOME BASED,,778 834 7747,Work,,,POINT (-122.57518017307282 49.254882898757096),-122.57518017307282,49.254882898757096,ATM MACHINE
347,00459512,6,20214,LOUGHEED HWY,V2X 2P7,CANKIT KITCHEN & BATHROOM SOLUTIONS,CONTRACTORS,RENOVATION/RESTORATION/HOME IMPROVEMENT,2022-02-09,COMMERCIAL,www.can-kit.com,778 855 3872,Work,,,POINT (-122.66142486770731 49.219693106510164),-122.66142486770731,49.219693106510164,"ADVERTISING AND PUBLICATION ""THE NEWS"" - COMMUNITY NEWSPAPER PUBLISHING"
348,00433423,,24026,FERN CRES,V4R 2S1,STONECRAFT CERAMICS INC,CONTRACTORS,FLOORING CARPET RESILIENT,,HOME BASED,,604 880 7395,Work,,,POINT (-122.55630179151305 49.232207840165565),-122.55630179151305,49.232207840165565,MOBILE - MACHINERY REPAIR - CIVIL WORKS EQUIPMENT
349,00434517,106,22420,DEWDNEY TRUNK RD,V2X 8H7,MAPLE RIDGE DENTISTRY FOR KIDS,PROFESSIONAL SERVICES,DENTIST,2021-12-17,COMMERCIAL,,604 349 5430,Work,,,POINT (-122.60080799697191 49.21998759255013),-122.60080799697191,49.21998759255013,"148 RENTAL UNITS 12184, 12186, 12188 & 12190 224 ST"
350,00438549,,21500,121 AVE,V2X 3S4,HANDY HOME AND PROPERTY SERVICES,HOME & INDUSTRY SERVICES,HANDYMAN,2022-01-04,HOME BASED,,604 307 4573,Work,,,POINT (-122.625473236514 49.22269849387681),-122.625473236514,49.22269849387681,"FLORIST, FLORAL DESIGN, WEDDING FLORAL DESIGN"
351,00432390,8,22935,LOUGHEED HWY,V2X 2W1,IMPERIAL DATA SUPPLY CORP,WHOLESALE & DISTRIBUTION,STATIONERY/OFFICE,2021-12-21,COMMERCIAL,,604 466 8794,Work,,,POINT (-122.58608968017165 49.21297394292419),-122.58608968017165,49.21297394292419,KITCHEN RENOVATING - COUNTERTOP - BATHROOM REMODELING
352,00432365,,13483,CEDAR WAY,V4R 2T4,MARQUIS EQUESTRIAN,ANIMAL SERVICES,HORSE BOARDING (6 OR MORE),,HOME BASED,,604 380 3276,Work,,,POINT (-122.620546064231 49.24771158653649),-122.620546064231,49.24771158653649,CERAMIC INSTALLATION
353,00433132,,12610,228 ST,V2X 6M8,BIG BOX STORE CONSTRUCTION LIMITED,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),2022-01-11,HOME BASED,,604 724 3284,Work,,,POINT (-122.58955061024986 49.23152264653895),-122.58955061024986,49.23152264653895,DENTAL CLINIC FOR CHILDREN & ADOLESCENTS
354,00460304,21,21707,DEWDNEY TRUNK RD,V2X 3G8,PANTRY STUDIOS,ARTS & ENTERTAINMENT SERVICES,UNCLASSIFIED ARTS & ENTERTAINMENT SERVICE,2021-12-21,HOME BASED,pantrystudios.ca,403 818 1121,Work,,,POINT (-122.61999916131094 49.22157014541252),-122.61999916131094,49.22157014541252,HANDYMAN & PROPERTY MAINTENANCE
355,00433157,15,11160,234A ST,V2W 0B8,KLS PROJECTS,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),,HOME BASED,,604 466 5598,Work,,,POINT (-122.57238365110886 49.20531323176139),-122.57238365110886,49.20531323176139,DISTRIBUTOR OF BUSINESS MACHINE SUPPLIES
356,00432425,,24232,103A AVE,V2W 0E4,WEISS WARES LTD,WHOLESALE & DISTRIBUTION,AGENT/BROKER,2021-12-08,HOME BASED,,604 463 8141,Work,,,POINT (-122.55037375140219 49.19046954280363),-122.55037375140219,49.19046954280363,HORSE BOARDING FACILITY
357,00460333,103,11959,203 ST,V2X 4V2,BIG STAR SANDWICH COMPANY,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,2022-02-11,COMMERCIAL,,,Work,,,POINT (-122.65767749129253 49.22021131450234),-122.65767749129253,49.22021131450234,GENERAL CONTRACTOR
358,00435124,1,21621,LOUGHEED HWY,V2X 2S2,SLEEP COUNTRY CANADA,HOME & PROPERTY RETAIL,FURNITURE,2021-12-22,COMMERCIAL,,604 244 9171,Work,,,POINT (-122.62201091009861 49.2174325593379),-122.62201091009861,49.2174325593379,FOOD & LIFESTYLE PHOTOGRAPHY & BLOGGING
359,00433703,,20319,DEWDNEY TRUNK RD,V2X 3C9,KORMAN'S PAINT & TRIM,CONTRACTORS,PAINTER/WALLPAPER,,HOME BASED,WWW.KORMANSPAINT.CA,604-617-7015,Work,,,POINT (-122.65810574511625 49.221755596848205),-122.65810574511625,49.221755596848205,MANUFACTURERS' AGENT
360,00434504,,20320,LOUGHEED HWY,,ROYAL BANK OF CANADA (THE),FINANCIAL & INSTITUTIONAL SERVICES,BANK/CREDIT UNION,2021-12-16,COMMERCIAL,,604 467 3822,Work,,,POINT (-122.65732776614381 49.218708228605465),-122.65732776614381,49.218708228605465,QUICK SERVICE SANDWICH SHOP
361,00434337,102,12005,238B ST,V4R 1W1,COTTONWOOD MEDICAL CLINIC INC,PROFESSIONAL SERVICES,PHYSICIAN,2021-12-23,COMMERCIAL,,604 467 4166,Work,,,POINT (-122.56178322412181 49.220607630103586),-122.56178322412181,49.220607630103586,MATRESS RETAILER
362,00433075,,22519,DEWDNEY TRUNK RD,V2X 7X7,0587528 BC LTD DBA MEDALLION HEALTHY HOMES,CONTRACTORS,UNCLASSIFIED CONTRACTOR,2021-12-09,COMMERCIAL,,604 619 6655,Work,,,POINT (-122.59834243855502 49.22073788316354),-122.59834243855502,49.22073788316354,PAINTING
363,00434156,202,20201,LOUGHEED HWY,V2X 2P6,RAIN COAST BUSINESS ADVISORS,FINANCIAL & INSTITUTIONAL SERVICES,ACCOUNTANT,2021-12-03,COMMERCIAL,,604 465 1935,Work,,,POINT (-122.66086218624926 49.22077488423696),-122.66086218624926,49.22077488423696,BANK
364,00436118,,22546,LOUGHEED HWY,V2X 2V1,GOLDEN EARS COIN LAUNDRY,CLOTHING & LAUNDRY SERVICE,LAUNDROMAT,2021-12-15,COMMERCIAL,,604 477 7727,Work,,,POINT (-122.5976715369631 49.21680346527211),-122.5976715369631,49.21680346527211,MEDICAL CLINIC - COTTONWOOD MECIAL
365,00435601,,12309,240 ST,V4R 1M9,HACKER'S HEAVEN LTD,SPORTS & RECREATION CENTRE,GOLF COURSE,2021-12-16,COMMERCIAL,,604 467 3061,Work,,,POINT (-122.5593116831025 49.225635112937795),-122.5593116831025,49.225635112937795,AIR QUALITY SPECIALISTS
366,00434562,610,22470,DEWDNEY TRUNK RD,,DR JYOTI BALAIN,PROFESSIONAL SERVICES,PHYSICIAN,2021-12-13,COMMERCIAL,,778 772 9972,Work,,,POINT (-122.59978071093033 49.21990469926032),-122.59978071093033,49.21990469926032,"LANDSCAPING MAINTANANCE, PRESSURE WASH, HOUSE CLEANING"
367,00460396,,12225,212 ST,V2X 8S4,FLYING HEAD LACROSSE INCORPORATED,SPORTS & RECREATION RETAIL,UNCLASSIFIED SPORT/RECREATION RETAIL,2021-12-07,HOME BASED,,604 312 8763,Work,,,POINT (-122.63343927430122 49.224791654824806),-122.63343927430122,49.224791654824806,ACCOUNTANT
368,00432351,A,20610,LOUGHEED HWY,V2X 2P8,KIRMAC AUTOMOTIVE COLLISION SYSTEMS CANADA INC,AUTOMOTIVE,AUTO PAINT & BODY,2021-12-22,COMMERCIAL,,604 464 6404,Work,,,POINT (-122.65027780844541 49.21802003139832),-122.65027780844541,49.21802003139832,LAUNDROMAT
369,00434477,105,22561,DEWDNEY TRUNK RD,V2X 3K1,"DR. K. AXFORD R. PSYCH., PROFESSIONAL CORP  DBA DR. AXFORD & ASSOCIATE",PROFESSIONAL SERVICES,PSYCHOLOGIST,,COMMERCIAL,,604 309 0268,Work,,,POINT (-122.59692613113789 49.22073192516587),-122.59692613113789,49.22073192516587,PITCH & PUTT (9-HOLE GOLF COURSE)
372,00435143,120,22470,DEWDNEY TRUNK RD,,CONNECT HEARING,HEALTH SERVICES,HEARING CENTRE,2022-01-31,COMMERCIAL,,250 413 2114,Work,,,POINT (-122.59978071093033 49.21990469926032),-122.59978071093033,49.21990469926032,PHYSICIAN
373,00458969,,23183,116 AVE,V2X 0H1,GREAT WEST ENTERPRISES LTD,CONTRACTORS,ROOFING,2021-12-20,HOME BASED,greatwestroof.ca,778 578 7018,Work,,,POINT (-122.57995456390123 49.21333416028851),-122.57995456390123,49.21333416028851,SELLING LACROSSE EQUIPMENT & RELATED GEAR
374,00435050,,20389,DITTON ST,V2X 1B9,AROMA CATERING,FOOD & BEVERAGE SERVICES,MOBILE FOOD VENDOR,2022-02-11,HOME BASED,,604 459 0902,Work,,,POINT (-122.65572091612262 49.206327284092325),-122.65572091612262,49.206327284092325,AUTO BODY REPAIR
376,00434987,,12096,FLETCHER ST,V2X 6K9,KAUHANE KREATIONS,HOMECRAFT,ARTIST,2021-12-07,HOME BASED,,778 316 4054,Work,,,POINT (-122.59197978535624 49.2222523225098),-122.59197978535624,49.2222523225098,PSYCHOLOGICAL SERVICES
377,00436119,230,22709,LOUGHEED HWY,V2X 2V5,G A M SHOES & REPAIR LTD,CLOTHING & LAUNDRY SERVICE,BOOT/SHOE REPAIR,2021-12-20,COMMERCIAL,,604 466 3282,Work,,,POINT (-122.5918915421036 49.21762737861612),-122.5918915421036,49.21762737861612,AUDIOLOY DIAGNOSTIC TESTING AND SALE OF HEARING AIDS
378,00435345,101,22356,MCINTOSH AVE,V2X 3C1,RED SALON,PERSONAL SERVICES,SPA SERVICES,2022-01-10,COMMERCIAL,,604 816 5424,Work,,,POINT (-122.60280725792674 49.219255913252674),-122.60280725792674,49.219255913252674,"HEATING, AIR CONDITIONING & PLUMBING"
379,00433846,,20114,120A AVE,V2X 3M3,911 SUPPLY INC,DESIGN SERVICES,GRAPHIC,2021-12-13,HOME BASED,,778 839 2234,Work,,,POINT (-122.66438513141058 49.22171699595892),-122.66438513141058,49.22171699595892,BOOKKEEPING
380,00435334,,11202,DARTFORD ST,V2X 1V1,HANEY HAIR,PERSONAL SERVICES,HAIR SALON/BARBER,2022-01-10,COMMERCIAL,,,Work,,,POINT (-122.6494330190658 49.206341509599454),-122.6494330190658,49.206341509599454,ROOFING CONTRACTOR
381,00434942,,24902,121 AVE,V4R 2A5,STEEL AND STYLE,HOME & INDUSTRY SERVICES,TOOL/MACHINE REPAIR,2022-01-04,HOME BASED,,604 312 7276,Work,,,POINT (-122.53181075580798 49.22242896424833),-122.53181075580798,49.22242896424833,FOOD TRUCK CATERING
382,00435230,22,22206,124 AVE,V2X 8X1,BLACK KITTY PRODUCTIONS INC,PHOTOGRAPHY & FILM,FILM PRODUCTION,,HOME BASED,,604 477 1838,Work,,,POINT (-122.60647957488368 49.2268852221584),-122.60647957488368,49.2268852221584,BLOWN GLASS ART
383,00434545,109,11893,227 ST,,DR. IAN WRIGHT INC - RIDGE MEADOWS UROLOGY,PROFESSIONAL SERVICES,PHYSICIAN,2021-12-21,COMMERCIAL,,604 463 5433,Work,,,POINT (-122.59444349239469 49.218584473904826),-122.59444349239469,49.218584473904826,SHOE REPAIR
384,00445940,,11937,227 ST,V2X 6J4,0937231 BC LTD,RENTAL UNITS,RES DWELL LESSOR - MULTI-FAMILY,2021-11-29,COMMERCIAL,,604 790 7862,Work,,,POINT (-122.59438342430852 49.21929773111811),-122.59438342430852,49.21929773111811,"NAILS - MANICURES/PEDICURES, WAXING, EYELASH EXTENSIONS"
386,00435545,,22355,119 AVE,V2X 2Z2,TINT BEAUTY BAR,PERSONAL SERVICES,HAIR SALON/BARBER,2022-01-04,COMMERCIAL,,604 463 3733,Work,,,POINT (-122.60294366358242 49.21884492976811),-122.60294366358242,49.21884492976811,GRAPHIC DESIGN & SALES
387,00433860,3,20000,STEWART CRES,V2X 9E7,HYPERSTEALTH BIOTECHNOLOGY CORPORATION,DESIGN SERVICES,GRAPHIC,2021-12-13,COMMERCIAL,,604 961 7046,Work,,,POINT (-122.66597380842897 49.213891138429666),-122.66597380842897,49.213891138429666,BARBER SHOP
388,00458861,B,22316,DEWDNEY TRUNK RD,V2X 3J2,THE EMDR CENTER OF CANADA INC.,EDUCATION & INSTRUCTION,UNCLASSIFIED EDUCATION & INSTRUCTION,2021-12-21,COMMERCIAL,,604 477 7447,Work,,,POINT (-122.60404188887537 49.22021256664711),-122.60404188887537,49.22021256664711,MALL ADMINISTRATION OFFICE (UNIT 35)
391,00442238,,12055,265A ST,,PU-JIE AROMA CHEMICALS INTERNATIONAL INC.,DIRECT SALES,E-COMMERCE,2022-01-17,HOME BASED,,778 918 7699,Work,,,POINT (-122.48756172324538 49.22159473852462),-122.48756172324538,49.22159473852462,"TOOL/MACHINE REPAIR CONFIRMED ""DOMESTIC"" USE OF MECHANICAL OR ELECTRICAL EQUIPMENT"
394,00432185,,11944,HANEY PL,V2X 6A9,MAPLE RIDGE & PITT MEADOWS ARTS COUNCIL / THE ACT,ARTS & ENTERTAINMENT SERVICES,UNCLASSIFIED ARTS & ENTERTAINMENT SERVICE,2021-11-17,COMMERCIAL,,604 476 2787,Work,,,POINT (-122.59951281222084 49.21923867951581),-122.59951281222084,49.21923867951581,FILM & TELEVISION PRODUCTION CO (SCREENWRITING)
395,00459360,,11797,BURNETT ST,V2X 6P6,COLUMBUS HOMES - CHRISTOPHERSON HOUSE,RENTAL UNIT,ROOM RENTAL,2021-11-17,COMMERCIAL,,604 250 6444,Work,,,POINT (-122.58895149477223 49.21668124002668),-122.58895149477223,49.21668124002668,DOCTOR'S OFFICE
397,00433912,K71,11900,HANEY PL,V2X 8R9,ROYAL LEPAGE BROOKSIDE REALTY (HANEY PLACE MALL),TEMPORARY VENDOR,KIOSK,2021-12-23,COMMERCIAL,,604 467 5131,Work,,,POINT (-122.59908590668755 49.21810114003064),-122.59908590668755,49.21810114003064,DWELLING UNITS
398,00434956,,12814,232 ST,V2X 6T9,CAMY'S PIZZA 2 FOR 1 LTD,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,2022-02-02,COMMERCIAL,,604 479 1400,Work,,,POINT (-122.57879368824487 49.23520271720662),-122.57879368824487,49.23520271720662,HAIR SALON
