"entreprise","no_civique","rue_local","code_postal","entreprise_tel","scian_principal"
"L2D (12E AVENUE NORD)",2015,"12e Avenue Nord","J1E 4J5","819 791-6266","Salons De Coiffure Pour Homme"
"L2D (BOULEVARD BOURQUE)",4368,"Boulevard Bourque","J1N 2A7","819 791-6866","Salons De Coiffure Pour Homme"
"L2D (BUREAUX ADMINISTRATIFS)",1705,"Rue King Ouest","J1J 2C8",NA,"Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"L2D (RUE KING OUEST)",1705,"Rue King Ouest","J1J 2C8","819 791-6866","Salons De Coiffure Pour Homme"
"L2D (RUE QUEEN)",111,"Rue Queen","J1M 1J7","819 791-6866","Salons De Coiffure Pour Homme"
"LA BAIE D'HUDSON",3000,"Boulevard de Portland","J1L 1K1","819 563-2114","La Baie"
"LA BELLE PROVINCE (BOUL. BOURQUE)",4848,"Boulevard Bourque","J1N 2A7","819 820-0844","Etablissements De Restauration A Service Restreint"
"LA BELLE PROVINCE (RUE KING EST)",815,"Rue King Est","J1G 1C8","819 829-2626","Etablissements De Restauration A Service Restreint"
"LA BELLE PROVINCE (RUE KING OUEST)",2909,"Rue King Ouest","J1L 1C7","819 821-2125","Etablissements De Restauration A Service Restreint"
"LA BOÎTE À CHEVEUX",1244,"Rue King Ouest","J1J 2B6","819 822-2308","Salons De Coiffure Mixtes"
"LA BOITE A DESIGN",1755,"Rue de Toulouse","J1J 3V6","819 829-2000","Services De Design Graphique"
"LA BOUQUINERIE CLUB ROTARY DE SHERBROOKE",153,"Rue King Est","J1G 1A7","819 452-2665","Organisations Civiques Et Amicales"
"LA BUVETTE DU CENTRO",117,"Rue Wellington Nord","J1H 5B9","819 200-1000","Restaurants A Service Complet"
"LA CABINE T SANS FIL",3050,"Boulevard de Portland","J1L 1K1","819 566-4616","Telecommunications Sans Fil (Sauf Par Satellite)"
"LA CAGE BRASSERIE SPORTIVE",2655,"Rue King Ouest","J1L 2G4","819 822-0050","Restaurants A Service Complet"
"LA CAPITALE ASSURANCES GÉNÉRALES INC.",1802,"Rue King Ouest","J1J 0A2","819 780-0738","Agences Et Courtiers D'Assurance"
"LA CARTOUCHERIE",2520,"Rue King Ouest","J1J 2E8","819 565-3006","Magasins De Fournitures De Bureau Et De Papetterie"
"LA CENTRALE MÉTIERS D'ART",210,"Rue Wellington Nord","J1H 5C6","819 823-0221","Marchands D'Oeuvres D'Art"
"LA CHAUDRONNÉE DE L'ESTRIE INC.",470,"Rue Bowen Sud","J1G 2C6","819 821-2311","Organisme D'Action Sociale"
"LA CHIFFONNERIE",1265,"Rue Belvédère Sud","J1H 4E2","819 820-9803 poste 2","Organisme D'Action Sociale"
"LA CIE CANADA TIRE",1055,"Rue Galt Est","J1G 1Y7","514 457-0155","Grossistes-Marchands De Pneus"
"LA CIGOGNE - CENTRE DE RESSOURCES FAMILIALES",300,"Rue Barton","J1L 2L1","819 566-6150","Services De Garderie"
"LA CLEF DU SOMMEIL INC.",1576,"Rue King Ouest","J1J 2C3","819 481-3838","Centre De Sports Recreatifs Et De Conditionnement Physique"
"LA CLINIQUE MATHÉMATIQUE",2330,"Rue Anna-Maria-Valls","J1N 4J2","819 432-4616","Tous Les Autres Etablissements De Formation Et D'Education"
"LA CORDÉE, RESSOURCE ALTERNATIVE EN SANTÉ MENTALE",305,"Rue Dufferin","J1H 4M5","819 565-1225","Organisme D'Action Sociale"
"LA CRÈMERIE DE L'EST",480,"10e Avenue Sud","J1G 2R9","819 569-4444","Etablissements De Restauration A Service Restreint"
"LA CRÉMIÈRE",3050,"Boulevard de Portland","J1L 1K1","819 821-4452","Etablissements De Restauration A Service Restreint"
"LA DULCE VIDA",831,"Rue de la Sainte-Famille","J1E 1T5","819 346-5857","Bijouteries"
"LA FABRIKA CHEVEUX",488,"Rue King Est","J1G 1B5","819 432-1912","Salons De Coiffure Mixtes"
"LA FABRIQUE DE MATELAS",2185,"Rue King Ouest","J1J 2G2","819 933-6300","Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"LA FABRIQUE DU GOURMAND INC.",6420,"Chemin de Saint-Élie","J1R 0M1","819 823-7444","Entrepreneurs En Restauration"
"LA FAIM FINAUDE",950,"Rue Fortier Sud","J1N 2C4","819 562-2010","Traiteurs"
"LA FINANCIÈRE AGRICOLE DU QUÉBEC",4260,"Boulevard Bourque","J1N 4B3","819 820-3393","Autres Services Des Administrations Publiques Provinciales Et Territoriales"
"LA FINE BOUCHE",1434,"Rue King Ouest","J1J 2C2","819 822-4334","Traiteurs"
"LA FOLIE DU CHEVEU",5646,"Rue Harvard","J1N 4E2","819 346-8492","Salons De Coiffure Mixtes"
"LA FONDATION DU SALÉSIEN",135,"Rue Don-Bosco Nord","J1L 1E5","819 566-2222","Fondations Et Organismes De Charite"
"LA FONDATION POUR LA DRÉPANOCYTOSE",313,"Rue Queen","J1M 1K8","1 514 232-5171","Fondations Et Organismes De Charite"
"LA GRANDE MÉNAGERIE",3175,"Rue King Ouest","J1L 1C8","819 562-5995","Animaleries Et Magasins De Fournitures Pour Animaux"
"LA GRANDE RUCHE",25,"Rue Bryant","J1J 3E5","819 56-29973","Magasins De Supplements Alimentaires (Aliments De Sante)"
"LA GRANDE TABLE INC.",1255,"Rue Daniel","J1H 5X3","819 821-5505","Organisme D'Action Sociale"
"LA GRANDE VIE - COOP. DE SOLIDARITÉ EN HABITATION",1360,"Rue de Courcelette","J1H 3Y5","819 791-3007","Etablissements Communautaires De Soins Pour Personnes Agees"
"LA HALTE DES PÈLERINS",693,"Chemin du Sanctuaire","J1H 0E1","819 563-5115","Toutes Les Autres Activites Diverses De Fabrication"
"LA MAISON AUBE-LUMIÈRE",3071,"12e Avenue Nord","J1H 5H3","819 821-3120","Etablissements Communautaires De Soins Pour Personnes Agees"
"LA MAISON DE L'EAU",755,"Rue Cabana","J1K 0A6","819 821-5893","Musees D'Histoire Et De Sciences"
"LA MAISON DU BONBON",363,"Rue Marquette","J1H 1M5","819 823-3038","Confiseries Et Magasins De Noix"
"LA MAISON DU CINÉMA",63,"Rue King Ouest","J1H 1P1","819 566-8782","Projection Films Cinematographiques"
"LA MAISON LA CONQUÊTE",925,"Rue de l'Ancienne-Carrière","J1H 0G1","819 791-4430 poste 4","Magasins De Revetement De Sol"
"LA MAISON LES BÉATITUDES",2295,"Rue Galt Ouest","J1K 1K7","819 563-7609","Organismes Religieux"
"LA MAISON USINEX",3720,"Boulevard Industriel","J1L 1N6","1 844-576-2510","Services De Conseils En Ressources Humaines Et En Recherche De Cadres"
"LA MÈCHE REBELLE",1416,"Rue Brûlotte","J1E 3Z1","819 822-1669","Salons De Coiffure Mixtes"
"LA MÈCHE VERTE INC.",1707,"Rue Belvédère Sud","J1H 4E4","819 563-5956","Magasins De Cadeaux, D'Articles De Fantaisie Et De Souvenirs"
"LA MICRODISTILLERIE - SHERBROOKE",66,"Rue Meadow","J1H 1M8","819 791-0654","Debits De Boissons (Alcoolisees)"
"LA MIE DE L'ÉCONOMIE",1120,"Rue Dieppe","J1H 0G2","819 565-1133","Boulangeries-Patisseries"
"LA MIE DE LA COURONNE",52,"Rue Alexandre","J1H 4S6","819 346-7246","Boulangeries-Patisseries"
"LA MIELLERIE",1835,"Chemin Légaré","J1H 0C5","819 933-7182","Magasins De Supplements Alimentaires (Aliments De Sante)"
"LA MUSE ENTREPRENEUR PEINTRE",4502,"Rue du Marais","J1N 1P8","819 578-0929","Artistes, Auteurs Et Interpretes Independants"
"LA MUSE MOULAGE CORPOREL",4502,"Rue du Marais","J1N 1P8","819 578-0929","Artistes, Auteurs Et Interpretes Independants"
"LA MUSIQUETTERIE",5863,"Chemin de Val-du-Lac","J1N 0E9","819 822-3285","Organisations Civiques Et Amicales"
"LA PETITE BOÎTE NOIRE",58,"Rue Meadow","J1H 6N2","819 300-2353","Exploitants De Theatres Et Autres Diffuseurs D'Evenementsartistiques Avec Installations"
"LA PICOLE",138,"Rue Wellington Sud","J1H 5C7","819 791-6111","Debits De Boissons (Alcoolisees)"
"LA PLACE CHIROPRATIQUE DE SHERBROOKE",1871,"Rue Galt Ouest","J1L 1J5","819 566-2565","Cabinets De Chiropraticiens"
"LA QUEBEQUITA",147,"Rue Wellington Sud","J1H 5C9","819 434-2464","Tous Les Autres Magasins D'Alimentation Specialisee"
"LA RÉCOLTE DE FLEURIMONT",1105,"13e Avenue Nord","J1E 3P1","819 346-1717","Marches De Fruits Et De Legumes"
"LA RIVE BEAUTÉ",1361,"Chemin de la Station","J1R 0R1","819 563-0720","Salons De Beaute"
"LA ROSE DES SABLES",270,"Rue Dufferin","J1H 4M4","819 346-5571","Restaurants A Service Complet"
"LA ROSE DES VENTS",2,"Rue Bowen Sud","J1G 2C5","819 823-9996","Organisme D'Action Sociale"
"LA ROUQUINE COIFFURE BOUTIQUE",1554,"Rue King Est","J1G 1E9","819 791-5591","Salons De Coiffure Mixtes"
"LA SENZA",3050,"Boulevard de Portland","J1L 1K1","819 562-0352","Magasins De Vetements Pour Femmes"
"LA SHOP À MEG",6425,"Chemin de Saint-Élie","J1R 0P6","819 481-1516","Salons De Coiffure Mixtes"
"LA SOCIÉTÉ D'HISTOIRE DE SHERBROOKE",275,"Rue Dufferin","J1H 4M5","819 821-5406","Musees D'Histoire Et De Sciences"
"LA SOCIÉTÉ ST-JEAN-BAPTISTE DU DIOCÈSE DE SHERBROOKE",525,"Boulevard Queen-Victoria","J1H 3R4","819 569-5171","Organisations Civiques Et Amicales"
"LA SOURCE (13E AVENUE N)",930,"13e Avenue Nord","J1E 3G8","819 563-2599","Magasins D'Appareils Menagers, De Televiseurs Et D'Autres Appareils Electroniques"
"LA SOURCE (BOULEVARD DE PORTLAND)",3050,"Boulevard de Portland","J1L 1K1","819 563-7713","Magasins D'Appareils Menagers, De Televiseurs Et D'Autres Appareils Electroniques"
"LA TABLE DU CHEF",11,"Rue Victoria","J1H 3H8","819 562-2258","Restaurants A Service Complet"
"LA TOQUE ROUGE",1435,"Rue Belvédère Sud","J1H 4E4","819 572-2103","Restaurants A Service Complet"
"LA TRIBUNE",780,"Rue King Ouest","J1H 1R7","819 564-5466 , 819 645-4050","Editeurs De Journaux"
"LA VAPESHOP.CA",1821,"Rue Galt Est","J1G 3H6","819 845-1000","Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"LA VIE EN ROSE",3050,"Boulevard de Portland","J1L 1K1","819 820-7082","Magasins De Vetements Pour Femmes"
"LA ZONE PLUS",1187,"12e Avenue Nord","J1E 2X4","819 791-5566","Tous Les Autres Services De Divertissement Et De Loisirs"
"LAB INTEGRATION",1001,"Chemin Dion","J1R 0R8","819 560-7061","Entrepreneur En Travaux D'Electricite"
"LABOKRACBOOM",250,"Rue du Dépôt","J1H 5G1","819 432-6594","Compagnies De Theatre, Sauf Les Compagnies De Comedie Musicale"
"LABONTÉ POUR L",61,"Rue King Ouest","J1H 1P1","819 562-0885","Magasins De Vetements Pour Femmes"
"LABORATOIRE CHARLES RIVER (SERVICE PRECLINIQUES)",1580,"Rue Ida-Métivier","J1E 0B5","819 346-8200","Recherche Et Developpement En Sciences Physiques, En Genie Et En Sciences De La Vie"
"LABORATOIRE D4 (COIFFEUR BARBIER)",674,"Rue Victoria","J1H 3J5","819 791-4850","Salons De Coiffure Pour Homme"
"LABORATOIRE DENTAIRE PRO-FIXE ESTRIE",872,"Rue Homère","J1N 2H8","819 563-1296","Laboratoires Medicaux Et D'Analyses Diagnostiques"
"LABORATOIRE EVO",360,"Rue Galt Est","J1G 1X9","819 340-1234","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"LABORATOIRE M2",4005,"Rue de la Garlock","J1L 1W9","819 563-0698","Laboratoires D'Essai"
"LABRIE JACQUES ENR.",1071,"Rue Elgin","J1J 1A1","819 566-0450","Ecole Des Beaux-Arts"
"LACASSE & FILS MAÎTRES COUVREURS INC.",10230,"Boulevard Bourque","J1N 0G2","819 843-2681","Entrepreneurs En Travaux De Parements"
"LAFLEUR DAVEY AGENCE IMMOBILIÈRE",1645,"Rue King Ouest","J1J 2C7","819 563-1010","Bureaux D'Agents Et De Courtiers Immobiliers"
"LAFRANCE AVOCATS D’AFFAIRES",80,"Rue Peel","J1H 4K1","819 564-7759","Etudes D'Avocats"
"LALIBERTÉ SAINT-PIERRE HUBERDEAU",2100,"Rue King Ouest","J1J 2E8","819 565-7878","Cabinets De Comptables"
"LAMBERT MÉDICO FACTURES INC.",769,"Rue Woodward","J1G 1W5","819 346-1962","Centres De Services Aux Entreprises"
"LAMOUREUX, LÉONARD, NOTAIRES S.E.N.C.",520,"Rue Bowen Sud","J1G 2E1","819 563-0500","Etudes De Notaires"
"LANDRY SERVICES FINANCIERS",250,"Rue King Est","J1G 1A9","819 238-6543","Services De Conseil En Placement"
"LANGLOIS MÉCANIQUE",2571,"Chemin des Écossais","J1N 3H4","819 574-4140","Services D'Amenagement Paysager"
"LAPLACE INSIGHTS",230,"Rue King Ouest","J1H 1P9","819 987-3202","Services De Conseil En Placement"
"LAPLANTE AUTOMOBILES ENR.",6529,"Rue Émery-Fontaine","J1N 2S6","819 864-4994","Reparations Generales De Vehicules Automobiles"
"LAPLANTES & ASSOCIÉS AUDIOPROTHÉSISTES",300,"Rue Belvédère Nord","J1H 4B1","819 821-4435","Cabinets De Physiotherapeutes, D'Ergotherapeutes, D'Orthophonistes Et D'Audiologistes"
"LASER KING EVOLUTION",2257,"Rue King Ouest","J1J 2G2","819 822-2888","Tous Les Autres Services De Divertissement Et De Loisirs"
"LASER PRO",4435,"Boulevard Industriel","J1L 2S9","1 800-555-9531","Toutes Les Autres Activites Diverses De Fabrication"
"LASIK MD (GROUPE GVC)",2935,"Boulevard de Portland","J1L 2Y7","819 822-2200","Cabinets De Tous Les Autres Praticiens"
"LAURA",3050,"Boulevard de Portland","J1L 1K1","819 565-8523","Magasins De Vetements Pour Femmes"
"LAURA DEVOST SEXOLOGUE ET PSYCHOTHÉRAPEUTE",297,"Rue Dufferin","J1H 4M5","819 577-5256","Cabinets De Praticiens En Sante Mentale, Sauf Les Medecins"
"LAURA SECORD",3050,"Boulevard de Portland","J1L 1K1","819 346-9921","Confiseries Et Magasins De Noix"
"LAVACOM",2885,"Rue Hertel","J1L 1Y3","819 565-2377","Fournisseur De Services De Telecommunications Par Fil (Sauf Cablodistribution)"
"LAVAGE A & M (2012) INC.",1196,"Rue Lindbergh","J1E 1E9","819 345-5757","Tous Les Autres Services Relatifs Aux Batiments Et Aux Logements"
"LAVAGE DE VITRES PROFESSIONNEL DE L'ESTRIE",4503,"Boulevard Industriel","J1L 2S9","819 345-7313","Services De Nettoyage De Vitres"
"LAVE-AUTO & CAMION SPLASH",4630,"Boulevard Industriel","J1L 2W4","819 620-2079","Lave-Autos"
"LAVE-AUTO SHERBROOKE ESTHÉTIQUE",41,"11e Avenue Sud","J1G 2T2","819 822-1815","Lave-Autos"
"LAVE-O-MAX",3496,"Rue Galt Ouest","J1H 0A5","819 565-4696","Lave-Autos"
"LAVERIE",2102,"Rue Galt Ouest","J1K 1K2",NA,"Blanchisseries Et Nettoyeurs A Sec Libre-Service"
"LAVERIE KING",997,"Rue King Ouest","J1H 1S3",NA,"Blanchisseries Et Nettoyeurs A Sec Libre-Service"
"LAVERIE MAYTAG (RUE SAINT-PAUL)",651,"Rue Saint-Paul","J1H 2B6",NA,"Blanchisseries Et Nettoyeurs A Sec Libre-Service"
"LAVERIE SHERBROOKE (MCMANAMY)",1164,"Rue McManamy","J1H 2N8","819 823-1537","Services De Nettoyage A Sec Et De Blanchissage Et De Blanchissage, Sauf Le Libre-Service"
"LAVERY AVOCATS",95,"Boulevard Jacques-Cartier Sud","J1J 2Z3","819 346-5058","Etudes D'Avocats"
"LB PROFOR",1001,"Chemin Dion","J1R 0R8","819 791-4449","Entrepreneur En Travaux D'Electricite"
"LE 116 TATTOO",116,"Rue Wellington Sud","J1H 5C7",NA,"Tous Les Autres Services Personnels"
"LE 35 COIFFURE ESTHÉTIQUE",65,"Rue Belvédère Nord","J1H 4A7","819 829-5638","Salons De Coiffure Mixtes"
"LE BALADI",123,"Rue Wellington Nord","J1H 5B9","819 565-8404","Restaurants A Service Complet"
"LE BALUCHON SANTÉ",2825,"Rue du Manoir","J1L 2E5","819 822-0565","Traiteurs"
"LE BARBIER PRIVÉ",287,"Rue King Ouest","J1H 1R2","819 620-2690","Salons De Coiffure Pour Homme"
"LE BLÉ D'OR CUISINE COLLECTIVE",1765,"Rue Belvédère Sud","J1H 4E4 ","819 820-1231","Organisme D'Action Sociale"
"LE BUSINESS CLUB",446,"Rue Dufferin","J1H 4M8","819 346-1055","Agences De Publicite"
"LE CAMP DU TRAPPEUR",1940,"Chemin Rhéaume","J1N 0G9","819 570-0332","Tous Les Autres Services De Divertissement Et De Loisirs"
"LE CAPUCIN",2530,"Rue King Ouest","J1J 2E8","819 565-4251","Magasins De Vetements Pour Enfants Et Bebes"
"LE CARREFOUR DE NOËL",3050,"Boulevard de Portland","J1L 1K1","819 563-1907","Magasins De Tous Les Autres Accessoires De La Maison"
"LE CARROSSIER",917,"Rue de Courcelette","J1H 3X6","819 864-6873","Reparation Et Entretien De La Carosserie, De La Peinture Et De L'Interieur De Vehicules Automobiles"
"LE CENTRE CORPS ÂME ET ESPRIT",595,"Chemin du Sanctuaire","J1H OE1","819 563-3323","Etablissements Residentiels Pour Alcoolisme Et De Toxicomanie"
"LE CENTRE NUTRITION ANIMALE DE L'ESTRIE",1730,"Rue Wellington Sud","J1M 1K9","819 348-1888","Animaleries Et Magasins De Fournitures Pour Animaux"
"LE CHAT NOIR",1665,"Rue King Ouest","J1J 2C8","819 823-2070","Debits De Boissons (Alcoolisees)"
"LE CODE D'HONNEUR STUDIO WEB",234,"Rue Dufferin","J1H 4M2","8197911022 , 18778005926","Conception De Systemes Informatiques Et Services Connexes"
"LE COIFFURIUM",540,"Rue Belvédère Sud","J1H 4B5","819 563-5663","Salons De Coiffure Mixtes"
"LE COIN D'ITALIE",1381,"Rue King Ouest","J1J 2B8","819 563-5130","Tous Les Autres Magasins D'Alimentation Specialisee"
"LE COLLECTIF",2500,"Boulevard de l'Université","J1K 2R1","819 993-1780","Editeurs De Journaux"
"LE COUREUR",1682,"Rue King Ouest","J1J 2C9","819 566-5363","Magasins D'Articles De Sport"
"LE DIAMANT BAR À SHAKES",1189,"12e Avenue Nord","J1E 2X4",NA,"Etablissements De Restauration A Service Restreint"
"LE DOCTEUR DU MEUBLE",219,"Rue Albert-Dion","J1N 3J9","819 864-4955","Rembourrage Et Reparation De Meubles"
"LE DOMAINE BERGEVILLE",6943,"Boulevard Bourque","J1N 3K4 ","819 842-1026","Grossistes-Distributeurs De Boissons Alcoolisees"
"LE FENÊTRIER ISOTHERMIC",268,"Chemin Godin","J1R 0S6","819 566-6331","Entrepreneurs En Petite Menuiserie"
"LE FLORAL HÔTEL INC.",1920,"12e Avenue Nord","J1E 4J6","819 564-6812","Hotels"
"LE FUEGO BAR SANTÉ",1300,"Boulevard Mi-Vallon","J1N 3C8","819 822-4352","Etablissements De Restauration A Service Restreint"
"LE FUTUR EST BAMBOU",1194,"Rue du Conseil","J1G 1M8","819 349-1799","Magasins De Tous Les Autres Produits De Sante Et De Soins Personnels"
"LE GITE DU BEL ÂGE INC.",1001,"Rue Brûlotte","J1E 0G8","819 562-0312","Etablissements Communautaires De Soins Pour Personnes Agees"
"LE GRENIER (BOUL. DE PORTLAND)",3151,"Boulevard de Portland","J1L 2P1","819 562-4598","Magasins De Vetements Pour Femmes"
"LE GRENIER (GALERIES 4 SAISONS)",930,"13e Avenue Nord","J1E 3J7","819 562-6184","Magasins De Vetements Pour Femmes"
"LE GRENIER (RUE KING O)",2283,"Rue King Ouest","J1J 2G2","819 562-9900","Magasins De Vetements Pour La Famille"
"LE GRIFFON INC.",19,"Rue Wellington Nord","J1H 5A9","819 566-0036","Magasins D'Articles De Passe-Temps, De Jouets Et De Jeux"
"LE GROUPE A & A SHERBROOKE",4229,"Boulevard Industriel","J1L 2S7","819 829-5959","Impression Et Activite Connexe De Soutien"
"LE GROUPE BEAUCAGE CARROSSIER",4359,"Boulevard Bourque","J1N 1S4","1 888-286-9542","Reparation Et Entretien De La Carosserie, De La Peinture Et De L'Interieur De Vehicules Automobiles"
"LE GROUPE DÉZIEL (SIÈGE SOCIAL)",1030,"Rue Deschaillons","J1G 1X7","819 569-9296","Reparation Et Entretien De Machines Et De Materiel  D'Usage Commercial Et Industriel"
"LE GROUPE DÉZIEL DIVISION HYDRAULIQUE",1245,"Rue Galt Est","J1G 1Y7","819 569-7478","Reparation Et Entretien De Machines Et De Materiel  D'Usage Commercial Et Industriel"
"LE GROUPE DUTIL",1338,"Rue King Ouest","J1J 2B6","819 346-4444","Bureaux D'Agents Et De Courtiers Immobiliers"
"LE GROUPE EXPERT DRAINS",8345,"Boulevard Bourque","J1N 0G2","819 864-6441","Entrepreneur En Travaux De Plomberie, Chauffage Et Climatisation"
"LE GROUPE FORGET",1280,"Rue King Est","J1G 1E4","819 569-9781","Cabinets De Physiotherapeutes, D'Ergotherapeutes, D'Orthophonistes Et D'Audiologistes"
"LE GROUPE GAZON GYSEL",7702,"Chemin de Saint-Élie","J1R 0C4","819 348-9513","Services D'Amenagement Paysager"
"LE GROUPE GCRH",165,"Rue Wellington Nord","J1H 5B9","819 821-3988","Services De Conseils En Ressources Humaines Et En Recherche De Cadres"
"LE GROUPE GE",3005,"Rue Gastin","J1H 0E5","819 569-0000","Entrepreneur En Travaux D'Electricite"
"LE GROUPE GYSEL",7702,"Chemin de Saint-Élie","J1R 0C4","819 348-9513","Services D'Amenagement Paysager"
"LE GROUPE IMMOBILIER S.N.T. INC.",901,"Rue Galt Est","J1G 1Y6",NA,"Bureaux D'Agents Et De Courtiers Immobiliers"
"LE GROUPE MASTER INC.",161,"Rue Léger","J1L 1M1","819 346-0707","Services De Conseils En Environnement"
"LE GROUPE PROBEX",1948,"Rue Chevalier","J1K 1E2","873 200-1338","Entrepreneurs En Travaux De Maconnerie"
"LE GROUPE SERCE",2885,"Rue Galt Ouest","J1K 1L9","819 574-0911","Services De Conciergerie (Sauf Le Nettoyage De Vitres)"
"LE JARDIN DES AMINAUX INC. (RUE KING E)",1110,"Rue King Est","J1G 1E4","819 822-0614","Animaleries Et Magasins De Fournitures Pour Animaux"
"LE JARDIN DES ANIMAUX INC. (BOUL. DE PORTLAND)",3315,"Boulevard de Portland","J1L 2P1","819 563-8056","Animaleries Et Magasins De Fournitures Pour Animaux"
"LE JARDIN FRUITIER DE SHERBROOKE",4521,"Rue de Lotbinière","J1N 0E3","819 864-6297","Marches De Fruits Et De Legumes"
"LE MAGICIEN DE LA COIFFURE",636,"Rue du Conseil","J1G 1K5","819 564-2474","Salons De Coiffure Mixtes"
"LE MARCHÉ DU STORE",2324,"Rue King Ouest","J1J 2E8","819 565-0007","Magasins De Tous Les Autres Accessoires De La Maison"
"LE MARCHÉ VÉGÉTARIEN (BOUL. JACQUES-CARTIER N)",50,"Boulevard Jacques-Cartier Nord","J1J 2Z8","819 823-7646","Marches De Fruits Et De Legumes"
"LE MARCHÉ VÉGÉTARIEN (BOULEVARD BOURQUE)",5181,"Boulevard Bourque","J1N 1H9",NA,"Supermarches Et Autres Epiceries, Sauf Les Depanneurs"
"LE MARCHÉ VÉGÉTARIEN (RUE KING E)",777,"Rue King Est","J1G 1C6","819 821-2318","Marches De Fruits Et De Legumes"
"LE MODULE (PARKOUR)",1585,"Rue Denault","J1H 2R1","819 238-4374","Centre De Sports Recreatifs Et De Conditionnement Physique"
"LE MONASTÈRE, RÉSIDENCES ET APPARTEMENTS",871,"Rue de l'Ontario","J1J 3S1","819 564-0027","Etablissements Communautaires De Soins Pour Personnes Agees"
"LE MONTAGNAIS - CAMPUS CENTRO",121,"Rue du Dépôt","J1H 5E9","819 993-8988","Maisons De Chambres Et Pensions De Famille"
"LE MURDOCH",180,"Rue Galt Ouest","J1H 1X9","819 347-4338","Debits De Boissons (Alcoolisees)"
"LE P'TIT LOCAL SIMPLEMENT SANS GLUTEN",366,"Rue Alexandre","J1H 4T1","819 566-2233","Tous Les Autres Magasins D'Alimentation Specialisee"
"LE PARALLÈLE DE L'HABITATION SOCIAL INC.",22,"Rue William-Ives","J1E 2C2","819 566-7868","Organisme D'Action Sociale"
"LE PETIT JULES CAFÉ",1461,"Rue Galt Ouest","J1H 2A9","873 339-5853","Restaurants A Service Complet"
"LE PETIT ROYAUME",1050,"Rue des Jardins-Fleuris","J1E 1J5",NA,"Organisme D'Action Sociale"
"LE PETIT THÉATRE DE SHERBROOKE",250,"Rue du Dépôt","J1H 5G1","819 565-5536","Exploitants De Theatres Et Autres Diffuseurs D'Evenementsartistiques Avec Installations"
"LE PLAN B",522,"Rue du Conseil","J1G 1K1",NA,"Fleuristes"
"LE POIVRON ROUGE",4218,"Boulevard Bourque","J1L 1W6","819 820-7727","Traiteurs"
"LE PÔLE CONSTRUCTION + DESIGN",8650,"Boulevard Bourque","J1N 0G2","819 432-4542","Magasins De Revetement De Sol"
"LE PONT MASSOTHÉRAPIE MARIE-JOSÉE TARDIF",2003,"Rue Normand","J1G 4B2","819 565-2331","Autres Services De Soins Personnels"
"LE PUB DU NORD",2437,"Rue King Ouest","J1J 2G7","819 346-7279","Debits De Boissons (Alcoolisees)"
"LE RACK À VIN CM",1201,"Rue de Boulogne","J1C 0C6","819 846-1067","Magasins De Materiel Pour La Fabrication De La Biere Et Du Vin"
"LE RANCH DU SPAGHETTI",4210,"Boulevard Bourque","J1L 1W6","819 575-1444","Restaurants A Service Complet"
"LE REFUGE DES BRASSEURS INC",2155,"Rue Galt Ouest","J1K 1K3","819 791-7574","Debits De Boissons (Alcoolisees)"
"LE RENAISSANCE RETRAITE - FLEURIMONT",1363,"Rue King Est","J1G 1E8","1 844 843-1113","Etablissements Communautaires De Soins Pour Personnes Agees"
"LE RENAISSANCE SHERBROOKE MANOIR ST-FRANCIS",125,"Rue Queen","J1M 1J7","819 562-0875","Etablissements Communautaires De Soins Pour Personnes Agees"
"LE RÉPARATEUR",4336,"Boulevard Industriel","J1L 2S8","819 821-4160","Autres Services De Reparation Et D'Entretien  D'Articles Personnels Et Menagers"
"LE REPÈRE - EXPERTISE SANTÉ PERFORMANCE",4713,"Boulevard Bourque","J1N 2G6",NA,"Cabinets De Physiotherapeutes, D'Ergotherapeutes, D'Orthophonistes Et D'Audiologistes"
"LE RIGOLO (CENTRE D'AMUSEMENT ET DE DEVELOPPEMENT)",4204,"Rue Bertrand-Fabi","J1N 3Y2","819 822-4266","Tous Les Autres Services De Divertissement Et De Loisirs"
"LE ROCK",45,"Rue King Ouest","J1H 1P1","819 564-7746","Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"LE ROI DU BÉTON",185,"Chemin Godin","J1R 0S6","819 620-5464","Entrepreneurs En Travaux De Parements"
"LE SALON DE L’EPILATION",5104,"Boulevard Bourque","J1N 2K7","819 821-8185","Autres Services De Soins Personnels"
"LE SEUIL DE L'ESTRIE",1335,"Rue King Ouest","J1J 2B8","819 821-2420","Organisme D'Action Sociale"
"LE SILO (BOULEVARD BOURQUE)",4756,"Boulevard Bourque","J1N 2A7","819 564-4220","Tous Les Autres Magasins D'Alimentation Specialisee"
"LE SILO (RUE KING E)",385,"Rue King Est","J1G 1B4","819 791-9776","Tous Les Autres Magasins D'Alimentation Specialisee"
"LE SNACK",146,"Rue Wellington Nord","J1H 5C5","819 791-5511","Etablissements De Restauration A Service Restreint"
"LE STUDIO BEAUTÉ",235,"Rue Galt Ouest","J1H 1Y1","819 349-1194","Salons De Beaute"
"LE TASSÉ CAFÉ DE QUARTIER",426,"Rue du Conseil","J1G 1J7","819 791-2211","Etablissements De Restauration A Service Restreint"
