Business Name,Products or Services,Unit,House Number,Road,Postal Code,Phone,Town Centre,Longitude,Latitude
Long Promo Plus Inc,Wholesale,108A,18651,52 Ave,V3S8E5,,CTC,-122.7062227,49.09727663
Tritek Business Solutions Inc.,Manufacturing/Machine Shop - IT Computer ,,12188,86 Ave,V3W3H7,,NTC,-122.8850868,49.15947135
Trendi Nails Studio,Esthetician,120,15355,24 Ave,V4A2H9,,SSTC,-122.7975044,49.04583671
T L Pearl Beauty Nails Salon,Esthetician,102,9380,120 St,V3V4B9,,WTC,-122.88992,49.17352547
Lucy Taylor MSW RCSW,Counselling Service,300,15300,Croydon Dr,V3Z0Z5,,FTC,-122.7980344,49.05992987
"Dr K K Sidhu, R Psych & Associates",Counselling Service,204,13569,76 Ave,V3W2W3,,NTC,-122.8470477,49.1409873
Dr Francis Trinh Inc,Professional Practitioner-Dentist,38,15300,105 Ave,V3R6A7,,GTC,-122.7977179,49.19317507
Peoples Pharmacy 325,"Retail Merchant - 0 to 2 Employees, Medical Clinic",107,15551,Fraser Hwy,V3S2V8,,FTC,-122.7912586,49.16241879
Harpreet Nirwan Law Corporation,Law Firm,209,15240,No 10 (56 Ave) Hwy,V3S5K7,,NTC,-122.79931,49.10418421
Crossborder Vehicle Sales Ltd,Automobile Dealer/Rebuilder,102,2570,King George Blvd,V4P1H5,,SSTC,-122.7971082,49.04892267
Vina,Restaurant - No Alcohol,1413,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192585
Tommy Gunn's,Hair Salon/Barber,2550,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192586
My Gym Children's Fitness Centre,Recreational Facility - Children's Fitness Centre,103,2429,152 St,V4P1N4,,SSTC,-122.8015081,49.04616705
Indian Kitchen Spices Ltd,Warehouse,,7552,134A St,V3W7J1,,NTC,-122.8500101,49.14010595
Impulse Chiropractic,Professional Practitioner - Chiropractor,101,15399,102A Ave,V3R7K1,,GTC,-122.7956937,49.18912067
Raffles Transportation Group Inc,Administration Office - Dispatch office,202,8434,120 St,V3W7S2,,NTC,-122.8900795,49.15659098
Surrey 152 St Physiotherapy & Sports Clinic,Professional Practitioner - Physiotherapy,307,9014,152 St,V3R4E7,,FTC,-122.7992408,49.16697429
Zennkai Eccotique Salon & Spa,"Retail Merchant - Beauty Supplies, Hair Salon/Barber, Esthetician",1132,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192585
McDonald Makkar Inc,Bookkeeping & Tax Prep,205,8501,162 St,V4N1B2,,FTC,-122.7735478,49.15718298
Merchant Law Group LLP,Law Firm,303/,15127,100 Ave,V3R0N9,,GTC,-122.8031241,49.18523908
Atwal Law Office,Professional Practitioner-Lawyer,204,7928,128 St,V3W4E8,,NTC,-122.8676651,49.14675376
Oxygen Yoga & Fitness,Yoga Fitness,126,17449,No 10 (56 Ave) Hwy,V3S2X6,,CTC,-122.7398766,49.10436925
Sengastech Instruments Ltd,"Contrator - Carbon Monoxide Sensor Installation, Service & Repair",202,15388,24 Ave,V4A2J2,,SSTC,-122.7964038,49.0454164
Penfolds Roofing,Contractor - Rooofing/Renovation,103,6039,196 St,V3S7X4,,CTC,-122.680326,49.11219062
South Surrey Pediatrics,Professional Practitioner-Medical,114,2630,Croydon Dr,V3S0C5,,SSTC,-122.7890743,49.04988337
Progressive Polyurethane Products Inc,Urethane Molded Parts,17,8456,129A St,V3W1A2,,NTC,-122.8637021,49.15622135
CIRCLE K,Retail Merchant - Convenience Store,,13983,16 Ave,V4A1P8,,,-122.8346276,49.03139493
Oxygen Yoga & Fitness South Surrey,Recreational Faciltiy - Yoga Studio,104,15388,24 Ave,V4A2J2,,SSTC,-122.7964038,49.0454164
A S A P Restoration Ltd,Contractor - Restoration,206,12844,Anvil (78 Ave) Way,V3W8E7,,NTC,-122.8665731,49.14451223
J M T Auto Solutions,Automotive Repair Service,,7877,128 St,V3W4E7,,NTC,-122.868226,49.14580486
Nicky Hair & Beauty Salon,Hair Salon,3,9880,120 St,V3V4C9,,WTC,-122.8899486,49.18221496
Sunmax Motors,Automobile Dealer/Rebuilder,104,19415,56 Ave,V3S6K2,,CTC,-122.6852154,49.10463067
A52 Warehouse Inc,Warehouse - Apparel,110,2360,192 St,V3Z0N2,,SSTC,-122.6910096,49.04474153
"Bourbon Street Grill, A Division of Lee Fung Co Ltd",Restaurant - No Alcohol,,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192585
Precise Automotive Ltd,Automotive Repair Service,,10585,King George Blvd,V3T2X5,,SCC,-122.8456476,49.19496539
Journey's Store #5036,Retail Merchant - Shoe Store,,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192585
Nails R Us Salon & Spa,Nail Salon,,18696,Fraser Hwy,V3S7Y4,,CTC,-122.7036574,49.12429034
P K Garden Wholesale Inc,Wholesale,,18760,96 Ave,V4N3P9,,GTC,-122.7031797,49.17684553
Ok Hee Bae Food Co,Restaurant - Sushi,303,15930,Fraser Hwy,V4N0X8,,FTC,-122.7818799,49.15706506
Van City Glass Ltd,Warehouse,10,13550,77 Ave,V3W6Y3,,NTC,-122.8480599,49.14254567
Bitvertex Consulting Inc,Computer Consulting / Repair / Design,D100,8338,120 St,V3W3N4,,NTC,-122.8900702,49.15489089
Goru Goru,Retail Merchant,300+,15930,Fraser Hwy,V4N0X8,,FTC,-122.7818799,49.15706506
Jessie Food & Pizza Inc,Wholesale,105,13035,84 Ave,V3W1B3,,NTC,-122.8615964,49.15651039
Westland Immigration Visa Services Inc,Immigration Consultant,204A,8434,120 St,V3W7S2,,NTC,-122.8900795,49.15659098
Streetside Developments BC Ltd,Land Development,201,6525,177B St,V3S5N4,,NTC,-122.7311208,49.1206088
Pacific Bistro and Convenience Store Ltd,"Restaurant - No Alcohol, Retail Merchant - 3 to 5 Employees",,382,175A St,V3S6S7,,SSTC,-122.7359333,49.00903312
C D I College,Business School,112,14928,No 10 (56 Ave) Hwy,V3S2N5,,NTC,-122.8089677,49.1042299
Guards Capital Corporation,Financial Planning/Consultant,701,17665,66A Ave,V3S2A7,,CTC,-122.7332104,49.1235247
A-Maskeen Framing Ltd,Contractor - Construction,307/,6321,King George Blvd,V3X1G1,,NTC,-122.8458528,49.11759746
Dr Les Ennis Inc,Professional Practitioner-Dentist,300,2630,Croydon Dr,V3S6T3,,SSTC,-122.7890743,49.04988337
Guildford Medical Clinic,Professional Practitioner-Medical,,14650,104 Ave,V3R1M3,,GTC,-122.8160259,49.19123455
Maskeen Development Ltd,Contractor - Construction,308/,6321,King George Blvd,V3X1G1,,NTC,-122.8458528,49.11759746
Ekam Development Ltd,Contractor - Construction,308/,6321,King George Blvd,V3X1G1,,NTC,-122.8458528,49.11759746
Dr Manpreet Kaur Cooner Inc,Professional Practitioner-Medical,200,15331,16 Ave,V4A1R6,,SSTC,-122.7986252,49.03132543
Hilltop Medical Clinic,Professional Practitioner-Medical,200,15331,16 Ave,V4A0C1,,SSTC,-122.7986252,49.03132543
Division 2 Contracting Ltd,"Contractor - General,Contractor - General ",,10553,Scott Rd,V3V4G4,,WTC,-122.8885896,49.19450418
Dr Keith Krull,Professional Practitioner - Psychiatry,11,15243,91 Ave,V3R8P8,,FTC,-122.7998524,49.16845099
Janda Group Holdings Inc,Property/Business Management,,8338,120 St,V3W3N4,,NTC,-122.8900702,49.15489089
Lees Pottery Inc,"Trucking & Cartage - 1 Vehicle Only, Warehouse",,13120,76 Ave,V3W7P1,,NTC,-122.8595185,49.13989869
Boundary Park Medical Clinic,Part Time Medical Physician,115,6350,120 St,V3X3K1,,NTC,-122.8900634,49.11815677
Dr Pawandeep Dhillon,Professional Practitioner - Physician,204,18730,Fraser Hwy,V3S7Y4,,CTC,-122.7029946,49.12408823
Surrey Medical Clinic,Professional Practitioner - Physician,103,13737,96 Ave,V3V0C6,,SCC,-122.842751,49.17720977
Synergy Rehabilitation Inc ,Professional Practitioner - Walk in Clinic,103,8585,160 St,V4N1G4,,FTC,-122.7791768,49.15870391
Rogers Authorized Dealer - KINETIC Wireless,Retail Merchant - Cell Phones,500,18696,Fraser Hwy,V3S7Y4,,CTC,-122.7036574,49.12429034
Newville Drywall Ltd,Contractor - Drywall,202,8028,128 St,V3W4E9,,WTC,-122.8676263,49.14852263
Sidhu Money Exchange Ltd,Currency Exchange,,9490,152 St,V3W1R1,,NTC,-122.8007837,49.17496165
Canadian Red Cross,Charitable Society/Organization - Loan facility - health equipment etc,,14727,108 Ave,V5A4Y2,,GTC,-122.8144564,49.19889521
Curry Way,Restaurant - No Alcohol,1409,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192585
Devgon Aluminum Railing & Gates Ltd,Manufacturer/Machine Shop - Aluminum Railing,209,8322,130 St,V3W8J9,,NTC,-122.8620364,49.15374911
Lifeview Financial Services Inc,Insurance Agent,266,12899,76 Ave,V3W1E6,,NTC,-122.8649023,49.14118753
Evershine Family Dentistry,Dental Office,111,7130,120 St,V3W3M8,,NTC,-122.8894631,49.13256483
Applewood Nissan,Automobile Dealer/Rebuilder,,15257,Fraser Hwy,V3R3P3,,FTC,-122.7994803,49.16556084
Nawab Paan & Snacks,Restaurant - No Alcohol,101,9250,120 St,V3V4B7,,WTC,-122.8900423,49.17095431
D Plus Pizza,Restaurant - No Alcohol,,10207,King George Blvd,V3T2W6,,SCC,-122.8460614,49.18799242
Rachael Corbett Physiotherapy,"Part Time Medical Practitioner - Physiotherapy,Professional Practitioner-Medical",87,15588,32 Ave,V0V0V0,,SSTC,-122.7916934,49.05896565
Alexander Glazyrin RMT,Registered Massage Therapist ,105,18640,Fraser Hwy,V3S7Y4,,CTC,-122.7060946,49.12546293
FreshSlice ,Restaurant - No Alcohol,13,9908,King George Blvd,V3T2V6,,SCC,-122.8449947,49.18334718
Aries Martial Arts Academy Ltd,Recreational Facility - Martial Arts Club,,13279,72 Ave,V3W2N5,,NTC,-122.8541879,49.13388172
West Coast Retina Consultants Inc,Professional Practitioner-Medical,,5477,152 St,V3S5A5,,NTC,-122.8015849,49.10316269
Speed Go Transport Ltd,Trucking office,,18935,96 Ave,V4P3P3,,GTC,-122.6977946,49.1771827
Dr Foroozan Ghohari Inc,Professional Practitioner-Medical,102,10183,152A St,V3R4H6,,GTC,-122.7997372,49.18749989
Dr D Sandhu Inc & Associates,Professional Practitioner-Dentist,101,7110,120 St,V3W3M8,,NTC,-122.8900661,49.13227008
Orbit Installations Inc,Contractor - Satelite Phone Installation,211,3388,Rosemary Heights Cr,V3Z0K7,,SSTC,-122.7981734,49.06333416
Iron Mountain Welding Ltd,Welding Contractor,72,13365,115 Ave,V3R0R8,,WTC,-122.8520337,49.21175144
F Y I Doctors,"Professional Practitioner-Optometrist, Retail Sales of Eyeware & Accessories",,6398,120 St,V3X3K1,,NTC,-122.8901179,49.11910834
Famoso Neapolitan Pizzeria,Food Primary-Class B Dining Lounge,,15865,Croydon Dr,V3S2J6,,SSTC,-122.7824594,49.04587135
Happy Smile Dental Clinic,Professional Practitioner-Dentist,103/,14187,62 Ave,V3X0B1,,NTC,-122.8296301,49.11562614
Millhouse Industries,Contractor - Millwork installers,,11514,132A St,V3R7S2,,WTC,-122.854833,49.21172993
Royal Kitchen Cabinets Ltd ,"Manufacturer/Machine Shop,Contractor - Kitchen Cabinets ",,12507,80 Ave,V3W3A4,,NTC,-122.8760053,49.14847729
Narindar Singh Kang Law Corporation,Professional Practitioner - Lawyer,202,12885,80 Ave,V3W0E6,,NTC,-122.8649138,49.14844044
Together U & Me Nails & Hair Design ,"Esthetician - Nails,Hair Salon ",,6385,168 St,V3S3T6,,CTC,-122.7568886,49.11833808
Snap Fitness Cloverdale,Recreational Facility - Fitness Studio,,16796,64 Ave,V3S3Y2,,CTC,-122.7571117,49.11868841
Westrend Exteriors Inc,Warehouse,101,3950,191 St,V3S3S7,,CTC,-122.6939108,49.07376788
Dr James Mugisha Inc,Professional Practitioner-Medical,201,16088,84 Ave,V4N0V9,,FTC,-122.7763379,49.15517355
Dhaliwal Foods Ltd,Manufacture / Machine Shop - Dairy Manufacturing ,2,6531,148 St,V3S3C5,,NTC,-122.8124549,49.12151253
Dr Benjamin D Tyrell Inc,Professional Practitioner-Medical,200,15331,16 Ave,V4A0C1,,SSTC,-122.7986252,49.03132543
Peter Von Riedemann,Professional Practitioner - Hand Therapist,112,13710,94A Ave,V3V1N1,,WTC,-122.842893,49.17453131
Surrey Mail Boxes,Post Box Rental Agency,122,15299,68 Ave,V3S2C1,,NTC,-122.7992341,49.12656472
Prime Auto Sales Ltd,Automobile Dealer/ Rebuilder,,12473,King George Blvd,V3V3K3,,WTC,-122.8767043,49.20662129
Homeland Mortgage Corporation,Financial Planning/ Consultant - Mortgage Broker ,204,7928,128 St,V3W4E8,,NTC,-122.8676651,49.14675376
H & R Block,Income Tax Service/Buyer,,2355,160 St,V3S9N6,,SSTC,-122.781432,49.04439297
Advanced Tracker Technologies Inc,Software Development,216,2383,King George Blvd,V4A5A4,,SSTC,-122.7941979,49.04483578
White Rock Office Services,Business Services Office,202,15388,24 Ave,V4A2J2,,SSTC,-122.7964038,49.0454164
Impark Lot 1746,Parking Lot,,13737,96 Ave,V3S7X1,,SCC,-122.842751,49.17720977
Alliance Cabinet Doors Ltd,Manufacturing / Machine Shop - Cabinet Door Manufacturing ,,14620,64 Ave,V3S1X7,,NTC,-122.8170991,49.11892615
Clover Park Dental,Professional Practitioner-Dentist,109,6385,168 St,V3S3Y2,,CTC,-122.7568886,49.11833808
Dr Ravinder Sandhu Inc,Professional Practitioner - Medical,125,15299,68 Ave,V2S2C1,,NTC,-122.7992341,49.12656472
Young Drivers Of Canada,"Business School, Driving School",215,10070,King George Blvd,V3T2W4,,SCC,-122.8451303,49.18550591
Kulminder Bahi Inc,Professional Practitioner-Dentist,1,6450,120 St,V3W3M5,,NTC,-122.8900805,49.12012336
Peninsula Freight Services Ltd,Business Services Office,107,3237,King George Blvd,V4P1B7,,SSTC,-122.8127483,49.06061188
Sereno Wellness & Spa,Esthetician,101,15850,26 Ave,V3S2N6,,SSTC,-122.7830508,49.04901067
Eecol Electric Corp,Warehouse,,7889,132 St,V3W4P1,,NTC,-122.8570756,49.14629384
Newton Tool Repair Ltd,Repair Service - Tool Repair,114,7533,135 St,V3W0N6,,NTC,-122.8486103,49.13969941
Bamboo,Food Primary-Class B Dining Room,,15785,Croydon Dr,V3S2L6,,SSTC,-122.784369,49.0472666
Fresh Slice,Restaurant - No Alcohol,,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192585
Guildford Town Centre Dental,Professional Practitioner-Dentist,1087,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192585
Lillie and Me,Retail Merchant - Clothing Store,1363,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192585
Sun Farm Produce,Retail Merchant - Convenience Store,,9196,160 St,V4N3A5,,FTC,-122.7786213,49.16983994
Surrey Hearing Guildford Inc,Health Care Consultant,,15277,100 Ave,V3R8X2,,GTC,-122.7987902,49.1844401
Correct Solutions Inc,Warehouse,28,15531,24 Ave,V4A2J4,,SSTC,-122.7920343,49.04577185
Swiss Singapore Canada Pte Ltd,Administration Office - Export Consultancy,206,12788,76A Ave,V3W1S9,,NTC,-122.8685586,49.14218908
Apple Inc,Retail Merchant - Computers & Accessories ,2055,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192585
K & M Construction Ltd,Contractor - Construction,139,7536,130 St,V3W1H8,,NTC,-122.8614287,49.13922076
Lesley Baik,Hair Salon ,,10330,152 St,V3R4G8,,GTC,-122.8000928,49.19027016
Best Idea Kitchen Cabinets Ltd,Manufacturer/Machine Shop,205/,7728,128 St,V3W1L3,,NTC,-122.8676693,49.1427663
Punjab Wireless,Repair Service,153,12899,80 Ave,V3W0E6,,NTC,-122.8647074,49.14844442
Perfect Cell & Laptop Repair Center,Computer Consulting/Repair/Design,101,9250,120 St,V3V4B7,,WTC,-122.8900423,49.17095431
Dr A P Grewal Inc,Professional Practitioner - Dentist,201,15955,Fraser Hwy,V4H0Y3,,FTC,-122.7796095,49.15915132
Superior City Contracting Services Ltd,"Contractor - Sewer/Street Cleaning, Contractor - Street Cleaning / Hydra Excavation",,15151,64 Ave,V3S1X9,,NTC,-122.8023706,49.11923232
Maple Star Immigration & Consultancy Ltd,Immigration Consultant,389,8148,128 St,V3W1R1,,NTC,-122.8648305,49.15057771
Varun Chaudhry & Gursharan Dhaliwal,Financial Planning/Consultant,212,7928,128 St,V3W4E8,,NTC,-122.8676651,49.14675376
Spiceworks Food Creations,Manufacturer/Machine Shop,75,15515,24 Ave,V4A2J4,,SSTC,-122.7926614,49.04577262
North Surrey Husky,"Gas Station, Retail Merchant - Convenience Store",,15970,96 Ave,V4K3N3,,FTC,-122.7798599,49.17672892
Leed Mechanical Group Ltd,Contractor - Plumbing/Heating/Gas,206,18428,53 Ave,V3S7A4,,CTC,-122.7119462,49.09886524
C I B C Wood Gundy,Consultant,408,1688,152 St,V4A4N2,,SSTC,-122.8008931,49.03243524
Carter Burton Home,Retail Merchant - 0 to 2 Employees,116B,1711,152 St,V4A4H3,,SSTC,-122.801669,49.0331143
Yolo Boutique,Retail Merchant - 0 to 2 Employees,119,1711,152 St,V4A4N5,,SSTC,-122.801669,49.0331143
"S K Sharma, CPA",Professional Practitioner - Accountant ,212,7928,128 St,V3W4E8,,NTC,-122.8676651,49.14675376
Tom Harris Cellular Ltd,Retail Merchant - 3 to 5 Employees,860,3041,152 St,V4P3K1,,SSTC,-122.8020893,49.05731993
Hollyburn Family Services Ltd,Administration Office,300,10524,King George Blvd,V3T2X2,,SCC,-122.8449786,49.19378674
Gantry Trucking Ltd,Trucking & Cartage,,11634,130 St,V3R2Y3,,WTC,-122.8615389,49.21414974
Sign Star,"Retail Merchant - Signs, Inter-Municipal Business License FV",108,15290,103A Ave,V3R7A2,,GTC,-122.7983313,49.19014874
Pacific Highway Dental Clinic,Professional Practitioner-Dentist,106,17660,65A Ave,V3S5N4,,CTC,-122.7339008,49.12099735
Cinnzeo Guildford,Restaurant - No Alcohol ,1172,10355,152 St,V3R7B9,,GTC,-122.8042654,49.19192585
Reet Hair Cut & Beauty Salon Ltd,Hair Salon/Barber,109,8312,128 St,V3W4G2,,NTC,-122.8676873,49.15381754
H T Ballast Gardening Wholesale Ltd,Wholesale - Hydroponics Equipment Supplier,103,8299,129 St,V3W0A6,,NTC,-122.8658521,49.15341481
Absolute Office Furniture Industries Ltd,Wholesale - Furniture,113,19097,26 Ave,V3S3V7,,SSTC,-122.6950926,49.04945172
Steveston Glass Ltd,Contractor - Commercial Glazing,02-Jan,5508,Production Blvd,V3S8P5,,CTC,-122.6815317,49.10256838
Physiostation & Sports Injury Clinic Ltd ,Professional Practitioner - Physiotherapy Clinic,113,17433,No 10 (56 Ave) Hwy,V3S2X6,,CTC,-122.7401218,49.1043698
Because We Care Mastectomy Fittings To You,"Retail Merchant - Post Mastectomy Bra, Forms, Clothing, Wigs and Lymphedema Sleeves and Accessories",103,5660,176A St,V3S4H1,,CTC,-122.733533,49.10520361
Darshan Builders Personnel Inc,Consultant - Transportation Industry,396,8148,128 St,V4B1H1,,NTC,-122.8645518,49.1503251
Dr Riar Foot & Ankle Clinic,Professional Practitioner - Medical (Podiatrist) ,504,13737,96 Ave,V3V0C6,,SCC,-122.842751,49.17720977
Mann Motors,Automobile Dealer/Rebuilder,,13211,King George Blvd,V3R2Y5,,WTC,-122.8561713,49.20642726
Sabzi Mandi Express,Wholesale,111-,15299,68 Ave,V3S2C1,,NTC,-122.7992341,49.12656472
Sidhu Dhillon and Associates Inc,Professional Practitioner-Accountant,207,13049,76 Ave,V3W2V7,,NTC,-122.8612083,49.14115267
Jiffy Lube #92 South Surrey,Automotive Repair Service - Auto Service/Oil Change,,15120,32 Ave,V3S4N7,,SSTC,-122.803521,49.06130627
Narwal & Sons Trucking Ltd,Trucking & Cartage ,103,6321,King George Blvd,V3X1G1,,NTC,-122.8458528,49.11759746
Grandview Gyncology,Professional Practitioner-Medical,300,2626,Croydon Dr,V3S0S8,,SSTC,-122.788626,49.04943531
Mainland Excavation & Shoring Ltd,Contractor - Construction/Excavation,208,12899,80 Ave,V3W0E6,,NTC,-122.8647074,49.14844442
Dr Sunira Singh Inc,Professional Practitioner-Medical,708,13737,96 Ave,V3V0C6,,SCC,-122.842751,49.17720977
Fruiticana #26,Retail Merchant - Grocery,,16788,64 Ave,V3S3Y2,,CTC,-122.757322,49.11869123
Fleetwood Remedy's Rx,Retail Merchant - Pharmacy,305,9014,152 St,V3R4E7,,FTC,-122.7992408,49.16697429
Easy Build Structures Ltd,Contractor - Steel Structures ,55,13325,115 Ave,V3R0R8,,WTC,-122.8530554,49.21175609
Options Community Services Society,Non-Profit Society,,13520,78 Ave,V3W8J6,,NTC,-122.8480559,49.14434602
A-1 Powder Coating Ltd,Contractor - Aluminum Railing Powder Coating,112/,13065,84 Ave,V3W1B3,,NTC,-122.8605016,49.15609494
Surrey Central Paan & Snacks ,Wholesale & distribution centre ,104,7928,128 St,V3W3A8,,NTC,-122.8676651,49.14675376
Cloverdale Cornermart Food Shop Ltd,Retail Merchant - Food mart,,5691,177B St,V3S4J2,,CTC,-122.7305337,49.10579854
Circle K,Retail Merchant - Convenience Store,,8007,King George Blvd,V3W5B4,,NTC,-122.846053,49.1485101
Dr Navdip Gill Inc,Professional Practitioner-Medical,106,14199,62 Ave,V3X0B1,,NTC,-122.8293451,49.11562715
B L S Internatinal Srvices Canada Inc ,Immigration Consultant,,8140,120 St,V3W3N3,,NTC,-122.8900665,49.15114002
Top In Town Pizza & Curry,Restaurant - No Alcohol,103,16016,Fraser Hwy,V4N0G3,,FTC,-122.778281,49.1569315
Eden Hair Salon,Hair Salon/Barber,850,3041,152 St,V4P3K1,,SSTC,-122.8020893,49.05731993
JP Mode Salon,Hair Salon/Barber,212,15850,24 Ave,V3S0G1,,SSTC,-122.7837047,49.04539491
7 Eleven Canada Store #36022H,"Retail Merchant - 6 to 9 Employees, Rental Service",,19188,72 Ave,V4N1M9,,CTC,-122.6915763,49.13346587
Brooks Hair Design & Wigs,Manufacturer/Machine Shop,111A,12827,76 Ave,V3W2V3,,NTC,-122.867155,49.14117557
Bosley's Pet Food Plus,Retail Merchant - 3 to 5 Employees,400,6466,176 St,V3S4G3,,CTC,-122.7345741,49.11987487
Cloverdale Crossing Dental Clinic,Professional Practitioner-Dentist,835,17685,64 Ave,V3S1Z2,,CTC,-122.7326704,49.11973006
T D Nail Salon,Esthetician,135,12477,88 Ave,V3W1P8,,WTC,-122.8770559,49.16395195
Miracle Ear Canada Ltd,Retail Merchant - Hearing Aids,203A,15135,101 Ave,V3R7Z1,,GTC,-122.8027022,49.18630015
Miracle Ear Canada Ltd,Retail Merchant - Hearing Aids,B250,15355,24 Ave,V342H9,,SSTC,-122.7975044,49.04583671
Dominion Lending Centres Truwest Mortgage,Financial Planning/Consultant - Mortgage Brokerage,215,12565,88 Ave,V3W3J7,,WTC,-122.8747815,49.16401631
Carmont Financial Inc,Financial Planning/Consultant,300,5450,152 St,V3S5J9,,NTC,-122.8007396,49.10214983
Zukerman Law Group,Professional Practitioner-Lawyer,204,5446,152 St,V3S5J9,,NTC,-122.8007367,49.10133068
Elevation Fitness Ltd,"Recreational Facility, Retail Merchant - 10 to 19 Employees, Restaurant - No Alcohol",208,15110,54A Ave,V3S3S8,,NTC,-122.8027089,49.10151119
Ahmad Malik & Company Ltd,Professional Practitioner-Accountant,203,5631,176A St,V3S4G8,,CTC,-122.7339003,49.1047796
"Dr Jennifer Ma DC ND, Inc","Professional Practitioner - Chiropractor, Professional Practitioner - Naturopath",401,14022,32 Ave,V4P2J2,,SSTC,-122.8333638,49.06010358
Dairy Queen/Orange Julius,Restaurant - No Alcohol,1414,10355,152 St,V3R7B7,,GTC,-122.8042654,49.19192585
Saltys Fish and Chips ,Food Primary-Class B Dining Room,101,15953,Fraser Hwy,V4N0Y3,,FTC,-122.7801459,49.15879416
R J Granite Countertops Ltd,Manufacturer/Machine Shop,6 & ,12777,76A Ave,V3W4Y8,,NTC,-122.8689954,49.14248014
Atmosphere #7411,Retail Merchant - 20 or More Employees,2011,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192585
Cambridge Brass Inc,Manufacturer/Machine Shop,114/,19110,24 Ave,V3S3S9,,SSTC,-122.6944424,49.04545194
Dollarama L P,Retail Merchant - Dollar Store ,508,15950,Fraser Hwy,V4N0X8,,FTC,-122.780242,49.15767131
Peel Financial Corp,Financial Planning/Consultant,112,7475,135 St,V3W0M8,,NTC,-122.8487816,49.13828837
Fix Auto Surrey,Auto Body / Painting ,101,12303,King George Blvd,V3V3K2,,WTC,-122.8817784,49.20632645
Zugba Flame Grilled Chicken,Restaurant - Take out Restaurant ,200,14351,104 Ave,V3T0E1,,SCC,-122.8241835,49.19172759
Raymond James - The Muir Investment Team,Financial Planning/Consultant,300,15300,Croydon Dr,V3S0Z5,,SSTC,-122.7980344,49.05992987
My Shanti,Food Primary-Class B Dining Lounge,,15869,Croydon Dr,V3S0G2,,SSTC,-122.7824692,49.04600869
Legacy Kitchen Cabinets Ltd,Manufacturer/Machine Shop,104,12940,80 Ave,V3W3B2,,NTC,-122.8639235,49.14798718
Achieve Institute of Education,Tutoring,118,12565,88 Ave,V3W3J7,,WTC,-122.8747815,49.16401631
Opa of Greece,Restaurant - No Alcohol ,1404,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192585
Chuck Jung Associates,"Part-time Psychologist, Professional Practitioner - Psychologist,Professional Practitioner-Medical,Part Time Psychologist",,7164,120 St,V3W3M8,,NTC,-122.8898254,49.13337918
Supreme Glass & Shower Doors Ltd,Contractor - Glass & Shower Doors ,A,12117,86 Ave,V3W3H8,,NTC,-122.8871212,49.15976699
Take Five Cafe,Coffeeshop,135,13450,104 Ave,V3T1V8,,SCC,-122.8488989,49.19146408
Jas Construction Ltd,Contractor - General ,202,15300,68 Ave,V3S2B9,,NTC,-122.7981477,49.12617848
No 1 Auto Sales,Auto Dealer,,10894,Scott Rd,V3V4G9,,WTC,-122.8803747,49.20062643
Hot Wheels Towing Services Ltd,Towing - No Storage,101,12743,80 Ave,V3W0Y2,,NTC,-122.869531,49.14835019
Work Docs Occupational Medicine,"Consultant,Health Care Consultant",101,19228,96 Ave,V4N4C1,,GTC,-122.6892911,49.17639542
Sukhman Medical Clinic,Professional Practitioner-Medical,109,12885,80 Ave,V3W0E6,,NTC,-122.8649138,49.14844044
Navraj Fashion Ltd,Wholesale - Clothing & Accessories,102,12885,80 Ave,V3W4G8,,NTC,-122.8656301,49.14919813
Raymond James Inc,Investment Consultant - Investment Dealer,314,2630,Croydon Dr,V3Z6T3,,SSTC,-122.7890743,49.04988337
Tzu Chi Foundation Surrey Office,Charitable Society/Organization,,5724,176 St,V3S4C8,,CTC,-122.7347476,49.10647558
AGT Industrial Solutions Ltd.,"Repair Service, Repair Service - Industrial Equipment",4,17358,104A Ave,V4N5M2,,GTC,-122.7411569,49.19187642
Riverside Heights Dental Centre,Professional Practitioner-Dentist,B,14863,108 Ave,V3R1W2,,GTC,-122.8096627,49.19943826
Subway,Restaurant - No Alcohol,,7350,120 St,V3W3M9,,NTC,-122.8885061,49.13641534
Esso on the Run,Gas Station,,3233,176 St,V3S4N8,,SSTC,-122.7358475,49.06053523
Saini Sweets and Restaurant,Restaurant & Sweet shop,104,15988,Fraser Hwy,V4N0X8,,FTC,-122.7795386,49.15724844
National Bank of Canada,Financial Agent,,2121,160 St,V3S9N6,,SSTC,-122.779521,49.04132935
Nexx Cut,Hair Salon / Barber ,131,1959,152 St,V4A9E3,,SSTC,-122.8014669,49.03727504
Alliance Immigration & Education Consulting Inc,Immigration Consultant,207,8028,128 St,V3W4E9,,NTC,-122.8676263,49.14852263
