dROLLNMBR,BUSINESSNAME,MUNICIPAL ADDRESS,MUNICIPAL ADDRESS2,MUNICIPAL ADDRESS3,BUSINESSTYPE,PHONE,EMAILADDRESS
25002500,C&H Holding Ltd O/A Marks Restaurant               ,           ,5102,50 AVE                   ,Family Restaurant (Liquor)     ,8.68E+13,marks8679207878@gmail.com                                                                                                                                                                                
523003600,C. Heal Construction Ltd                           ,           ,351,OLD AIRPORT RD           ,Contractors                    ,8.68E+13,healco@northwestel.net                                                                                                                                                                                   
28000800,C.Buhler & Associates Ltd                          ,           ,5016,47 ST                    ,Financial Services             ,8.55E+13,crystal@debtfreenorth.com                                                                                                                                                                                
24000500,C.L. Pacific Immigration Consulting Ltd            ,301,4910,50 ST                    ,Consultants                    ,8.67E+13,admin@visapacific.com                                                                                                                                                                                    
561000700,CA  Speciality                                     ,           ,116,BORDEN DR                ,Speciality                     ,8679204383Cell       ,cianandrew13@gmail.com                                                                                                                                                                                   
37000901,CAM Financial                                      ,           ,5118 -5120 ,49 ST                    ,Financial Services             ,8674440323CELL       ,camfinancial@outlook.com                                                                                                                                                                                 
26003100,CDETNO                                             ,           ,5204,50 AVE                   ,Consultants                    ,8.68E+13,admin@cdetno.com                                                                                                                                                                                         
121000200,CDN                                                ,           ,2,DAKOTA CRT               ,Consultants                    ,8.68E+13,jan@asphalt.ca                                                                                                                                                                                           
162001200,CDR Development Inc                                ,A          ,312,OLD AIRPORT RD           ,Real Estate                    ,4.04E+13,lynn.rhe-cdr@gmail.com                                                                                                                                                                                   
24002700,CGA's Association of the NWT                       ,A          ,5016,50 AVE                   ,Charitable Services            ,8.68E+13,admin@cga-nwt-nu.org                                                                                                                                                                                     
               ,CGI Group Inc                                      ,           ,           ,                         ,Consultants                    ,4.03E+13,craig.edwards@cgi.com                                                                                                                                                                                    
519007400,CGT Enterprises                                    ,           ,6220,FINLAYSON DR N           ,Home & Garden                  ,8.67E+13,squirestrevor@gmail.com                                                                                                                                                                                  
67002100,CH Massage Therapy                                 ,           ,4907,47 ST                    ,Massage Therapy                ,7.81E+13,carmenharry89@gmail.com                                                                                                                                                                                  
31002500,CIBC                                               ,           ,5001,50 AVE                   ,Financial Services             ,8.68E+13,cibc.leaseadmin@bgis.com                                                                                                                                                                                 
540000600,CK Holdings Ltd                                    ,           ,101,DRYBONES DR              ,Property Management & Services ,8.67E+13,cmckiel@theedge.ca                                                                                                                                                                                       
551003100,CL Heating & Ventilation                           ,           ,102,DEMELT CRES              ,Mechanical Services            ,8.68E+13,burnerman55.clb@gmail.com                                                                                                                                                                                
519003300,CLN Cleaning                                       ,           ,127,DAGENAIS DR              ,Janitorial Services            ,8.67E+13,ykclncleaning@gmail.com                                                                                                                                                                                  
22001701,CMD Holdings Ltd. O/A Shoppers Drug Mart           ,           ,4911,49 ST                    ,Gen. Mixed Retail/ Dept. Store ,0,ssdm399@shoppersdrugmart.ca                                                                                                                                                                              
529001800,CN Doors (CDN North Project)                       ,           ,1,MELVILLE DR              ,Contractors                    ,8.68E+13,colin@cndoors.ca                                                                                                                                                                                         
               ,CRR Construction & Maintenance Ltd                 ,           ,           ,                         ,Contractors                    ,5.87E+13,crrconstructionltd@gmail.com                                                                                                                                                                             
41000701,CT Construction                                    ,           ,5114,53 ST                    ,General Contractors-Journeyman ,8.67E+13,camille+4@hotmail.com                                                                                                                                                                                    
30102100,CTG IT Services                                    ,504,5018,49 ST                    ,Communication Services         ,8.68E+13,ctgitsyk@gmail.com                                                                                                                                                                                       
534001900,CV Enterprises                                     ,           ,90,ENTERPRISE DR            ,Property Management & Services ,8.68E+13,cvillebrun@finning.com                                                                                                                                                                                   
               ,CVL Engineers Inc                                  ,           ,           ,                         ,Engineers                      ,7.81E+13,info@cvl-eng.ca                                                                                                                                                                                          
542001300,CW Painting                                        ,           ,25,HORTON CRES              ,Painters & Decorators          ,8.67E+13,cw.painting@outlook.com                                                                                                                                                                                  
60003500,CW Property Management Services Ltd                ,           ,5004,54 ST                    ,Property Management & Services ,8.68E+13,info@cw-pm.com                                                                                                                                                                                           
3001300,Cabin Productions                                  ,           ,3509,INGRAHAM DR              ,Media Services                 ,8.67E+13,cabinproductions@gmail.com                                                                                                                                                                               
               ,Cabin Snacks                                       ,           ,           ,                         ,"Speciality (Chocolate, Bakers) ",8.68E+13,info@cabinsnacks.com                                                                                                                                                                                     
519006100,Caitlin Cleveland Photography                      ,           ,12,GLICK CRT                ,Photography                    ,8.67E+13,caitlin@clevelandphotography.ca                                                                                                                                                                          
526002300,Caitlin Keekoski Dog Training                      ,           ,6013,FINLAYSON DR N           ,Animal Services                ,7.81E+13,caitlinkeekoski@gmail.com                                                                                                                                                                                
538000500,Camco Construction 2013 Ltd                        ,           ,102,ETTHEN DR                ,Contractors                    ,8.68E+13,camco@ssimicro.com                                                                                                                                                                                       
               ,Camp Soaps                                         ,           ,           ,                         ,Arts and Crafts                ,8.67E+13,hello@campsoaps.com                                                                                                                                                                                      
537000300,Can Pro  Restoration Inc                           ,           ,112,TALTHEILEI DR            ,Contractors                    ,8.68E+13,payables@canpronwt.ca                                                                                                                                                                                    
523002900,Can Train                                          ,           ,6,HEAL CRT                 ,Education Services             ,8.67E+13,cantrain@live.ca                                                                                                                                                                                         
529001800,Canada North Projects o/a Precision Electric       ,           ,1,MELVILLE DR              ,Electricians                   ,8.68E+13,lee@precisionelec.ca                                                                                                                                                                                     
561006200,Canadian CDLI Immigration Services                 ,           ,129,WILKINSON CRES           ,Consultants                    ,8.67E+13,hawa@canadiancdliimmigrationservices.com                                                                                                                                                                 
905000200,Canadian Helicopters Limited                       ,           ,122,ARCHIBALD ST             ,Aircraft Leasing & Charter     ,8.68E+13,abembridge@acastaheliflight.com                                                                                                                                                                          
               ,Canadian Infrared Ltd                              ,           ,           ,                         ,Consultants                    ,5.88E+13,gord@canadian-infrared.ca                                                                                                                                                                                
33000101,Canadian North INC                                 ,           ,5201,50 AVE                   ,Passenger Transportation       ,8.00E+13,Accountspayable7f@canadiannorth.com                                                                                                                                                                      
502002401,Canadian Scenery Travel                            ,           ,5,CORONATION DR            ,Toursim Services               ,8.67E+13,eliu@chinabanff.com                                                                                                                                                                                      
975001501,Canadian Tire                                      ,           ,328,OLD AIRPORT RD           ,Gen. Mixed Retail/ Dept. Store ,8.68E+13,CTOffice453@gmail.com                                                                                                                                                                                    
24000500,Canadiana Exports LTD                              ,           ,4910,50 ST                    ,Building                       ,8676690242WORK       ,biswanath@epryellowknife.ca                                                                                                                                                                              
38000101,Canarctic Graphics Limited                         ,           ,5108,50 ST                    ,Communication Services         ,0,mscott@nnsl.com                                                                                                                                                                                          
563000700,Canglow Windows & Doors Inc                        ,           ,349,OLD AIRPORT RD           ,Glazier (Glass)                ,7.81E+13,info@canglow.ca                                                                                                                                                                                          
564001100,Canuck Consulting & Contracting                    ,           ,157,MAGRUM CRES              ,Contractors                    ,8.68E+13,properzi@theedge.ca                                                                                                                                                                                      
502001100,Canzeal Enterprises Ltd. t/a Fiberglass North      ,           ,22,CORONATION DR            ,Insulator                      ,8.68E+13,randy@fiberglassnorth.ca                                                                                                                                                                                 
503001800,Capital City Construction LTD                      ,           ,108,CURRY DR                 ,General Contractors-Journeyman ,8.68E+13,squatting@theedge.ca                                                                                                                                                                                     
503006200,Capital Signs Ltd                                  ,           ,108,CURRY DR                 ,Contractors                    ,8.67E+13,signs@capitalsignsltd.ca                                                                                                                                                                                 
103000200,Capital Suites - Northern Property                 ,           ,5603,50 AVE                   ,Property Management & Services ,8.68E+13,dhorner@npreit.com                                                                                                                                                                                       
500000100,Capital Transit Mix (YK) Ltd                       ,           ,49,KAM LAKE RD              ,Contractors                    ,8.68E+13,                                                                                                                                                                                                         
26000701,Cara Benoit                                        ,           ,4914,52 ST                    ,Health & Care Services         ,8.67E+13,cara.benoit@gmail.com                                                                                                                                                                                    
530001800,Carl's Carpet Cleaning Ltd.                        ,           ,18,ELLESMERE DR             ,Janitorial Services            ,8.68E+13,bulger@theedge.ca                                                                                                                                                                                        
               ,Carmichael Engineering Limited                     ,           ,           ,                         ,Mechanical Services            ,4.03E+13,mjohnson@carmichael-eng.ca                                                                                                                                                                               
502002700,Cascom Ltd.                                        ,           ,11,CORONATION DR            ,Communication Services         ,8.68E+13,admin@cascom.ca                                                                                                                                                                                          
562001500,Casey Canning                                      ,           ,142,HERRIMAN RD              ,Apparel                        ,4.03E+13,caseyrrcanning@gmail.com                                                                                                                                                                                 
30003500,Castle Protection Services Ltd                     ,           ,5010,49 ST                    ,Security Services              ,8.68E+13,admin@cps-yk.com                                                                                                                                                                                         
546000800,Cave's Contracting                                 ,           ,16,HORDAL RD                ,Contractors                    ,8.68E+13,cavescontracting@hotmail.com                                                                                                                                                                             
312002705,Celestino Oh Accounting Professional Corporation   ,105,111,MOYLE DR                 ,Accountants                    ,8.67E+13,cpo.cpa@outlook.com                                                                                                                                                                                      
23002800,Celtic Flow Osteopathy Ltd                         ,           ,4916,49 ST                    ,Holistic Therapy               ,8.67E+13,a.waller@celticflowosteopathy.com                                                                                                                                                                        
40002400,Central City Cleaning Ltd                          ,           ,5103,53 ST                    ,Janitorial Services            ,8.68E+13,freedom@theedge.ca                                                                                                                                                                                       
563000500,Central Mechanical Systems Ltd                     ,A          ,345,OLD AIRPORT RD           ,Mechanical Services            ,0,baho@centralmechanicalsystems.com                                                                                                                                                                        
41001700,Centre for Northern Families                       ,           ,5117,54 ST                    ,Childcare Centres              ,8.68E+13,daycare@ykws.ca                                                                                                                                                                                          
535000500,Certified Refrigeration Inc                        ,           ,156,ENTERPRISE DR            ,Refrigeration & Air Cond. Mech ,8.67E+13,certified@theedge.ca                                                                                                                                                                                     
311003400,Chakrayk Esthetics's & Spa                         ,           ,137,HAENER DR                ,Estetics                       ,8.67E+13,chakrayk@gmail.com                                                                                                                                                                                       
553002300,Challenger Geomatics Ltd O/A Sub-Arctic Geomatics  ,           ,226,UTSINGI DR               ,Contractors                    ,8.68E+13,sas@sub-arctic.ca                                                                                                                                                                                        
548002200,Char Developments Ltd                              ,           ,6,TEES CRT                 ,Contractors                    ,8.68E+13,chardevltd@gmail.com                                                                                                                                                                                     
99001700,Charles Poon Design                                ,           ,4917,54 AVE                   ,Communication Services         ,8.67E+13,charlespoondesign@gmail.com                                                                                                                                                                              
526002300,Chickadee Childcare                                ,           ,6013,FINLAYSON DR N           ,Dayhomes - Regulated           ,8.68E+13,caitlinkrekoski@gmail.com                                                                                                                                                                                
               ,Chubb Edwards                                      ,           ,           ,                         ,Security Services              ,                     ,                                                                                                                                                                                                         
41001600,Chugh Consulting Limited                           ,           ,5119,54 ST                    ,Consultants                    ,8.67E+13,chughconsulting@gmail.com                                                                                                                                                                                
81001847,Circle North Training                              ,301,5009O      ,44 ST                    ,Education Services             ,8.67E+13,circlenorthtraining@gmail.com                                                                                                                                                                            
504001000,City Cab (1993) Ltd                                ,           ,483,RANGE LAKE RD            ,Taxi Services                  ,8.68E+13,citycab@northwestel.net                                                                                                                                                                                  
23002800,City Guard Patrol & Security Services              ,           ,4916,49 ST                    ,Security Services              ,8.67E+13,info@mycityguard.com                                                                                                                                                                                     
563000700,Claims Pro Inc.                                    ,           ,349,OLD AIRPORT RD           ,Business Services              ,8.68E+13,yellowknifenewclaims@scm.ca                                                                                                                                                                              
563000700,Clark Builders                                     ,206,349,OLD AIRPORT RD           ,General Contractors-Journeyman ,8678736337work       ,yellowknife@clarkbuilders.com                                                                                                                                                                            
549002900,Clean City Janitorial Services                     ,           ,104,GWILLIAM CRES            ,Janitorial Services            ,8.67E+13,khokonv@yahoo.ca                                                                                                                                                                                         
516001500,Cody Fennell Design                                ,           ,38,CALDER CRES              ,Communication Services         ,8.68E+13,codyfennell@gmail.com                                                                                                                                                                                    
549007700,Cold Cash ATM Inc                                  ,           ,5,BROWN CRT                ,Coin/Card Operat. Vending Mach ,8.68E+13,alanco_2005@theedge.ca                                                                                                                                                                                   
25002500,Collective Soul Co-operative Ltd                   ,           ,5102,50 AVE                   ,"Sports, Recreation & Fitness   ",8.67E+13,collectivesoulyellowknife@gmail.com                                                                                                                                                                      
25002500,Collective Soul Co-operative Ltd                   ,           ,5102,50 AVE                   ,"Sports, Recreation & Fitness   ",8.67E+13,cssnwt@gmail.com                                                                                                                                                                                         
22001401,College Nordique Francophone                       ,           ,4921,49 ST                    ,Education Services             ,8.68E+13,admin@college-nordique.com                                                                                                                                                                               
26003100,Colliers Project Leaders Inc                       ,           ,5204,50 AVE                   ,Consultants                    ,6.14E+13,info@colliersprojectleaders.com                                                                                                                                                                          
537001100,Commercial - NDS  LTD.                             ,           ,114,TALTHEILEI DR            ,Contractors                    ,87394150000,office@commercial-nds.ca                                                                                                                                                                                 
67002300,Communication Care Speech & Language Services      ,           ,4903,47 ST                    ,Health & Care Services         ,8.68E+13,wendy@lcphealth.ca                                                                                                                                                                                       
556010200,Competitive Plumbing & Heating                     ,           ,178,MAGRUM CRES              ,Mechanical Services            ,8.67E+13,rickkish@hotmail.com                                                                                                                                                                                     
28000800,Cooper Regel a Member of Masuch Albert LLP         ,           ,5016,47 ST                    ,Lawyers                        ,8.68E+13,kelly@cooperregel.ca                                                                                                                                                                                     
560002300,Copperhouse Eatery & Lounge Inc                    ,           ,484,RANGE LAKE RD            ,Restaurant/Cafe (No Liquor)    ,8.68E+13,accounting@copperhouse.ca                                                                                                                                                                                
975001401,Corothers Home Building Centre                     ,           ,332,OLD AIRPORT RD           ,Industrial                     ,8674451001Cell       ,homebldgcentre@northwestel.net                                                                                                                                                                           
304002900,Corvan Consultants Ltd.                            ,           ,217,NIVEN DR                 ,Consultants                    ,8.68E+13,corvan@northwestel.net                                                                                                                                                                                   
89001300,Cott Environmental                                 ,           ,5409,49 ST                    ,Consultants                    ,8.67E+13,cottenvironmental@gmail.com                                                                                                                                                                              
84002600,Coyote's Bar & Grill O/A Coyote's Bistro on Frankl ,           ,4511,50 AVE                   ,Family Restaurant (Liquor)     ,0,coyotes168@gmail.com                                                                                                                                                                                     
84002600,Coyote's Bistro on Franklin O/A Mana Vault Gaming  ,           ,4511,50 AVE                   ,Sporting & Leisure             ,0,coyotes168@gmail.com                                                                                                                                                                                     
23002700,Created By Nana and Friends                        ,           ,4912,49 ST                    ,Home & Garden                  ,8.68E+13,inukshuk@ssimicro.com                                                                                                                                                                                    
30103100,Created By Nana and Friends                        ,606,5018,49 ST                    ,Arts and Crafts                ,8.68E+13,inukshuk@ssimicro.com                                                                                                                                                                                    
29000501,Creative Basics                                    ,           ,5012,48 ST                    ,Gen. Mixed Retail/ Dept. Store ,                     ,creativeaccounting@theedge.ca                                                                                                                                                                            
38002600,Crowe MacKay Financial Services Limited            ,           ,5103,51 ST                    ,Bookkeepers                    ,8.68E+13,yel.reception@crowemackay.ca                                                                                                                                                                             
38002600,Crowe MacKay LLP                                   ,           ,5103,51 ST                    ,Accountants                    ,8.68E+13,yel.reception@crowemackay.ca                                                                                                                                                                             
531003900,Cryosphere Tattoo Inc.                             ,           ,97,ENTERPRISE DR            ,Tattoo Parlor                  ,0,cryospheretattoos@gmail.com                                                                                                                                                                              
10001500,D Bruce Smith & Associates                         ,           ,3,OTTO DR                  ,Doctors                        ,8.68E+13,dbsmith@theedge.ca                                                                                                                                                                                       
508006700,D&A Maintenance                                    ,           ,414,BYRNE RD                 ,Property Management & Services ,8.67E+13,dean_harvey5@theedge.ca                                                                                                                                                                                  
312002606,D.J. DeLancey Consutling                           ,6,117,MOYLE DR                 ,Consultants                    ,8.67E+13,ddelancey33@gmail.com                                                                                                                                                                                    
503002700,DC Moving & Office Relocations Ltd.                ,           ,190,CURRY DR                 ,Trucking/Hauling               ,8.67E+13,darcy_blampied@theedge.ca                                                                                                                                                                                
1001046600,DCL Holdings NWT Ltd.                              ,           ,466,NORSEMAN DR              ,Property Management & Services ,8.68E+13,dunrite@theedge.ca                                                                                                                                                                                       
975001501,DECO Windsheild Repair                             ,           ,330,OLD AIRPORT RD           ,Automotive                     ,8.66E+13,hello@decorepair.com                                                                                                                                                                                     
23003000,DME Driving School Inc.                            ,           ,4903,50 ST                    ,Education Services             ,8.68E+13,dmedrivingschool@gmail.com                                                                                                                                                                               
1001021900,DP Cleaning Services                               ,           ,219,FAIRCHILD CRES           ,Janitorial Services            ,8674468312cell       ,info@dpcleaner.com                                                                                                                                                                                       
23002800,DPRA Canada Incorporated                           ,           ,4916,49 ST                    ,Consultants                    ,7.86E+13,kathy.shafer@dpra.com                                                                                                                                                                                    
23002700,DRW & Associates Ltd                               ,           ,4912,49 ST                    ,Consultants                    ,8.67E+13,info@drwandassociates.ca                                                                                                                                                                                 
533001100,DT Electric Ltd.                                   ,           ,10,NAHANNI DR               ,Electricians                   ,8.68E+13,jcatcher@dt-electric.ca                                                                                                                                                                                  
               ,Dachan Choo Gehnjik                                ,           ,           ,                         ,Consultants                    ,8674455507Cell       ,levelzero.sjb@gmail.com                                                                                                                                                                                  
502000300,Dan's Garage                                       ,           ,109,KAM LAKE RD              ,Automotive & Autobody          ,0,                                                                                                                                                                                                         
500000201,Dan's Skate Sharpening                             ,           ,41,KAM LAKE RD              ,Sporting & Leisure             ,8674460135cell       ,danver@live.ca                                                                                                                                                                                           
508007000,Danceaway Music Services                           ,           ,504,KNUTSEN CRT              ,Entertainer(Comedian/Musician) ,8.68E+13,info@danceaway.ca                                                                                                                                                                                        
556004500,Dancing Lights Family Dayhome                      ,           ,114,MAGRUM CRES              ,Dayhomes - Regulated           ,4.03E+13,dancinglightsfamilydayhome@outlook.com                                                                                                                                                                   
555017100,Dancing Lights Studio                              ,           ,174,RIVETT CRES              ,"Sports, Recreation & Fitness   ",8.67E+13,dancinglightsstudio@gmail.com                                                                                                                                                                            
507000400,Dancing Raven Studio                               ,           ,6,BROMLEY DR               ,Arts and Crafts                ,8.68E+13,dancingravenstudio@gmail.com                                                                                                                                                                             
521006300,Danh's Bed & Breakfast                             ,           ,5018,FINLAYSON DR             ,Bed & Breakfast                ,8.67E+13,danhsbedbreakfast@gmail.com                                                                                                                                                                              
521004500,Daniel Consulting                                  ,           ,37,JOHNSON CRES             ,Business Services              ,8.68E+13,steven.danielconsulting@gmail.com                                                                                                                                                                        
532000100,Danmax Communication Ltd                           ,           ,20,MELVILLE DR              ,Communication Services         ,0,danny@danmax.com                                                                                                                                                                                         
146000100,Darryl's Shuttle Service Ltd                       ,           ,16,PTARMIGAN RD             ,Shuttle Services               ,8.68E+13,nilson@ssimicro.com                                                                                                                                                                                      
511001101,David K. Wong Medical Professional Corporation     ,2,483,RANGE LAKE RD            ,Doctors                        ,8.68E+13,rlwiclinic@outlook.com                                                                                                                                                                                   
               ,David Wong Architect Ltd.                          ,           ,           ,                         ,Architects                     ,7.80E+13,dwarchitect73@gmail.com                                                                                                                                                                                  
83002600,Days Inn & Suites                                  ,           ,4401,50 AVE                   ,Hotels/Motels                  ,7.81E+13,gm@daysinnyellowknife.com                                                                                                                                                                                
309003000,Dean Educational & Psychological Consulting        ,           ,12,STIRLING CRT             ,Consultants                    ,8674455877cell       ,merril@deanpsych.com                                                                                                                                                                                     
608001000,Dee's Day Home                                     ,           ,8,CON PLACE                ,Dayhomes - Regulated           ,8.67E+13,dees_dayhome@hotmail.ca                                                                                                                                                                                  
501000700,Delaney Plumbing & Heating                         ,           ,101,KAM LAKE RD              ,General Contractors-Journeyman ,8.67E+13,delaney1949@hotmail.com                                                                                                                                                                                  
30003500,Delay No More Cuisine                              ,           ,5010,49 ST                    ,Restaurant/Cafe (No Liquor)    ,6.48E+13,info@delaynoodle.ca                                                                                                                                                                                      
39000100,Deluxe and Aroma Spa                               ,           ,5102,51 ST                    ,Estetics                       ,8.67E+13,rbreyes44@hotmail.com                                                                                                                                                                                    
68100300,Demco Ltd.                                         ,           ,4504,49 AVE                   ,Resource Industries & Services ,8.68E+13,ddc@denendeh.ca                                                                                                                                                                                          
