OBJECTID,ID,Company,SectorDescription,Address,City,Prov,PC,Telephone,Extension,Telephone2,Fax,Email,WebSite,FullTime,PartTime,Seasonal,Estab,LanguageEN,LanguageFr,LanguageOTHER
146,5803,Bamboo Restaurant,"Catering, Restaurants and Food Services",641 King Street,Welland,Ontario,L3B 3L5,(905) 734-6229,,,,,bamboowelland.ca,4,4,1,1970,0,0,
147,5804,Glenmount Memorials,Funeral Services,301 Aqueduct Street North,Welland,Ontario,L3C1C9,(905) 735-9717,,,(905) 735-0690,monumentmaker18@gmx.com,,1,,,1980,0,0,
148,5805,Niagara Sausage & Meat Products Ltd.,Retail,40 Ridge Road,Welland,Ontario,L3B 5N7,(905) 734-3948,,,(905) 734-3948,,niagarasausage.com,5,2,,1954,0,0,
149,5806,St. Vincent De Paul Thrift Store,Retail,51 East Main Street,Welland,Ontario,L3B 4A5,(905) 788-3413,,,,ssvpwelland@gmail.com,,,,,1992,0,0,
150,5807,Harpwood's Trophies,Retail,222 King Street,Welland,Ontario,L3B 3J7,(905) 735-4474,,,(905) 735-6548,harpwoodstrophies@gmail.com,,1,,,1975,0,0,
151,5808,Hornby Florists,Retail,505 East Main Street,Welland,Ontario,L3B 3Y1,(905) 735-5822,,,,,www.hornbyflorists.com,1,3,,1921,-1,-1,
152,5809,IRIS - Optometrists and Opticians,Health and Social Services,"21 Seaway Drive, Unit 4",Welland,Ontario,L3C 7J5,(905) 735-0680,,,(866) 559-8971,iris815@iris.ca,www.iris.ca,5,,,2000,0,0,
153,5810,Joe's Hair Fashion,Personal and Household Services,308 Thorold Road,Welland,Ontario,L3C 3W5,(905) 735-9476,,,,fgentile@bell.net,,3,1,,1980,0,0,
154,5811,Kid's World Child Care Centre,Education Services,150 Plymouth Road,Welland,Ontario,L3B 3C7,(905) 735-8312,,,,kidsworld@acw.on.ca,,,,,1982,0,0,
155,5812,"Rex, The","Catering, Restaurants and Food Services",346 King Street,Welland,Ontario,L3B 3K3,(905) 734-4752,,,,rexhotelwelland@gmail.com,www.rexpizza.ca,6,20,,1915,0,0,
156,5813,Sammy's Convenience Food Mart,Convenience and Variety Stores,104-60 King Street,Welland,Ontario,L3B 6A4,(905) 734-8068,,,,,,1,,,1991,0,0,
157,5814,"Song, Dr. John",Health and Social Services,"165 Plymouth Road, Suite E",Welland,Ontario,L3B 3E1,(905) 734-9434,,,(905) 734-7584,,,1,,,1995,0,0,
158,5815,Thornton's Cycle & Sports Centre,Retail,300 Lincoln Street,Welland,Ontario,L3B 4N4,(905) 732-4770,,,(905) 732-4770,thorntonscycle@gmail.com,www.thorntonscycle.ca,3,,,1988,-1,0,
159,5816,Volcano Pizzeria,"Catering, Restaurants and Food Services",256 East Main Street,Welland,Ontario,L3B 3W9,(905) 735-3716,,(905) 735-5922,(905) 732-1306,,,2,9,,1970,0,0,
160,5817,YMCA of Niagara - Niagara Centre Branch,Non-Profit Organizations,310 Woodlawn Road,Welland,Ontario,L3C 7N3,(905) 735-9622,,,(905) 735-2299,ymcaniagaracentre@niagara.ymca.ca,www.ymcaofniagara.org,,,,1906,0,0,
161,5818,Welland Downtown BIA,Non-Profit Organizations,60 East Main Street,Welland,Ontario,L3B3X4,(905) 736-2884,,,,info@downtownwelland.ca,www.downtownwelland.ca,1,,,1975,-1,0,
162,5819,Welland Funeral Home,Funeral Services,827 East Main Street,Welland,Ontario,L3B 3Y8,(905) 735-1883,,,(905) 735-9715,wellandfuneralhome@bellnet.ca,www.wellandfuneralhome.com,5,1,,1966,0,0,
163,5820,Wendy's Old Fashion Hamburgers,"Catering, Restaurants and Food Services",530 Niagara Street,Welland,Ontario,L3C 1L8,(905) 788-0930,,,,,,35,,,1980,-1,0,
164,5821,Dixon's Autobody,Automotive,63 Clark Street,Welland,Ontario,L3B 5W6,(905) 788-3755,,,,,,7,1,1,1996,0,0,
165,5822,Everfresh Pizza 2 For 1,"Catering, Restaurants and Food Services",301 Thorold Road,Welland,Ontario,L3C 6H5,(905) 734-8188,,,,,,1,,1,1996,0,0,
166,5823,Express Donuts,"Catering, Restaurants and Food Services",159 East Main Street,Welland,Ontario,L3B 3W7,(905) 732-5787,,,,lfcally@hotmail.ca,,3,2,,1982,0,0,
167,5824,Rebekah's Variety,Convenience and Variety Stores,248 Wellington Street,Welland,Ontario,L3B 1B5,(905) 734-9601,,,(905) 734-9601,,,2,,,1997,-1,0,
168,5825,Welland Convenience /Esso Gas,Convenience and Variety Stores,1000 Ontario Road,Welland,Ontario,L3B 5E4,(905) 732-9491,,,(905) 732-9491,,,3,2,,1990,0,0,
169,5826,Subway,"Catering, Restaurants and Food Services",800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 732-9644,,(289) 228-9157,(905) 732-9644,,www.subway.com,2,2,2,,-1,0,
170,5827,Welland Equipment Rentals Ltd.,Construction and Construction Equipment,7 Clark Street,Welland,Ontario,L3B 5W6,(905) 735-1542,,,(905) 735-9273,,,6,2,1,1995,0,0,
171,5828,Giant Tiger,Retail,200 Fitch Street,Welland,Ontario,L3C 2V9,(905) 735-0963,,,(905) 735-5517,store140@gianttiger.com,www.gianttiger.com,,,,2002,0,0,
172,5829,Benjamin Moore/Welland Decorating Centre,Interior and Exterior Design,447 Niagara Street,Welland,Ontario,L3C 1L6,(905) 732-3600,,,,wellanddecoratingcentre@cogeco.net,www.decoratingcentres.com,1,3,,2004,-1,0,
173,5830,Niagara Fishing Adventures,Amusement and Recreation,445 Thorold Road,Welland,Ontario,L3C 3W7,(905) 732-9221,,(800) 332-6865,,aldo@niagarafishingadventures.com,www.niagarafishingadventures.com,,,,2005,0,0,
174,5831,Bell World,Communications,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 788-2355,,,(905) 732-4984,,,5,,,1998,0,0,
175,5832,Gateway on the Go,Convenience and Variety Stores,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 735-1555,,,,gatewayonthego260@gmail.com,,2,,,2018,-1,0,
176,5833,Wine Rack,Retail,609 South Pelham Road,Welland,Ontario,L3C 3C7,(905) 714-0245,,,,,,5,,,2000,0,0,
177,5834,"Hsiung, Dr. Richard",Health and Social Services,114 Thorold Road,Welland,Ontario,L3C 3V2,(905) 732-0039,,,(905) 732-0853,info@wellandvisioncare.com,www.wellandvisioncare.com,5,2,,1993,0,0,
178,5835,Staples,Retail,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 714-7604,,,,carmen.saltarelli@staples.ca,www.staples.ca,10,23,,1997,-1,0,
179,5836,Luciano's Pizzeria,"Catering, Restaurants and Food Services",123 Southworth Street,Welland,Ontario,L3B 1Z1,(905) 714-4040,,,,,,3,3,,1997,0,0,
180,5837,Zehrs Food Plus,Retail,821 Niagara Street,Welland,Ontario,L3C 1M4,(905) 732-9377,,,(905) 732-9216,,,172,,,1998,0,0,
181,5838,Primary Care Niagara - Welland,Health and Social Services,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 732-4451,,,(905) 732-1330,admin@primarycareniagara.com,www.primarycareniagara.com,,,,1983,0,0,
182,5839,Bluenotes,Retail,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 732-9595,,,,,,9,,,1989,0,0,
183,5840,Yazz Cleaners / Quick Stitch,Personal and Household Services,800 Niagara Street,Welland,Ontario,L0S1E0,(905) 892-5642,,,,yazzinc@cogeco.ca,www.yazzcleaners.com,5,5,2,1987,0,0,
184,5841,Goodman's Florist Ltd.,Landscaping and Gardening,644 South Pelham Road,Welland,Ontario,L3C 3C8,(905) 732-2481,,(905) 732-2482,,goodmansflorists@hotmail.com,www.amongtheflowers.ca,2,1,,1923,-1,0,
185,5842,East Main Pharmacy,Pharmacies,816 East Main Street,Welland,Ontario,L3B3Y7,(905) 735-1500,,,(905) 735-0856,eastmain1500@gmail.com,eastmainpharmacy.ca,5,5,,1998,0,0,
186,5843,Sue's Seafood,"Catering, Restaurants and Food Services",782 Clare Avenue,Welland,Ontario,L3C 6H3,(905) 714-1117,,,,,www.suesseafood.ca,1,4,,2007,0,0,
187,5844,Niagara Soft Cloth Car Wash,Automotive,961 Niagara Street,Welland,Ontario,L3C1M5,(905) 714-1160,,,(905) 714-9069,niagarasoftcloth@gmail.com,www.niagarasoftcloth.com,5,5,,2000,0,0,
188,5845,Best Mart,Convenience and Variety Stores,30 Rice Road,Welland,Ontario,L3C 5Y6,(905) 732-0511,,,(905) 732-0511,,,2,,1,2000,0,0,
189,5846,Welland Judo Club,Sports Clubs and Organizations,105 Silvan Drive,Welland,Ontario,L3C 6C1,(905) 734-9237,,,,wellandjudoclub@hotmail.com,,1,,,1961,0,0,
190,5847,Welland Curling Club,Sports Clubs and Organizations,497 King Street,Welland,Ontario,L3B 5P4,(905) 734-9411,,,(905) 734-8503,info@wellandcurlingclub.com,www.wellandcurlingclub.com,1,3,4,1946,0,0,
191,5848,Youngs Sportsplex,Sports Clubs and Organizations,570 River Road,Welland,Ontario,L3B5N4,(905) 735-8106,,,(905) 713-7782,ysp-bookings@comcastspectacor.com,www.youngssportsplex.com,5,3,,2012,-1,0,
192,5849,Welland Minor Hockey Association,Sports Clubs and Organizations,501 King Street,Welland,Ontario,L3B 5P7,(905) 325-4880,,(905) 714-5392,(905) 735-5298,bmarr.wmha@hotmail.com,www.wellandminorhockey.com,,,,1953,0,0,
193,5850,South Niagara Rowing Club (SNRC),Sports Clubs and Organizations,270 Colborne Street,Welland,Ontario,L3C 4V9,(905) 734-7815,,,,info@rowsnrc.ca,www.rowsnrc.ca,1,,15,1976,0,0,
194,5851,Pathstone Mental Health,Non-Profit Organizations,1604 Merrittville Highway,Welland,Ontario,L3B5N5,(905) 384-9551,,,(905) 384-9144,office@pathstone.ca,www.pathstonementalhealth.ca,,,,,0,0,
195,5852,Welland Optimist Club Inc.,Non-Profit Organizations,38 Patterson Avenue,Welland,Ontario,L3B2C4,(905) 735-5512,,,,members@wellandoptimistclub.ca,www.wellandoptimistclub.ca,,,,1937,0,0,
196,5853,Rotary Club of Welland,Non-Profit Organizations,,Welland,Ontario,L3B5R4,(905) 788-3494,,,,info@wellandrotaryclub.com,www.wellandrotaryclub.com,,,,1920,-1,0,
197,5854,St. David's Anglican Church,Non-Profit Organizations,369 Thorold Road,Welland,Ontario,L3C 3W4,(905) 734-4627,,,,stdavidswelland@outlook.com,www.stdavidswelland.org,1,3,,1949,0,0,
198,5855,St. Michael Ukrainian Catholic Church,Non-Profit Organizations,422 David Street,Welland,Ontario,L3B 2B8,(905) 735-9846,,(905) 732-4102,,,,1,,,1924,0,0,
199,5856,Welland Horticultural Society,Non-Profit Organizations,PO Box 842,Welland,Ontario,L3B 5Y5,(905) 329-4217,,,,wellandhorticulture@gmail.com,www.wellandhort.ca,,,,1918,-1,0,
200,5857,Welland Hospital Auxiliary Gift Shop,Non-Profit Organizations,63 Third Street,Welland,Ontario,L3B 4W6,(905) 732-6111,33141,,(905) 732-6725,whauxiliarygs653@gmail.com,,,,,1994,-1,-1,
201,5858,Jerry's Place,Convenience and Variety Stores,48 Southworth Street,Welland,Ontario,L3B 1Y2,(905) 732-7154,,,,,,2,,,2001,0,0,
202,5859,Artistic Impressions,Personal and Household Services,271 East Main St,Welland,Ontario,L3C3X1,(905) 734-3030,,,,,www.artisticimpressions.ca,4,,,2001,0,0,
203,5860,Bujold Colburn Employee Benefits,Consultants,189 East Main Street,Welland,Ontario,L3B 3W7,(905) 735-2252,,,(905) 735-4421,dwright@bujoldcolburn.com,,5,1,,1980,-1,-1,
204,5861,Westside Propane,Wholesale Trade,6 Riverside Drive,Welland,Ontario,L3C 5C7,(905) 734-3476,,(905) 735-3295,,,,2,2,,2000,0,0,
205,5862,X Fitness Welland Inc.,Health and Social Services,44 Division Street,Welland,Ontario,L3B 3Z6,(905) 714-4545,,(905) 704-6280,,xfitness@cogeco.net,www.xfitness.ca,1,1,,2001,0,0,
206,5863,Welland Tennis Club,Sports Clubs and Organizations,45 Hooker Street,Welland,Ontario,L3B 5R4,(905) 788-1066,,,,info@wellandtennisclub.com,wellandtennisclub.com,,,3,1971,0,0,
207,5864,Welland Volunteer Fire Co. #4,Government Services,882 Schisler Road,Welland,Ontario,L3B 5N4,(905) 732-4068,,,,,,,,,n/a,0,0,
208,5865,"Sternadel, Dr. Jerzy",Health and Social Services,477 King Street,Welland,Ontario,L3B 3K4,(905) 788-1406,,,(905) 788-9674,,,3,,,n/a,-1,0,Polish
209,5866,Riverside Esthetics,Personal and Household Services,122 Riverside Drive,Welland,Ontario,L3C 5E2,(905) 788-1359,,,,,,1,,,1999,0,0,
210,5867,Lil's Hair Salon,Personal and Household Services,645 King Street,Welland,Ontario,L3B3L5,(905) 735-4247,,,,,,2,,,2000,0,0,
211,5868,Salon Paradise,Personal and Household Services,200 Fitch Street,Welland,Ontario,L3C4V9,(905) 714-7408,,,,,,12,,,2000,0,0,
212,5869,Mario's Barber Shop,Personal and Household Services,471 Thorold Road,Welland,Ontario,L3C 3W7,(905) 732-9402,,,,,,1,,,1969,0,0,
213,5870,"Chaudhry, Dr. Naheed",Health and Social Services,"477 King Street, Unit 101",Welland,Ontario,L3B 3K4,(905) 714-1747,,,,,,2,,,n/a,0,0,
214,5871,"Lawrence, Dr. S.",Health and Social Services,595 Ontario Rd. #1B,Welland,Ontario,L3B0B3,(905) 735-3900,,(905) 735-2588,(905) 735-2588,,,1,3,,1987,0,0,
215,5872,"Pallen, Dr. A.",Health and Social Services,115 MacLean Place,Welland,Ontario,L3B 5X9,(905) 714-7772,,,,,,2,,,n/a,0,0,
216,5873,"Tang, Dr. Alan",Health and Social Services,165 Plymouth Road,Welland,Ontario,L3B3E1,(905) 788-1711,,,(905) 788-2332,,,3,1,,1995,0,0,
217,5874,"Vahdat, Dr. J.H.",Health and Social Services,"165 Plymouth Road, Suite 7",Welland,Ontario,L3B 3E1,(905) 734-6716,,,(905) 734-7647,,,4,,,1999,0,0,
218,5875,"Willard, PT Dr. (Medical Professional Corporation)",Health and Social Services,165 Plymouth Road,Welland,Ontario,L3B3E1,(905) 714-0080,,,(905) 714-1828,ptwillardcorp@gmail.com,,3,,,1995,-1,-1,
219,5876,"Carriero, Dr. J.P.",Health and Social Services,477 King Street,Welland,Ontario,L3B 3K4,(905) 788-2100,,,(905) 788-2122,,,3,,,1997,0,0,
220,5877,"Lew, Dr. G.W.",Health and Social Services,844 Niagara Street,Welland,Ontario,L3C 1M3,(905) 732-6104,,,,,,7,3,,n/a,0,0,
221,5878,For Pizza's Sake,"Catering, Restaurants and Food Services",233 Broadway,Welland,Ontario,L3C 5L7,(905) 734-8497,,,,,,8,,,1993,0,0,
222,5879,Spray Tech Mobile Power Washing & Painting,Automotive,469 Wallace Avenue North,Welland,Ontario,L3B 1R3,(905) 732-0639,,,(905) 732-0021,,,1,,,1992,0,0,
223,5880,Metal Supply & Transport,Construction and Construction Equipment,2 Broadway Avenue,Welland,Ontario,L3B 5G4,(905) 732-9424,,,(905) 732-9036,metalsupplyandtransport@outlook.com,www.metalsupplyandtransport.com,8,,,1994,-1,0,
224,5881,Black Panther Studio Jiu-Jitsu,Sports Clubs and Organizations,87 Shaw Street,Welland,Ontario,L3B5W9,(905) 736-3269,,,,,www.blackpantherjj.com,1,,,1996,0,0,
225,5882,Paulmac's Pet Food,Retail,815 Ontario Road,Welland,Ontario,L3B 5V6,(905) 732-1939,,,(905) 732-1939,,www.paulmacs.com,2,3,,1997,0,0,
226,5883,RE/MAX Welland Realty Ltd. Brokerage,Real Estate,150 Prince Charles Drive,Welland,Ontario,L3C 7B3,(905) 732-4426,,(905) 735-9876,(905) 732-3435,reception@remax-welland.on.ca,www.remax-welland.on.ca,35,1,0,1985,-1,-1,
227,5884,Chambers & Associates Surveying Ltd.,Land Surveying,12 Thorold Road,Welland,Ontario,L3C 3T2,(905) 735-7841,,(905) 735-7844,(905) 735-7333,don@casl-surveying.com,www.casl-surveying.com,7,,,1884,0,0,
228,5885,LORNE' S,Accountants,159 King Street,Welland,Ontario,L3B 3J4,(905) 734-9339,,,(905) 734-9944,tax@lornestax.com,,5,,8,1974,0,0,
229,5886,Rose City Travel/Destination Vows,"Accommodation,  Travel and Tourism",59 Church Street,Welland,Ontario,L3B4N7,(905) 735-2050,,(905) 650-2198,,leannarosecitytravel@gmail.com,,1,3,,1989,0,0,
230,5887,HollisWealth,Financial Institutions,449 Thorold Road,Welland,Ontario,L3C 3W7,(905) 735-5555,,,(905) 735-5553,Info.Welland@HollisWealth.com,www.RomanGroch.ca,3,,,1998,-1,0,
231,5888,Talmage & Difiore,Legal Services,221 Division Street,Welland,Ontario,L3B4A1,(905) 732-4477,,,(905) 732-4718,tsd@execulink.com,,3,,,1955,0,0,
232,5889,Ray's Auto Repair Ltd. O/A Turgeon Motors,Automotive,160 Quaker Road,Welland,Ontario,L3C 3G5,(905) 734-6120,,,(905) 735-9890,turgeonmotors@live.com,,1,,,1972,0,0,
233,5890,Thomas TV,Retail,130 Thorold Road,Welland,Ontario,L3C3V3,(905) 788-3221,,,(905) 788-3221,tyler@thomastv.com,www.thomastv.com,6,2,,1963,-1,0,
234,5891,"Thomas, Douglas R. Barristers & Solicitors",Legal Services,117 East Main Street,Welland,Ontario,L3B3W5,(905) 732-5529,,,(905) 732-2211,doug.thomas@reallaw.ca,reallaw.ca,3,,,1989,0,0,
235,5892,"Viger, Laurent Construction Limited",Property Management,209 Division Street,Welland,Ontario,L3B 4A1,(905) 732-4879,,,(905)732-9960,admin@vigerconstruction.com,www.wellandapartments.ca,12,,1,1956,0,0,
236,5893,"Vatrt, Vic Contracting Ltd.",Construction and Construction Equipment,15 Saint George Street,Welland,Ontario,L3C 5N1,(905) 732-2619,,,(905) 732-9606,vicvatrt@cogeco.ca,,11,,,1985,0,0,
237,5894,Vermeer's Garden Centre & Flower Shop,Landscaping and Gardening,684 South Pelham Road,Welland,Ontario,L3C 3C8,(905) 735-5744,,,(905) 735-9692,vermeers@vermeers.ca,www.vermeers.ca,17,,25,1961,0,0,
238,5895,Welland Animal Hospital,Veterinarian Services,194 Thorold Road,Welland,Ontario,L3C 3V7,(905) 735-7410,,,(905) 735-4422,wah@cogeco.net,www.wellandanimalhosp.com,3,3,1,1958,0,0,
239,5896,Prince Court Princess Manor,Property Management,156 & 158 Fitch Street,Welland,Ontario,L3C 5R7,(905) 735-6133,,,(905) 735-6951,princeprincess@realstar.ca,www.realstar.ca,4,,,1973,0,0,
240,5897,Hydac Corporation,Manufacturing,14 Federal Road,Welland,Ontario,L3B 3P2,(905) 714-9322,,(888) 99-HYDAC,(905) 714-4664,,www.hydac-na.com/sites/hydac-na,50,4,,1995,-1,-1,
241,5898,Base Electronics,Retail,871 Niagara Street,Welland,Ontario,L3C 6Y1,(905) 732-7168,,,(905) 732-0222,salesinfo@baseelectronics.com,www.baseelectronics.net,3,,,1986,0,0,
242,5899,EasyHome,Retail,300 Lincoln Street,Welland,Ontario,L3B3X4,(905) 732-3888,,,,store553@easyhome.ca,www.goeasy.com,4,,,1999,0,0,
243,5900,Bureau Translation Services,Consultants,73 Madison Court East,Welland,Ontario,L3C 7G3,(905) 735-3664,,(905) 988-2276,(905) 735-3664,ybureau@cogeco.ca,,1,1,,1986,0,0,
244,5901,The Wine Shop,Retail,821 Niagara Street,Welland,Ontario,L3C 1M4,(905) 714-9521,,,,,,1,4,,1997,0,0,
245,5902,Dan Grabows Denture Centre,Health and Social Services,3-547 Thorold Road,Welland,Ontario,L3C 3W9,(905) 788-9676,,,(905) 788-9678,denturecentre@ymail.com,www.wellanddenturecentre.com,3,,,2000,0,0,
246,5903,Rose City Animal Hospital,Veterinarian Services,61 Southworth Street,Welland,Ontario,L3B 1Y3,(905) 734-6117,,(905) 734-6485,(905) 734-9397,,,5,,,2000,0,0,
247,5904,Niagara Pet Corner,Retail,545 Niagara Street,Welland,Ontario,L3C 1L7,(905) 735-2221,,,,,,1,,,2000,0,0,
248,5905,Pet Food Outlet,Retail,824 Ontario Road,Welland,Ontario,L3B 5E2,(905) 735-7387,,,,petfoodoutlet@cogeco.ca,,3,1,,1994,0,0,
249,5906,Dr. Peter Koziarz Medicine Professional Corporation,Health and Social Services,115 MacLean Place,Welland,Ontario,L3B 5X9,(905) 732-0121,,,(905) 732-9783,,,2,1,,1998,0,0,
250,5907,"Gervais, Dr. N.",Health and Social Services,477 King Street,Welland,Ontario,L3B 3K4,(905) 788-2100,,,(905) 788-2122,,,3,,,1997,0,0,
251,5908,Party Shoppe,Retail,1165 Niagara Street,Welland,Ontario,L3B 5N5,(905) 384-7777,,(905) 384-0856,(905) 384-8888,,www.partyshoppe.ca,1,,,1997,0,0,
252,5909,Renaissance Photography,Photography/Videography,327 First Avenue,Welland,Ontario,L3C 1Z1,(905) 735-5760,,,,mazzam@cogeco.ca,,1,1,,1975,-1,0,
253,5910,Niagara Counter Tops Ltd.,Interior and Exterior Design,268 Plymouth Road,Welland,Ontario,L3B 6C6,(905) 714-1699,,,(905) 714-1710,info@niagaracountertops.com,www.niagaracountertops.com,33,,,1994,0,0,
254,5911,Regional Equipment Centre,Construction and Construction Equipment,1165 Niagara Street,Welland,Ontario,L3B 5N5,(905) 384-8888,,,(905) 384-0856,,,3,1,,1997,0,0,
255,5912,Casa Dante Lodge 19,Non-Profit Organizations,34 Lincoln Street,Welland,Ontario,L3C5J1,(905) 735-9879,,,(905) 735-4209,,,,20,,1956,-1,0,
256,5913,Club Richelieu,Non-Profit Organizations,565 River Road,Welland,Ontario,L3B 5P7,(905) 788-0333,,,,,www.richelieu.org,,,,1957,0,0,
257,5914,Hungarian Self Culture Society of Welland,Non-Profit Organizations,361 Hellems Avenue,Welland,Ontario,L3B 3C3,(905) 734-9678,,(905) 735-0959,,wellandhscs@gmail.com,www.wellandhungarianhall.com,,,,1921,-1,0,
258,5915,Tim Horton's,"Catering, Restaurants and Food Services",845 Ontario Road,Welland,Ontario,L3B 5V6,(905) 714-9000,,,,,,20,,,2001,0,0,
259,5916,Pita Pit,"Catering, Restaurants and Food Services",572 Niagara Street,Welland,Ontario,L3C 6T8,(905) 714-7482,,,(905) 714-4358,,www.pitapit.com,1,5,,2001,0,0,
260,5917,Bulk Barn,Retail,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 714-4440,,,,,,2,3,,2001,0,0,
261,5918,Norm's Dain City Auto Sales Ltd.,Automotive,230 Colborne Street,Welland,Ontario,L3B 3P1,(905) 735-3515,,,(905) 735-8648,,,2,,,1972,-1,0,
262,5919,Nicklain's Roofing Inc.,Construction and Construction Equipment,9200 Schisler Road,Welland,Ontario,L3B 5N4,(905) 384-9746,,,(905) 384-0024,,,12,,,1981,0,0,
263,5920,Nugent Veterinary Services,Veterinarian Services,555 Forks Road,Welland,Ontario,L3B 5K9,(905) 735-4865,,,(905) 735-4865,nugentvets@yahoo.ca,www.nugentvetservices.com,2,1,,1975,-1,0,
264,5921,Beam Vacuum Plus Service Centre,Retail,871 Niagara Street,Welland,Ontario,L3C 6Y1,(905) 732-0404,,,(905) 732-1069,info@vacuumpluscanada.ca,www.vacuumpluscanada.ca,2,,,1989,-1,0,
265,5922,Cultural Hall - Ukrainian Labour Temple,Non-Profit Organizations,342 Ontario Road,Welland,Ontario,L3B5C5,(905) 732-5656,,,,,,,,,1916,0,0,
266,5923,"Bolton, Bill Painting",Interior and Exterior Design,175 Price Avenue,Welland,Ontario,L3C 3Y7,(905) 736-3000,,,,bill@billboltonpainting.ca,www.billboltonpainting.ca,1,,,1998,-1,0,
267,5924,Dirt Raiders Clean All,Personal and Household Services,4 Plazaway,Welland,Ontario,L3C 4J5,(905) 788-0450,,,,,,1,,,n/a,0,0,
268,5925,Electric Beach Tanning Co.,Personal and Household Services,521 Niagara Street,Welland,Ontario,L3C 1L7,(905) 732-3143,,,,electricbeachtan@yahoo.com,,7,,1,2001,0,0,
269,5926,Loyal Order of the Moose 977/Chapter 993,Non-Profit Organizations,281 Riverside Drive,Welland,Ontario,L3C 5E3,(905) 735-1333,,,,carrierephotos@yahoo.com,,,,,1920,0,0,
270,5927,Mr. Sub,"Catering, Restaurants and Food Services",545 Niagara Street,Welland,Ontario,L3C 1L7,(905) 732-1999,,,,,,6,,,n/a,0,0,
271,5928,Olympia Restaurant,"Catering, Restaurants and Food Services",536 Lincoln Street,Welland,Ontario,L3B 4P4,(905) 714-1115,,,,,,6,,,n/a,0,0,
272,5929,Peninsula Cutting & Coring,Manufacturing,440 Thorold Road,Welland,Ontario,L3C 3W6,(905) 788-0180,,,(905) 788-9555,info@pencut.com,pencut.com,8,1,,1997,-1,0,
273,5930,Ron's Appliance Service,Personal and Household Services,320 Doan's Ridge Rd,Welland,Ontario,L3B5N7,(905) 732-1335,,,,,,1,,,n/a,0,0,
274,5931,Welland Cafe,"Catering, Restaurants and Food Services",506 East Main Street,Welland,Ontario,L3B 3X9,(905) 788-2233,,,,wellandcafe@gmail.com,,5,,,2005,0,0,
275,5932,Tri-Us Auto Sales,Automotive,230 Colborne Street,Welland,Ontario,L3B 3P1,(905) 736-3791,,,,,,1,,,n/a,0,0,
276,5933,Ukrainian Orthodox Church Hall,Non-Profit Organizations,105 First Street,Welland,Ontario,L3B 4S1,(905) 734-9789,,,,,,1,,,1969,0,0,
277,5934,Family & Children's Services Niagara,Non-Profit Organizations,654 South Pelham Road,Welland,Ontario,L3C 3C8,(905) 903-7731,,(800) 937-7731,(905) 646-7085,info@facsniagara.on.ca,www.facsniagara.on.ca,40,,,1898,-1,-1,
278,5935,Evelyn's Sandwich Factory,"Catering, Restaurants and Food Services",15 Niagara Street,Welland,Ontario,L3C1H8,(905) 734-9316,,,(905) 734-9904,evelynssandwichfactory@gmail.com,,1,,,2004,0,0,
279,5936,Michel's Variety,Convenience and Variety Stores,94 Empire Street,Welland,Ontario,L3B 2L4,(905) 734-1888,,,,,,2,,,1990,0,0,
280,5937,Ahmed (Esso),Automotive,709 Niagara Street,Welland,Ontario,L3C 1M2,(905) 714-4378,,(905) 714-4378,(905) 714-0790,,,3,4,,2004,0,0,
281,5938,Burgar Park Storage,Transportation and Warehousing,20 Hagar Street,Welland,Ontario,L3B6A3,(905) 735-9991,,,(905) 734-3559,1burgarparkstorage@gmail.com,www.burgarparkstorage.com,1,1,,2007,0,0,
282,5939,Mark's,Retail,102 Primeway Drive,Welland,Ontario,L3B 0A1,(905) 732-6713,,,(905) 732-9871,,www.marks.com,2,5,,2003,0,0,
283,5940,Fresh Co.,Retail,835 Ontario Road,Welland,Ontario,L3B 5E2,(905) 735-2525,,,,,,8,80,,,0,0,
284,5941,Search and Rescue Niagara,Non-Profit Organizations,102 Northgate Drive,Welland,Ontario,L3C5Y5,(905) 734-5614,,,,nancy.haywood@sympatico.ca,,,,,2000,0,0,
285,5942,Robert Wood Singers,Non-Profit Organizations,23 Britannia Avenue,Welland,Ontario,L3C7H4,(289) 820-6836,,(905) 932-8928,,info@robertwoodsingers.com,www.robertwoodsingers.com,,,,1968,-1,-1,
286,5943,Sexual Health Centre,Government Services,200 Division Street,Welland,Ontario,L3B 4A2,(905) 688-3817,,,(905) 734-1770,,www.niagararegion.ca/health/default.aspx,2,,,2000,0,0,
287,5944,Niagara Region Public Health,Government Services,200 Division Street,Welland,Ontario,L3B 4A2,(905) 735-5697,,(905) 384-9750,(905) 735-4895,,www.niagararegion.ca/health,,,,1965,-1,0,
288,5945,St. Charles Village,Health and Social Services,30 Nova Crescent,Welland,Ontario,L3C 6P8,(905) 788-1844,,,(905) 788-3830,stcharles@bellnet.ca,www.stcharlesvillage.ca,9,27,,1987,-1,-1,
289,5946,Fazzari Speech and Language Therapy,Health and Social Services,21 Weller Avenue,Welland,Ontario,L3C4L7,(289) 983-5835,,,,tfazzari@cogeco.ca,,,,,2003,-1,0,
