NAME,BUSINESS_DESC,TYPE_CODE,TYPE_DESCRIPTION,OBJECTID,SHAPE,LICENCE_ACCOUNT_NUMBER,LICENSE_LOCATION
LUVNEST REMMITANCE AND SERVICES,PHILIPPINES REMMITANCE AND SERVICES,3340,"3340 - Management, Administration & Consultants",9818,,4082191,605 PINETREE RD
DRAGON LANDSCAPING,LANDSCAPING/GARDEN  (SERV ONLY),8042,8042 - Landscaping/Garden  (Service Only),9822,,4063344,655 PINETREE RD
HAPPY DAY YOGA,MOBILE YOGA INSTRUCTOR - HBB MINOR,8066,"8066 - Private Teaching of Music, Dancing, Hairdress & other related activities",9831,,4085503,1005 MITCHELL RD
HARSTONE CUSTOM MASONRY LTD,STONEMASON CONTRACTOR - HBB MINOR,1566,1566 - Contractors,9832,,4069298,1020 MITCHELL RD
PROUDLY MAID,JANITOR/WINDOW CLEANING (MORE THAN 3),8036,8036 - Janitor And/Or Window Cleaning,9867,,4072330,845 RICHTER ST
MARTINI YOGA,YOGA INSTRUCTOR - HBB MAJOR,8066,"8066 - Private Teaching of Music, Dancing, Hairdress & other related activities",9869,,4070849,460 BIRCH AVE
G2O SERVICES,ENVIRONMENTAL CONSULTANT,5099,5099 - Professional Services,9879,,4067467,2022 RICHTER ST
NEW OPPORTUNITIES FOR WOMEN (NOW) CANADA SOCIETY,ROOM AND BOARDING HOUSE,7325,"7325 - Rooming House, Private Nursing/Rest Home",9882,,4057216,2609 RICHTER ST
SLH FLOORING KELOWNA,FLOORING CONTRACTOR - HBB MINOR,1566,1566 - Contractors,9892,,4079941,625 KINCAID RD
DIAMOND SHINE CLEANING,CLEANING SERVICE - HBB MINOR,8036,8036 - Janitor And/Or Window Cleaning,9896,,4076802,643 KINCAID RD
ON TOP INSPECTIONS 2012 LTD,ROOF INSPECTIONS AND CONSULTATIONS - HBB MINOR,1566,1566 - Contractors,9905,,4075579,610 GIRARD RD
LOUGHREILLY HOLDINGS LTD,INVESTMENTS - HBB MINOR,7705,7705 - Trust/Insurance/Investment/Loan/Mortgage Company,9918,,4086014,620 GIRARD RD
RANNEY REPAIR,Renovation,1566,1566 - Contractors,9921,,4089316,1257 RIO DR
MCMYN'S UTILITY LOCATING,CONTRACTOR - UTILITY LOCATION,1566,1566 - Contractors,9925,,4027287,275 RIALTO DR
ALL IN ONE HEALTH & HOME SERVICES LTD,HEALTH & HOME SERVICES,2550,2550 - Health Services,9944,,4067512,1327 HIGHLAND DR S
OMNIMETRICS,Marketing & Business Consulting,110,110 - Advertising and Marketing,9947,,4087242,281 RIALTO DR
HOLY CRAP,PORTO POTTY CONTRACTORS - HBB MINOR,1566,1566 - Contractors,9961,,4078739,2005 LINDAHL ST
ZENALYTIC LABORATORIES,ANALYTICAL TESTING LABS,4202,4202 - ACMMPR - Analytical Testing Labs,9962,,4077247,1166 HIGH RD
NOBLE INDUSTRIES,Carpentry shop,1566,1566 - Contractors,9963,,4087287,1170 HIGH RD
1185668 BC LTD DBA 4 POINT CONTRACTING,GENERAL CONTRACTOR & RENOVATIONS,1566,1566 - Contractors,9963,,4071648,1178 HIGH RD
SHINE A BLIND,BLIND CLEANING & SALES,1566,1566 - Contractors,9963,,4067831,1184 HIGH RD
SEWING SOLUTIONS,CUSTOM WINDOW COVERINGS (DONE ONLY BY CONTRACT FOR RETAIL OUTLETS),8082,8082 - Tailor or Dressmaker,9963,,4057046,A-1172 HIGH RD
TRACEY KILLEEN HOLDINGS,ECO CLEANING RESIDENTIAL & COMMERCIAL/3 OR LESS,8036,8036 - Janitor And/Or Window Cleaning,9973,,4070806,896 CLIFTON RD
GROUNDS CONTROL LANDSCAPING SERVICES,LANDSCAPING/GARDEN  (SERV ONLY) - HBB MINOR,8042,8042 - Landscaping/Garden  (Service Only),9982,,4081938,641 OKANAGAN BLVD
CARSONGRACE CREATIVE INC,MARKETING AND COMMUNICATIONS - HBB MINOR,110,110 - Advertising and Marketing,9984,,4078886,691 OKANAGAN BLVD
NEW DESTINY TECHNOLOGIES CORPORATION,CONSULTANT - MANAGEMENT & ENGINEERING  (HBB MINOR),3340,"3340 - Management, Administration & Consultants",9995,,4082692,434 OKAVIEW RD
KONRAD SHUM,SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,10017,,4083801,415 OKAVIEW RD
STAR OF THE LAKE,Short Term Rental,7316,7316 - Short-Term Rental - Principal Residence,10036,,4087378,398 OKAVIEW RD
CAROL G LABERGE HEALTH OPERATIONS CONSULTING,HEALTH CARE CONSULTANT - HBB MINOR,5099,5099 - Professional Services,10043,,4083480,394 OKAVIEW RD
ABC BOOKKEEPING,BOOKKEEPER,8002,"8002 - Accountant, bookkeeper, auditor, and public stenographer",10044,,4058451,392 OKAVIEW RD
PATRICK KEENEY,SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,10066,,4083331,497 OKAVIEW RD
FREEDMAN BOOKKEEPING SERVICES,BOOKKEEPER,8002,"8002 - Accountant, bookkeeper, auditor, and public stenographer",10077,,4070131,509 OKANAGAN BLVD
"HANSON, CHERIE",BED & BREAKFAST,7315,7315 - Bed & Breakfast,10079,,4076541,557 OKANAGAN BLVD
JMACC & CO. HAIR STUDIO,HAIRSTYLIST - HBB MAJOR,2400,2400 - Hairstylist or Barber,10094,,4083795,471 OKAVIEW RD
CURATOR STUDIOS,VIDEO PRODUCTION SERVICES (HBB MINOR),8062,"8062 - Photography, Audio and/or Video Engineering or Production",10097,,4085076,469 OKAVIEW RD
MAPLESIDE HOUSE,SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,10104,,4088264,449 OKAVIEW RD
CONSOLIDATED CIVIL ENFORCEMENT BC INC,COLLECTOR/BAILIFF,7420,7420 - Security Serv/Investigation/Collections,10156,,4071028,663 CLIFTON RD
CREATIVE PLANT INTERIORS,MAIL ORDER - ARTIFICIAL PLANTS,3300,3300 - Mail Order or Outside Merchant Sales,10158,,4058136,599 CLIFTON RD
CHAD LONG,SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,10159,,4085062,615 CLIFTON RD
HAGGERTY HOMES & RENOVATIONS,Residential home renovation company.,1566,1566 - Contractors,10165,,4087934,647 CLIFTON RD
1150188 BC LTD DBA THE KELOWNA RENOVATION COMPANY,RENOVATION CONTRACTOR - HBB MINOR,1566,1566 - Contractors,10183,,4080664,288 CLIFTON RD N
ATTIC TO ALLEY HOME INSPECTIONS INC,HOME INSPECTIONS - HBB MINOR,1566,1566 - Contractors,10198,,4079389,384 CLIFTON RD N
HOOPGENESIS,online sporting goods store selling hand crafted sectional hula hoops and other hand held props,3300,3300 - Mail Order or Outside Merchant Sales,10210,,4087539,277 CLIFTON RD N
"THYS-HOVEY, ASTIN L",Coaching/consulting,3340,"3340 - Management, Administration & Consultants",10236,,4086813,480 EL CAMINO RD
EL CAMINO B AND B,BED & BREAKFAST (4 BEDROOMS),7315,7315 - Bed & Breakfast,10238,,4078959,450 EL CAMINO RD
HAPPY APPLES DAYCARE,"DAY NURSERY, BABY SITTING 6-10 CHILDREN",1902,1902 - Child Care Services,10284,,4082178,746 GLENWOOD AVE
HELPING HANDS UNIQUE SERVICES,GENERAL CONTRACTING - HBB MINOR,1566,1566 - Contractors,10284,,4083566,746 GLENWOOD AVE
KELOWNA GOSPEL MISSION SOCIETY,long term supportive housing for women,7325,"7325 - Rooming House, Private Nursing/Rest Home",10286,,4087170,760 GLENWOOD AVE
KELOWNA GOSPEL MISSION SOCIETY,long term housing for women,7325,"7325 - Rooming House, Private Nursing/Rest Home",10290,,4086553,766 GLENWOOD AVE
GREER ELECTRIC  CANADA CORP.,ELECTRICAL CONTRACTOR - HBB MINOR,1566,1566 - Contractors,10299,,4032902,870 GLENWOOD AVE
"STANTON, VIRGINIA",LANDSCAPING/GARDEN  (SERV ONLY),8042,8042 - Landscaping/Garden  (Service Only),10305,,4059112,635 OLD MEADOWS RD
PATHWAYS ABILITIES SOCIETY,GROUP HOME - 4 ROOMS,7325,"7325 - Rooming House, Private Nursing/Rest Home",10307,,4076684,647 OLD MEADOWS RD
PROGRESSIVE FITNESS,Personal Training,2020,2020 - Fitness and Recreational Sports,10310,,4088759,661 OLD MEADOWS RD
LEFT COAST WOOD COMPANY,"SMALL WOODWORKING BUSINESS (SERVING BOARDS, CANDLE HOLDERS, ETC) - HBB MINOR",8032,8032 - Art and Home Handicrafts,10310,,4085745,661 OLD MEADOWS RD
CONSCIOUS INTENTION,LIFE COACHING,5099,5099 - Professional Services,10315,,4084576,2-1160 K.L.O. RD
C4 ELECTRIC,ELECTRICAL CONTRACTOR - HBB MINOR,1566,1566 - Contractors,10321,,4077520,154 CLIFTON RD
ALEXANDRA BABBEL STUDIOS,PRIVATE MUSIC STUDIO,8066,"8066 - Private Teaching of Music, Dancing, Hairdress & other related activities",10328,,4066863,35 ALTURA RD
KLONETICS PLANT SCIENCE INC.,Nursery,4201,4201 - Medical Cannabis Production,10341,,4087174,3575 ALCAN RD
DASHER MECHANICAL,PLUMBING & GAS-FITTING CONTRACTOR,1566,1566 - Contractors,10346,,4079802,145 KLASSEN RD
EASY GREEN YARD,Online Sales of landscape supplies,3300,3300 - Mail Order or Outside Merchant Sales,10349,,4087037,175 KLASSEN RD
HERITAGE VENTURES LTD,CONTRACTOR - FINE FINISHING AND SMALL RENOVATIONS,1566,1566 - Contractors,10356,,4028656,1340 GLENMORE RD N
N & A INSTALLATIONS,TILE SETTING & CUSTOM CABINET INSTALLATION CONTRACTOR - HBB MINOR,1566,1566 - Contractors,10356,,4084052,1340 GLENMORE RD N
KELOWNA PET RESORT LTD,PET BOARDING,120,120 - Animal and Pet Services,10371,,4075515,1301 GLENMORE RD N
"WHITTLE, RYAN",SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,10392,,4088164,627 CLEMENT AVE
VVS HOME IMPRO INC.,INSTALLING OF SIDING RESIDENTIAL AND COMMERCIAL BUILDINGS - HBB MINOR,1566,1566 - Contractors,10404,,4085976,729 CLEMENT AVE
PALADIN PAINTING & RENOVATIONS,PAINTING CONTRACTOR,1566,1566 - Contractors,10407,,4036282,755 CLEMENT AVE
LIVING GREEN ELEMENTS,LANDSCAPING/GARDENPESTICIDE/SNOW REMOVAL - HBB MINOR,8042,8042 - Landscaping/Garden  (Service Only),10420,,4076059,1676 KLOPPENBURG RD
EMERGENT MECHANICAL ENGINEERING LTD.,MECHANICAL ENGINEERING - HBB MINOR,5099,5099 - Professional Services,10448,,4084610,964 GLEN ST
"RUB A DUB, SCOUR N' SCRUB",Janitoral Services,8036,8036 - Janitor And/Or Window Cleaning,10465,,4089175,1305 CLARK CRT
SIGN CHEK HOLDINGS LTD,CONTRACTOR - SIGNS,1566,1566 - Contractors,10472,,4012986,3330 GLENMORE RD N
ADLEM MECHANICAL,GAS-FITTING CONTRACTOR,1566,1566 - Contractors,10488,,4070384,397 CLIFTON RD
HENRY,HOME & COMMERCIAL MAINTENANCE/LANSCAPING  (HBB MINOR),1566,1566 - Contractors,10489,,4075119,385 CLIFTON RD
PFITZTECH CONTRACTING LTD,ELECTRICAL CONTRACTOR - HBB MINOR,1566,1566 - Contractors,10490,,4077542,1746 KLOPPENBURG RD
REASONABLY PRICED TAX SERVICES,TAX PREPARATION - HBB MINOR,5099,5099 - Professional Services,10492,,4080414,1719 KLOPPENBURG RD
RK STUDIO RESIDENTIAL DESIGN AND DRAFTING,ARCHITECTURAL DESIGN AND DRAFTING.- HBB MINOR,5099,5099 - Professional Services,10493,,4084036,1760 KLOPPENBURG RD
THE JUNK NINJAS,Household Junk Removal,8000,"8000 - Personal, Household & Other Services",10497,,4086720,1240 ELWYN RD
A TOUCH OF ENGLISH BED & BREAKFAST,BED & BREAKFAST,7315,7315 - Bed & Breakfast,10505,,4069914,5 ALAMEDA CRT
TRANSCRIPTION SOLUTIONS,MEDICAL TRANSCRIPTION,8002,"8002 - Accountant, bookkeeper, auditor, and public stenographer",10519,,4058399,672 GLENWOOD AVE
KELOWNA RAILS,Railing Installations,1566,1566 - Contractors,10534,,4087028,1277 ELWYN RD
SPROPAINTING,Residential Interior and Exterior Painting,1566,1566 - Contractors,10534,,4088310,1275 ELWYN RD
OKANAGAN VACATION PROPERTIES,VACATION RENTAL MANAGER,3350,3350 - Management Company - Property,10542,,4083942,3945 BLUEBIRD RD
NOAH'S ARK DELIVERY AND REPAIR,Picking up and delivery of appliances. Repairing appliances. General servicing and maintenance.,8074,8074 - Service & Maintenance of Large Appliances,10562,,4088963,1035 EL PASO RD
THE LIGHTHOUSE RECOVER SOCIETY,Group home,7325,"7325 - Rooming House, Private Nursing/Rest Home",10563,,4088536,1030 EL PASO RD
1254612 BC LTD.,Cherry Orchard with Fruit Stand,2200,2200 - Farm Retail Sales,10571,,4086746,2104 MORRISON RD
QUINN'S NAILS,NAIL SALON & SPA,2400,2400 - Hairstylist or Barber,10581,,4083524,3-1155 K.L.O. RD
AARON B MOREIRA NUTRITION DBA FUEL SVN,RETAIL   1 - 278 SQ. METRES,7205,7205 - Retail,10581,,4071798,6-1155 K.L.O. RD
1331859 CANADA INC DBA CIRCLE K,Convenience store,7205,7205 - Retail,10581,,4089026,5-1155 K.L.O. RD
12093804 CANADA INC,RETAIL   1 - 278 SQ. METRES CONVENIENCE STORE,7205,7205 - Retail,10581,,4086081,5-1155 K.L.O. RD
YOUR HAIR PLACE,HAIRSTYLIST (1 CHAIR),2400,2400 - Hairstylist or Barber,10581,,4070524,7-1155 K.L.O. RD
MIDTOWN STUDIO,"HAIRSTYLIST, BARBER/BEAUTY PARLOUR",2400,2400 - Hairstylist or Barber,10581,,4074813,1B-1155 K.L.O. RD
MICHALIK ENTERPRISES LTD (DBA SUBCITY DONAIR),RESTAURANT - 140 SQ METRES OR LESS,7102,7102 - Restaurant,10581,,4074145,2A-1155 K.L.O. RD
K.L.O VETERINARY HOSPITAL,VETERINARIAN,5099,5099 - Professional Services,10581,,4082252,1-1155 K.L.O. RD
SPECTRA AESTHETIC,Permanent Makeup Artist,850,850 - Beauty Parlour and/or Aesthetic Services,10581,,4088360,1155 K.L.O. RD
FOUR J CAFE LTD,RESTAURANT - 140 SQ METRES OR LESS,7102,7102 - Restaurant,10581,,4083600,2-1155 K.L.O. RD
"HART, EDWARD",Short Term Rental,7316,7316 - Short-Term Rental - Principal Residence,10595,,4087111,405 SNOWSELL ST N
ALL WEST INSULATION SERVICES,INSULATION CONTRACTOR,1566,1566 - Contractors,10600,,4029577,2902 GLENMORE RD N
"BUEHLER, EDEE","TRUST, INVEST., LOAN/MORTGAGE CO  (1-2)",7705,7705 - Trust/Insurance/Investment/Loan/Mortgage Company,10604,,4072476,2-353 CLIFTON RD
STERLING POOL & SPA,SWIMMING POOL MAINTENANCE HBB MINOR,1566,1566 - Contractors,10609,,4085129,831 CLEMENT AVE
WASTE NOT DESIGNS,HOME HANDICRAFT - SELF EMPLOYED - HBB MINOR,8032,8032 - Art and Home Handicrafts,10615,,4083883,865 CLEMENT AVE
LOTUS BLOSSOM SKIN CARE & SPA LTD,SPA - RELAXATION MASSAGE,850,850 - Beauty Parlour and/or Aesthetic Services,10621,,4080027,12-1710 ELLIS ST
HEARTSPACE COUNSELLING AND PSYCHOTHERAPY SERVICES,COUNSELLING,5099,5099 - Professional Services,10621,,4080440,19-1710 ELLIS ST
MINDS MATTER COUNSELLING,COUNSELLING,2550,2550 - Health Services,10621,,4084616,19-1710 ELLIS ST
CONSCIOUS COLLECTIVE HEALTH,Health Clinic,2550,2550 - Health Services,10621,,4087628,19-1710 ELLIS ST
NEIL D BROWN DPM,PODIATRIST,5099,5099 - Professional Services,10621,,4074239,16-1710 ELLIS ST
KASPER DENTURE CLINIC,DENTURIST - SATELLITE OFFICE ONLY,5099,5099 - Professional Services,10621,,4082272,25-1710 ELLIS ST
DR ROBYN MOREAU INC,DENTIST,5099,5099 - Professional Services,10621,,4078564,22-1710 ELLIS ST
RITZ DENTAL LAB LTD,DENTAL LAB,8022,8022 - Dental Technician or Laboratory Services,10621,,4027486,28-1710 ELLIS ST
CONSCIOUS COLLECTIVE HEALTH,COUNSELLING PRIVATE PRACTICE,2550,2550 - Health Services,10621,,4084757,18-1710 ELLIS ST
AURUM CERAMIC DENTAL LABORATORIES LTD,DENTAL LABORATORY,8022,8022 - Dental Technician or Laboratory Services,10621,,4020894,10-1710 ELLIS ST
APPLE DENTAL CARE,DENTAL CLINIC,5099,5099 - Professional Services,10621,,4086957,24-1710 ELLIS ST
NATURAL TRANSFORMATIONS,"HAIRSTYLIST, BARBER/BEAUTY PARLOUR",2400,2400 - Hairstylist or Barber,10639,,4027642,420 GLENWOOD AVE
GREENTECH AGRI-BIO PRODUCT RESEARCH CTR DIV OF GREENTECH RECYCLING INC,"RESEARCH AND DEVELOPMENT OF NATURAL PRODUCTS,   HBB MINOR",3300,3300 - Mail Order or Outside Merchant Sales,10643,,4070836,730 K.L.O. RD
0814932 BC LTD.,APARTMENT,7310,7310 - Apartment,10660,,4075200,784 ELLIOT AVE
AMBER DAWN REGISTERED MASSAGE THERAPY,REGISTERED MASSAGE THERAPIST,5099,5099 - Professional Services,10686,,4080623,208-616 K.L.O. RD
DR MICHAEL D APPLEBY INC,PROFESSIONS - GENERAL PRACTITIONER,5099,5099 - Professional Services,10686,,4016384,210-616 K.L.O. RD
VALLEY MEDICAL LABORATORIES,PROFESSIONALS - LAB TECHNICIANS (2),5099,5099 - Professional Services,10686,,4018995,2-616 K.L.O. RD
TEMPUS RESOURCES,Mineral Exploration,7400,"7400 - Sand/Gravel Pit, Mining & Resource Extraction",10686,,4086984,202-616 K.L.O. RD
THE SEWING SHOP,alteration and sewing shop,8000,"8000 - Personal, Household & Other Services",10686,,4088258,3-616 K.L.O. RD
THE SEWING SHOP,RETAIL - TAILORESS/DRESSMAKER,7205,7205 - Retail,10686,,4063576,3-616 K.L.O. RD
MISSION DENTURE CENTRE,PROFESSIONAL - DENTURIST,5099,5099 - Professional Services,10686,,4066224,4-616 K.L.O. RD
"EWING, KIM",INDIVIDUAL/COUPLE & FAMILY THERAPISTS,5099,5099 - Professional Services,10686,,4071200,204-616 K.L.O. RD
HYPNOTHERAPY SERVICES BY KRISTINE,ALTERNATIVE & HOLISTIC HEALTH SERVICE,2550,2550 - Health Services,10686,,4086234,209-616 K.L.O. RD
MISSION VIEW COUNSELLING GROUP,Clinical Counselling Services,5099,5099 - Professional Services,10686,,4086774,209-616 K.L.O. RD
"VAN DER WESTHUIZEN, FRANS P",Medical consulting for pediatric patients referred from their family doctors for clinical review,2550,2550 - Health Services,10686,,4088007,206-616 K.L.O. RD
OKANAGAN KIDS PHYSIO,PHYSIOTHERAPIST - HBB MAJOR,5099,5099 - Professional Services,10699,,4076206,2610 ALBERTA CRT
CARETENDERS,MANAGEMENT COMPANY - RETIREMENT & SENIORS HOUSING,3350,3350 - Management Company - Property,10708,,4058612,400 SNOWSELL ST N
COUNTRY VILLAGE HOMES CORP,RETIREMENT HOME - (57 SUITES)(CARE PROVIDED BY THE FACILITY),7325,"7325 - Rooming House, Private Nursing/Rest Home",10708,,4033842,400 SNOWSELL ST N
RITE-WAY FENCING (2000) INC,CHAIN LINK FENCING PRODUCTS,7205,7205 - Retail,10716,,4036209,3535 ALCAN RD
FLOWER POWER HOME CLEANING,RESIDENTIAL CLEANING - HBB MINOR,8036,8036 - Janitor And/Or Window Cleaning,10724,,4081732,1729 K.L.O. RD
"FACEY, NEAL C & NEILAND, BEN C",SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,10737,,4083398,1422 ALTA VISTA RD
JUST FAMILY SOLUTIONS,BARRISTER & SOLICTITOR HBB MINOR,5099,5099 - Professional Services,10739,,4074449,1444 ALTA VISTA RD
FOREVER DESTINY HOMES LTD,Home Building,1566,1566 - Contractors,10741,,4088542,633 GLENWOOD AVE
AMARJIT K. KLER NOTARY CORP.,NOTARY PUBLIC - HBB MAJOR,5099,5099 - Professional Services,10741,,4086271,633 GLENWOOD AVE
HANCOCK ELECTRIC LTD,ELECTRICAL CONTRACTOR - HBB MINOR,1566,1566 - Contractors,10741,,4017646,633 GLENWOOD AVE
VALLEYPRO AUTOHOUSE,AUTO BODY REPAIR & DETAILING,300,"300 - Automobile Body Repair and Paint Shop, detailing or car wash",10747,,4075486,158 OLD VERNON RD
EUROPRO AUTOHAUS LTD, AUTO REPAIR,2204,2204 - Garage (Repair),10747,,4065513,158 OLD VERNON RD
DUNNENZIES PIZZA CO,TAKE OUT PIZZA,7102,7102 - Restaurant,10752,,4069753,1559 ELLIS ST
FIVE DIAMONDS TATTOO,TATTOO SHOP,850,850 - Beauty Parlour and/or Aesthetic Services,10752,,4074513,1561 ELLIS ST
GALAXY SHOE REPAIR,SHOE REPAIR,8076,8076 - Shoe Repair,10754,,4085006,1627 ELLIS ST
AWINDFALL MASSAGE & ACUPUNCTURE CLINIC,ACUPUNCTURE AND MASSAGE CLINIC,5099,5099 - Professional Services,10754,,4082592,1625 ELLIS ST
OPUS SALON HOLDINGS LTD.,HAIR SALON - 6 CHAIRS,2400,2400 - Hairstylist or Barber,10755,,4081708,1611 ELLIS ST
EXPERT HEARING SOLUTIONS LTD,CORPORATE OFFICE,8002,"8002 - Accountant, bookkeeper, auditor, and public stenographer",10755,,4070022,1615 ELLIS ST
NGEL BOUTIQUE STUDIO,RETAIL STORE,7205,7205 - Retail,10755,,4079839,1619 ELLIS ST
LEASELINE FINANCIAL SERVICES CORP,EQUIPMENT LEASING COMPANY  (3-5),7705,7705 - Trust/Insurance/Investment/Loan/Mortgage Company,10756,,4074512,200-1583 ELLIS ST
1137323 BC LTD,"Civil Contracting and construction, Foundation Excavation, Land clearing, Rock Walls.",1566,1566 - Contractors,10756,,4088806,1593 ELLIS ST
MOBILE ECO DETAILING SPECIALISTS (MEDS) INC.,"MOBILE - CLEAN YOUR CAR, BOAT, RV, MOTORHOME, OR TRUCK",300,"300 - Automobile Body Repair and Paint Shop, detailing or car wash",10756,,4085377,1593 ELLIS ST
LG ASSET MANAGEMENT INC,LAND TITLE/VEHICLE/CORPORATE SEARCHES,8000,"8000 - Personal, Household & Other Services",10756,,4077038,1593 ELLIS ST
1195045 BC LTD.,Masonry Contractor,1566,1566 - Contractors,10756,,4087144,1593 ELLIS ST
ALPINE CIVIL ENGINEERING CONSULTANT LTD,PROFESSIONAL - ENGINEER,5099,5099 - Professional Services,10781,,4073105,1440 BLUERIDGE RD
RAZORS HEDGE,HEDGETRIMMING - HBB MINOR,8042,8042 - Landscaping/Garden  (Service Only),10782,,4081210,1410 BLUERIDGE RD
RHF SYSTEMS,CONSULTING SERVICES - RESEARCH DESIGN & DEVELOPMENT OF GIS SOFTWARE - HBB MINOR,3340,"3340 - Management, Administration & Consultants",10786,,4019433,1459 BLUERIDGE RD
PATRICIA FULTON,SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,10796,,4083603,264 CLIFTON RD N
WILD BLOOM NURSERY,"Plant nursery and greenhouse growing ornamental plants for retail, wholesale, & ecommerce sales",2200,2200 - Farm Retail Sales,10804,,4087880,840 OLD VERNON RD
KELCO DRYWALL LTD,CONTRACTOR-DRYWALL,1566,1566 - Contractors,10804,,4010414,840 OLD VERNON RD
1148224  BC LTD  DBA MALIBU JANITORIAL,JANITOR/WINDOW CLEANING (MORE THAN 3) - HBB MINOR,8036,8036 - Janitor And/Or Window Cleaning,10807,,4080689,944 OLD VERNON RD
"KEIM, DAWN",Music Studio,1650,1650 - Creative or Performing Arts,10827,,4088622,1430 ALPINE AVE
"BLUE POND SOLAR, INC.",Solar Energy Contractor,1566,1566 - Contractors,10830,,4088512,275 ELBE CRT
RON SCHUR PLUMBING,PLUMBING,1566,1566 - Contractors,10838,,4024462,475 ELDORADO RD
PRIYA'S,COOKING INDIAN ETHNIC FOOD AND WILL BE SELLING AT THE FARMER'S MARKET-HBB MAJOR,7100,7100 - Restaurant - Catering or Meal Prep,10860,,4085179,3098 GORDON DR
BRIAN LAUER PLUMBING,PLUMBING & GAS-FITTING CONTRACTOR,1566,1566 - Contractors,10863,,4073104,1405 ELM ST
ELIDA LASH STUDIO,"Eyelash Extensions, Lash Lift & Tint",850,850 - Beauty Parlour and/or Aesthetic Services,10868,,4087080,1435 ELM ST
KELOWNA E RIDE INC,"SALES, RENTALS &  SERVICE OF ELECTRICAL TRANSPORTATION",8052,8052 - Machine & Equipment Sales/Service,10873,,4074407,901 ELLIS ST
OKANAGAN COMPUTER PRODUCTS RECYCLING (2007) INC,RECYLING TONER CARTRIDGES/RETAIL,7205,7205 - Retail,10873,,4065899,923 ELLIS ST
REVS E BIKES LTD.,RENTALS & SERVICE OF ELECTRICAL TRANSPORTATION,8050,8050 - Machine & Equipment Rental,10873,,4081387,909 ELLIS ST
REVS E BIKES LTD.,REVS E BIKES LTD.,7905,7905 - Wholesale,10873,,4087171,909 ELLIS ST
THE DOG GROOMERY,DOG GROOMING,120,120 - Animal and Pet Services,10873,,4079878,919 ELLIS ST
WELL KNEADED MASSAGE THERAPY INC,MASSAGE THERAPY - ITINERANT,5099,5099 - Professional Services,10875,,4070971,1730 KLOPPENBURG RD
RONCO INDUSTRIES,DRAFTING AND DESIGN SERVICE-HBB MINOR,8024,8024 - Drafting and Design Service,10913,,4082400,218 SNOWSELL ST
"HARKINS, DAVE C",SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,10928,,4088921,30 ALTURA RD
YANNI'S GRILL,LICENCED RESTAURANT,7102,7102 - Restaurant,10933,,4085075,1959 K.L.O. RD
MISSION CREEK GOLF & COUNTRY CLUB,GOLF COURSE (INCLUDES PRO SHOP AND CLUB HOUSE),3207,3207 - Liquor Licensed Recreational Club,10933,,4007139,1959 K.L.O. RD
REGENCY LANDSCAPING,COMMERCIAL LANDSCAPE MAINTENANCE COMPANY HBB MINOR,8042,8042 - Landscaping/Garden  (Service Only),10934,,4085164,3909 BLUEBIRD RD
THE SQUIRE,APARTMENT (42 SUITES),7310,7310 - Apartment,10935,,4003536,1760 ELLIS ST
HELENA'S DAY SPA AND ESTHETICS,ESTHETICIAN MOBILE - HBB MINOR,2400,2400 - Hairstylist or Barber,10935,,4076995,312-1760 ELLIS ST
1230797 BC LTD. DBA REALTY RENOVATION,HOME AND COMMERCIAL RENOVATION SERVICES - HBB MINOR,1566,1566 - Contractors,10936,,4077818,3915 BLUEBIRD RD
HEAT TECH HOT WATER HEATING SERVICE INC,GAS-FITTING CONTRACTOR AND HEATING,1566,1566 - Contractors,10966,,4074519,280 CLARISSA RD
PANOHOMES LTD,Home builder,1566,1566 - Contractors,10988,,4086642,1432 FLEMISH ST
KIRK HANSON'S BORN BUILDERS,CONSTRUCTION CONTRACTOR - HBB MINOR,1566,1566 - Contractors,10998,,4079914,1461 FLEMISH ST
KEMPER'S LANDSCAPE CONSTRUCTION & MAINTENANCE,LANDSCAPE CONSTRUCTION & MAINTENANCE,1566,1566 - Contractors,11001,,4060672,1433 FLEMISH ST
ARK MEDIA,VIDEOGRAPHER/DIGITAL MARKETING - ITINERANT - HBB MINOR,8062,"8062 - Photography, Audio and/or Video Engineering or Production",11015,,4082957,1379 ALDER CRT
LEXCO RECYCLING SERVICES,RECYCLING SERVICE,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",11016,,4023669,1371 ALDER CRT
