BusinessName,BusinessDescription,Address,Phone,Naics,NaicsDescription,BusinessType,FullTime,PartTime
Dignity Roofing & Exteriors,"Residential roofing services, mainly re-roofing",9133 Hemlock Dr Unit 1207 Richmond BC  V6Y 4J9,778-814-7102,238160,Roofing contractors,General Contractor,2,0
Dijon Dumpling Factory,Manufacture Dumplings,12800 Bathgate Way Unit 7 Richmond BC  V6V 1Z4,778-683-9572,311990,All other food manufacturing,,5,1
Dilek Kacar,Interim Physiotherapist,6651 Elmbridge Way Unit 110 Richmond BC  V7C 5C2,604-233-2347,621340,"Offices of physical, occupational, and speech therapists and audiologists",,1,0
Dillon Consulting Limited,Consulting Engineering Services,3820 Cessna Dr Unit 510 Richmond BC  V7B 1C7, ,541330,Engineering services,,29,0
Dilong Virtual Accounting Inc,Tax preparation and bookkeeping business,6211 Gilbert Rd Unit 123 Richmond BC  V7C 3V8,778-558-8486,541212,Offices of  accountants,Home Occupation,0,1
Dim Sum King Co,Food retail store,4540 No 3 Rd Unit 1475 Richmond BC  V6X 4E4,604-232-9177,445110,Supermarkets and other grocery (except convenience) stores,Retail Trading,1,0
Dim Sum Now,Serving Chinese food in foodcourt,8700 McKim Way Unit 2103 Richmond BC  V6X 4A5,778-881-8889,722512,Limited-service eating places,"Food Service Establishment, Take-Out",1,1
Dimerco Express (Canada) Corporation,Shipping forwarding,5200 Miller Rd Unit 2150 Richmond BC  V7B 1L1,604-231-9188,488519,Other freight transportation arrangement,,0,0
Dinestcorp Holdings Ltd,Storage for restaurant supplies,9111 Beckwith Rd Unit 1050 Richmond BC  V6X 1V7,604-767-3000,493110,General warehousing and storage,,1,0
Dinesty Chinese Restaurant,Chinese Restaurant,5555 Gilbert Rd Unit 150 Richmond BC  V7C 0B8,604-303-7772,722511,Full-service restaurants,"Food Service Establishment, Take-Out",15,5
Dinesty Frozen Dumplings,retail frozen dumplings,3779 Sexsmith Rd Unit 1168 Richmond BC  V6X 3Z9,604-303-9998,445299,All other specialty food stores,Retail Trading,4,0
Ding Hau Food (1983) Company Ltd,Food Manufacture,2633 Simpson Rd Unit 1035 Richmond BC  V6X 0B9,604-273-1188,311990,All other food manufacturing,,5,3
Dingshing Trading Ltd,Property management,6480 Chelmsford St   Richmond BC  V7C 4H9,604-278-3989,531310,Real estate property managers,Property Management,0,1
Diplomat Bakery & Pastry Ltd,Retail Bakery,6168 London Rd Unit 105 Richmond BC  V7E 0C1,604-241-9134,311811,Retail bakeries,Retail Trading,2,13
Direct Drive Auto Service,Auto repair service,12191 Hammersmith Way Unit 2105 Richmond BC  V7A 5H2,604-271-4844,811111,General automotive repair,,1,1
Direct Freight Services International Ltd,Freight Forwarding,5000 Miller Rd Unit 112 Richmond BC  V7B 1K6,604-270-8804,488519,Other freight transportation arrangement,,2,1
Dirtzy Extraction Clean,Mobile cleaning service,9940 Patterson Rd   Richmond BC  V6X 1R2,587-703-1685,561722,Janitorial services (except window cleaning),Home Occupation,1,0
Discover BC Store #2040,"Retail news stand selling pre-packaged food, books, periodicals & souvenirs",3880 Grant McConachie Way   Richmond BC  V7B 0A5,604-214-9690,451310,Book stores and news dealers,Retail Trading,3,0
Discover BC/Crafthouse,retail clothing & souvenirs,3880 Grant McConachie Way   Richmond BC  V7B 0A5,604-214-0560,453220,"Gift, novelty and souvenir stores",Retail Trading,1,10
Discover Energy Corp,"Energy solution system trading - order processing, logistic arrangement, and R&D - no product at location, shipping directly from vendor to customer - agent",7911 Alderbridge Way Unit 210 Richmond BC  V6X 2A4,778-776-3288,488519,Other freight transportation arrangement,,22,2
Distinguished Visitor Lounge,Lounge at YVR,3211 Grant McConachie Way   Richmond BC  V7B 0A4,604-276-6688,722410,Drinking places (alcoholic beverages),,10,20
Diversity and Emotional Wellness Centre,Psychology Services,8888 Odlin Cr Unit 2025 Richmond BC  V6X 3Z8,604-783-0050,621110,Offices of physicians,,1,0
DiYOrder,Selling embroidery hand craft on line,6931 Cooney Rd Unit 314 Richmond BC  V6Y 2J9,778-325-8268,454390,Other direct selling establishments,Home Occupation,2,0
DJ Kits Enterprises Ltd,"office, warehouse, welding workshop",11788 River Rd Unit 134 Richmond BC  V6X 1Z7,604-838-2218,811310,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,,2,1
DK Stucco Ltd,Stucco contractor,10580 Shell Rd   Richmond BC  V7A 3X4,604-304-4209,238140,Masonry contractors,General Contractor,2,0
DLY Space,"Commercial & Residential Renovation, General Contractor",9171 Ferndale Rd Unit 712 Richmond BC  V6Y 0A5,604-518-9266,236220,Commercial and institutional building construction,General Contractor,2,0
DMAC Technologies,Computer hardwares & softwares retailer,5300 No 3 Rd Unit 224 Richmond BC  V6X 2X9,604-821-1228,443144,Computer and software stores,Retail Trading,3,5
DMB Dental Careers & Personnel Service Ltd,Temporary & permanent placement of dental personnel to dental offices,3088 Francis Rd Unit 12 Richmond BC  V7C 5V9,604-270-1210,541690,Other scientific and technical consulting services,Home Occupation,1,0
DMB Designz,"custom embroidery of apparel (shirts, hats) custom patches and badges, online sales",22691 Fraserbank Cr   Richmond BC  V6V 2L7,778-850-0145,454390,Other direct selling establishments,Home Occupation,1,0
DMM Technology Corp,Electronic Design and Software Development,21320 Gordon Way Unit 120 Richmond BC  V6W 1J8,604-370-4168,541514,Computer systems design and related services (except video game design and development),,3,0
DMY Best,"General Contractor (Carpentry, Drywall, Painting)",6180 Nadine Cr   Richmond BC  V7C 2T6,778-995-3116,238350,Finish carpentry contractors,General Contractor,1,0
DNA Esthetics Inc,"Esthetics, manicure, pedicure, facials, waxing",12000 1st Ave Unit 150 Richmond BC  V7E 3L9,778-999-7101,812990,All other personal services,,1,0
dnata Catering Canada Limited,Airline Catering,3960 Jacombs Rd   Richmond BC  V6V 1Y6,604-992-3264,722310,Food service contractors,Food Catering,30,0
DNH Woodworks Ltd,Architectural woodword manufacturing & installation,4311 Vanguard Rd   Richmond BC  V6X 2P6,604-276-8209,321919,Other millwork,,10,0
Doggie Doos Grooming Salon,Pet grooming,8271 Westminster Hwy Unit 6 Richmond BC  V6X 1A7,604-278-5878,812910,Pet care (except veterinary) services,,4,2
Doggy Six Grooming & Pet Services,animal grooming service,12417 No 2 Rd Unit 130 Richmond BC  V7E 6H6,604-271-2525,812910,Pet care (except veterinary) services,Animal Grooming Services,2,1
Dogs' Avenue,Dog grooming services,8040 Garden City Rd Unit 135 Richmond BC  V6Y 2N9,604-270-3013,812910,Pet care (except veterinary) services,Animal Grooming Services,3,2
Dogwood Court,Apartment Block,6211 Gilbert Rd   Richmond BC  V7C 3V8,604-602-7708,531111,Lessors of residential buildings and dwellings (except social housing projects),Apartment Building,1,0
Dolar Shop Hot Pot Restaurant,Hot Pot Restaurant,5300 No 3 Rd Unit 720 Richmond BC  V6X 2X9,778-302-5211,722511,Full-service restaurants,Food Service Establishment,6,10
Dollar Smart,Dollar store - retailing dollar store items & grocery items & frozen food,4811 Hazelbridge Way Unit 130 Richmond BC  V6X 3K7,604-207-0072,452999,All other miscellaneous general merchandise stores,Retail Trading,1,1
Dollar Store & Mediterranean Grocery,"Retail Dollar store (Beauty items, toys, etc)
Mediterranean grocery (canned peas, olives, dry food etc) & Cigarettes",4121 No 5 Rd   Richmond BC  V6X 2T9,778-865-4375,452999,All other miscellaneous general merchandise stores,Retail Trading,2,0
Dollar Store Supplier,Wholesaler of dollar store items,2620 Viscount Way   Richmond BC  V6V 1N1,604-233-1929,418990,All other merchant wholesalers,Wholesale Trading,1,1
Dollar Town Store,Retail dollar store,9040 Blundell Rd Unit 145 Richmond BC  V6Y 2N9,604-214-3535,452999,All other miscellaneous general merchandise stores,Retail Trading,2,3
Dollarama,Retail dollar store - includes food products,9751 Bridgeport Rd Unit 110 Richmond BC  V6X 1S3,604-233-1045,452999,All other miscellaneous general merchandise stores,Retail Trading,35,10
Dollarama GP INC,Retail dollar store,3675 Westminster Hwy Unit 160 Richmond BC  V7C 5V2,604-365-1341,452999,All other miscellaneous general merchandise stores,Retail Trading,5,10
Dollarama L P,Retail Store,5300 No 3 Rd Unit 602 Richmond BC  V6X 2X9,604-248-0614,452999,All other miscellaneous general merchandise stores,Retail Trading,15,5
Dolly Worldwide Trades Inc,supplier of hotel & spa equip (wholesale) office/storage/warehouse,11120 Bridgeport Rd Unit 160 Richmond BC  V6X 1T2,604-602-0101,414330,"Linen, drapery and other textile furnishings merchant wholesalers",Wholesale Trading,3,1
Dolpan Seoul BBQ,"Restaurant, chinese food",3779 Sexsmith Rd Unit 1123 Richmond BC  V6X 3Z9,604-273-9220,722511,Full-service restaurants,Food Service Establishment,4,4
Dolphin Cleaning Services,Renting out the restrooms and fences and portable rooms for cleaning,16360 River Rd   Richmond BC  V6V 1L6,778-387-9900,532410,"Construction, transportation, mining, and forestry machinery and equipment rental and leasing",,2,0
Dominion Blue Reprographics,"Blueprinting, Photocopying & Laminating",11080 Bridgeport Rd Unit 130 Richmond BC  V6X 1T2,604-273-0864,541430,Graphic design services,,5,0
Dominion Janitors Supply Ltd,Wholesale Janitorial Supplies,6755 Graybar Rd Unit 115 Richmond BC  V6W 1H8,604-270-0677,417920,"Service establishment machinery, equipment and supplies merchant wholesalers",Wholesale Trading,4,1
Dominion Lending Centres Acer Mortgages,mortgage lending company,3600 No 3 Rd Unit 200 Richmond BC  V6X 2C1,604-630-6916,522299,All other non-depository credit intermediation,,3,0
Dominion Lending Centres Veda Lending,Providing financial solutions - Mortgage broker acting as intermediaries between clients and banks,4311 Hazelbridge Way Unit 1835 Richmond BC  V6X 3L7,778-237-5868,522220,Sales financing,,2,0
Dominion Lending Centres Vita Lending,Mortgage Brokering activities,4000 No 3 Rd Unit 6055 Richmond BC  V6X 0J8,604-808-1672,522310,Mortgage and non-mortgage loan brokers,,3,0
Dominion Wood Working Inc,Manufacturing kitchen cabinets & wood products,2720 Smith St   Richmond BC  V6X 2J2,604-276-8231,337110,Wood kitchen cabinet and counter top manufacturing,,6,0
Dominion Woodworking Inc,Kitchen cabinets installation,2720 Smith St   Richmond BC  V6X 2J2,604-276-8231,238990,All other specialty trade contractors,General Contractor,4,0
Domino's Pizza,Take Out Pizza,11700 Cambie Rd Unit 190 Richmond BC  V6X 1L5,604-278-0010,722512,Limited-service eating places,Retail Trading,2,2
Domo Gasoline Corporation Ltd,Gasoline retailer,4071 No 3 Rd   Richmond BC  V6X 2C3,604-273-2738,447190,Other gasoline stations,Gas Station,8,0
Don Gore Instrument Service Ltd,Optical Instrument Repair (Survey Equipment),3671 Viking Way Unit 10 Richmond BC  V6V 1W1,604-273-8094,811210,Electronic and precision equipment repair and maintenance,,3,0
Don Rankin Electrical Company,"Electrical contractor supplying electrical services, installations and inspections",8700 Jones Rd Unit 301 Richmond BC  V6Y 3X7,778-998-0865,238210,Electrical contractors and other wiring installation contractors,Electrical Contractor,1,0
Donald's Fine Foods,Meat packaging warehousing wholesale,11528 Eburne Way   Richmond BC  V6V 2G7,604-875-6033,413160,Red meat and meat product merchant wholesalers,,50,0
Dong Sheng Jewelry,Jewellery Store,4151 Hazelbridge Way Unit 2820 Richmond BC  V6X 4J7,604-700-8276,448310,Jewellery stores,Retail Trading,3,2
Donghui Home Repair Maintenance Inc,Home & commercial repairs,16160 Westminster Hwy   Richmond BC  V6V 1A8,604-283-1955,236110,Residential building construction,General Contractor,1,0
Donnie Loy - Registered Massage Therapist,mobile registered massage therapist,10291 Severn Dr   Richmond BC  V7A 2V4,778-889-2782,621499,All other out-patient care centres,Registered Massage Therapy Clinic,1,0
Dora Replanski Research Consulting,"Research consulting services to non-profit organizations in BC including grant and proposal writing, data collection and analysis, research training workshops in client offices.",6071 Azure Rd Unit 36 Richmond BC  V7C 2P3,604-448-1294,541720,Research and development in the  social sciences and humanities,Home Occupation,1,0
Dorina Cho Bookkeeping and Accounting Solutions,Bookkeeping and accounting duties for small organizations,5431 Oliver Dr   Richmond BC  V6V 2S7,604-715-2509,541212,Offices of  accountants,Home Occupation,0,1
Doris,Hair Styling - operates one chair,5188 Westminster Hwy Unit 103 Richmond BC  V7C 5S7,778-855-8813,812115,Beauty salons,,2,2
Dorlon Industries Ltd,Manufacturing Covers For Spas Hot Tubs,5920 No 6 Rd Unit 209 Richmond BC  V6V 1Z1,604-270-4815,326198,All other plastic product manufacturing,,5,0
Dormeo Furniture,online furniture sales,8200 St Albans Rd   Richmond BC  V6Y 2K9,604-265-0177,454110,Electronic shopping and mail-order houses,Home Occupation,2,0
Dorset Realty Group Canada Ltd,Real Estate Office,10451 Shellbridge Way Unit 215 Richmond BC  V6X 2W8,604-270-1711,531212,Offices of real estate brokers,Property Management,45,5
Double Double Restaurant & Wonton Ltd,Chinese restaurant,4600 No 3 Rd Unit 128 Richmond BC  V6X 2C2,604-771-4494,722511,Full-service restaurants,Food Service Establishment,8,8
Double East Restaurant Ltd,Chinese food restaurant - dine in,4200 No 3 Rd Unit 190 Richmond BC  V6X 2C2,604-276-2716,722511,Full-service restaurants,Food Service Establishment,6,3
Double Face Fashion Ltd,Fashion merchandise for women,4000 No 3 Rd Unit 3260 Richmond BC  V6X 0J8,778-682-1925,448140,Family clothing stores,Retail Trading,3,2
Double L Screen Printing Inc,Silk Screen Printing,12830 Clarke Pl Unit 125 Richmond BC  V6V 2H5,604-214-9808,541430,Graphic design services,,3,1
Double S Trading Ltd,"Auto Wholesale and Export Office, no vehicles stored or sold at the location, company both exporting and selling locally",7911 Alderbridge Way Unit 210 Richmond BC  V6X 2A4,604-603-1564,441110,New car dealers,Automobile Dealer,0,1
Douglas Darrell M Dr Inc,Dentist,9100 Blundell Rd Unit 410 Richmond BC  V6Y 2N9,604-273-0123,621210,Offices of dentists,,2,2
Dovre Import & Export Ltd,wholesale distributors of specialty foods to the retail market,13931 Bridgeport Rd   Richmond BC  V6V 1J6,604-234-4545,413190,Other specialty-line food merchant wholesalers,Wholesale Trading,33,3
Doxa Construction Ltd,"property development, construction management - general contractor for residential and commercial",4200 Vanguard Rd   Richmond BC  V6X 2P4,604-285-0011,236110,Residential building construction,General Contractor,5,0
DP Video,"Retail of DVD video and accessories sales, blank media and accessories sales",4380 No 3 Rd Unit 1220 Richmond BC  V6X 3V7,604-329-8838,443146,Audio and video recordings stores,Retail Trading,2,0
DQ Gardening & Landscaping,General Contractor for landscaping and gardening services.,11540 Seafield Cr   Richmond BC  V7A 3J2,604-727-3028,561730,Landscaping services,Home Occupation,3,0
"Dr A Chain, Podiatrist",Medical Office - Podiatry,5300 No 3 Rd Unit 216 Richmond BC  V6X 2X9,604-272-1055,621390,Offices of all other health practitioners,,1,0
Dr A K Nunrha Inc,dental office,3880 Grant McConachie Way   Richmond BC  V7B 0A5,604-276-2121,621210,Offices of dentists,,1,4
Dr A Karim Inc,Orthodontist (Dentist office),6180 Blundell Rd Unit 210 Richmond BC  V7C 4W7,604-271-8833,621210,Offices of dentists,,3,5
Dr Anabel R Chan Inc,Dental practice,6180 Blundell Rd Unit 230 Richmond BC  V7C 4W7,604-271-4211,621210,Offices of dentists,,0,10
Dr Anne Widya Inc,general practice in dentistry,4651 No 3 Rd Unit 110 Richmond BC  V6X 2C4,604-244-8749,621210,Offices of dentists,,1,0
Dr Annie Y Liang Optometrist,"Optometry Eye Care, contact lens fitting, low vision services",8120 No 2 Rd Unit 168 Richmond BC  V7C 5J8,604-204-2688,621320,Offices of optometrists,,1,1
Dr Auto Buff Detailing,Mobile auto detailing service including vehicle wash and vacuuming,11691 Oldfield Ave   Richmond BC  V6X 1M3,604-317-0772,811192,Car washes,Home Occupation,0,1
Dr B Gill,Medical office,6091 Gilbert Rd Unit 720 Richmond BC  V7C 5L9,604-270-4456,621110,Offices of physicians,,1,0
Dr Bendict Yap Inc,Medical practice,3811 Chatham St Unit 202 Richmond BC  V7E 2Z4,604-275-6652,621110,Offices of physicians,,2,3
Dr Bernard R Lim Inc,Orthodontic Practice,5951 No 3 Rd Unit 320 Richmond BC  V6X 2E3,604-276-8225,621210,Offices of dentists,,2,0
Dr Carin Matsushita ND,naturopathic medical services,11020 No 5 Rd Unit 223 Richmond BC  V7A 4E7,604-271-9355,621390,Offices of all other health practitioners,,1,0
Dr Carter K Ng Inc,Providing dental care,6180 Blundell Rd Unit 230 Richmond BC  V7C 4W7,604-271-4211,621210,Offices of dentists,,10,0
Dr Catherine Soo Inc,Providing general dental services,5951 No 3 Rd Unit 520 Richmond BC  V6X 2E3,604-278-2426,621210,Offices of dentists,,0,1
Dr Charu Chopra Inc,Phychology Services,22091 Fraserwood Way Unit 1150 Richmond BC  V6W 0A8,604-821-0575,621110,Offices of physicians,,5,0
Dr Chet Wong,Medical practice,8171 Ackroyd Rd Unit 1910 Richmond BC  V6X 3J9,604-370-3009,621110,Offices of physicians,,2,0
Dr Chiu Shing Tse Inc,Dentistry,8291 Alexandra Rd Unit 170 Richmond BC  V6X 1C3,604-821-1918,621210,Offices of dentists,,6,4
Dr Christine Wang Optometrist,"Optometry Eye Care, contact lens fitting, low vision services",12211 1st Ave Unit 110 Richmond BC  V7E 3M3,604-285-0101,621320,Offices of optometrists,,1,0
Dr Christopher C Soo Inc,Dentist,5951 No 3 Rd Unit 520 Richmond BC  V6X 2E3,604-278-2426,621210,Offices of dentists,,2,5
Dr Cigdem Arkuran Inc,Medical practice,6091 Gilbert Rd Unit 201 Richmond BC  V7C 5L9,604-244-7657,621110,Offices of physicians,,2,0
Dr Colin J McKay,Chiropractor ,6091 Gilbert Rd Unit 430 Richmond BC  V7C 5L9,604-232-0112,621310,Offices of chiropractors,,0,5
Dr Dianna Louie Inc,Medical Practice,6091 Gilbert Rd Unit 290 Richmond BC  V7C 5L9,604-273-8360,621110,Offices of physicians,,4,0
Dr Don Nixdorf Chiropractic Inc,Chiropractor Office,10020 No 3 Rd   Richmond BC  V7A 1W4,604-271-6442,621310,Offices of chiropractors,,0,1
Dr Emilie Yeung,medical office,7340 Westminster Hwy Unit 180 Richmond BC  V6X 1A1,604-270-9751,621110,Offices of physicians,,2,0
Dr Eric CK Lau Inc,Dentistry,5951 No 3 Rd Unit 300 Richmond BC  V6X 2E3,604-278-8613,621210,Offices of dentists,,2,3
Dr Evelyn V Sy,Dental practice,4651 No 3 Rd Unit 110 Richmond BC  V6X 2C4,604-244-8749,621210,Offices of dentists,,1,0
Dr Florence Co Uy Inc,Dental office,6480 Buswell St Unit 100 Richmond BC  V6Y 1V3,604-278-9877,621210,Offices of dentists,,2,8
Dr Francis Y Cheng Optometric Corp,"Optometric Practice, Eye Exams, Contact Lenses",4000 No 3 Rd Unit 3255 Richmond BC  V6X 0J8,604-821-0202,621320,Offices of optometrists,,2,3
Dr Frank K K Chiu Inc,Medical office,4651 No 3 Rd Unit 125 Richmond BC  V6X 2C4,604-821-0006,621110,Offices of physicians,,2,1
Dr Frank Lau Inc,Dentist,6091 Gilbert Rd Unit 410 Richmond BC  V7C 5L9,604-278-5224,621210,Offices of dentists,,2,0
Dr G Bernadette Yuan Inc,General Practitioner,3811 Chatham St Unit 103 Richmond BC  V7E 2Z4,604-277-9577,621110,Offices of physicians,,0,2
Dr Gary Y Tao Inc,Dental practice,6091 Gilbert Rd Unit 470 Richmond BC  V7C 5L9,604-278-2523,621210,Offices of dentists,,1,3
Dr George H Luciuk Inc,Medical Practice,6091 Gilbert Rd Unit 850 Richmond BC  V7C 5L9,604-270-7801,621110,Offices of physicians,,2,4
Dr Harleen K Aulakh Inc,Contract based Associate Dentist,11640 Dewsbury Dr   Richmond BC  V6X 2Y7, ,621210,Offices of dentists,Home Occupation,0,1
Dr Harvey Y Hu,"Traditional Chinese medical - chinese, herbal medicine & acupuncture",4000 No 3 Rd Unit 6100 Richmond BC  V6X 0J8,604-231-7333,621390,Offices of all other health practitioners,,2,0
Dr Heather J Donaldson Inc,Physician services,7000 Westminster Hwy   Richmond BC  V6X 1A2,604-278-9711,621110,Offices of physicians,,1,0
Dr Helena Zurekova,"Naturopathic medical services, bowen therapy",10020 No 3 Rd   Richmond BC  V7A 1W4,604-271-6442,621390,Offices of all other health practitioners,,1,0
Dr Henry C P Ngai & Associates Inc,Medical Practice,8220 Lansdowne Rd Unit 150 Richmond BC  V6X 1B9,604-278-3322,621110,Offices of physicians,,1,4
Dr Henson Po Inc,Dental office,6180 Blundell Rd Unit 171 Richmond BC  V7C 4W7,604-277-3155,621210,Offices of dentists,,4,4
Dr Herman Shen & Associates,"Optometry service - eye exams, contact lens fitting",4000 No 3 Rd Unit 1265 Richmond BC  V6X 0J8,604-278-8657,621320,Offices of optometrists,,2,4
Dr Hubert W Siu Chiropractic Corporation,Providing chiropractic services,8700 McKim Way Unit 1128 Richmond BC  V6X 4A5,604-270-2227,621310,Offices of chiropractors,,1,0
Dr Ivy Pang Chinese Medicine & Acupuncture Clinic,Acupunture & TCM,8338 Capstan Way Unit 1263 Richmond BC  V6X 4B5,604-273-8284,621390,Offices of all other health practitioners,,2,1
Dr J Delecka Corp,Dental Practice,7000 St Albans Rd Unit 108 Richmond BC  V6Y 2K1,604-270-9944,621210,Offices of dentists,,2,4
Dr Jacqueline Chang Dr Nam H Nguyen,Medical office - surgeon & family physician,7031 Westminster Hwy Unit 355 Richmond BC  V6X 1A3,604-837-0501,621110,Offices of physicians,,3,0
Dr James H Yeung Professional Corporation,Physician's office (Rhematory Practice),6091 Gilbert Rd Unit 790 Richmond BC  V7C 5L9,604-285-8765,621110,Offices of physicians,,3,0
Dr James Hung Inc,Medical Office,3700 No 3 Rd Unit 2270 Richmond BC  V6X 3X2,604-273-0990,621110,Offices of physicians,,1,1
Dr Janice Sayson Inc,Dentist,9520 No 3 Rd   Richmond BC  V7A 1W3,604-277-2238,621210,Offices of dentists,,1,3
Dr Jason J Cherry Inc,medical office,4231 Hazelbridge Way Unit 230 Richmond BC  V6X 3L7,604-270-7727,621110,Offices of physicians,,4,1
Dr Jerry Vortel Inc,Medical Practice,7031 Westminster Hwy Unit 304 Richmond BC  V6X 1A3,604-231-9697,621110,Offices of physicians,,3,0
Dr Jessica Yeung,Chiropractor,12004 No 1 Rd   Richmond BC  V7E 1T4,604-274-7224,621310,Offices of chiropractors,,1,0
Dr Jill C Kowalczyk Inc,medical practice,7031 Westminster Hwy Unit 206 Richmond BC  V6X 1A3,604-821-0626,621110,Offices of physicians,,1,0
Dr Jonathan Wu Inc,Dentist,6091 Gilbert Rd Unit 400 Richmond BC  V7C 5L9,604-376-6798,621210,Offices of dentists,,3,1
Dr Joyce Wu Dental,Dental office,8388 Capstan Way Unit 1466 Richmond BC  V6X 4A7,604-273-1888,621210,Offices of dentists,,4,8
Dr Kaori Sato Inc,Dental Office,6480 Buswell St Unit 100 Richmond BC  V6Y 1V3,604-244-8701,621210,Offices of dentists,,3,2
Dr Karen Eddy,Optometry,8120 No 2 Rd Unit 168 Richmond BC  V7C 5J8,604-204-2688,621320,Offices of optometrists,,0,1
Dr Katherine Y N Wong Inc,Dental Practice,6091 Gilbert Rd Unit 660 Richmond BC  V7C 5L9,604-273-9381,621210,Offices of dentists,,5,2
Dr Kazem Khazamipour Medical Services Inc,Medical clinic,8120 Cook Rd Unit 130 Richmond BC  V6Y 1T9,604-231-1924,621110,Offices of physicians,,2,0
Dr Keri Ruthe Inc,Family doctor - general practise,3811 Chatham St Unit 203 Richmond BC  V7E 2Z4,604-284-5389,621110,Offices of physicians,,2,2
Dr KMH Chow Inc,Dental Practice,6091 Gilbert Rd Unit 140 Richmond BC  V7C 5L9,604-278-7778,621210,Offices of dentists,,4,0
Dr L Rebecca Rivera Inc,Obstetrics and Gynecology medical practice. Payment received for non MSP covered patient care services such as notes and forms and provision of medical devices such as pessaries or IUDs as prescribed by physcian,6051 Gilbert Rd Unit 103 Richmond BC  V7C 3V3,604-270-2204,621110,Offices of physicians,,2,1
Dr L S Tanaka Chiropractic Inc,Chiropractic Services,7031 Westminster Hwy Unit 303 Richmond BC  V6X 1A3,604-273-9898,621310,Offices of chiropractors,,0,1
Dr Lau and Dr Kuo Medical Office,Medical clinic,7031 Westminster Hwy Unit 365 Richmond BC  V6X 1A3,604-270-6200,621110,Offices of physicians,,4,2
Dr Laura Heslip Inc,Obstetrics & Gyncology (Doctors Office),7031 Westminster Hwy Unit 200 Richmond BC  V6X 1A3,604-207-2550,621110,Offices of physicians,,2,0
Dr Leslie C T Chew Inc,Dental Office,4940 No 3 Rd Unit 113 Richmond BC  V6X 3A5,,621210,Offices of dentists,,1,1
Dr Marco Ka Wing Chung Inc,General Dentistry,8181 Cambie Rd Unit 5535 Richmond BC  V6X 3X9,604-273-9813,621210,Offices of dentists,,3,0
Dr Margaret M W Yeung,Medical Practice,7031 Westminster Hwy Unit 304 Richmond BC  V6X 1A3,604-231-9697,621110,Offices of physicians,,3,0
"Dr Marguerite Lu, Inc",Dental Office,3651 Moncton St Unit 280 Richmond BC  V7E 3A5,604-271-3007,621210,Offices of dentists,,1,1
Dr Megan Hiltz Inc,Medical office - rheumatology,7031 Westminster Hwy Unit 302 Richmond BC  V6X 1A3,604-285-2222,621110,Offices of physicians,,2,2
Dr Muhammad Atif Iqbal - Homeopathy Clinic,"Provide clinical health services related to homeopathic medical system in English, Hindi, Punjabi, Urdu languages",11590 Cambie Rd Unit 255 Richmond BC  V6X 1L5,604-726-5336,621390,Offices of all other health practitioners,,1,3
Dr Nishant Goswami Inc,Dentistry,8400 Granville Ave Unit 130 Richmond BC  V6Y 1P6,604-838-3623,621210,Offices of dentists,,1,3
Dr Peter W K Tsang Inc,Medical office - referrals,6051 Gilbert Rd Unit 205 Richmond BC  V7C 3V3,604-278-9116,621110,Offices of physicians,,2,0
Dr Power and Dr Battery,Wholesale of rechargable batteries for cameras and laptops,4460 Jacombs Rd Unit 102 Richmond BC  V6V 2C5,604-273-8248,417310,"Computer, computer peripheral and pre-packaged software merchant wholesalers",Wholesale Trading,25,3
Dr R L Chau Inc,"dental extractions, implant surgery, jaw surgery, jaw joint surgery & facial cosmetic surgery.",8171 Cook Rd Unit 210 Richmond BC  V6Y 3T8,604-248-5180,621210,Offices of dentists,,6,0
Dr R T Liu Inc,Medical clinic for a single physician ,6628 River Rd Unit 365 Richmond BC  V7C 0E2,778-889-8169,621110,Offices of physicians,,3,1
Dr R W Morrell Inc,Medical Office,6091 Gilbert Rd Unit 270 Richmond BC  V7C 5L9,604-270-1998,621110,Offices of physicians,,1,1
"Dr Rachel Lam, ND",Naturopathic medical consultations and follow-ups (virtual/online),8297 Saba Rd Unit 1401 Richmond BC  V6Y 4B5,778-991-7213,621390,Offices of all other health practitioners,Home Occupation,1,0
"Dr Randall J Allan, Inc",Contracted mobile dentist,4820 Groat Ave   Richmond BC  V7E 5E3,604-315-0254,621210,Offices of dentists,Home Occupation,0,1
Dr Randy Shew Inc,Dental Practice,8220 Lansdowne Rd Unit 140 Richmond BC  V6X 1B9,604-273-6066,621210,Offices of dentists,,3,4
Dr Raymond N K Kao Inc,Dental Office,3779 Sexsmith Rd Unit 1292 Richmond BC  V6X 3Z9,604-207-2255,621210,Offices of dentists,,2,0
Dr Raymond Tang,Dental Office,5890 No 3 Rd Unit 118 Richmond BC  V6X 3P6,604-278-2738,621210,Offices of dentists,,6,3
Dr Razwan Chaudhry Dental Corp,dental office,9251 Alderbridge Way   Richmond BC  V6X 0N1,778-296-4300,621210,Offices of dentists,,6,6
Dr Rho Kee Inc,Dental Office,3951 Steveston Hwy   Richmond BC  V7E 2J9,604-274-6121,621210,Offices of dentists,,4,2
Dr Robert Kemp,optometric services,8120 No 2 Rd Unit 168 Richmond BC  V7C 5J8,604-273-7637,621320,Offices of optometrists,,1,0
Dr Robert Oliveros Inc,Dental Practice,6180 Blundell Rd Unit 220 Richmond BC  V7C 4W7,604-275-3361,621210,Offices of dentists,,3,1
