CITY,NAME,ADDRESS,POSTALCODE
SUMMERLAND,Saxon Winery,9819 LUMSDEN AVENUE,V0H1Z0
SUMMERLAND,Dominion Cider Co.,10216 GOULD AVE,V8P2A2
DUNCAN,Emandare Vineyard and Winery,6798 NORCROSS ROAD,V9L6C3
KELOWNA,Fireweed Brewing Corp.,1083 RICHTER STREET,V1Y2K6
KELOWNA,Calona Wines,1125 RICHTER STREET,V1Y2K6
DELTA,Snowgoose Brewery Inc.,203B - 1546 DERWENT WAY,V3M6M4
KEREMEOS,Clos Du Soleil Winery,2568 UPPER BENCH ROAD,V0X1N4
NARAMATA,Lang Vineyards,2493 GAMMON ROAD ,V0H1N0
OLIVER,Black Hills Estate Winery,4190 BLACK SAGE ROAD ,V0H1T0
WEST KELOWNA,Off the Grid Organic Winery,3623 GLENCOE RD,V4T1L8
PORT COQUITLAM,West Coast Cider Co,108 2071 KINGSWAY AVENUE,V3C6N2
KELOWNA,Soma Craft Cidery,4485 SALLOWS ROAD ,V1W4C2
OSOYOOS,Desert Valley Estate Winery,5221 LAKESHORE DRIVE,V0H1V6
KELOWNA,Magpie Cellars,3897 CASORSO ROAD,V1W4R6
SALT SPRING ISLAND,Salt Spring Wild Cider House,151 SHARP RD,V8K2P6
PENDER ISLAND,Sea Star Estate Farm and Vineyards,6621 HARBOUR HILL DRIVE ,V0N2M1
NARAMATA,Deep Roots Winery,884 TILLAR ROAD,V0H1N0
OKANAGAN FALLS,Nighthawk Estate Winery,2735 GREEN LAKE ROAD,V0H1R0
COBBLE HILL,Glenterra Vineyards,3897 COBBLE HILL ROAD,V0R1L0
