FID,ID,Name,EmplRange,NAICSTitle,NAICSDescr,NAICSCode,Phone,Fax,TollFree,EMail,WebAddress,StreetNo,StreetName,Address,PostalCode,BldgNo,UnitNo,Modified,PIN,CHArea,Ward
797,1254,Quest Inks & Coatings,10 to 19,Manufacturing,Printing Ink Manufacturing,325910,905-405-0041,905-405-1653, ,info@questinks.com,www.questinks.com,2401,Anson Dr,2401 Anson Dr,L5S 1G1, , ,1.57611E+12,10041900,Northeast EA (West),5
798,1266,Martelli Foods,5 to 9,Wholesale,General-Line Food Wholesaler-Distributors,413110,905-673-0335,905-673-8283, ,info@martellifoods.com,www.martellifoods.com,6650,Tompkin Rd,6650 Tompkin Rd,L5T 1N1, ,1,1.57611E+12,10041500,Northeast EA (West),5
799,1269,A M Wholesale Meats Ltd.,20 to 49,Wholesale,General-Line Food Wholesaler-Distributors,413110,905-612-8818,905-612-1688, ,ammeat@rogers.com, ,2450,Anson Dr,2450 Anson Dr,L5S 1G2, , ,1.49688E+12,10044100,Northeast EA (West),5
800,1272,Peel Label Inc.,10 to 19,Manufacturing,All Other Converted Paper Product Manufacturing,322299,905-677-6140,905-677-0262, , ,www.peellabel.com,2460,Anson Dr,2460 Anson Dr,L5S 1G7, ,4 to 8,1.51019E+12,10044200,Northeast EA (West),5
801,1273,M J Pallet Truck Services Inc.,1 to 4,Wholesale,"Industrial Machinery, Equipment and Supplies Whole",417230,905-564-7509,905-564-1688, ,mjpallettruck@bellnet.ca, ,1060,Britannia Rd E,1060 Britannia Rd E,L4W 4T1, ,7,1.54613E+12,14791700,Northeast EA (West),5
802,2260,Eyeglass Studio,1 to 4,Retail,Optical Goods Stores,446130,905-507-0122,905-502-5722, ,eyeglassstudio@bellnet.ca, ,40,Bristol Rd E,40 Bristol Rd E,L4Z 3K8, ,4,1.5101E+12,31807900,Hurontario NHD,5
803,1276,"Armour, James G & Co. Ltd.",1 to 4,Wholesale,"Paint, Glass and Wallpaper Wholesaler-Distributors",416340,905-677-7995,905-677-7999, ,jamesarmour@live.ca,www.jamesarmour.ca,2460,Anson Dr,2460 Anson Dr,L5S 1G7, ,12,1.57611E+12,10044200,Northeast EA (West),5
804,2261,McDonald's,20 to 49,Accommodation,Limited-service eating places,722512,905-568-8628, , , ,www.mcdonalds.ca,44,Bristol Rd E,44 Bristol Rd E,L4Z 3K8, , ,1.54613E+12,31807900,Hurontario NHD,5
805,1277,Spectrum Fire Protection Inc.,1 to 4,Construction,All Other Building Equipment Contractors,238299,905-673-3737, , , ,www.spectrumfire.ca,2460,Anson Dr,2460 Anson Dr,L5S 1G7, ,2,1.49688E+12,10044200,Northeast EA (West),5
806,2262,Jenny Craig Weight Loss Centre,1 to 4,Other Services,Other Personal Care Services,812190,905-568-1933,905-568-3835, ,1802@jennycraigcentre.com,www.jennycraig.com,50,Bristol Rd E,50 Bristol Rd E,L4Z 3K8, ,4,1.5101E+12,31807900,Hurontario NHD,5
807,2263,Vibran Drug Mart,1 to 4,Retail,Pharmacies and Drug Stores,446110,905-890-2233,905-890-0277, ,vibrindm@gmail.com,www.pharmachoice.com,50,Bristol Rd E,50 Bristol Rd E,L4Z 3K8, ,3,1.5101E+12,31807900,Hurontario NHD,5
808,2264,"Beer Store, The",10 to 19,Retail,"Beer, Wine and Liquor Stores",445310,905-568-0090, , ,store2015@thebeerstore.ca,www.thebeerstore.ca,50,Bristol Rd E,50 Bristol Rd E,L4Z 3K8, ,1,1.56885E+12,31807900,Hurontario NHD,5
809,2266,Sandalwood Dental,5 to 9,Health Care,Offices of Dentists,621210,905-568-4900,905-568-1284, , ,www.sandalwooddental.ca,50,Bristol Rd E,50 Bristol Rd E,L4Z 3K8, ,5,1.56885E+12,31807900,Hurontario NHD,5
810,2268,Academy for Mathematics & English,1 to 4,Educational,All Other Schools and Instruction,611690,905-501-1558, , ,diyaa.acad@gmail.com,www.tutoringacademy.ca,60,Bristol Rd E,60 Bristol Rd E,L4Z 3K8, ,9,1.54613E+12,31807900,Hurontario NHD,5
811,2269,The UPS Store,1 to 4,Administrative,Business Service Centres,561430,905-507-0110,905-507-9445, ,store14@theupsstore.ca,www.theupsstore.ca/14,60,Bristol Rd E,60 Bristol Rd E,L4Z 3K8, ,8,1.56885E+12,31807900,Hurontario NHD,5
812,2272,Bristol Family Medical Clinic,1 to 4,Health Care,Offices of Physicians,621110,905-501-0035,905-501-0035, ,book@bristolfamilyclinic.ca,www.bristolfamilyclinic.ca,60,Bristol Rd E,60 Bristol Rd E,L4Z 3K8, ,4,1.5101E+12,31807900,Hurontario NHD,5
813,2274,First Choice Haircutters,5 to 9,Other Services,Unisex Hair Salons,812116,905-568-8738, , , , ,60,Bristol Rd E,60 Bristol Rd E,L4Z 3K8, ,7,1.5101E+12,31807900,Hurontario NHD,5
814,2276,A Buck or Two,1 to 4,Retail,All Other Miscellaneous General Merchandise Stores,452999,905-568-2825,905-568-1812, ,526buckortwoplus@gmail.com, ,60,Bristol Rd E,60 Bristol Rd E,L4Z 3K8, ,3,1.56885E+12,31807900,Hurontario NHD,5
815,2278,Value Village,50 to 99,Retail,All Other Clothing Stores,448199,905-361-1190, , , ,Www.valuevillage.com,70,Bristol Rd E,70 Bristol Rd E,L4Z 3K8, , ,1.56885E+12,31807900,Hurontario NHD,5
816,2279,Fire Station 118,20 to 49,Public Administration,Municipal Fire-Fighting Services,913140,905-814-0118, , , , ,1045,Bristol Rd W,1045 Bristol Rd W,L5V 2J8, , ,1.56885E+12,4088500,East Credit NHD,6
817,2281,Subway,1 to 4,Accommodation,Limited-service eating places,722512,905-813-0511, , , ,www.subway.com,1525,Bristol Rd W,1525 Bristol Rd W,L5M 4Z1, ,10,1.53827E+12,6867800,East Credit NHD,6
818,2284,Pizza Hut,5 to 9,Accommodation,Limited-service eating places,722512,905-542-8100, , , ,www.pizzahut.ca,1525,Bristol Rd W,1525 Bristol Rd W,L5M 4Z1, ,1,1.56885E+12,6867800,East Credit NHD,6
819,2286,River Run Pharmasave,5 to 9,Retail,Pharmacies and Drug Stores,446110,905-819-1999,905-819-8692, , ,www.riverrunpharmacy.com,1525,Bristol Rd W,1525 Bristol Rd W,L5M 4Z1, ,14,1.56885E+12,6867800,East Credit NHD,6
820,2287,River Run Medical Centre,10 to 19,Health Care,Offices of Physicians,621110,905-812-5555,905-812-5515, , , ,1525,Bristol Rd W,1525 Bristol Rd W,L5M 4Z1, ,12&13,1.5101E+12,6867800,East Credit NHD,6
821,2288,Daisy Mart,1 to 4,Retail,Convenience Stores,445120,905-816-0827,905-816-9364, , , ,1525,Bristol Rd W,1525 Bristol Rd W,L5M 4Z1, ,5&6,1.5101E+12,6867800,East Credit NHD,6
822,2289,Nice One Nails,1 to 4,Other Services,Beauty Salons,812115,905-813-0009, , , ,www.niceonenails.com,1525,Bristol Rd W,1525 Bristol Rd W,L5M 4Z1, ,4,1.5101E+12,6867800,East Credit NHD,6
823,2291,Dental Office - Dr.K.Chong,1 to 4,Health Care,Offices of Dentists,621210,905-567-6891,905-567-7067, , , ,1525,Bristol Rd W,1525 Bristol Rd W,L5M 4Z1, ,11,1.5101E+12,6867800,East Credit NHD,6
824,2292,EuroMax Foods,1 to 4,Manufacturing,Retail Bakeries,311811,905-567-2562, , ,Bristol@euromaxfoods.com, ,1525,Bristol Rd W,1525 Bristol Rd W,L5M 4Z1, ,7 to 9,1.56885E+12,6867800,East Credit NHD,6
825,2293,Mike's Cleaners,1 to 4,Other Services,Dry Cleaning and Laundry Services (except Coin-Ope,812320,905-567-7405, , , , ,1525,Bristol Rd W,1525 Bristol Rd W,L5M 4Z1, ,15,1.5101E+12,6867800,East Credit NHD,6
826,2294,St. Ilija Macedonian Orthodox Church,1 to 4,Other Services,Religious Organizations,813110,905-821-8050, , ,fatherkonstantin@gmail.com,www.st-ilija.org,1775,Bristol Rd W,1775 Bristol Rd W,L5M 2Y5, , ,1.56885E+12,13300900,East Credit NHD,6
827,2295,Petro Canada,5 to 9,Retail,Other Gasoline Stations,447190,905-712-0022, , , , ,20,Bristol Rd W,20 Bristol Rd W,L5R 3K3, , ,1.5101E+12,7008600,Hurontario NHD,5
828,2298,Bristol Medical Clinic,1 to 4,Health Care,Offices of Physicians,621110,905-501-7712,905-501-7714, , , ,512,Bristol Rd W,512 Bristol Rd W,L5R 3Z1, ,11A,1.56885E+12,7205900,Hurontario NHD,5
829,2299,innotech Execaire,20 to 49,Transportation,Other Support Activities for Air Transportation,488190,905-677-2484,905-673-8733, , ,www.innotech-execaire.com,2450,Derry Rd E,2450 Derry Rd E,L5S 1B2,Hanger 7, ,1.57611E+12,31141506,Airport SPA,5
830,2300,"Bristol Bar & Grill, The",5 to 9,Accommodation,Full-service restaurants,722511,905-890-2500,905-890-2319, , ,www.bristolbar.ca,512,Bristol Rd W,512 Bristol Rd W,L5R 3Z1, ,13 to 15,1.56885E+12,7205900,Hurontario NHD,5
831,2301,TN Optical,1 to 4,Retail,Optical Goods Stores,446130,905-507-8888, , , , ,512,Bristol Rd W,512 Bristol Rd W,L5R 3Z1, ,6,1.56885E+12,7205900,Hurontario NHD,5
832,2302,Learning Infinite Inc,1 to 4,Educational,All Other Schools and Instruction,611690,905-267-5577, , , ,www.alohacanada.ca,512,Bristol Rd W,512 Bristol Rd W,L5R 3Z1, ,9,1.5101E+12,7205900,Hurontario NHD,5
833,2303,Elegant Plus Dry Cleaning,1 to 4,Other Services,Dry Cleaning and Laundry Services (except Coin-Ope,812320,905-507-1441, , , , ,512,Bristol Rd W,512 Bristol Rd W,L5R 3Z1, ,5,1.5101E+12,7205900,Hurontario NHD,5
834,2308,Bristol Pharmacy,1 to 4,Retail,Pharmacies and Drug Stores,446110,905-502-6400,905-502-6650, ,bristolpharmacy@hotmail.com, ,512,Bristol Rd W,512 Bristol Rd W,L5R 3Z1, ,10B,1.56885E+12,7205900,Hurontario NHD,5
835,2309,Edward Jones Investments,1 to 4,Finance,Investment Advice,523930,905-502-1622,1-877-725-4404, ,Karan.shastri@edwardjones.ca,www.edwardjones.com,512,Bristol Rd W,512 Bristol Rd W,L5R 3Z1, ,12,1.56885E+12,7205900,Hurontario NHD,5
836,2310,Holiday Inn - Mississauga Toronto West,20 to 49,Accommodation,Hotels,721111,905-890-5700,905-568-0868, ,sarfraz.khan@whg.com,www.hitorontowest.ca,100,Britannia Rd E,100 Britannia Rd E,L4Z 2G1, , ,1.54613E+12,5143000,Gateway EA (East),5
837,2312,Controlled Parking Ltd.,1 to 4,Wholesale,"Industrial Machinery, Equipment and Supplies Whole",417230,905-564-3277,905-564-2201, ,sales@controlledparking.com,www.controlledparking.com,1050,Britannia Rd E,1050 Britannia Rd E,L4W 4N9, ,15,1.54613E+12,14791700,Northeast EA (West),5
838,2314,"James, R E Mechanical Ltd.",1 to 4,Construction,Site Preparation Contractors,238910,905-564-3111,905-564-3386, ,rejameasmechanical@bellnet.ca, ,1050,Britannia Rd E,1050 Britannia Rd E,L4W 4N9, ,17,1.54613E+12,14791700,Northeast EA (West),5
839,2319,M N Electric Co. Ltd.,5 to 9,Construction,Electrical Contractors and Other Wiring Installati,238210,905-564-5000, , , , ,1050,Britannia Rd E,1050 Britannia Rd E,L4W 4N9, ,4,1.57611E+12,14791700,Northeast EA (West),5
840,2320,Omnimark Enterprises Limited,5 to 9,Manufacturing,Wood Window and Door Manufacturing,321911,905-670-5744,905-670-2370,1-888-990-9971,omnimark123@gmail.com,www.omni-mark.com,1050,Britannia Rd E,1050 Britannia Rd E,L4W 4N9, ,10,1.54613E+12,14791700,Northeast EA (West),5
841,2321,Four Seasons Air Control,5 to 9,Construction,"Plumbing, Heating and Air-Conditioning Contractors",238220,905-795-0982,905-795-2464, ,sales@fourseasonsac.ca,www.fourseasonsac.ca,1050,Britannia Rd E,1050 Britannia Rd E,L4W 4N9, ,1&2,1.57611E+12,14791700,Northeast EA (West),5
842,2323,Emcan Interior Systems Ltd.,1 to 4,Construction,"Other Foundation, Structure and Building Exterior",238190,905-670-1267, , , , ,1050,Britannia Rd E,1050 Britannia Rd E,L4W 4N9, ,8,1.54613E+12,14791700,Northeast EA (West),5
843,2325,Wolfe Exteriors Inc,5 to 9,Professional,Landscape Architectural Services,541320,905-564-9588,905-564-9590, , ,www.wolfeexteriors.com,1050,Britannia Rd E,1050 Britannia Rd E,L4W 4N9, ,20,1.54613E+12,14791700,Northeast EA (West),5
844,2329,I S R Install Inc.,1 to 4,Manufacturing,Iron and Steel Mills and Ferro-Alloy Manufacturing,331110, ,905-564-5901, , , ,1050,Britannia Rd E,1050 Britannia Rd E,L4W 4N9, ,18,1.51019E+12,14791700,Northeast EA (West),5
845,2331,Torres Aluminum Ltd.,1 to 4,Construction,Glass and Glazing Contractors,238150,905-826-7022,905-826-7232, ,torresaluminum@rogers.com,www.torresaluminum.com,1050,Britannia Rd E,1050 Britannia Rd E,L4W 4N9, ,6,1.54613E+12,14791700,Northeast EA (West),5
846,2332,Maple Woodworking,1 to 4,Manufacturing,Other Millwork,321919,647-333-3434, , ,fms1998@hotmail.com, ,1050,Britannia Rd E,1050 Britannia Rd E,L4W 4N9, ,22&23,1.57611E+12,14791700,Northeast EA (West),5
847,2333,JDL School of Performing Arts,1 to 4,Educational,Fine Arts Schools,611610,647-996-7755, , ,jdlperformingarts@outlook.com,www.jdlperformingarts.com,780,Burnhamthorpe Rd W,780 Burnhamthorpe Rd W,L5C 3X3, , ,1.54613E+12,6072500,Mavis-Erindale EA,6
848,2334,Dixie Regulator & Torch Repair Inc.,1 to 4,Other Services,Commercial and Industrial Machinery and Equipment,811310,905-670-7997, , , , ,1050,Britannia Rd E,1050 Britannia Rd E,L4W 4N9, ,5,1.54613E+12,14791700,Northeast EA (West),5
849,2335,Dyna-Max Motors Inc.,1 to 4,Other Services,General Automotive Repair,811111,905-670-8617,905-670-1769, ,dynamaxmotors@hotmail.com, ,1060,Britannia Rd E,1060 Britannia Rd E,L4W 4T1, ,10,1.54613E+12,14791700,Northeast EA (West),5
850,2338,Belaire Custom Cabinetry and Millwork Inc.,1 to 4,Manufacturing,Wood Kitchen Cabinet and Counter Top Manufacturing,337110,647-212-8553,905-565-8559, ,belaire1@sympatico.ca,www.belairecustomcabinetry.ca,1060,Britannia Rd E,1060 Britannia Rd E,L4W 4T1, ,6,1.54613E+12,14791700,Northeast EA (West),5
851,2340,Long Star Roofing Ltd.,5 to 9,Construction,Roofing Contractors,238160,905-564-5542,905-564-5542, ,guillermo@longstarroofing.ca,www.longstarroofing.ca,1060,Britannia Rd E,1060 Britannia Rd E,L4W 4T1, ,19,1.57611E+12,14791700,Northeast EA (West),5
852,2341,Bartech Manufacturing Inc.,1 to 4,Manufacturing,All Other Miscellaneous Fabricated Metal Product M,332999,905-564-2986,905-564-0272, , , ,1060,Britannia Rd E,1060 Britannia Rd E,L4W 4T1, ,16&17,1.54613E+12,14791700,Northeast EA (West),5
853,2344,Xtron Imaging Inc.,10 to 19,Wholesale,"Professional Machinery, Equipment and Supplies Who",417930,905-670-5051, , ,info@xtronimaging.com,www.xtronimaging.com,405,Britannia Rd E,405 Britannia Rd E,L4Z 3E6, ,11to12,1.54613E+12,5211400,Gateway EA (East),5
854,2347,D and D Precision,1 to 4,Manufacturing,Machine Shops,332710,905-564-6383,416-747-8666, , , ,1060,Britannia Rd E,1060 Britannia Rd E,L4W 4T1, ,21,1.57611E+12,14791700,Northeast EA (West),5
855,2351,R C N Electric,1 to 4,Construction,Electrical Contractors and Other Wiring Installati,238210,905-670-2217,905-670-2753, ,rcnelec@bellnet.ca, ,1060,Britannia Rd E,1060 Britannia Rd E,L4W 4T1, ,9,1.57611E+12,14791700,Northeast EA (West),5
856,2355,Belanger Engineering,20 to 49,Professional,Engineering Services,541330,905-795-9997,905-795-1488, ,info@belangerengineering.ca,www.belangerengineering.ca,1060,Britannia Rd E,1060 Britannia Rd E,L4W 4T1, ,23&24,1.54613E+12,14791700,Northeast EA (West),5
857,2360,"Ormsby, George A Chartered Accountants C P A, C A",1 to 4,Professional,Offices of  Accountants,541212,905-670-8890,905-670-8891, , ,www.ormack.com,1083,Britannia Rd E,1083 Britannia Rd E,L4W 3X1, , ,1.54613E+12,14787500,Northeast EA (West),5
858,2362,Kenlea Inc.,1 to 4,Wholesale,Hardware Wholesaler-Distributors,416330,905-564-8808,905-564-5074, ,sales@kenlea.com,www.kenlea.com,1087,Britannia Rd E,1087 Britannia Rd E,L4W 3X1, , ,1.57611E+12,14787500,Northeast EA (West),5
859,2363,Alfa Photo Lab,1 to 4,Professional,Photographic Services,541920,905-670-3159,905-670-1682,1-800-461-2067,info@alfaphotolab.com,www.alfaphotolab.com,1089,Britannia Rd E,1089 Britannia Rd E,L4W 3X1, , ,1.54613E+12,14787500,Northeast EA (West),5
860,2366,Aurora Advocacy & Taxation Services Ltd.,1 to 4,Professional,Tax Preparation Services,541213,905-795-7773,905-795-3190, ,vkaurora@gmail.com,www.vkaurora.com,1093,Britannia Rd E,1093 Britannia Rd E,L4W 3X1, , ,1.57611E+12,14787500,Northeast EA (West),5
861,2368,Ideal Fire Protection Inc.,10 to 19,Wholesale,"All Other Machinery, Equipment and Supplies Wholes",417990,416-739-9001, , ,sam@idealfireprotection.com,www.idealfireprotection.com,1097,Britannia Rd E,1097 Britannia Rd E,L4W 3X1, , ,1.57611E+12,14787500,Northeast EA (West),5
862,2370,Veracious Canada,5 to 9,Manufacturing,Commercial and Service Industry Machinery Manufact,333310,416-640-5364,416-981-3933, ,info@veraciousinc.ca,www.veraciousinc.com,1101,Britannia Rd E,1101 Britannia Rd E,L4W 3X1, , ,1.54613E+12,14787500,Northeast EA (West),5
863,2372,Pipe Shield Enterprises Inc.,20 to 49,Construction,"Plumbing, Heating and Air-Conditioning Contractors",238220, , , ,info@pipe-shield.com,www.pipe-shield.com,1105,Britannia Rd E,1105 Britannia Rd E,L4W 3X1, , ,1.51019E+12,14787500,Northeast EA (West),5
864,2376,Canadian Springs,50 to 99,Wholesale,Non-Alcoholic Beverage Wholesaler-Distributors,413210,905-795-6500,905-670-3628,1-877-442-7873,info@aquaterracorp.ca,www.canadiansprings.com,1200,Britannia Rd E,1200 Britannia Rd E,L4W 4T5, , ,1.54613E+12,10259700,Northeast EA (West),5
865,2377,Nace Care Solutions Inc.,10 to 19,Wholesale,"Industrial Machinery, Equipment and Supplies Whole",417230,905-795-0122,905-795-0038, , ,www.nacecare.com,1205,Britannia Rd E,1205 Britannia Rd E,L4W 1C7, , ,1.54613E+12,23992500,Northeast EA (West),5
866,2380,Doctor's Choice Orthotics,5 to 9,Manufacturing,Medical Equipment and Supplies Manufacturing,339110,905-405-9992,905-670-5817, ,doctorschoiceorthotics@gmail.com, ,1220,Britannia Rd E,1220 Britannia Rd E,L4W 1C8, , ,1.57611E+12,10259800,Northeast EA (West),5
867,2381,Imperial Auto,5 to 9,Other Services,General Automotive Repair,811111,905-670-7995,905-670-1260, ,imperialauto@bellnet.ca, ,1251,Britannia Rd E,1251 Britannia Rd E,L4W 1C7, , ,1.54613E+12,10252900,Northeast EA (West),5
868,2382,"Scamurra, Sandy Contracting Ltd.",10 to 19,Construction,Poured Concrete Foundation and Structure Contracto,238110,905-564-1740,905-564-0492, ,scamurra@istar.ca, ,1261,Britannia Rd E,1261 Britannia Rd E,L4W 1C7, , ,1.57611E+12,10252800,Northeast EA (West),5
869,2383,O K Tire Stores,5 to 9,Wholesale,Tire Wholesaler-Distributors,415210,905-565-5570,905-565-1815, ,randhtire@bellnet.ca,www.oktire.com,1275,Britannia Rd E,1275 Britannia Rd E,L4W 1C7, , ,1.57611E+12,10252700,Northeast EA (West),5
870,2384,Cj's Equipment Sales Inc.,1 to 4,Information,"Internet Brodcasting, and Web Search Portals",519130,905-601-9000,800-605-9361, ,sales@cjsequipment.com, ,6439,Netherhart Rd,6439 Netherhart Rd,L5T 1C3, , ,1.54613E+12,10182100,Northeast EA (West),5
871,2385,Castle Corp,1 to 4,Wholesale,"Construction and Forestry Machinery, Equipment and",417210,905-565-1119, , ,castlecorpconstruction@hotmail.com, ,1285,Britannia Rd E,1285 Britannia Rd E,L4W 1C7, , ,1.54613E+12,10252600,Northeast EA (West),5
872,2387,The Dixie Curling Club Ltd.,5 to 9,Arts,All Other Amusement and Recreation Industries,713999,905-276-1777,905-276-1177, ,dixiecurlingclub@rogers.com,www.dixiecurlingclub.com,3071,Palstan Rd,3071 Palstan Rd,L4Y 2Z7, , ,1.56885E+12,24429300,Applewood NHD,3
873,2389,"Aetherius Society, The",1 to 4,Other Services,Religious Organizations,813110,416-825-4575, , ,toronto@aetherius.org,www.aetherius.org,1300,Britannia Rd E,1300 Britannia Rd E,L4W 1C8, ,202,1.54613E+12,14782800,Northeast EA (West),5
874,2393,Fuzion Banquets,5 to 9,Accommodation,Caterers,722320,905-564-1122,905-564-0516, ,sales@fuziongroup.ca,www.fuziongroup.ca,1300,Britannia Rd E,1300 Britannia Rd E,L4W 1C8, ,1,1.54613E+12,14782800,Northeast EA (West),5
875,2395,Anderson Sheet Metal Inc.,10 to 19,Manufacturing,All Other Miscellaneous Fabricated Metal Product M,332999,905-670-3123,905-670-3125, ,darren@andersonsheetmetal.com, ,1302,Britannia Rd E,1302 Britannia Rd E,L4W 1C8, , ,1.54613E+12,14782800,Northeast EA (West),5
876,2396,"Jackson, J G  & Associates Mechanical Contractors Ltd.",5 to 9,Construction,"Plumbing, Heating and Air-Conditioning Contractors",238220,905-670-0999,905-670-7640, ,main@jgjackson.ca, ,6160,Netherhart Rd,6160 Netherhart Rd,L5T 2G6, ,18,1.54613E+12,14797300,Northeast EA (West),5
877,2399,Coles & Orland Pool Construction Ltd.,1 to 4,Construction,All Other Specialty Trade Contractors,238990,905-564-0285,905-564-0286, ,copools@idirect.com,www.colesandorlandpools.com,1308,Britannia Rd E,1308 Britannia Rd E,L4W 1C8, ,B,1.54613E+12,14782800,Northeast EA (West),5
878,2400,Top Performance Autobody,1 to 4,Other Services,"Automotive Body, Paint and Interior Repair and Mai",811121,905-670-1139,905-670-0042, , , ,1310,Britannia Rd E,1310 Britannia Rd E,L4W 1C8, , ,1.54613E+12,14782800,Northeast EA (West),5
879,2402,Classic Car Craft Ltd.,1 to 4,Manufacturing,Automobile and Light-Duty Motor Vehicle Manufactur,336110,905-670-4901,905-670-9161, ,chawk@idirect.com, ,1312,Britannia Rd E,1312 Britannia Rd E,L4W 1C8, , ,1.57611E+12,14782800,Northeast EA (West),5
880,2403,"Applied Heat Equipment Co., Ltd.",5 to 9,Manufacturing,Other Ornamental and Architectural Metal Product M,332329,905-670-2200,905-670-1927, ,info@appliedheatequipment.com,www.appliedheatequipment.com,1312,Britannia Rd E,1312 Britannia Rd E,L4W 1C8, , ,1.54613E+12,14782800,Northeast EA (West),5
881,2404,Adriatic Marine Inc.,5 to 9,Manufacturing,Hardware Manufacturing,332510,905-670-2200,905-670-1927, , , ,1312,Britannia Rd E,1312 Britannia Rd E,L4W 1C8, , ,1.57611E+12,14782800,Northeast EA (West),5
882,2409,Vilarense Waterproofing,5 to 9,Construction,Other Building Finishing Contractors,238390,905-670-8025,905-670-8826, ,tony@vilarensewaterproofing.com, ,1316,Britannia Rd E,1316 Britannia Rd E,L4W 1C8, , ,1.54613E+12,14782800,Northeast EA (West),5
883,2410,Perfetti Industries Inc.,1 to 4,Manufacturing,Machine Shops,332710,905-564-2970,905-564-8847, ,info@perfettipresses.com,www.perfettipresses.com,1318,Britannia Rd E,1318 Britannia Rd E,L4W 1C8, ,A,1.57611E+12,14782800,Northeast EA (West),5
884,2411,Wilson Trophy Co. Inc.,10 to 19,Manufacturing,All Other Miscellaneous Fabricated Metal Product M,332999,905-670-3226,905-670-3228,1-800-387-3138,sales@wilsontrophy.ca,www.wilsontrophy.ca,1318,Britannia Rd E,1318 Britannia Rd E,L4W 1C8, ,C,1.54613E+12,14782800,Northeast EA (West),5
885,2418,Albion Discount Autoparts Inc,5 to 9,Wholesale,Other New Motor Vehicle Parts and Accessories Whol,415290,905-670-2969,905-670-3093, , , ,1335,Britannia Rd E,1335 Britannia Rd E,L4W 1C7, , ,1.54613E+12,10252300,Northeast EA (West),5
886,2421,Polstar Truck Repairs Inc.,1 to 4,Other Services,All Other Automotive Repair and Maintenance,811199,905-670-9889,905-670-0117, , , ,1400,Britannia Rd E,1400 Britannia Rd E,L4W 1C8, , ,1.54613E+12,10162800,Northeast EA (West),5
887,2423,Flying J,20 to 49,Retail,Other Gasoline Stations,447190,905-564-6216,905-564-0438, ,travelcenter.807@pilottravelcenters.com, ,1400,Britannia Rd E,1400 Britannia Rd E,L4W 1C8, , ,1.54613E+12,10162800,Northeast EA (West),5
888,2424,Proline Autoglass,1 to 4,Other Services,General Automotive Repair,811111,416-834-0446, , ,obie@prolineautoglass.ca,www.prolineautoglass.ca,1455,Britannia Rd E,1455 Britannia Rd E,L4W 1C7, ,2,1.54613E+12,10252000,Northeast EA (West),5
889,2425,Kalypso Hut,1 to 4,Accommodation,Limited-service eating places,722512,905-790-2202, , ,kalypsohut@gmail.com,www.kalypsohut.com,1455,Britannia Rd E,1455 Britannia Rd E,L4W 1C7, ,1,1.54613E+12,10252000,Northeast EA (West),5
890,2430,Hope Autism Services,10 to 19,Health Care,All Other Out-Patient Care Centres,621499,905-890-4673,416-273-8199, ,info@hopeautism.ca,www.hopeautism.ca,150,Britannia Rd E,150 Britannia Rd E,L4Z 2A4, ,9&10,1.54613E+12,5211800,Gateway EA (East),5
891,2433,Digital Dental Studio,5 to 9,Construction,"Plumbing, Heating and Air-Conditioning Contractors",238220,905-502-0555,905-502-9888, , ,www.ddsl.ca,150,Britannia Rd E,150 Britannia Rd E,L4Z 2A4, ,11,1.57611E+12,5211800,Gateway EA (East),5
892,2434,N A World Services Canada,1 to 4,Health Care,Out-Patient Mental Health and Substance Abuse Cent,621420,905-507-0100,905-507-0101, , , ,150,Britannia Rd E,150 Britannia Rd E,L4Z 2A4, ,21,1.54613E+12,5211800,Gateway EA (East),5
893,2435,Guildcraft Floors Inc.,1 to 4,Wholesale,Floor Covering Wholesaler-Distributors,414320,905-502-7710,905-502-7740, ,info@guildcraftfloors.ca,www.guildcraftfloors.ca,150,Britannia Rd E,150 Britannia Rd E,L4Z 2A4, ,12&13,1.57611E+12,5211800,Gateway EA (East),5
894,2441,Final Imprint Ltd.,1 to 4,Manufacturing,Cutlery and Hand Tool Manufacturing,332210,905-501-8333, , ,info@finalimprint.com,www.finalimprint.com,240,Brunel Rd,240 Brunel Rd,L4Z 1T5, , ,1.57611E+12,5170000,Gateway EA (East),5
895,2449,McKevitt Trucking Ltd.,20 to 49,Transportation,"General Freight Trucking, Local",484110,905-795-1455,905-795-1460, ,missdispatch@mckevitt-trucking.com,www.mckevitt-trucking.com,1540,Britannia Rd E,1540 Britannia Rd E,L4W 1J2, , ,1.54613E+12,10263000,Northeast EA (West),5
896,2453,Unique Welding & Fabricating Ltd.,10 to 19,Manufacturing,All Other General-Purpose Machinery Manufacturing,333990,905-564-9962,905-564-9964,1-866-927-9898,mwilson@uniqueweldingfabricating.ca,www.uniqueweldingfabricating.com,1545,Britannia Rd E,1545 Britannia Rd E,L4W 3C6, ,30&31,1.54613E+12,23987600,Northeast EA (West),5
897,2454,Laxmi Foods,1 to 4,Wholesale,Other Specialty-Line Food Wholesaler-Distributors,413190,416-728-9690,289-232-8480, ,a.nanda@laxmifoods.com,www.laxmifoods.com,1545,Britannia Rd E,1545 Britannia Rd E,L4W 3C6, ,15&16,1.54613E+12,23987600,Northeast EA (West),5
