X,Y,OBJECTID,BusinessID,Unit,House,Street,PostalCode,BusinessName,BusinessType,BusinessSubType,BusinessDescription,IssueDate,LicenceCategory,WebsiteAddress,Phone1,Phone1Description,Keywords,SHAPE
528857.8641,5451514.7335,680,00436106,,22326,NORTH AVE,V2X 8T2,ARMY NAVY & AIRFORCE VETS 379,COMMUNITY GROUPS,CIVIC/SOCIAL ORGANIZATIONS,PRIVATE SERVICE CLUB,2021/11/17 08:00:00+00,COMMERCIAL,,604 463 6333,Work,,
524712.4382,5450897.0955,682,00432399,407,20285,STEWART CRES,V2X 8G1,CANADIAN TRADE SERVICES LTD,WHOLESALE & DISTRIBUTION,ELECTRICAL/PLUMBING/HEATING,PLUMBING SUPPLIES & FITTINGS,2021/12/10 08:00:00+00,COMMERCIAL,,604 460 1278,Work,,
526169.2801,5451600.0573,683,00458998,,20955,118 AVE,V2X 2M6,"KELLY STEIGER, RMT",PROFESSIONAL SERVICES,REGISTERED MASSAGE THERAPIST,REGISTERED MASSAGE THERAPIST,2021/12/09 08:00:00+00,HOME BASED,,778 231 7695,Work,,
527376.0384,5452105.35,684,00459392,24,21555,DEWDNEY TRUNK RD,V2X 3G6,TOTAL FORCE MECHANICAL LTD,CONTRACTOR,PLUMBING & GAS,"MECHANICAL CONTRACTOR - PLUMBING, HEATING, GAS, HVAC",2022/04/28 07:00:00+00,HOME BASED,,604 209 6872,Work,,
529609.6242,5451852.8907,685,00434295,102,22720,119 AVE,V2X 2Z8,DR. KEN L SOO INC,PROFESSIONAL SERVICES,DENTIST,DENTIST,2021/12/16 08:00:00+00,COMMERCIAL,,604 463 7222,Work,,
529602.0677,5453329.6388,686,00433872,,12642,227 ST,V2X 6K3,TARRANT GRAPHIC DESIGN SERVICES,DESIGN SERVICES,GRAPHIC,HOME OFFICE - GRAPHIC DESIGN,2022/02/02 08:00:00+00,HOME BASED,,604 476 2077,Work,,
536836.9872,5453638.8617,687,00433685,,26300,128 AVE,V2W 1C6,PICASSO PAINTING LTD,CONTRACTORS,PAINTER/WALLPAPER,PAINTING,2021/12/24 08:00:00+00,HOME BASED,,604 462 1101,Work,,
533051.7757,5450659.6725,688,00460610,,24402,113 AVE,,MERAKI HAIR STUDIO,PERSONAL SERVICES,HAIR SALON/BARBER,HAIR SALON PROVIDING CUTS AND COLORS,2022/02/14 08:00:00+00,HOME BASED,,604 751 6069,Work,,
529069.0702,5451987.9071,689,00436139,200,22420,DEWDNEY TRUNK RD,V2X 8H7,PLEA COMMUNITY SERVICES SOCIETY OF BRITISH COLUMBIA,COMMUNITY GROUPS,FAMILY & SOCIAL SERVICES,COMMUNITY GROUP,2021/11/17 08:00:00+00,COMMERCIAL,,604 708 2642,Work,,
532279.1768,5454402.1664,690,00460742,,13175,SHOESMITH CRES,V4R 0A9,CANADIAN PEST CONTROL,HOME & INDUSTRY SERVICES,PEST CONTROL,PEST CONTROL,2022/03/29 07:00:00+00,HOME BASED,cpestcontrol.ca,778 598 7378,Work,,
533082.0801,5449180.4783,691,00432648,,10503,BAKER PL,V2W 2C2,BROAD SPECTRUM ELECTRIC LTD,CONTRACTOR,ELECTRICAL,ELECTRICAL CONTRACTOR,2021/12/30 08:00:00+00,HOME BASED,,604 999 0327,Work,,
529029.9726,5451976.0429,693,00434187,,11970,224 ST,,ONCE UPON A TEA LEAF,FOOD & BEVERAGE RETAIL,UNCLASSIFIED FOOD & BEVERAGE RETAIL,LOOSE LEAF TEA & GIFTS,2022/02/09 08:00:00+00,COMMERCIAL,,604 809 1988,Work,,
524867.9889,5452021.2163,694,00435862,,11985,203 ST,V2X 4V2,ADVANCED STORAGE CENTRES,WAREHOUSING & STORAGE,PUBLIC STORAGE,MINI STORAGE,2021/11/25 08:00:00+00,COMMERCIAL,,604 465 9158,Work,,
529245.8253,5451707.3222,695,00434677,200,22529,LOUGHEED HWY,V2X 0L5,HAMADA JAPANESE RESTAURANT,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,JAPANESE RESTAURANT,2021/12/08 08:00:00+00,COMMERCIAL,,604 463 7535,Work,,
528754.788,5453441.3589,696,00434176,,22270,128 AVE,,GOLDEN EARS CHEESEWORKS INC,FOOD & BEVERAGE RETAIL,SPECIALTY FOOD,DAIRY PROCESSING & RETAIL,2021/12/29 08:00:00+00,COMMERCIAL,,604 467 0004,Work,,
525491.0891,5452567.6118,697,00458159,,20619,TYNER AVE,V2X 3V8,MJ POWER BUILDING SUPPLIES (2019) INC,WHOLESALE & DISTRIBUTION,WOOD/LUMBER,LUMBER WHOLESALER,2022/03/07 08:00:00+00,HOME BASED,MJPOWER.CA,778 867 6937,Work,,
527442.0585,5452215.3247,698,00434722,,12081,216 ST,V2X 5J4,C&D CUSTOM CRAFTS,HOMECRAFT,HANDCRAFT,"INTERNET SALES OF HANDCRAFTS - WOOD, PLASTIC, LEATHER",2021/12/13 08:00:00+00,HOME BASED,,604 476 0913,Work,,
531565.6988,5450466.1283,699,00449220,,11212,236A ST,V2W 0E8,CTRS SOLUTIONS LIMITED,BUSINESS SERVICES,CONSULTING SERVICE,"MANAGEMENT CONSULTING SERVICES - RESEARCH, STRATEGY AND PUBLIC POLICY",2022/01/10 08:00:00+00,HOME BASED,,778 908 4560,Work,,
525122.8003,5452366.6711,700,00459498,,20415,WICKLUND AVE,,BEAUTY BY DANI,PERSONAL SERVICES,SPA SERVICES,ARTIFICIAL NAILS/LASH LIFTS/TINTS/HD BROWS/WAXING,2022/02/14 08:00:00+00,HOME BASED,,604 314 5887,Work,,
530606.9987,5451564.2296,701,00436214,,11772,231B ST,V2X 0H1,ABBY ROAD DRIVING SCHOOL LTD,EDUCATION & INSTRUCTION,DRIVING SCHOOL,DRIVING SCHOOL,2022/01/12 08:00:00+00,HOME BASED,,604 477 1411,Work,,
530851.2043,5454845.2066,702,00433852,,13387,233 ST,V4R 2W6,SILVER RIDGE PROMOTIONS,DIRECT SALES,DIRECT SALES/PEDDLER/CANVASSER,PROMOTIONAL SALES,2022/01/04 08:00:00+00,HOME BASED,,604 999 9943,Work,,
531372.8789,5450286.5054,703,00436187,,23537,KANAKA WAY,V2W 1C8,JOHNSTON'S SCHOOL OF MUSIC,EDUCATION & INSTRUCTION,FINE ARTS/DANCE/MUSIC,MUSIC SCHOOL,2022/02/09 08:00:00+00,HOME BASED,,604 467 6996,Work,,
536880.571,5453556.6524,704,00458343,,26299,127 AVE,V2W 1C6,MAN UP SERVICES INC,HOME & INDUSTRY SERVICES,POWER WASHING/BUILDING CLEANING,"EXTERIOR CLEANING, POWER WASHING",2022/03/11 08:00:00+00,HOME BASED,MANUPSERVICES.CA,778 323 4368,Work,,
529069.0702,5451987.9071,705,00435494,300,22420,DEWDNEY TRUNK RD,V2X 8H7,HOMEWOOD HEALTH INC,HEALTH SERVICES,COUNSELLING,HEALTH COUNSELLINGROOM,2022/01/14 08:00:00+00,COMMERCIAL,,604 689 8604,Work,,
529422.2893,5451775.3299,707,00434417,105,11862,226 ST,,SARA GIBBESON RMT,PROFESSIONAL SERVICES,REGISTERED MASSAGE THERAPIST,RMT,2022/02/16 08:00:00+00,COMMERCIAL,,604 479 0777,Work,,
533434.8468,5447352.7431,708,00435704,,24590,LOUGHEED HWY,V2W 1M2,HIDE-AWAY RESORT LTD (RV & CAMPING),RENTAL UNIT,RV PARK,"RV SITES, CAMPING - PARK WITH VIEW OF FRASER RIVER",2022/01/04 08:00:00+00,COMMERCIAL,,604 463 3209,Work,,
531863.1688,5451124.5378,710,00436508,,23779,115A AVE,V2W 2B9,HEARTS AND SMILES MONTESSORI CHILDCARE,COMMUNITY CARE,CHILD CARE - FAMILY DAYCARE,HOME DAYCARE,2021/12/06 08:00:00+00,HOME BASED,,604 760 9815,Work,,
528979.4086,5451514.8759,712,00460229,104,11743,224 ST,V2X 6A4,PIVOT POINT FAMILY GROWTH CENTER INC,EDUCATION & INSTRUCTION,SUPPORT SERVICE (TUTOR),TUTORING & SERVICES FOR ADULTS & CHILDREN WITH DEVELOPMENTAL DISABIITIES,2021/12/18 08:00:00+00,COMMERCIAL,www.pivotpoint.ca,604 531 4544,Work,,
531587.7353,5449448.1796,713,00433662,,23643,TAMARACK LANE,V2W 1B3,PUROCLEAN PROPERTY DAMAGE SERVICES,CONTRACTORS,RENOVATION/RESTORATION/HOME IMPROVEMENT,"EMERGENCY SERVICES FOR FLOOD, FIRE, MOULD BIOHAZARD (MITIGATION & CLEAN-UP)",2021/12/13 08:00:00+00,HOME BASED,,604 467 8760,Work,,
529472.6278,5454985.0091,714,00434814,,22594,136 AVE,V4R 2P7,FUNKY ENTERPRISES LTD,HOME & INDUSTRY SERVICES,POWER WASHING/BUILDING CLEANING,"PRESSURE WASHING, MALL MAINTENANCE, SNOW REMOVAL",2022/03/16 07:00:00+00,HOME BASED,,604 463 9995,Work,,
524479.1523,5450916.7891,715,00435833,9,11455,201A ST,V2X 0Y3,ATHLETE'S ARENA MAPLE RIDGE,SPORTS & RECREATION CENTRE,FITNESS CENTRE/GYM,FITNESS CENTRE  GYM,2022/03/14 07:00:00+00,COMMERCIAL,,778 668 4255,Work,,
530399.3869,5451255.9141,716,00432601,,11608,230B ST,V2X 1Z4,JJ'S PLUMBING,CONTRACTOR,PLUMBING,PLUMBING,2022/01/28 08:00:00+00,HOME BASED,,778 285 0606,Work,,
529458.8849,5451703.5744,717,00436184,21,22621,LOUGHEED HWY,V2X 2V4,BERGTHORSON ACADEMY OF MUSICAL ARTS INC,EDUCATION & INSTRUCTION,FINE ARTS/DANCE/MUSIC,MUSIC & MOVEMENT TEACHING,2022/02/17 08:00:00+00,COMMERCIAL,,604 467 6613,Work,,
528658.1643,5452003.799,718,00459675,705,11980,222 ST,V2X 0L8,HOLZWORTH PROPERTY SERVICES,CONTRACTORS,LANDSCAPING,LANDSCAPE/HARDSCAPE,2021/12/14 08:00:00+00,HOME BASED,WWW.HOLZWORTHPROPERTYSERVICES.CA,778 899 9855,Work,,
528421.1898,5452479.0696,720,00434869,,22097,122 AVE,V2X 3X5,DO-RE-ME FACILITY CARE,HOME & INDUSTRY SERVICES,UNCLASSIFIED HOME/INDUSTRY SERVICE,"CLEANING, PAINTING, MAINTENANCE",2022/01/18 08:00:00+00,HOME BASED,,778 808 2696,Work,,
529648.1531,5451958.0582,721,00435365,102,22714,DEWDNEY TRUNK RD,V2X 3K2,TRACY WELCH HAIR,PERSONAL SERVICES,HAIR SALON/BARBER,CHAIR RENTAL @ MIX SALON,2022/03/08 08:00:00+00,COMMERCIAL,,604 380 4247,Work,,
524785.6974,5451843.6657,722,00434950,,20290,LOUGHEED HWY,V2X 2P7,BURGER KING,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,FAST FOOD & DRIVE THROUGH,2021/12/06 08:00:00+00,COMMERCIAL,,604 465 7149,Work,,
531578.2874,5453605.0153,723,00433677,,12788,236A ST,V4R 1P9,1052545 BC LTD DBA ALAIR HOMES,CONTRACTORS,RENOVATION/RESTORATION/HOME IMPROVEMENT,CUSTOM HOME BUILDS AND CUSTOM RENOVATIONS,2021/12/30 08:00:00+00,HOME BASED,,604 788 4801,Work,,
532996.6018,5448419.699,724,00432462,,24359,102 AVE,V2W 2E3,LEADING EDGE TRAVEL BC,TRAVEL,TRAVEL AGENCY,ONLINE TRAVEL AGENCY,2021/12/24 08:00:00+00,HOME BASED,,778 968 2612,Work,,
528218.1741,5452428.944,725,00435744,,22010,122 AVE,V2X 3X3,CHUN & MAN LOW,RENTAL UNITS,RES DWELL LESSOR - SINGLE DETACHED,RENTAL UNIT (DUPLEX WITH 22016 122 AVE - ACC # 1006880),2021/12/09 08:00:00+00,COMMERCIAL,,,Work,,
525738.3668,5452898.955,726,00432282,,12416,KLASSEN PL,V2X 8P3,SWIFT DOG SPORTS,ANIMAL SERVICES,DOG WALKER,DOG WALKINGDOG TRAINING (AGILITY),2021/12/13 08:00:00+00,HOME BASED,,778 979 1146,Work,,
525700.3008,5450730.6306,727,00458755,,20733,LORNE AVE,V2X 1H6,BLACK DOG FENCING INC,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),FENCE BUILDING,2022/01/11 08:00:00+00,HOME BASED,BLACKDOGFENCING.COM,250 709 7442,Work,,
526572.3903,5451965.8711,728,00434868,,21161,COOK AVE,V2X 7P7,JOCAN HOLDINGS,FOOD & BEVERAGE SERVICES,MOBILE FOOD VENDOR,FOOD TRUCK (GREAT WINGS),2022/02/11 08:00:00+00,HOME BASED,,604 351 7576,Work,,
529059.0291,5451262.6841,731,00451291,113,11595,FRASER ST,V2X 0X7,PROWATT ELECTRIC INC,CONTRACTOR,ELECTRICAL,ELECTRICAL,2022/01/27 08:00:00+00,HOME BASED,,604 401 4374,Work,,
525913.4209,5451700.11,733,00458492,,20838,LOUGHEED HWY,V2X 2R3,1351347 BC LTD DBA SUSHI GURU,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,JAPANESE RESTAURANT,2022/03/22 07:00:00+00,COMMERCIAL,,604 380 3380,Work,,
529648.1531,5451958.0582,735,00442812,201,22712,DEWDNEY TRUNK RD,V2X 3K2,AFTER SCHOOL WARRIORS,COMMUNITY CARE,CHILD CARE - GROUP CHILD CARE CENTRE,AFTERSCHOOL CARE & FITNESS PROGRAM,2021/12/08 08:00:00+00,COMMERCIAL,,604 477 1717,Work,,
524655.1182,5451933.6495,736,00432211,3,20214,LOUGHEED HWY,V2X 2P7,EURO WRENCH WERKS AUTO REPAIRS & DISMANTLING LTD,AUTOMOTIVE,AUTO/BOATS/RV/MOTORCYCLE REPAIR & SERVICE,AUTO REPAIR AND PARTS SALES,2021/12/08 08:00:00+00,COMMERCIAL,,604 465 1203,Work,,
529069.0702,5451987.9071,737,00434471,203,22420,DEWDNEY TRUNK RD,V2X 8H7,RYAN JEANS PHYSIOTHERAPY,PROFESSIONAL SERVICES,PHYSICAL/OCCUPATIONAL THERAPIST,PHYSIOTHERAPHY,2022/01/01 08:00:00+00,COMMERCIAL,,604 463 9968,Work,,
529069.0702,5451987.9071,738,00459197,300,22420,DEWDNEY TRUNK RD,V2X 8H7,THE MINDFUL MAPLE,HEALTH SERVICES,COUNSELLING,COUNSELLING SERVICE FOR CHILDREN AGE 5-12,2022/01/12 08:00:00+00,COMMERCIAL,www.themindfulmaple.com,778 987 8544,Work,,
527552.8782,5452014.4063,739,00434210,,21638,DEWDNEY TRUNK RD,V2X 3G7,KAM'S MARKET,FOOD & BEVERAGE RETAIL,CONVENIENCE STORE,GROCERY,2022/01/07 08:00:00+00,COMMERCIAL,,604 467 7843,Work,,
525913.4209,5451700.11,740,00460002,,20842,LOUGHEED HWY,V2X 2R3,1305283 BC LTD DBA ME-N-ED'S PIZZA MAPLE RIDGE,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,RESTAURANT,2022/02/25 08:00:00+00,COMMERCIAL,,,Work,,
524286.3062,5451852.1898,741,00432177,,11911,WEST ST,V2X 3M6,MR MOTORS LP DBA MAPLE RIDGE CHRYSLER JEEP DODGE,AUTOMOTIVE,AUTO DEALER-NEW & USED,NEW & USED VEHICLE SALES,2021/12/06 08:00:00+00,COMMERCIAL,,604 465 8931,Work,,
525504.2047,5451965.3933,742,00460085,,20629,119 AVE,V2X 3E5,CORPUZ PHYSIOTHERAPY,PROFESSIONAL SERVICES,PHYSICAL/OCCUPATIONAL THERAPIST,PHYSIOTHERAPY SERVICES,2022/02/24 08:00:00+00,COMMERCIAL,,236 999 3897,Work,,
537783.3718,5452136.7015,743,00433755,,26743,DEWDNEY TRUNK RD,V2W 1N9,NORTHERN TROPICAL OF BC,CONTRACTORS,LANDSCAPING,LANDSCAPING,2021/12/30 08:00:00+00,HOME BASED,,604 614 9927,Work,,
530253.4893,5452226.037,744,00460725,,12102,230 ST,,LEX FITNESS & HEALTH,SPORTS & RECREATION SERVICES,ATHLETIC INSTRUCTOR,"PERSONAL TRAINING, NUTRITION COACHING, 1 ON 1, 2 ON 1 & GROUP.",2022/03/17 07:00:00+00,HOME BASED,,604 219 6184,Work,,
531349.539,5449917.2578,745,00459318,,23530,109 AVE,V2W 1A8,DEA MECHANICAL,CONTRACTOR,PLUMBING,PLUMBING,2022/02/11 08:00:00+00,HOME BASED,,778 867 3687,Work,,
529351.3622,5451707.8694,746,00432441,101,22575,LOUGHEED HWY,V2X 2V2,TRIANGLE COMMUNITY RESOURCES INC,BUSINESS SERVICES,EMPLOYMENT COUNSELLING/AGENCY,EMPLOYMENT SERVICES,2021/12/09 08:00:00+00,COMMERCIAL,,604 859 0033,Work,,
532246.1513,5450479.1387,747,00456505,101,11225,240 ST,,KANAKA PIZZA LTD,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,PIZZA STORE - TAKE OUT,2021/12/30 08:00:00+00,COMMERCIAL,,,Work,,
530578.6574,5455645.5589,748,00435531,20,13771,232A ST,V4R 0C5,YUNI HAIR DESIGN ENTERPRISES INC,PERSONAL SERVICES,HAIR SALON/BARBER,MOBILE HAIR SERVICE,2021/12/29 08:00:00+00,HOME BASED,,778 887 9585,Work,,
526815.8735,5451181.7568,749,00432644,,21270,RIVER RD,V2X 2A9,GOLDEN EARS ELECTRIC LTD,CONTRACTOR,ELECTRICAL,ELECTRICAL CONTRACTOR,2021/12/07 08:00:00+00,HOME BASED,,604 466 5107,Work,,
529533.3669,5451834.3883,750,00434324,109,11893,227 ST,,DR MICHELLE STROVSKI - RIDGE MEADOWS UROLOGY,PROFESSIONAL SERVICES,PHYSICIAN,UROLOGIST,2021/12/14 08:00:00+00,COMMERCIAL,,604 463 5433,Work,,
526836.3811,5451809.2891,752,00435790,,11872,LAITY ST,V2X 5A6,11872 LAITY GP LTD,RENTAL UNITS,RES DWELL LESSOR - MULTI-FAMILY,APARTMENT BUILDING  - RIDGE MANOR,2021/12/22 08:00:00+00,COMMERCIAL,,604 467 9300,Work,,
529195.5833,5451778.8549,753,00435119,29,11900,HANEY PL,V2X 8R9,SOURCE (THE),HOME & PROPERTY RETAIL,"APPLIANCES, TV & ELECTRONICS",ELECTRONICS,2021/12/24 08:00:00+00,COMMERCIAL,,604 467 2414,Work,,
536045.4217,5447728.7191,754,00433607,,25861,98 AVE,V2W 1K6,WHIELDON & SON,CONTRACTORS,SITE PREPARATION,LOGGING & EXCAVATING,2021/12/14 08:00:00+00,HOME BASED,,604 462 0733,Work,,
529985.3682,5455835.032,757,00459954,,13881,DOCKSTEADER LOOP,V4R 0A2,TOP TIER WASHING,HOME & INDUSTRY SERVICES,POWER WASHING/BUILDING CLEANING,TOP TIER PROPERTY WASHING,2021/12/15 08:00:00+00,HOME BASED,,778 997 1174,Work,,
529768.074,5452694.9268,759,00460165,,22772,123 AVE,V2X 4E7,BIG FUN INC LTD,DIRECT SALES,E-COMMERCE,E- COMMERCE (WEB SALES OF) AUTOMOTIVE PARTS,2022/03/16 07:00:00+00,HOME BASED,,604 202 0768,Work,,
529710.6081,5451546.7535,761,00432131,,22756,LOUGHEED HWY,,CAMEO STAMP & COIN INC,ARTS & ENTERTAINMENT RETAIL,HOBBY,RETAIL HOBBY COIN & STAMPS,2021/12/27 08:00:00+00,COMMERCIAL,,604 463 6113,Work,,
536750.1322,5453542.3575,762,00433432,,12750,262 ST,V2W 1C3,J MURPHY'S CONTRACTING,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),GENERAL CONTRACTOR,2022/02/18 08:00:00+00,HOME BASED,,604 868 4566,Work,,
528657.0297,5451227.4584,763,00435390,406,22233,RIVER RD,V2X 3N7,LONE PALM MANAGEMENT LTD,REAL ESTATE,PROPERTY MANAGEMENT,REAL ESTATE & PROPERTY MANAGEMENT,2021/12/08 08:00:00+00,HOME BASED,,604 467 3333,Work,,
530550.5317,5452822.0379,764,00437693,,23135,123B AVE,V2X 9Z8,MATLOCK LANDSCAPE MAINTENANCE,CONTRACTORS,LANDSCAPING,LANDSCAPE MAINTENANCE,2022/01/04 08:00:00+00,HOME BASED,,604 831 0473,Work,,
,,765,00434253,101,23015,DEWDNEY TRUNK RD,V2X 3K9,MAPLE RIDGE EYE CARE - OPTOMETRISTS,PROFESSIONAL SERVICES,OPTOMETRIST,OPTOMETRIST1 PROFESSIONAL - DR MURRAY HULBERT,2021/12/06 08:00:00+00,COMMERCIAL,,604 463 4469,Work,,
529430.5057,5451642.6567,767,00435128,,22602,LOUGHEED HWY,V2X 2V3,MAPLE RIDGE PAINT AND DECO DBA BENJAMIN MOORE PAINTS,HOME & PROPERTY RETAIL,PAINT & WALLPAPER,RETAIL PAINT,2021/12/21 08:00:00+00,COMMERCIAL,,604 467 3241,Work,,
525090.8691,5452059.7338,768,00434675,230,20398,DEWDNEY TRUNK RD,V2X 3E3,BOOSTER JUICE,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,HEALTH JUICE BAR,2021/12/07 08:00:00+00,COMMERCIAL,,604 465 5888,Work,,
529648.1531,5451958.0582,769,00434097,,22715,119 AVE,V2X 8S5,PSVC CHARTERED ACCOUNTANTS,FINANCIAL & INSTITUTIONAL SERVICES,ACCOUNTANT,ACCOUNTANT,2021/12/13 08:00:00+00,COMMERCIAL,,604 467 5528,Work,,
529719.778,5451728.9881,770,00458440,200,22709,LOUGHEED HWY,V2X 2V5,NEXT LEVEL CHILDCARE VALLEY FAIR,COMMUNITY CARE,CHILD CARE - GROUP CHILD CARE CENTRE,COMMERCIAL DAYCARE FACILITY,2022/01/06 08:00:00+00,COMMERCIAL,,604 380 4060,Work,,
530898.4558,5450709.2119,771,00460701,28,11358,COTTONWOOD DR,V2X 5V5,SAVAGE FITNESS BC,SPORTS & RECREATION SERVICES,ATHLETIC INSTRUCTOR,PERSONAL TRAINING,2022/03/02 08:00:00+00,HOME BASED,,604 817 3678,Work,,
530208.0158,5451734.0678,772,00436276,,11845,230 ST,V2X 6R3,LITTLE STARS DAYCARE 1,COMMUNITY CARE,CHILD CARE - FAMILY DAYCARE,OUT OF SCHOOL CARE - 8,2021/12/14 08:00:00+00,HOME BASED,,604 466 8696,Work,,
529351.3053,5452072.1525,773,00434271,102,22561,DEWDNEY TRUNK RD,V2X 3K1,ERIC J VEGT,PROFESSIONAL SERVICES,REGISTERED MASSAGE THERAPIST,MASSAGE THERAPY,2022/01/21 08:00:00+00,COMMERCIAL,,604 467 8775,Work,,
530669.2629,5452709.0728,774,00433584,,23204,AURORA PL,V2X 9P8,VALERIU'S ARTISTIC AND MOBILE WELDING,CONTRACTORS,WELDING,MOBILE WELDING & ARTISTIC SERVICES,2021/12/16 08:00:00+00,HOME BASED,,604 467 8513,Work,,
529245.8253,5451707.3222,775,00434374,140,22529,LOUGHEED HWY,V2X 0L5,ACTIVE LIFE CHIROPRACTIC AND MASSAGE,PROFESSIONAL SERVICES,CHIROPRACTOR,CHIROPRACTOR AND RMT,2022/02/08 08:00:00+00,COMMERCIAL,,604 467 3311,Work,,
524487.246,5451990.2395,776,00435099,109,20110,LOUGHEED HWY,V2X 2P7,PACIFIC NORTHWEST GARDEN SUPPLY,HOME & PROPERTY RETAIL,GARDEN SUPPLY/CENTRE,"GREENHOUSES, GARDEN EQUIPMENT",2022/02/11 08:00:00+00,COMMERCIAL,,604 465 4768,Work,,
,,777,00434845,1109,11497,236 ST,V2W 2E8,NGO GARDENING,HOME & INDUSTRY SERVICES,GARDENER/LAWN MAINTENANCE,GARDENING,2022/01/04 08:00:00+00,HOME BASED,,778 822 8803,Work,,
526711.3745,5452621.2048,778,00436374,,12285,212 ST,V2X 8S4,CHRISTINE'S HOUSE FAMILY CHILD CARE,COMMUNITY CARE,CHILD CARE - FAMILY DAYCARE,FAMILY DAYCARE,2021/12/29 08:00:00+00,HOME BASED,,604 463 0971,Work,,
532393.0214,5450300.948,780,00459944,34,24076,112 AVE,V2W 0K2,BRIDGEWATER MECHANICAL LTD,CONTRACTOR,PLUMBING & GAS,PLUMBING & GAS,2022/01/07 08:00:00+00,HOME BASED,,604 363 0625,Work,,
524290.7474,5450886.4287,781,00435792,,11443,KINGSTON ST,V2X 0Y6,KINGSTON ESTATE MANAGEMENT,RENTAL UNIT,COMMERCIAL/INDUSTRIAL,COMMERCIAL WAREHOUSE RENTALS (UNITS 1 TO 12),2021/12/23 08:00:00+00,COMMERCIAL,,604 986 4138,Work,,
528412.7253,5453188.234,782,00433099,,22089,KERRY CRES,V2X 0V8,STEVE GROSE ENTERPRISES,HOME & INDUSTRY SERVICES,HANDYMAN,HANDYMAN SERVICES,2021/12/20 08:00:00+00,HOME BASED,,604 467 3400,Work,,
538958.9092,5452198.2917,783,00432173,,27285,DEWDNEY TRUNK RD,V2W 1N6,TLC RV SERVICES,AUTOMOTIVE,AUTO/BOATS/RV/MOTORCYCLE REPAIR & SERVICE,MOBILE RECREATION VEHICLE SERVICE,2022/01/19 08:00:00+00,HOME BASED,,778 855 2060,Work,,
524243.4747,5451488.6443,784,00459561,8,11720,STEWART CRES,V2X 9E7,NOVA STAINLESS STEEL LTD,MANUFACTURING,METAL,METAL FABRICATION,2021/12/14 08:00:00+00,COMMERCIAL,,604 457 0220,Work,,
530702.0424,5452499.3655,787,00435594,,12210,232A ST,V2X 0R2,MAPLE RIDGE HOUSE - POSABILITIES ASSOCIATION OF BC,COMMUNITY CARE,COMMUNITY CARE FACILITY,CCFA LICENCED SPECIALIZED RESIDENTIAL - 4 CARE ROOMS,2021/11/17 08:00:00+00,COMMERCIAL,,604 299 4001,Work,,
526586.1918,5451464.3874,788,00458288,,21153,117 AVE,V2X 2H1,JOURNEY TO JOY COUNSELLING,HEALTH SERVICES,COUNSELLING,"COUNSELLING TO INDIVIDUALS, FAMILIES & GROUPS",2022/02/04 08:00:00+00,HOME BASED,,,Work,,
524922.0679,5452086.3983,789,00433895,4,20306,DEWDNEY TRUNK RD,V2X 3E1,RAZOR'S EDGE NUTRITION INC.,HEALTH RETAIL,VITAMIN & SUPPLEMENT,SELLING VITAMINS & SUPPLEMENTS,2022/02/07 08:00:00+00,COMMERCIAL,,604 460 8882,Work,,
531517.1691,5448242.5495,792,00435161,,23616,RIVER RD,V2W 1B7,VALLEY RITE MIX LTD,MANUFACTURING,CONCRETE,SUPPLY OF REDI-MIX CONCRETE,2021/12/08 08:00:00+00,COMMERCIAL,,604 467 9416,Work,,
531247.381,5449994.5499,794,00435332,,23485,109 LOOP,V2W 2B5,SATIN & SAGE STUDIO,PERSONAL SERVICES,SPA SERVICES,ELECTROLYSIS,2022/01/07 08:00:00+00,HOME BASED,,604 467 8611,Work,,
524695.5537,5452054.0934,795,00434106,200,20201,LOUGHEED HWY,V2X 2P6,PROSPERA CREDIT UNION,FINANCIAL & INSTITUTIONAL SERVICES,BANK/CREDIT UNION,FINANCIAL SERVICES,2021/12/15 08:00:00+00,COMMERCIAL,,604 460 7275,Work,,
538850.7332,5450485.1882,796,00432314,,11212,272 ST,V2W 1Y6,WHONNOCK SCRAP,AUTOMOTIVE,AUTO TOWING & TRANSPORT WITHOUT STORAGE FACILITIES,1 TOW TRUCK NO VEHICLES STORED ON PROPERTY MOBILE BUSINESS,2021/12/23 08:00:00+00,HOME BASED,,604 339 7537,Work,,
526957.114,5452655.1274,797,00433681,,21332,123 AVE,V2X 4B6,Q PAINTING PLUS CONTRACTOR,CONTRACTORS,PAINTER/WALLPAPER,PAINTING AND DRYWALL CONTRACTOR,2022/01/25 08:00:00+00,HOME BASED,,604 645 4600,Work,,
530979.4026,5452081.5048,798,00434590,,12003,234 ST,V2X 9K7,HELPING HAND SECURITY AND CONTRACTING LTD,HOME & INDUSTRY SERVICES,JANITOR/HOUSEKEEPING,JANITORIAL AND LANDSCAPING SERVICE,2021/12/15 08:00:00+00,HOME BASED,,604 466 0085,Work,,
