X,Y,OBJECTID,facilityid,name,factype,fulladdr,municipality,agencytype,phone,agencyurl,operhours,pocphone,comments,CreationDate,EditDate,Delivery,GlobalID
-113.840569141965,51.0295418990502,87,,DELHI EXPRESS,Restaurant,105 - 320 West Creek Drive,Chestermere,, ,http://www.delhiexpress.ca/,4 - 9 p.m.,403-454-1616,,2020/03/28 20:13:19+00,2020/04/03 17:18:05+00,,{536E7D87-B879-4EB9-B505-8D5F09D1ACFF}
-113.840593308443,51.0294944032879,88,,CANADIAN PIZZA UNLIMITED,Restaurant,107-320 West Creek Drive,Chestermere,, ,http://www.canadianpizzaunlimited.ca/,10:30 a.m. - 1 a.m.,403-272-0040,,2020/03/28 20:14:26+00,2020/04/03 17:18:06+00,,{7C3F7E98-D9DF-4BEA-81D5-48550F006286}
-113.840899343799,51.0288761951861,89,,OBSIDIAN ROSE TATTOO,Cosmetic ,106 -320 West Creek Drive,Chestermere,, ,http://www.obsidianrosetattoo.com/,9 a.m. to 6 p.m.,403-272-9799,,2020/03/28 20:16:11+00,2020/04/03 17:18:06+00,,{5F3319E1-5D91-448D-AF73-520CFAEFD134}
-113.840828544876,51.0289834670952,90,,MANREX,,106 -320 West Creek Drive,Chestermere,, ,https://manrex.com/en/home/,9 a.m. to 5 p.m.,403-986-5475,,2020/03/28 20:16:34+00,2020/04/03 17:18:07+00,,{16567965-5DF5-4000-B6F8-85775B4CECBC}
-113.81508559834,51.0517547256992,91,,CENTEX,Gas Station,124 East Chestermere Dr,Chestermere,, ,https://www.centexpetroleum.com/,5:30 a.m. to 11 p.m.,403-272-9557,,2020/03/28 20:22:18+00,2020/04/03 17:18:07+00,,{796EB817-BAD5-4012-8DA3-DE4E59006B97}
-113.814364541322,51.0518711305578,92,,CHOICE PIZZA,Restaurant,8 - 140 East Chestermere Drive ,Chestermere,, ,https://choice-pizza.business.site/?utm_source=gmb&utm_medium=referral,2 - 10:30 p.m.,403-264-7575,,2020/03/28 20:23:45+00,2020/04/03 17:18:07+00,,{4C60CF39-09F6-4C8E-A89A-17AD6A9D3482}
-113.814128544016,51.0515328872263,93,,EXPEDIA CRUISE SHIP CENTRES,Travel Agency,16 - 140 East Chestermere Dr ,Chestermere,, ,https://www.cruiseshipcenters.com/en-CA/200014,10 a.m. to 5:30 p.m. ,403-263-3500,Available by phone and email only at this time.,2020/03/28 20:24:37+00,2020/04/03 17:18:08+00,,{DECAC7AE-A524-4DD0-AF07-D3894679A1F6}
-113.81450997677,51.0511686209807,94,,CHESTERMERE VETERINARY CLINIC,Vet,34 - 140 E Chestermere Dr,Chestermere,, ,https://www.chestermerevet.com/,9 a.m. to 8 p.m.,403-272-3573,,2020/03/28 20:26:03+00,2020/04/03 17:18:08+00,,{0FC01303-3417-4B34-A36E-389CC3349209}
-113.81480572462,51.0514648408271,96,,CHESTERMERE FAMILY CHIROPRACTIC & MASSAGE CLINIC,Medical Centre,"C, 124 East Chestermere Drive",Chestermere,, ,https://www.chestermerefamilychiro.com/,9 a.m. to 6 p.m.,403-235-3717,,2020/03/28 21:32:41+00,2020/04/03 17:18:09+00,,{C7ED7803-D413-4919-949A-77CEEB319956}
-113.815041828826,51.0513059879543,97,,LIBERTY TAX,Accounting Services,32 - 140 East Chestermere Dr ,Chestermere,, ,https://www.libertytaxcanada.ca/income-tax-preparation-locations/ab-chestermere-32-140-east-chestermere-dr.html?utm_campaign=yext_gmb&utm_source=gmb&utm_medium=organic&utm_content=local_business_listings,10 a.m. to 7 p.m.,587-317-3284,,2020/03/28 21:32:56+00,2020/04/03 17:18:09+00,,{8E4F61D9-94E7-40D9-975A-20F5ED66F1F7}
-113.840138108732,51.0377140809708,99,,FIT BODY BOOT CAMP,Fitness Facility,107A- 300 Merganser Drive West,Chestermere,Private, ,www.fitbodybootcamp.com,Unavaliable,403-460-3222,,2020/03/28 21:41:39+00,2020/04/03 17:18:10+00,,{788DCC72-F508-4547-8EB2-3E2EE701AEA2}
-113.839885504271,51.0376947720676,100,,CHETSERMERE BARBER SHOP & STYLING,Cosmetic ,108 - 300 Merganser Drive West,Chestermere,Private, ,,10 a.m. to 6:30 p.m.,403-387-0747,,2020/03/28 21:42:06+00,2020/04/03 17:18:11+00,,{10130D30-BAF5-4C8F-B305-F0A382F604B0}
-113.840199526548,51.0374819476894,101,,JAFFERY OPTICAL,Medical Centre,105 - 300 Merganser Drive West,Chestermere,Private, ,https://www.jafferyoptical.com/,10 a.m. to 6 p.m.,403-454-7681,,2020/03/28 21:43:11+00,2020/04/03 17:18:11+00,,{2CF8527A-0BE5-46EC-A89A-3DD1D25E0D76}
-113.840198015582,51.0373602087253,102,,UCMAS,Learning,103 - 300 Merganser Drive West,Chestermere,Private, ,ucmas.ca,,403-796-9101,,2020/03/28 21:43:49+00,2020/04/03 17:18:11+00,,{4965D64C-4ECB-4086-B1EE-7B8DF5500121}
-113.839414476245,51.0376937146334,103,,JESSICA'S RESTURANT,Restaurant,112 - 300 Merganser Drive West,Chestermere,Private, ,www.jessicarestaurant.com,4 p.m. to 9 p.m.,403-272-3828,,2020/03/28 21:45:08+00,2020/04/03 17:18:12+00,,{387C54C2-B7C6-4FD0-A0A5-144460EC1C89}
-113.839671152769,51.0376929068711,104,,LV NAILS & SPA,Cosmetic ,110 - 300 Merganser Drive West,Chestermere,Private, ,,,403-452-2638,,2020/03/28 21:46:54+00,2020/04/03 17:18:12+00,,{4AB90830-3CA0-499F-8C0C-7D69986DD95D}
-113.839544289092,51.0376933039738,105,,TRINITY MUSIC INC.,Learning,111 - 300 Merganser Drive West,Chestermere,Private, ,https://trinitymusic.ca,9 a.m. to 5 p.m.,,,2020/03/28 21:48:44+00,2020/04/03 17:18:12+00,,{DEB52717-3738-4513-B416-B762F672FBA8}
-113.840415327032,51.0249653936887,106,,CHESTERMERE FOOD BANK,,105 - 100 Rainbow Rd,Chestermere,, ,http://chestermerefoodbank.ca/,11 a.m. to 1 p.m.,403-273-0777,,2020/03/28 21:54:48+00,2020/04/03 17:18:13+00,,{3325E1DA-86A5-4E98-9681-D578BD66756E}
-113.840061963935,51.0249266884067,107,,CHESTERMERE LAKE CROSSFIT,Fitness Facility,211 - 100 Rainbow Rd,Chestermere,, ,https://www.chestermerelakecrossfit.com/,,,,2020/03/28 21:55:41+00,2020/04/03 17:18:13+00,,{F8039AD6-4A43-4ABF-9862-3344FA6C6101}
-113.841637526299,51.0295513684795,108,,CHESTERMERE LAW LLP,Legal Services,401 - 320 West Creek Dr,Chestermere,, ,http://www.chestermerelawyer.com/,8:30 a.m. to 4:30 p.m.,587-470-7373,,2020/03/28 21:56:09+00,2020/04/03 17:18:13+00,,{D69A3EB9-37D2-42F9-BAB6-B083E6596B7E}
-113.840124637596,51.025579938404,109,,Canadian Tae Kwon Do College,Fitness Facility,207 - 100 Rainbow Rd,Chestermere,, ,https://canadiantkdcollege.ca/,4:30 p.m. to 8:30 p.m.,403-277-3420,,2020/03/28 22:02:38+00,2020/04/03 17:18:14+00,,{D82FE190-A7BC-4B92-81D3-C36121491832}
-113.84160510071,51.0289568720239,110,,LIQUOR DISCOUNTER,Liquor Store,302 - 320 W Creek Dr,Chestermere,, ,https://liquor-discounter-chestermere.business.site/?utm_source=gmb&utm_medium=referral,10 a.m. to 9 p.m.,403-719-3992,,2020/03/28 22:04:12+00,2020/04/03 17:18:14+00,,{4BD58E14-A2E5-4A37-83EA-475BAB09D435}
-113.84164113573,51.0291849163689,111,,MARKJOEL'S BAKESHOP & MINI GROCERY,Restaurant,108 - 320 West Creek Drive,Chestermere,, ,https://www.facebook.com/Markjoels-Bakeshop-and-Mini-Grocery-116118386447602/,,403-455-5155,,2020/03/28 22:05:32+00,2020/04/03 17:18:14+00,,{7C30A2B2-DB86-4659-A1F6-ADB425F3DE12}
-113.840600829138,51.0298374583427,112,,THE LAKESHORE ESTHETICS,Cosmetic ,202 - 320 West Creek Dr,Chestermere,, ,https://www.thelakeshorespa.com/,10 a.m. to 8 p.m.,403-273-5253,,2020/03/28 22:07:07+00,2020/04/03 17:18:15+00,,{EEAE7A8D-00B6-41EA-A1E6-45890BF09813}
-113.840943928983,51.0253588921648,114,,Diversion Salon,Dental,205 100 Rainbow Rd,Chestermere,, ,https://www.diversionsalon.ca/,12 p.m. to 7 p.m.,587-470-5605,,2020/03/28 22:09:36+00,2020/04/03 17:18:16+00,,{CE9D322A-26BB-4416-BA62-C3471364F5BB}
-113.823042193305,51.0509069977594,115,,WISE & COMPANY PROFESSIONAL ACCOUNTANTS,Accounting Services,102 - 120 John Morris Way,Chestermere,, ,https://www.wiseandcompany.ca/,8 a.m. to 5 p.m.,403-930-3330,,2020/03/28 22:28:01+00,2020/04/03 17:18:16+00,,{EAF384C9-D93F-4390-B6E4-554686894BCA}
-113.823010206094,51.0508296135501,116,,LAVI NAILS & SPA,Cosmetic ,103 - 120 John Morris Way,Chestermere,, ,http://www.lavinailsandspa.com/,10 a.m. to 7 p.m.,403-235-3388,,2020/03/28 22:28:54+00,2020/04/03 17:18:16+00,,{2F78CCDD-8A28-41E8-91CA-3B56B0FE4D68}
-113.829309410259,51.048015156626,117,,CHESTERMERE LAKE REGISTRY,Registry,402 - 100 Marina Dr,Chestermere,, ,https://www.chestermerelakeregistry.ca/,10 a.m. to 5 p.m.,403-207-5510,,2020/03/28 22:30:24+00,2020/04/03 17:18:17+00,,{ECF305E5-2836-4F76-B713-2CE6ED1044B9}
-113.829364647666,51.048638040121,118,,Tirecraft,Automobile Services,100 Marina Dr,Chestermere,, ,https://tirecraft.com/chestermere-tirecraft/,7:30 a.m. to 5:30 p.m.,403-204-9050,,2020/03/29 17:54:26+00,2020/04/03 17:18:18+00,,{6795DE10-CA9E-4C20-9E1F-18800D82CEB2}
-113.82924307237,51.0490532615764,119,,Dollarama,Retail,180 Marina Dr,Chestermere,, ,,9 a.m. to 8 p.m.,403-235-2576,,2020/03/29 17:57:02+00,2020/04/03 17:18:18+00,,{7F17EB4A-65BB-4E75-AFE3-C2E9594CB0B7}
-113.829283007874,51.0493036730125,120,,9Round Chesteremere,Fitness Facility,110 - 180 Marina Dr,Chestermere,, ,https://www.9round.ca/fitness/Chestermere-AB-x9283,"6 a.m. to 1 p.m., 4 to 8 p.m.",587-333-5570,,2020/03/29 17:59:00+00,2020/04/03 17:18:18+00,,{DFD00A61-8860-43AB-B2A3-B4CDECFA7222}
-113.829410102419,51.0481321932289,121,,CellNet Bell,Retail,405 - 100 Marina Dr,Chestermere,, ,http://storelocator.bell.ca/bellca/en/AB/Chestermere/CellNet/BE430,,403-770-1883,,2020/03/29 18:39:23+00,2020/04/03 17:18:19+00,,{58AF8F61-468D-49F4-85CF-5374728F10B0}
-113.827003213939,51.0490731564534,122,,"BROWN'S SOCIAL HOUSE, RESTARAUNT & BAR",Restaurant,501 - 175 Chestermere Station Way,Chestermere,Private,(403) 273-0157,https://brownssocialhouse.com/chestermere/,4 p.m. to 9 p.m.,403-273-0157,,2020/03/29 22:28:54+00,2020/04/03 17:18:19+00,,{DD9478C7-81A7-4B3C-90DD-A661744F96B4}
-113.826830187635,51.0491106646743,123,,Edo Japan,Restaurant,504 - 175 Chestermere Station Way,Chestermere,Private,(403) 273-0157,edojapan.com,11 a.m. to 8 p.m.,587-470-9283,,2020/03/29 22:32:00+00,2020/04/03 17:18:19+00,,{5A5534EB-4559-47BF-B009-F22F9F20CEA6}
-113.826369806442,51.0486132747777,124,,BOSTON PIZZA,Restaurant,200 - 196 Chestermere Station Way,Chestermere,Private,(403) 235-0110,https://bostonpizza.com/en/locations/chestermere.html,11 a.m. to 11 p.m.,403-235-0110,,2020/03/29 22:34:33+00,2020/04/03 17:18:20+00,,{7429DAB1-39EE-4E37-A88D-AFB3A2792D1A}
-113.838883788406,51.0383145424366,125,,GAS PLUS CONVENIENCE STORE,Convenience store,400 Merganser Drive West,Chestermere,Private, ,,,403-718-0068,,2020/03/31 20:04:19+00,2020/04/03 17:18:20+00,,{1CA652E9-0D5A-4920-9DD9-9D678DCE65E5}
-113.838550209805,51.0381779254812,126,,GAS PLUS GAS STATION,Gas Station,400 Merganser Drive West,Chestermere,Private, ,,,403-718-0068,,2020/03/31 20:31:45+00,2020/04/03 17:18:21+00,,{78CF9408-311E-4326-8FB5-F036CE76DEB6}
-113.840150283599,51.0375879066925,127,,CHESTERMERE PIZZA,Restaurant,106 - 300 Merganser Drive West,Chestermere,Private,,www.chestermerepizza.ca,12 p.m. to 9 p.m.,403-273-6565,,2020/04/02 15:30:35+00,2020/04/03 17:18:21+00,,{FDF84DAB-8748-48C0-9706-382FEDDA92CE}
-113.840260013709,51.0375965311271,128,,CHESTERMERE PROFESSIONAL PHARMACY,Pharmacy,106B- 300 Merganser Drive West,Chestermere,Private, ,,8:30 a.m. to 7:30 p.m.,403-719-8270,,2020/04/02 15:54:00+00,2020/04/03 17:18:21+00,,{1F3412A3-0E20-47DF-9567-7043E8FF3C44}
-113.840018092014,51.0376493944473,129,,GLOBAL LIQUOR STORE,Liquor Store,107- 300 Merganser Drive West,Chestermere,Private, ,,10 a.m. to 12 a.m.,403-452-7935,,2020/04/02 16:03:09+00,2020/04/03 17:18:22+00,,{65C87E39-E051-4A0F-9D8C-E20D2519628B}
-113.840198633623,51.0374197033487,130,,CHESTERMERE DENTAL,Dental,104 - 300 Merganser Drive West,Chestermere,Private, ,www.chestermeredentalcare.com,11 a.m. to 7 p.m.,403-263-8512,,2020/04/02 16:06:29+00,2020/04/03 17:18:22+00,,{B2F4BF08-5F7E-4E98-916F-973462DDE535}
-113.829298437338,51.0479323759751,131,,YUME SUSHI,Restaurant,401 - 100 Marina Drive,Chestermere,, ,,,403-387-3392,take out/ delivery only ,2020/04/02 19:03:31+00,2020/04/03 17:18:22+00,,{72EC172C-15E5-4EC2-AD1A-A4073405F377}
-113.825080221851,51.049405342993,132,,TD CANADA TRUST,Bank,200 - 156 Chestermere Station Way,Chestermere,, ,https://www.td.com/ca/en/personal-banking/branch-locator/#/?id=8108&src=local:b:can,10 a.m. to 4 p.m.,403-204-7940,,2020/03/27 19:43:50+00,2020/04/03 17:17:51+00,,{7AB0A872-9BC0-4093-A08A-6CF984A10C6E}
-113.824814300764,51.0525261872504,133,,PINKS AND PLATES,Learning,100 - 133 Main Street,Chestermere,, ,https://www.pinksandplates.com/,8:30 a.m. to 4:30 p.m.,403-248-0171,,2020/03/27 19:43:52+00,2020/04/03 17:17:53+00,,{DD280F9F-94B0-4DCE-9F8B-69F0294E5035}
-113.841599370357,51.0290685912208,134,,CIRCLE K,Convenience store,301 - 320 W Creek Dr,Chestermere,, ,https://www.circlek.com/store-locator/Canada/chestermere/301-320-west-creek-drive/22191,Open 24 Hours,403-235-2852,,2020/03/28 20:09:35+00,2020/04/03 17:18:04+00,,{B110360C-F9A7-41FA-84C8-131B74A8945B}
-113.809779698216,51.0223603225286,135,,ALBERTA HEALTH SERVICES,Medical Centre,104 - 288 Kinniburgh Blvd,Chestermere,, ,https://www.albertahealthservices.ca/amh/amh.aspx,8 a.m. to 4:30 p.m.,403-365-5400,,2020/03/28 21:21:10+00,2020/04/03 17:18:08+00,,{C2D4FBFB-2C3C-4129-A021-82CE98B4AB88}
-113.810093968428,51.0224071170222,136,,CHESTERMERE ADDICTION & MENTAL HEALTH,Medical Centre,288 Kinniburgh Blvd,Chestermere,, ,https://www.albertahealthservices.ca/findhealth/Service.aspx?id=1015555&serviceAtFacilityID=1103928,8am to 4 pm,403-365-5400,Appointments are via phone,2020/04/03 04:48:18+00,2020/04/03 17:18:23+00,,{80E7BB3B-FE15-412B-9F8D-51E329BD142D}
-113.81013224115,51.0223462221282,137,,VANTAGE INTEGRATIVE HEALTH & WELLNESS,Medical Centre,102-288 Kinniburgh Blvd,Chestermere,, ,https://www.vantageintegrativehealth.com/,9 a.m. to 4 p.m.,403-569-1141,,2020/04/03 04:48:28+00,2020/04/03 17:18:23+00,,{ED6BE86D-96EF-4784-86C1-FFA93E1B1F82}
-113.809992655532,51.0224651792187,138,,CALGARY LABORATORY SERVICES,Medical Centre,288 Kinniburgh Blvd,Chestermere,, ,,,,,2020/04/03 04:48:41+00,2020/04/03 17:18:24+00,,{5B0F20F3-E6D6-466D-829D-62B5305506F9}
-113.816384286458,51.051799998588,139,,MAGNA ENGINEERING,,109 East Chestermere Dr,Chestermere,, ,https:/https://www.magnaengineering.ca//www.docksidebarandgrill.com/,8:30 a.m. to 4:30 p.m.,403-470-2333,,2020/03/27 19:43:23+00,2020/04/03 17:17:34+00,,{37413EA6-A2B3-4041-A2BF-6538854A48B3}
-113.816230277489,51.051849106849,140,,LAKE CITY CANNABIS,,102 - 109 East Chestermere Dr,Chestermere,, ,https://www.lakecitycannabis.ca/,10 a.m. to 10 p.m.,403-910-2618,,2020/03/27 19:43:23+00,2020/04/03 17:17:34+00,,{E02ABAE4-E1B8-45F8-A907-E7FD64695F82}
-113.829291730516,51.0483354149969,141,,Little Caesars Pizza,Restaurant,"100 Marina Dr, Chestermere, AB T1X 0A9",,Private,(403) 272-5545,https://littlecaesars.ca/en-ca/,Open 24 hours,(403) 272-5545,,,,Unknown,{C9A6C6D0-8DBB-4045-8F4F-8A37EA54CABF}
-113.829437779513,51.04827003286,142,,Pita King,Restaurant,"100 Marina Dr, Chestermere, AB T1X 1N2",,,,https://www.pitakingchestermere.com/,11 am to 8 pm,(403) 207-5111,,,,Unknown,{BEAE81E9-1BE1-4695-A6AF-6870CAEDDDDB}
-113.826996037298,51.0504490972357,143,,Alberta Hearing Center,Medical Centre,"175 Chestermere Station Way #201, Chestermere, AB T1X 1V3",Chestermere,,,https://albertahearingcenter.ca/,,403-668-7776,,,,Unknown,{2EFEC305-29FA-4175-8F91-3A124337167C}
-113.824672015708,51.0458293518613,144,,,,,,,,,,,,,,Unknown,{14CCC1DE-08FA-4387-9B7D-D0A4BB76F2A1}
